"","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"2001-01-02",18.313667,18.313667,17.053835,17.268929,969600,13.421206
"2001-01-03",17.453295,18.836037,17.268929,18.836037,2591100,14.639142
"2001-01-04",18.958948,19.665684,18.958948,19.296951,3022700,14.997362
"2001-01-05",19.296951,19.481318,18.467306,18.713127,1625500,14.543611
"2001-01-08",18.836037,19.081858,18.375122,18.528761,1413000,14.400335
"2001-01-09",18.498034,19.081858,18.467306,19.020403,1061700,14.78243
"2001-01-10",19.389135,19.757866,19.266224,19.604229,3059900,15.236167
"2001-01-11",19.634956,19.665684,19.266224,19.419863,1757300,15.092885
"2001-01-12",19.419863,19.634956,18.559488,19.204769,1525700,14.925713
"2001-01-16",19.419863,19.512045,19.05113,19.05113,1912900,14.80631
"2001-01-17",19.296951,20.034414,19.296951,19.665684,2471500,15.283935
"2001-01-18",19.911505,20.034414,19.604229,19.942232,1508600,15.498861
"2001-01-19",19.942232,19.942232,18.6824,18.6824,1744900,14.519742
"2001-01-22",18.805309,18.805309,17.11529,17.176744,2506200,13.349564
"2001-01-23",17.207474,18.375122,17.053835,18.221485,1900100,14.16152
"2001-01-24",18.467306,18.989676,18.16003,18.805309,1807600,14.615264
"2001-01-25",18.713127,19.204769,18.498034,18.559488,1791700,14.424212
"2001-01-26",18.313667,18.436579,17.975664,18.313667,986400,14.233162
"2001-01-29",18.58407,18.677483,17.758112,17.876106,1287500,13.893098
"2001-01-30",17.876106,18.185841,17.207474,18.185841,1565500,14.133821
"2001-01-31",18.190758,18.677483,17.453295,18.092428,1520600,14.061217
"2001-02-01",17.895771,18.343166,17.261553,17.74828,1690200,13.79863
"2001-02-02",17.699116,18.092428,17.502459,17.551622,1269400,13.645725
"2001-02-05",17.674534,17.890856,17.625368,17.758112,1162200,13.806273
"2001-02-06",17.797443,18.711897,17.718781,18.136677,1658700,14.100591
"2001-02-07",18.185841,18.564405,17.949852,18.072763,1009200,14.050897
"2001-02-08",17.822025,17.969519,17.497541,17.615536,769400,13.695422
"2001-02-09",17.551622,17.566372,17.114061,17.453295,693700,13.569283
"2001-02-12",17.207474,17.944937,17.109144,17.866274,868300,13.890358
"2001-02-13",17.871189,18.436579,17.871189,18.107178,763500,14.077651
"2001-02-14",17.994101,18.146509,17.895771,18.067846,761100,14.047075
"2001-02-15",17.822025,18.603737,17.822025,18.436579,1351500,14.333752
"2001-02-16",18.190758,18.436579,17.994101,18.092428,584500,14.066188
"2001-02-20",18.21534,18.377581,17.330383,17.52704,724300,13.626618
"2001-02-21",17.64995,17.885939,17.281219,17.305801,928700,13.454616
"2001-02-22",17.232056,17.354965,16.248772,16.789577,2166600,13.053267
"2001-02-23",16.470011,16.838741,16.445427,16.666666,1611900,12.95771
"2001-02-26",16.789577,17.52704,16.789577,17.522123,817800,13.622796
"2001-02-27",17.477877,17.64995,17.030481,17.305801,730800,13.454616
"2001-02-28",17.207474,17.561455,17.207474,17.453295,692300,13.569283
"2001-03-01",17.822025,17.822025,16.843658,17.133726,1034600,13.320833
"2001-03-02",17.133726,18.180923,17.05998,17.551622,671600,13.645725
"2001-03-05",17.699116,17.944937,17.595871,17.797443,1625900,13.836847
"2001-03-06",17.797443,18.230089,17.797443,18.033432,985800,14.02032
"2001-03-07",18.13176,18.559488,17.822025,18.510324,1371700,14.39109
"2001-03-08",18.436579,18.529989,18.190758,18.190758,811900,14.142634
"2001-03-09",18.313667,18.338249,17.723698,17.723698,662200,13.779517
"2001-03-12",17.772861,17.861357,17.05998,17.084562,452300,13.282605
"2001-03-13",17.330383,17.330383,16.966568,17.291052,624000,13.443148
"2001-03-14",17.207474,17.305801,16.617502,16.912487,1074100,13.148822
"2001-03-15",16.912487,17.512291,16.912487,17.291052,643100,13.443148
"2001-03-16",17.822025,17.822025,16.858408,16.873156,1038700,13.118246
"2001-03-19",16.764996,17.944937,16.764996,17.866274,1465000,13.890358
"2001-03-20",18.13176,18.977385,18.13176,18.559488,3025300,14.429311
"2001-03-21",18.6824,19.911505,18.6824,19.193707,4975700,14.922385
"2001-03-22",19.316618,19.395281,17.959686,18.6824,2767400,14.524866
"2001-03-23",18.510324,19.351032,18.411997,19.060963,2174300,14.819183
"2001-03-26",19.419863,19.886923,19.346115,19.60177,2698500,15.23964
"2001-03-27",19.72468,21.022615,19.567354,20.998034,3325500,16.325186
"2001-03-28",20.796461,21.435595,20.486725,21.288103,3134500,16.550701
"2001-03-29",21.214355,21.779745,20.845625,21.204523,1880200,16.485723
"2001-03-30",20.378565,20.599804,19.419863,19.596853,6428600,15.235813
"2001-04-02",19.852507,19.862341,19.026548,19.331367,2269700,15.029417
"2001-04-03",19.370699,19.665684,18.58407,18.643068,1691200,14.494287
"2001-04-04",18.756145,19.3412,18.603737,18.913471,2592100,14.704523
"2001-04-05",19.419863,19.862341,18.834808,19.380531,2215600,15.067628
"2001-04-06",19.296951,19.296951,18.239922,18.525074,2144600,14.402549
"2001-04-09",18.647984,19.493608,18.647984,19.493608,966300,15.155553
"2001-04-10",19.61652,20.648968,19.61652,20.353983,2123000,15.824463
"2001-04-11",20.821043,20.821043,19.665684,20.157326,1937500,15.67157
"2001-04-12",20.132744,20.353983,19.886923,19.98525,1038700,15.537788
"2001-04-16",20.304817,20.344149,19.955751,20.019665,1024900,15.564548
"2001-04-17",20.009832,20.299902,19.51819,19.51819,1021800,15.174663
"2001-04-18",19.788593,20.599804,19.090462,20.403147,2829200,15.86269
"2001-04-19",20.403147,21.9764,20.221239,21.627335,3039400,16.81444
"2001-04-20",21.563421,21.632252,20.845625,21.248772,1279700,16.520123
"2001-04-23",21.248772,21.248772,20.604719,20.683382,773700,16.080559
"2001-04-24",20.806293,21.602753,20.806293,21.05703,1843600,16.37105
"2001-04-25",21.14061,22.3353,21.14061,22.000984,3250300,17.104948
"2001-04-26",22.222221,22.610619,21.41593,21.705997,2914300,16.875603
"2001-04-27",22.099312,22.123894,21.715832,22.07473,1873500,17.162277
"2001-04-30",22.123894,22.315634,21.14061,21.519175,1933300,16.730354
"2001-05-01",21.435595,21.460176,20.452311,21.297935,1541300,16.558346
"2001-05-02",21.583088,21.627335,20.880039,21.135693,1269800,16.432209
