"","Open","High","Low","Close","Volume"
"2001-01-02",20.937035,21.737034,20.697033,21.087032,1625000
"2001-01-03",20.658756,21.658756,20.308758,20.808758,2071200
"2001-01-04",20.654163,21.05416,19.754161,20.654163,2207400
"2001-01-05",20.464055,20.584054,19.864057,20.314053,669000
"2001-01-08",20.041149,21.091153,19.841153,20.351151,729700
"2001-01-09",19.183613,21.433613,19.183613,21.173615,1046700
"2001-01-10",20.712967,21.302968,20.112969,20.882969,1042000
"2001-01-11",20.431654,21.431654,20.181654,20.771654,1361500
"2001-01-12",21.036913,21.196913,19.706911,20.746912,1153200
"2001-01-16",20.80416,21.154163,19.774161,20.654163,858300
"2001-01-17",20.680783,21.780781,19.780781,19.800781,909200
"2001-01-18",20.307499,20.607498,19.4275,19.7575,1684200
"2001-01-19",18.891449,19.84145,18.891449,19.621449,1513900
"2001-01-22",18.907579,20.657577,18.407579,20.567577,1009600
"2001-01-23",20.156801,20.7768,20.106802,20.406801,764700
"2001-01-24",20.538418,20.788418,18.988419,19.788418,1392000
"2001-01-25",20.330563,21.830563,19.880562,21.340561,4272100
"2001-01-26",21.63938,21.939379,20.789377,21.56938,4126500
"2001-01-29",21.224495,21.754498,20.874497,21.674496,1589700
"2001-01-30",21.592794,21.692797,21.042795,21.482798,1254900
"2001-01-31",21.715703,21.715703,21.315701,21.445702,1515500
"2001-02-01",20.86183,22.68183,20.77183,22.391829,2446500
"2001-02-02",22.359327,23.609327,22.109327,22.509329,2566800
"2001-02-05",21.797498,23.047498,21.547498,22.447495,2046900
"2001-02-06",22.594867,22.724865,22.184868,22.224865,1055600
"2001-02-07",22.362357,22.762354,21.322356,22.342356,1871500
"2001-02-08",21.821546,22.861547,21.801546,22.651548,1301100
"2001-02-09",23.162356,23.302355,21.962355,22.342356,948300
"2001-02-12",22.981736,23.231736,21.421739,21.581739,2067000
"2001-02-13",20.814701,22.914699,20.414699,22.824699,1776600
"2001-02-14",23.180661,23.980665,21.830663,22.150663,2160100
"2001-02-15",21.770274,22.970275,21.480273,22.070274,1795300
"2001-02-16",21.856564,23.366566,21.276566,22.416565,4712800
"2001-02-20",22.637175,23.547174,21.897177,23.177176,1796600
"2001-02-21",23.587598,24.187596,22.587598,22.787594,1928000
"2001-02-22",22.69415,23.794153,22.69415,23.344152,2036600
"2001-02-23",22.899441,23.459442,22.19944,22.849442,1547800
"2001-02-26",22.406384,23.51638,22.10638,23.486382,1776400
"2001-02-27",23.148743,23.498741,22.918739,23.498741,2501900
"2001-02-28",23.654822,23.854823,22.604823,23.16482,1790100
