"","Open","High","Low","Close","Volume"
"2001-01-02",8.761063,8.823563,8.604813,8.667313,5743200
"2001-01-03",8.171445,10.265195,8.171445,10.265195,19596000
"2001-01-04",9.886249,10.854999,9.761249,10.386249,30658800
"2001-01-05",10.347694,10.363319,9.816444,10.035194,11739200
"2001-01-08",10.172472,10.172472,9.313097,9.563097,11604400
"2001-01-09",9.596751,9.737376,9.143626,9.393626,8467600
"2001-01-10",8.944279,9.788029,8.944279,9.756779,10192800
"2001-01-11",9.750167,9.953292,9.484542,9.672042,9900400
"2001-01-12",9.647404,9.803654,9.600529,9.756779,6054800
"2001-01-16",9.524809,9.649809,9.227934,9.587309,11900400
"2001-01-17",9.675556,9.675556,9.331806,9.347431,7836400
"2001-01-18",9.443341,9.443341,8.943341,8.958966,13853200
"2001-01-19",9.025309,9.025309,8.462809,8.619059,17919200
"2001-01-22",8.844425,9.2038,8.750675,8.92255,11980400
"2001-01-23",8.923868,9.298868,8.767618,9.298868,6577600
"2001-01-24",9.36149,9.36149,9.033365,9.189615,6853600
"2001-01-25",9.173751,9.658126,8.955001,9.408126,6620800
"2001-01-26",9.605965,9.605965,9.24659,9.480965,7066800
"2001-01-29",9.545267,9.735267,9.517767,9.672767,4626000
"2001-01-30",9.793114,9.905614,9.485614,9.863114,9050800
"2001-01-31",9.881716,10.524216,9.859216,10.381716,18794800
"2001-02-01",10.323162,10.705662,9.973162,10.585662,16895600
"2001-02-02",10.647467,10.707467,10.422467,10.457467,15373200
"2001-02-05",10.451234,10.453734,10.163734,10.313734,14122000
"2001-02-06",10.359468,10.494468,10.146968,10.154468,11584400
"2001-02-07",10.096984,10.276984,10.039484,10.136984,9973600
"2001-02-08",10.286616,10.299116,9.604116,9.711616,11544000
"2001-02-09",10.07837,10.66587,10.07837,10.39337,22994000
"2001-02-12",10.113543,10.501043,10.053543,10.488543,21378400
"2001-02-13",10.363065,10.988065,10.135565,10.925565,24401200
"2001-02-14",10.916645,11.354145,10.874145,10.956645,22645200
"2001-02-15",11.22737,11.32487,10.85987,11.04987,18168000
"2001-02-16",10.974124,11.119124,10.699124,10.974124,21668000
"2001-02-20",10.936243,11.603743,10.923743,11.323743,18081200
"2001-02-21",11.371256,11.453756,10.536256,10.548756,14834800
"2001-02-22",10.593237,10.605737,10.268237,10.515737,9111600
"2001-02-23",10.491197,10.728697,10.211197,10.601197,14015200
"2001-02-26",10.964729,11.602229,10.889729,11.442229,23458000
"2001-02-27",11.355855,11.518355,11.085855,11.168355,19496400
"2001-02-28",11.208701,11.383701,10.633701,10.853701,10567600
"2001-03-01",10.989714,11.029714,10.232214,10.684714,10561200
"2001-03-02",10.365666,11.165666,10.230666,11.090666,9834800
"2001-03-05",11.087876,11.425376,11.012876,11.100376,12197200
"2001-03-06",11.165287,11.600287,11.127787,11.440287,11756400
"2001-03-07",11.501231,12.151231,11.488731,12.098731,19706800
"2001-03-08",12.109922,12.697422,12.019922,12.024922,26226400
"2001-03-09",11.931193,12.253693,11.516193,12.133693,14356000
"2001-03-12",12.174012,12.176512,11.534012,11.584012,13828800
"2001-03-13",11.67569,11.77569,11.13319,11.57819,14356400
"2001-03-14",11.112822,11.550322,11.112822,11.405322,12388000
"2001-03-15",11.527404,11.989904,11.527404,11.789904,14624400
"2001-03-16",11.715324,11.890324,11.427824,11.657824,12955200
"2001-03-19",11.621728,11.959228,11.481728,11.896728,10533200
"2001-03-20",11.946768,12.546768,11.934268,12.114268,18232000
"2001-03-21",12.132112,12.264612,11.787112,12.052112,18071600
"2001-03-22",12.161108,12.161108,10.596108,11.193608,24016400
"2001-03-23",11.287583,11.287583,10.682583,10.857583,17697600
"2001-03-26",11.17682,11.17682,10.88932,11.05182,14936400
"2001-03-27",10.959511,11.487011,10.644511,11.382011,20050000
"2001-03-28",11.231415,11.391415,11.073915,11.166415,13191600
"2001-03-29",10.856721,11.454221,10.554221,11.391721,15234400
"2001-03-30",11.49038,11.64038,11.19538,11.35288,13693600
"2001-04-02",11.259203,11.284203,10.924203,11.156703,11778400
"2001-04-03",11.238166,11.415666,10.740666,11.090666,10559200
"2001-04-04",11.102203,11.184703,10.799703,10.954703,11375200
"2001-04-05",11.119054,11.361554,10.944054,11.296554,9088400
"2001-04-06",11.27922,11.42422,10.90172,11.13922,9178000
"2001-04-09",11.247969,11.332969,10.690469,10.760469,13475600
"2001-04-10",10.691544,11.329044,10.691544,11.044044,12984000
"2001-04-11",11.55201,11.55201,10.61451,10.87701,23846400
"2001-04-12",10.710662,10.710662,10.145662,10.585662,18330000
"2001-04-16",10.385753,10.585753,10.345753,10.498253,9928800
"2001-04-17",10.632141,10.632141,10.132141,10.249641,10892800
"2001-04-18",10.023615,11.723615,10.011115,11.548615,28080000
"2001-04-19",11.3174,11.5399,11.2674,11.4824,10495200
"2001-04-20",11.453315,11.553315,11.078315,11.355815,10979200
"2001-04-23",11.353315,11.778315,11.103315,11.355815,12376400
"2001-04-24",11.111744,11.211744,10.911744,11.061744,11636400
"2001-04-25",11.022793,11.372793,10.935293,11.022793,10515200
"2001-04-26",11.153867,11.518867,11.053867,11.353867,7874400
"2001-04-27",11.468912,12.318912,11.356412,12.093912,23921200
"2001-04-30",12.194183,12.444183,12.131683,12.269183,17055600
"2001-05-01",12.174156,12.644155,12.086656,12.604156,18711600
"2001-05-02",12.651228,12.676227,12.338727,12.508728,10103600
"2001-05-03",12.523608,12.526109,12.043608,12.253608,11105600
"2001-05-04",11.827332,12.627331,11.739832,12.504832,13436800
"2001-05-07",12.474061,12.536561,12.241561,12.366561,9573600
"2001-05-08",12.420156,12.450156,12.027656,12.177656,9499600
"2001-05-09",12.227659,12.227659,11.795159,11.825159,8367600
"2001-05-10",12.136727,12.696728,12.091727,12.471727,13861600
"2001-05-11",12.462332,12.674832,12.377332,12.504832,7963200
"2001-05-14",12.53223,12.619732,12.447231,12.619732,7397200
"2001-05-15",12.613929,13.026429,12.613929,12.816428,17200400
"2001-05-16",12.80474,12.917239,12.557241,12.80474,13371600
"2001-05-17",12.752006,13.244507,12.697006,13.184505,8444800
"2001-05-18",13.233331,13.40083,12.99583,13.32083,10625200
"2001-05-21",13.494302,14.419301,13.394302,14.119302,28652800
"2001-05-22",13.952179,14.202179,13.699678,13.827179,14610800
"2001-05-23",13.632426,13.782426,13.482426,13.632426,12971200
"2001-05-24",13.680182,14.175181,13.410182,13.975183,12731600
"2001-05-25",14.034372,14.34187,13.931871,13.986871,9021600
"2001-05-29",14.263649,14.28615,13.511148,13.698648,12310800
"2001-05-30",13.635055,13.852554,13.372555,13.535055,10128800
"2001-05-31",13.535902,13.608402,13.223402,13.540901,11148000
"2001-06-01",13.478602,13.571101,13.201102,13.496102,9090000
"2001-06-04",13.527456,13.749955,13.374955,13.649955,6002800
"2001-06-05",13.75473,14.002229,13.69223,13.86223,11624400
"2001-06-06",13.76751,14.112509,13.75751,14.03751,8974000
"2001-06-07",13.836426,14.411427,13.798928,14.411427,9302000
"2001-06-08",14.410177,14.410177,14.197678,14.327677,3255200
"2001-06-11",14.409953,14.487452,13.979952,14.002453,6204000
"2001-06-12",13.805492,14.205491,13.62049,14.167991,5725600
"2001-06-13",13.979445,14.409445,13.891945,14.391945,9129600
"2001-06-14",14.370544,14.443044,14.048043,14.203044,7001200
"2001-06-15",14.225935,14.263436,13.940936,14.095934,8727200
"2001-06-18",13.993526,14.691026,13.963527,14.518528,10579200
"2001-06-19",14.513133,14.830634,14.513133,14.793134,12717200
"2001-06-20",14.799133,15.336631,14.751632,15.071632,14161200
"2001-06-21",14.890699,15.570699,14.8407,15.365699,14880800
"2001-06-22",15.470673,15.470673,14.845673,14.995673,13540400
"2001-06-25",15.278547,15.283546,14.476045,14.703546,13773600
"2001-06-26",14.686964,14.786964,14.486963,14.761965,12172400
"2001-06-27",14.885739,15.033238,14.323239,14.325737,13413200
"2001-06-28",14.534069,14.829069,14.509067,14.684068,12086000
"2001-06-29",14.844038,14.844038,14.129038,14.129038,14451600
"2001-07-02",14.478692,15.448691,14.303691,14.438691,8318600
"2001-07-03",14.621426,14.656428,14.391427,14.411427,5182600
"2001-07-05",14.624825,14.624825,14.019825,14.099825,7109600
"2001-07-06",14.301631,14.301631,13.376632,13.47663,9700600
"2001-07-09",13.518725,13.603726,13.288725,13.398726,9166200
"2001-07-10",13.795555,13.970556,13.020555,13.145555,8833400
"2001-07-11",13.058266,13.533266,13.008267,13.453266,11018400
"2001-07-12",13.307837,14.482837,13.307837,14.247838,11957000
"2001-07-13",13.8733,14.193299,13.673301,14.193299,7704800
"2001-07-16",14.182673,14.517674,14.062674,14.142674,8256000
"2001-07-17",14.12388,14.333879,13.868879,14.208879,4580800
"2001-07-18",14.097168,14.967167,14.097168,14.817167,14948200
"2001-07-19",15.360717,15.360717,14.960717,15.105718,9988400
"2001-07-20",15.396089,15.506087,15.166087,15.246087,8844600
"2001-07-23",15.410246,15.435246,14.850247,14.930246,5269600
"2001-07-24",15.119719,15.199719,14.404719,14.52472,6176000
"2001-07-25",14.438546,14.963545,14.363547,14.918545,9279600
"2001-07-26",14.82958,15.30458,14.71458,15.30458,8482400
"2001-07-27",15.193097,15.268096,15.028096,15.168098,4952600
"2001-07-30",15.138977,15.403976,15.138977,15.288977,4602800
"2001-07-31",15.197354,15.317354,14.597353,14.887354,9174400
"2001-08-01",14.814032,14.864033,14.379032,14.474031,8939200
"2001-08-02",14.72771,14.77771,14.302709,14.60271,6866600
"2001-08-03",14.534944,14.629944,14.134945,14.399944,4592600
"2001-08-06",14.742186,14.747185,13.992186,14.197186,7661800
"2001-08-07",14.073286,14.493286,13.968286,14.193287,8441400
"2001-08-08",14.361531,14.686532,13.861531,13.951531,7957000
"2001-08-09",13.944421,14.26942,13.624422,13.994421,7362600
"2001-08-10",14.02521,14.17521,13.72021,14.08021,4438800
"2001-08-13",14.03778,14.387781,13.86778,14.212781,6272200
"2001-08-14",14.182429,14.72243,14.182429,14.497429,6768800
"2001-08-15",14.699481,14.78448,14.12448,14.224481,3587400
"2001-08-16",14.251312,14.256312,13.726313,14.076311,5052600
"2001-08-17",14.067984,14.067984,13.557986,13.662985,4517200
"2001-08-20",13.399776,14.774776,13.399776,14.754775,13159400
"2001-08-21",14.740621,15.24562,14.545619,15.070621,16056200
"2001-08-22",15.22911,15.32911,14.789109,15.12911,9036600
"2001-08-23",15.41271,15.42271,14.54771,14.60271,6548600
"2001-08-24",14.535081,15.335081,14.385082,15.285081,8787800
"2001-08-27",15.211024,15.361023,14.761023,15.016022,5812600
"2001-08-28",15.365531,15.38053,14.815529,15.035531,7246800
"2001-08-29",15.158997,15.203997,14.603999,14.668997,8707400
"2001-08-30",14.882281,15.007281,14.107281,14.232281,11892200
"2001-08-31",14.280228,14.630228,14.260228,14.505228,8571800
"2001-09-04",14.538718,15.003718,14.273718,14.563717,6948400
"2001-09-05",14.457469,14.457469,13.787469,14.302468,7643800
"2001-09-06",14.519408,14.614408,13.419408,13.569408,12367600
"2001-09-07",12.977616,13.077616,11.722616,12.477616,26601400
"2001-09-10",12.493028,12.748027,11.993028,12.423028,12585600
"2001-09-17",11.876082,11.876082,11.031082,11.066082,13264600
"2001-09-18",11.132749,12.582749,11.132749,11.272749,16219400
"2001-09-19",11.245823,11.660823,10.575823,11.385823,11244000
"2001-09-20",11.050301,11.075301,10.275301,10.980301,12790000
"2001-09-21",9.863998,11.138998,9.533998,10.488998,16588200
"2001-09-24",10.819403,11.589403,10.764403,11.479403,10918800
"2001-09-25",11.36993,11.96993,11.14493,11.88493,12070400
