"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2010-04-28",22.25,22.25,21.700001,22,5244400,16.357906
"2010-04-29",22,23.25,21.9,23,8773600,17.101444
"2010-04-30",22.950001,23,22.25,22.299999,1644400,16.580967
"2010-05-03",22.75,22.950001,22.65,22.799999,3302700,16.952742
"2010-05-04",22.799999,22.799999,21.5,21.5,2276500,15.986134
"2010-05-05",22,22,20,20.59,6999200,15.309508
"2010-05-06",20.5,20.549999,18.450001,19.450001,8029400,14.461874
"2010-05-07",19.5,19.549999,17.9,18.6,3881500,13.829865
"2010-05-10",19.75,19.85,18.700001,19.01,3861100,14.134716
"2010-05-11",18.75,19.280001,18.75,18.9,2626900,14.052925
"2010-05-12",19.200001,20.040001,19.200001,19.799999,5714300,14.722113
"2010-05-13",19.85,20.1,19.6,19.65,2475900,14.610585
"2010-05-14",19.299999,19.4,18.75,18.75,3133400,13.941395
"2010-05-17",19,19.200001,18.700001,18.85,10117000,14.01575
"2010-05-18",19.049999,19.32,18.25,18.790001,6219800,13.971137
"2010-05-19",18.9,18.93,17.549999,17.700001,6227700,13.160676
"2010-05-20",17.139999,17.139999,16.200001,16.9,10248400,12.565845
"2010-05-21",16.35,17.120001,16.25,16.549999,4560800,12.305603
"2010-05-24",16.700001,17.15,16.68,16.9,1761300,12.565845
"2010-05-25",16.790001,16.790001,16.200001,16.57,4649600,12.320476
"2010-05-26",16.99,17.4,16.799999,17.15,2079300,12.751727
"2010-05-27",17.65,18,17.65,17.9,3156100,13.309382
"2010-05-28",17.9,17.9,16.25,17.77,222200,13.212727
"2010-06-01",17.65,17.799999,17.200001,17.5,900800,13.011971
"2010-06-02",17.610001,17.66,17.219999,17.33,829900,12.885566
"2010-06-03",17.450001,17.5,17.15,17.33,2173600,12.885566
"2010-06-04",17.049999,17.1,16.75,17.049999,3147200,12.677376
"2010-06-07",17.15,17.200001,16.74,16.889999,2826800,12.558407
"2010-06-08",17.030001,17.030001,16.5,16.75,2037700,12.45431
"2010-06-09",16.790001,17.1,16.700001,16.790001,1410200,12.484055
"2010-06-10",16.969999,17.07,16.85,16.969999,1401000,12.617893
"2010-06-11",16.940001,17.190001,16.940001,17.139999,452500,12.744295
"2010-06-14",17.190001,17.58,17.190001,17.49,1008500,13.004532
"2010-06-15",17.48,18,17.35,17.969999,1974300,13.361432
"2010-06-16",17.93,17.969999,17.629999,17.639999,1041500,13.116065
"2010-06-17",17.68,17.75,17.139999,17.299999,1090600,12.86326
"2010-06-18",17.33,17.35,17.15,17.209999,1373700,12.796345
"2010-06-21",17.450001,17.530001,17.09,17.1,514100,12.714554
"2010-06-22",17.09,17.1,16.799999,16.84,1502900,12.521228
"2010-06-23",16.9,16.950001,16.6,16.65,1125700,12.379957
"2010-06-24",16.690001,16.92,16.35,16.799999,2151600,12.491488
"2010-06-25",16.9,16.92,16.700001,16.82,612000,12.506361
