"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"2001-01-02",35.889999,35.91,35.130001,35.139999,801900,30.421198
"2001-01-03",35.09,35.349998,34.439999,34.5,828500,29.867134
"2001-01-04",34.5,34.5,30.9,31.76,1983000,27.495077
"2001-01-05",31.4,31.9,30.309999,30.5,1062000,26.404268
"2001-01-08",30.6,31.33,30.5,31,723100,26.837128
"2001-01-09",31,31.700001,31,31.540001,529400,27.304615
"2001-01-10",31.299999,32.939999,31.200001,32.75,1068100,28.352127
"2001-01-11",32.75,32.75,31.24,31.299999,759000,27.096844
"2001-01-12",31.799999,31.799999,31.1,31.5,1187700,27.269981
"2001-01-16",31.1,31.59,30,31.49,1282700,27.26133
"2001-01-17",31.25,31.75,30.49,30.889999,661300,26.741905
"2001-01-18",30.700001,31.110001,28.700001,29.43,2038600,25.477959
"2001-01-19",29.4,29.450001,27.620001,27.700001,2648500,23.980278
"2001-01-22",28,29.5,28,29,1666100,25.105717
"2001-01-23",30,32.5,29.799999,31.799999,4126000,27.529709
"2001-01-24",31.700001,31.74,30.879999,31.35,3335600,27.140129
"2001-01-25",31.4,32.080002,30.85,31.82,1479700,27.547014
"2001-01-26",31.83,32.25,31.15,31.99,1049900,27.694183
"2001-01-29",32.200001,33,31.700001,32.27,860200,27.936594
"2001-01-30",32.049999,32.950001,32.049999,32.549999,930300,28.178984
"2001-01-31",32.52,32.75,32.349998,32.669998,841200,28.282871
"2001-02-01",33.25,33.34,32.73,33.02,881900,28.585878
"2001-02-02",33.099998,33.75,33.099998,33.25,1355300,28.784992
"2001-02-05",33.709999,33.950001,33.41,33.549999,1584400,29.044699
"2001-02-06",33.299999,34.200001,33.299999,33.700001,1269700,29.174559
"2001-02-07",33.900002,33.970001,33.490002,33.669998,640100,29.148584
"2001-02-08",34,34.25,33.299999,34.080002,777900,29.503527
"2001-02-09",34.150002,34.59,33.970001,34,2083000,29.434265
"2001-02-12",34,34.450001,33.93,34,830800,29.434265
"2001-02-13",34,34.209999,33.59,33.849998,1150500,29.304411
"2001-02-14",33.849998,33.849998,33.049999,33.290001,910500,28.819628
"2001-02-15",33.150002,33.240002,32.779999,33,962800,28.568558
"2001-02-16",32.75,33.240002,32.700001,33.040001,654000,28.603188
"2001-02-20",33.049999,33.549999,32.209999,32.75,1006300,28.352127
"2001-02-21",33,34,32.939999,33.68,863200,29.157259
"2001-02-22",33.689999,33.700001,32.279999,32.529999,1435400,28.161673
"2001-02-23",32.5,32.509998,30.860001,31.459999,1143000,27.235357
"2001-02-26",31.459999,32.560001,31.450001,32.540001,1171300,28.170326
"2001-02-27",32.5,32.650002,30.709999,30.709999,1515900,26.635185
"2001-02-28",30.5,30.51,28.75,29.08,3359300,25.221464
"2001-03-01",29.15,29.99,29,29.85,969600,25.889297
"2001-03-02",30.75,31.379999,30.200001,30.34,1296200,26.314287
"2001-03-05",29.950001,30.43,29.190001,29.99,630200,26.010725
"2001-03-06",29.85,30.190001,28.860001,29.15,616900,25.282177
"2001-03-07",29.1,29.110001,28.200001,28.610001,895400,24.813831
"2001-03-08",28.950001,29.450001,28.6,29.360001,1033200,25.46431
"2001-03-09",28.9,29.540001,28.4,28.75,685800,24.935251
"2001-03-12",28.75,28.76,27.709999,27.9,1356700,24.198038
"2001-03-13",27.65,27.65,26.5,27.280001,1503300,23.660297
"2001-03-14",27,27.25,26,26.49,1037700,22.975121
"2001-03-15",26.49,26.6,25.5,25.99,1178300,22.541462
"2001-03-16",25.049999,25.59,24.1,24.98,1480700,21.66548
"2001-03-19",25.65,26.26,25.200001,25.98,1268700,22.532795
"2001-03-20",26,26.9,25.860001,26.049999,1071700,22.593506
"2001-03-21",25.700001,25.98,25.129999,25.51,897500,22.12516
"2001-03-22",25.35,25.549999,23.4,23.98,1219600,20.798172
"2001-03-23",24.85,26.690001,24.690001,26.34,1159800,22.845028
"2001-03-26",26.549999,27.25,25.870001,26.77,1558200,23.217976
"2001-03-27",27,27,26.09,26.24,1376100,22.758301
"2001-03-28",26.25,26.879999,25.85,26.26,802200,22.775648
"2001-03-29",26.299999,27.15,26.299999,26.75,735500,23.200628
"2001-03-30",26.4,26.870001,26.059999,26.75,729600,23.200628
"2001-04-02",26.940001,27.41,26.65,26.969999,857800,23.391438
"2001-04-03",26.719999,26.790001,25.9,26.360001,1244600,22.862379
"2001-04-04",25.799999,25.950001,24.85,25.73,1754800,22.315966
"2001-04-05",25.74,26.5,25,25.91,1078300,22.472082
"2001-04-06",25.950001,26.35,25.15,25.34,1203600,21.977715
"2001-04-09",25.34,25.77,25.16,25.41,1179000,22.038429
"2001-04-10",25.450001,26.51,25.209999,26,1004400,22.550142
"2001-04-11",25.799999,26.75,25.299999,26.6,1081400,23.070536
"2001-04-12",26.25,27.25,26.15,27.25,774200,23.634283
"2001-04-16",27.200001,27.74,26.940001,27.370001,844200,23.738354
"2001-04-17",26.9,27.75,26.9,27.75,515800,24.067934
"2001-04-18",27.700001,28.389999,27.5,28.01,810000,24.293444
"2001-04-19",27.950001,28,27.16,27.559999,586600,23.903149
"2001-04-20",27.049999,27.35,26.91,27.35,727200,23.72102
"2001-04-23",27.35,27.6,27.23,27.559999,542900,23.903149
"2001-04-24",27.1,27.33,27.1,27.209999,711600,23.59959
"2001-04-25",27.209999,27.5,26.02,26.92,1465200,23.34807
"2001-04-26",26.799999,27.190001,26.5,26.790001,889300,23.235325
"2001-04-27",27.299999,27.5,27,27.209999,859300,23.59959
"2001-04-30",31,31.700001,30.5,30.84,3295300,26.747938
"2001-05-01",31.4,31.690001,31.1,31.57,2894000,27.381077
"2001-05-02",31.700001,32.299999,31.360001,32.299999,2042600,28.014221
"2001-05-03",32.5,32.5,31.51,32.240002,1192800,27.962173
"2001-05-04",32.240002,32.830002,31.799999,32.799999,1114500,28.447876
"2001-05-07",32.77,33,32.299999,32.82,998300,28.465225
"2001-05-08",33,33.400002,32.330002,33.119999,1298300,28.72542
"2001-05-09",32.900002,33.759998,32.779999,33.669998,1763200,29.202431
"2001-05-10",33.759998,33.900002,33.490002,33.900002,559400,29.40192
"2001-05-11",33.700001,33.93,33.259998,33.5,3615900,29.054987
"2001-05-14",33.5,33.75,33.200001,33.400002,988800,28.96825
"2001-05-15",33.400002,33.400002,33.009998,33.290001,826600,28.872866
"2001-05-16",33.25,34.25,32.900002,34.150002,1184300,29.61874
"2001-05-17",34.049999,34.25,33.779999,34,1877900,29.488634
"2001-05-18",34,34,33.700001,33.939999,595200,29.436611
"2001-05-21",33.75,34.25,33.599998,33.869999,734800,29.375902
"2001-05-22",33.5,34.23,33.169998,34.009998,589200,29.497326
"2001-05-23",33.650002,34.5,33.209999,34.389999,952100,29.8269
"2001-05-24",34.25,34.259998,33.400002,33.41,850700,28.976934
"2001-05-25",33.599998,35,33.549999,34.580002,2956400,29.991701
"2001-05-29",34.450001,34.75,33.959999,34.029999,943700,29.514677
"2001-05-30",34.029999,34.599998,33.939999,34.02,594900,29.505993
"2001-05-31",33.549999,34.610001,33.5,34.57,1163900,30.035965
"2001-06-01",34.5,34.560001,33.799999,34.110001,839600,29.636318
"2001-06-04",34,34.509998,33.919998,34.32,557900,29.818775
"2001-06-05",34.5,34.549999,34.200001,34.459999,1008100,29.940422
"2001-06-06",34.459999,34.540001,33.459999,33.68,925100,29.26273
"2001-06-07",34,35.18,34,35.119999,1924900,30.513859
"2001-06-08",35.25,35.599998,35.220001,35.549999,938800,30.887457
"2001-06-11",35.5,35.549999,34.59,34.77,701700,30.209747
"2001-06-12",34.25,34.5,33.900002,34.360001,531900,29.853523
"2001-06-13",34.75,35.130001,34.599998,34.970001,1036800,30.383524
"2001-06-14",35.18,35.18,34.48,34.709999,805300,30.157627
"2001-06-15",34.700001,34.990002,34.59,34.779999,1465700,30.218441
"2001-06-18",34.779999,35.450001,34.75,35.400002,1324000,30.757128
"2001-06-19",35.400002,35.740002,34.93,35.52,1294300,30.861401
"2001-06-20",35.599998,36.360001,35.599998,36.200001,1237300,31.452217
"2001-06-21",36.150002,36.830002,36.150002,36.799999,1203400,31.973528
"2001-06-22",36.400002,36.75,36.110001,36.5,1053700,31.712873
"2001-06-25",36.5,37,36.419998,37,2072300,32.147285
"2001-06-26",36.450001,36.98,36.400002,36.939999,734500,32.095158
"2001-06-27",36.91,37,36,36.970001,1458800,32.121204
"2001-06-28",36.970001,37.48,36.860001,36.880001,1815500,32.043026
"2001-06-29",36.599998,37.209999,36.52,37.119999,1433600,32.251556
"2001-07-02",37.299999,37.5,36.5,36.82,1235100,31.990904
