"","Open","High","Low","Close","Volume"
"2001-06-13",13.37936,13.87936,12.96936,13.12936,69567200
"2001-06-14",13.517204,13.517204,12.017204,12.667204,31979800
"2001-06-15",12.25627,13.00627,12.206271,12.85627,14369300
"2001-06-18",12.478626,13.018627,12.478626,12.738627,4019800
"2001-06-19",12.972239,13.082238,12.582238,12.772239,5690300
"2001-06-20",12.830232,13.020232,12.610232,12.730231,3791600
"2001-06-21",12.954185,12.954185,12.604185,12.604185,6027200
"2001-06-22",12.604185,12.624185,12.364185,12.604185,4847700
"2001-06-25",12.517204,12.667204,12.367204,12.667204,2420300
"2001-06-26",12.580987,12.660987,12.390986,12.620988,3333300
"2001-06-27",12.588979,12.638978,12.448977,12.578979,3182300
"2001-06-28",12.346444,12.806445,12.336443,12.776444,2778100
"2001-06-29",12.52432,13.02432,12.35432,13.02432,5777800
"2001-07-02",13.031651,13.031651,12.75165,12.801649,3167600
"2001-07-03",12.739464,12.919464,12.699465,12.839464,608700
"2001-07-05",12.814915,13.094916,12.694914,12.994915,2085500
"2001-07-06",13.207277,13.207277,12.727277,12.877277,945300
"2001-07-09",12.983839,13.123839,12.633839,12.763838,2295300
"2001-07-10",12.851236,13.251235,12.681236,12.751235,3301300
"2001-07-11",12.790233,12.790233,12.430232,12.730231,2023000
"2001-07-12",12.732311,12.982311,12.282312,12.982311,1912500
"2001-07-13",13.080889,13.160889,12.640888,12.910889,995400
"2001-07-16",12.922485,13.202485,12.842485,12.902484,1198100
"2001-07-17",12.653388,13.21339,12.613389,13.21339,3792700
"2001-07-18",13.190195,13.240194,12.540193,13.230194,5645100
"2001-07-19",13.578771,13.578771,12.028772,13.158771,3326000
"2001-07-20",13.158352,13.248352,12.918352,13.108353,1390900
"2001-07-23",13.12432,13.214321,12.94432,13.02432,1756000
"2001-07-24",13.163735,13.173736,12.883735,13.053735,1146500
"2001-07-25",13.198283,13.198283,12.708283,12.898284,860600
"2001-07-26",12.904739,13.144739,12.574739,13.074739,1901900
"2001-07-27",13.276513,13.276513,12.886511,12.986512,1541800
"2001-07-30",13.34627,13.35627,12.75627,12.85627,1233900
"2001-07-31",12.553317,13.213317,12.553317,13.003318,2020200
"2001-08-01",13.051895,13.161895,12.731895,12.931896,2302200
"2001-08-02",12.753318,13.223317,12.703317,13.003318,2700000
"2001-08-03",13.058284,13.178283,12.698283,12.898284,456800
"2001-08-06",13.111234,13.241235,12.651235,12.751235,847600
"2001-08-07",12.764261,12.854261,12.594261,12.81426,991400
"2001-08-08",13.29839,13.29839,12.598389,12.608389,1517200
"2001-08-09",12.439634,12.759636,12.389635,12.759636,752900
"2001-08-10",12.3903,13.260301,12.2903,12.940299,1119700
"2001-08-13",12.926339,13.156341,12.88634,13.06634,1749200
"2001-08-14",13.166341,13.21634,12.96634,13.06634,1365300
"2001-08-15",13.135924,13.235925,13.005923,13.015924,2106500
"2001-08-16",12.917351,13.207351,12.887352,13.087351,1351200
"2001-08-17",12.971372,13.171372,12.731372,13.171372,1164200
"2001-08-20",12.996829,13.36683,12.87683,13.326829,2020900
