"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
"2001-01-02",60.25,60.8125,59.5,59.5,3569600,44.203014
"2001-01-03",59.4375,60.375,58.25,58.875,4704100,43.775494
"2001-01-04",58.5,58.5,53.9375,54.75,8124400,40.708427
"2001-01-05",54.8125,54.8125,51.9375,53.6875,7025600,39.918427
"2001-01-08",53.125,54.4375,52.9375,53.375,3917700,39.686058
"2001-01-09",53.375,54.375,53,53.5,3930800,39.778992
"2001-01-10",53.5,53.5625,52,52.625,3802700,39.128403
"2001-01-11",53.5,54,52.625,52.875,3209700,39.314289
"2001-01-12",53.5,54.9375,53,54.8125,4321100,40.754887
"2001-01-16",54.8125,55.25,53.875,55.1875,3387100,41.033714
"2001-01-17",55.25,55.6875,53.9375,54,10107100,40.150772
"2001-01-18",54,54.9375,53,54.625,5616100,40.615494
"2001-01-19",54.75,55.1875,54.625,54.875,3005600,40.801369
"2001-01-22",55,55.875,54.8125,55.6875,3186300,41.405464
"2001-01-23",55.75,56.875,54.6875,55.0625,4186700,40.940765
"2001-01-24",55.125,55.1875,52.875,53.625,4898600,39.871948
"2001-01-25",53.625,54.75,53.375,54.625,3660300,40.615494
"2001-01-26",54.625,55.375,54.3125,54.9375,2764900,40.847828
"2001-01-29",55.25,55.720001,54.5,54.599998,2211700,40.596905
"2001-01-30",54.849998,55.439999,53.869999,54.549999,1933900,40.559723
"2001-01-31",54.549999,54.549999,53.009998,54,3011100,40.150772
"2001-02-01",53.900002,54.139999,52.849998,54.09,3639100,40.217709
"2001-02-02",54.150002,54.700001,53.41,53.59,2621400,39.845905
"2001-02-05",53.59,53.75,52.700001,53.110001,2865300,39.489029
"2001-02-06",53,53,51.880001,51.880001,2975600,38.574482
"2001-02-07",51.009998,51.200001,50.549999,50.75,5853800,37.734283
"2001-02-08",50.75,52.5,50.75,51.779999,3930100,38.500118
