"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume","MLM.Adjusted"
"2001-01-02",42.299999,42.34,40.400002,40.759998,99500,31.286709
"2001-01-03",40.700001,43.34,40.700001,43.220001,89800,33.174965
"2001-01-04",43.220001,43.580002,42.849998,43.290001,104100,33.228691
"2001-01-05",44.75,44.75,42.900002,43.299999,267600,33.236374
"2001-01-08",43.049999,44.459999,42.25,42.470001,161500,32.599266
"2001-01-09",42.5,42.700001,42.299999,42.380001,81300,32.53019
"2001-01-10",38.5,40.900002,38.5,40.75,595900,31.279034
"2001-01-11",40.599998,40.900002,39.889999,40.509998,203300,31.094828
"2001-01-12",40.549999,40.849998,39.990002,40.75,82600,31.279034
"2001-01-16",40.5,42.139999,40.5,41.419998,133400,31.793306
"2001-01-17",41.169998,41.849998,41,41.41,61900,31.785637
"2001-01-18",41.66,41.849998,40.450001,40.459999,56500,31.056421
"2001-01-19",40.709999,40.869999,39.299999,39.450001,152900,30.28117
"2001-01-22",39.450001,39.650002,38.459999,38.5,99700,29.551966
"2001-01-23",38.5,39,38,39,137000,29.935757
"2001-01-24",39,40.32,39,40,101700,30.703335
"2001-01-25",40.02,41.599998,40.02,41.049999,138600,31.509295
"2001-01-26",41.060001,41.150002,40.830002,41.02,121800,31.486284
"2001-01-29",41.02,41.919998,41.02,41.130001,114700,31.570707
"2001-01-30",41,42.200001,40.900002,42,191800,32.238499
"2001-01-31",42.009998,42.799999,42.009998,42.369999,128800,32.522526
"2001-02-01",42.400002,42.549999,42.009998,42.150002,107700,32.353642
"2001-02-02",42.049999,42.349998,42.009998,42.02,144600,32.253868
"2001-02-05",42.27,43.299999,42.27,43.029999,77100,33.02911
"2001-02-06",43.599998,43.799999,43.200001,43.619999,106200,33.481998
"2001-02-07",43.709999,43.950001,43.5,43.740002,111800,33.5741
"2001-02-08",43.740002,43.77,43.200001,43.389999,131900,33.30545
"2001-02-09",43.389999,43.950001,43.200001,43.459999,74700,33.35918
"2001-02-12",43.5,43.950001,43.369999,43.880001,44900,33.681553
"2001-02-13",44,45.099998,43.900002,44.549999,182300,34.195827
"2001-02-14",44.799999,45,43,44.110001,151700,33.858105
"2001-02-15",44.110001,45,44.099998,44.950001,86700,34.502895
"2001-02-16",44.950001,45.299999,44.799999,45.130001,285500,34.641033
"2001-02-20",45.5,45.98,45.490002,45.759998,99200,35.124626
"2001-02-21",45.599998,45.700001,44.700001,44.869999,84300,34.441467
"2001-02-22",44.869999,45.459999,44.150002,44.700001,117100,34.310982
"2001-02-23",44.549999,44.889999,44.07,44.810001,95500,34.395405
"2001-02-26",44.810001,47.400002,44.810001,47,393800,36.076408
"2001-02-27",46.610001,46.900002,46.490002,46.619999,127000,35.89167
"2001-02-28",46.869999,46.98,45.439999,45.950001,154800,35.375835
"2001-03-01",45.900002,46,45.18,45.599998,95200,35.106373
"2001-03-02",45.75,46.919998,45.75,46.900002,175500,36.107224
"2001-03-05",47,47,46.560001,46.900002,148800,36.107224
"2001-03-06",46.91,47.450001,46.779999,47.32,185000,36.430573
"2001-03-07",47.25,47.259998,46.450001,46.990002,191300,36.176506
"2001-03-08",47,47.299999,46.709999,47.099998,138800,36.261215
"2001-03-09",47.099998,47.299999,46.689999,46.700001,59400,35.953259
"2001-03-12",46.450001,47,46,46.599998,122900,35.876263
"2001-03-13",46.599998,46.610001,45.450001,45.889999,153300,35.329651
"2001-03-14",45,45.400002,44.5,44.700001,154800,34.413494
"2001-03-15",44.5,45,44.240002,45,104700,34.644444
"2001-03-16",44.75,44.759998,43.299999,43.369999,130300,33.389557
"2001-03-19",43.529999,44.700001,43.5,44.66,124900,34.38271
"2001-03-20",44.650002,45.5,44.25,45,180400,34.644444
"2001-03-21",44.75,44.75,43.279999,43.52,113500,33.505024
"2001-03-22",43.5,43.799999,41,41.599998,175700,32.026871
"2001-03-23",41.700001,42.150002,41.369999,41.939999,211100,32.288639
"2001-03-26",42.189999,43,42.189999,42.619999,211600,32.812141
"2001-03-27",42.650002,42.650002,41.799999,42,161100,32.334827
"2001-03-28",42.009998,42.150002,41.540001,41.880001,120700,32.24242
"2001-03-29",41.880001,42.450001,41.400002,41.650002,111700,32.065372
"2001-03-30",41.900002,43.400002,41.700001,42.700001,160300,32.873745
