"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2001-01-02",15.75,15.9375,15.6875,15.75,183200,12.808721
"2001-01-03",15.5,15.8125,14.5625,15.375,627800,12.503752
"2001-01-04",15.125,15.5,14.8125,15.1875,737300,12.351271
"2001-01-05",15.0625,15.125,14.4375,14.75,372000,11.995471
"2001-01-08",14.75,15.4375,14.5625,15.4375,373200,12.554583
"2001-01-09",15.125,15.125,14.5625,14.9375,260900,12.147958
"2001-01-10",15,15.125,14.875,15.0625,236500,12.249613
"2001-01-11",15.0625,15.0625,14.75,15,207000,12.198787
"2001-01-12",14.875,14.9375,14.5625,14.8125,266100,12.046298
"2001-01-16",14.8125,15,14.625,14.8125,261300,12.046298
"2001-01-17",14.8125,15.375,14.8125,15.1875,270600,12.351271
"2001-01-18",15.1875,15.1875,14.75,14.8125,184500,12.046298
"2001-01-19",14.875,15.0625,14.6875,15,512800,12.198787
"2001-01-22",15,15.4375,14.875,15.25,356000,12.402099
"2001-01-23",15.1875,16.6875,15.1875,16.1875,511600,13.164521
"2001-01-24",15.9375,16,15.375,15.375,674800,12.503752
"2001-01-25",15.5,15.5625,15.25,15.3125,218700,12.452924
"2001-01-26",15.25,15.25,14.5,15.0625,415400,12.249613
"2001-01-29",15.3,15.74,15.05,15.12,309800,12.296373
"2001-01-30",15.3,16.139999,15.25,15.84,352800,12.881916
"2001-01-31",15.7,15.9,15.7,15.82,356300,12.865652
"2001-02-01",15.7,15.88,15.7,15.81,329300,12.857519
"2001-02-02",15.72,15.86,15.72,15.77,183300,12.824991
"2001-02-05",15.85,15.9,15.55,15.85,221600,12.890051
"2001-02-06",15.85,16.35,15.62,16.190001,372000,13.166556
"2001-02-07",16,16.4,15.8,16.09,254500,13.085228
"2001-02-08",16.09,16.16,15.97,16.030001,197200,13.036437
"2001-02-09",16.030001,16.290001,15.62,15.82,380900,12.865652
"2001-02-12",15.82,15.82,15.46,15.62,299700,12.702999
"2001-02-13",15.45,15.68,15.2,15.24,538900,12.393965
"2001-02-14",15.25,15.25,14.75,15.05,377300,12.239445
"2001-02-15",14.75,15.15,14.75,14.83,744200,12.060532
"2001-02-16",14.9,14.97,14.15,14.3,510600,11.629509
"2001-02-20",14.5,14.65,14.3,14.3,304900,11.629509
"2001-02-21",14.25,14.25,13.5,13.72,315800,11.157821
"2001-02-22",13.72,14.05,13.6,14.02,314500,11.401799
"2001-02-23",14.05,14.5,13.8,14.5,342600,11.792155
"2001-02-26",14.15,14.95,14,14.29,389600,11.621372
"2001-02-27",14.35,14.5,13.74,13.85,713200,11.263545
"2001-02-28",13.9,14,13.1,13.75,509100,11.182216
"2001-03-01",13.05,13.64,12.75,13.5,615900,10.978905
"2001-03-02",13.5,14,13.45,14,458700,11.38553
"2001-03-05",13.5,13.86,13.32,13.7,453700,11.141555
"2001-03-06",13.8,14.08,13.8,14.01,217800,11.393665
"2001-03-07",14,14.15,13.88,13.95,391000,11.344869
"2001-03-08",13.95,14.1,13.76,14.08,190600,11.450591
"2001-03-09",14,14.15,13.91,13.97,173000,11.361134
"2001-03-12",14.05,14.1,13.85,13.86,330000,11.271676
"2001-03-13",13.75,13.8,12.8,13.15,917500,10.709723
"2001-03-14",13.18,13.2,12.91,13.1,507500,10.669
"2001-03-15",13.1,13.2,12.7,12.94,231400,10.538693
"2001-03-16",12.95,13,12.64,12.68,263800,10.326943
"2001-03-19",12.75,13.44,12.75,13.29,542700,10.823742
"2001-03-20",13.15,13.49,12.9,13.02,197900,10.603843
"2001-03-21",12.5,12.65,12.1,12.45,369300,10.139624
"2001-03-22",12.35,12.48,11.97,12.48,636600,10.164053
"2001-03-23",12.38,12.6,11.75,12.38,401600,10.082609
"2001-03-26",12.28,13.2,12.2,13.12,534300,10.685287
"2001-03-27",12.8,13.44,12.65,13.3,580600,10.831889
"2001-03-28",13.25,13.26,12.71,12.9,432100,10.506114
"2001-03-29",12.91,13.25,12.8,12.92,121800,10.522407
"2001-03-30",12.94,13.35,12.3,12.3,375200,10.017457
"2001-04-02",12.6,13.37,12.55,12.74,516300,10.375807
"2001-04-03",12.8,12.85,12.45,12.75,289000,10.383952
"2001-04-04",12.65,13.36,12.65,12.85,228300,10.465393
"2001-04-05",12.75,13,12.64,12.88,402900,10.489826
"2001-04-06",12.95,12.95,12.57,12.67,246900,10.318797
"2001-04-09",12.8,13.1,12.8,12.98,569800,10.571272
