"","MRO.Open","MRO.High","MRO.Low","MRO.Close","MRO.Volume","MRO.Adjusted"
"2001-01-02",8.462844,8.556046,8.313719,8.332359,7162700,3.138626
"2001-01-03",8.332359,8.406922,8.145953,8.145953,6248700,3.06841
"2001-01-04",8.090032,8.276438,8.05275,8.183234,5508100,3.082453
"2001-01-05",8.145953,8.593328,8.145953,8.425563,4879400,3.173733
"2001-01-08",8.444203,8.63061,8.295078,8.332359,4957900,3.138626
"2001-01-09",8.462844,8.481484,8.164594,8.220515,5436300,3.096497
"2001-01-10",8.257797,8.276438,8.127313,8.201875,3702900,3.089476
"2001-01-11",8.201875,8.295078,8.145953,8.183234,6098200,3.082453
"2001-01-12",8.239157,8.313719,8.108672,8.257797,4099900,3.110541
"2001-01-16",8.201875,8.388281,8.201875,8.351,3571800,3.145648
"2001-01-17",8.406922,8.406922,8.164594,8.183234,2936400,3.082453
"2001-01-18",8.090032,8.183234,7.959547,7.996828,2611500,3.012238
"2001-01-19",7.922266,8.108672,7.922266,8.05275,2677900,3.033303
"2001-01-22",8.015469,8.127313,8.015469,8.05275,2960600,3.033303
"2001-01-23",8.07139,8.239157,8.07139,8.201875,3364600,3.089476
"2001-01-24",8.201875,8.295078,8.090032,8.145953,3044700,3.06841
"2001-01-25",7.903625,8.239157,7.866344,8.164594,9816500,3.075432
"2001-01-26",8.183234,8.220515,7.996828,8.108672,5548300,3.054367
"2001-01-29",8.169067,8.201875,8.082575,8.189945,4629000,3.084981
"2001-01-30",8.115382,8.127313,7.978188,8.058715,3234800,3.035549
"2001-01-31",8.425563,8.431527,8.085558,8.16012,4137400,3.073747
"2001-02-01",7.951345,8.127313,7.948362,8.05275,3044400,3.033303
"2001-02-02",8.186962,8.234682,8.163102,8.2317,3090000,3.10071
"2001-02-05",8.351,8.455387,8.276438,8.342052,4508900,3.142276
"2001-02-06",8.416615,8.515038,8.29135,8.461352,4254100,3.187216
"2001-02-07",8.4703,8.51802,8.371878,8.428545,3059100,3.174858
"2001-02-08",8.41065,8.503107,8.351,8.42258,5419200,3.17261
"2001-02-09",8.336087,8.643285,8.336087,8.571705,3398800,3.228784
"2001-02-12",8.5896,8.679075,8.550827,8.634337,3445400,3.252375
"2001-02-13",8.351,8.634337,8.351,8.500125,5735400,3.20182
"2001-02-14",8.500125,8.72083,8.49416,8.56574,3621400,3.226537
"2001-02-15",8.485212,8.515038,8.365912,8.500125,3689800,3.20182
"2001-02-16",8.431527,8.556792,8.336087,8.401703,4442900,3.252761
"2001-02-20",8.64925,8.64925,8.383807,8.443458,3930500,3.268928
"2001-02-21",8.4703,8.523985,8.276438,8.351,3428300,3.233132
"2001-02-22",8.41065,8.440475,8.30328,8.32714,3837700,3.223894
"2001-02-23",8.306263,8.41065,8.178015,8.306263,4014000,3.215811
"2001-02-26",8.306263,8.404685,8.285385,8.33907,5146000,3.228511
"2001-02-27",8.33907,8.392755,8.261525,8.318192,4421100,3.220431
"2001-02-28",8.351,8.351,8.189945,8.237665,3562700,3.189254
"2001-03-01",8.26749,8.336087,8.225735,8.2317,6033500,3.186944
"2001-03-02",8.17205,8.380825,8.17205,8.36293,6813400,3.23775
"2001-03-05",8.485212,8.500125,8.428545,8.491178,4832100,3.287402
"2001-03-06",8.461352,8.562757,8.43451,8.550827,4250700,3.310495
"2001-03-07",8.5896,8.798375,8.559775,8.777497,5680400,3.398252
"2001-03-08",8.798375,8.813288,8.652232,8.810305,4043200,3.410954
"2001-03-09",8.79241,8.8282,8.691005,8.753637,3689500,3.389015
"2001-03-12",8.944517,8.944517,8.583635,8.640303,5023600,3.345137
"2001-03-13",8.64925,8.64925,8.404685,8.488195,4003000,3.286247
"2001-03-14",8.52995,8.544863,8.368895,8.416615,4198800,3.258533
"2001-03-15",8.416615,8.500125,8.216787,8.288367,4030800,3.208884
"2001-03-16",8.309245,8.351,8.21977,8.264507,5464800,3.199645
"2001-03-19",8.574688,8.574688,8.351,8.428545,7082600,3.263153
"2001-03-20",8.443458,8.538898,8.428545,8.4703,5714300,3.279319
"2001-03-21",8.351,8.41065,8.05275,8.201875,6794600,3.175397
"2001-03-22",7.93345,8.037837,7.715727,7.876782,8590400,3.049536
"2001-03-23",7.876782,7.95731,7.709763,7.903625,8032100,3.059927
"2001-03-26",7.948362,8.05275,7.90959,7.987135,4971300,3.092258
"2001-03-27",8.05275,8.103453,7.918538,8.05275,6440500,3.117662
"2001-03-28",8.037837,8.05275,7.93345,7.9931,3281800,3.094568
"2001-03-29",7.93345,8.008013,7.843975,7.95731,3448400,3.080713
"2001-03-30",7.951345,8.1124,7.939415,8.037837,4439500,3.111888
"2001-04-02",7.996082,8.082575,7.903625,7.95731,3523200,3.080713
"2001-04-03",7.882748,7.984152,7.823098,7.86187,3843700,3.043761
"2001-04-04",7.843975,8.079593,7.829062,7.966258,4502500,3.084176
"2001-04-05",8.022925,8.261525,7.95731,8.24363,5510400,3.191563
"2001-04-06",8.2317,8.321175,8.12433,8.288367,4247700,3.208884
"2001-04-09",8.32714,8.491178,8.32714,8.48223,2947500,3.283937
"2001-04-10",8.559775,8.655215,8.52995,8.5896,5232800,3.325506
"2001-04-11",8.574688,8.574688,8.395738,8.455387,4219900,3.273545
"2001-04-12",8.455387,8.723812,8.455387,8.667145,8501900,3.355528
"2001-04-16",8.550827,8.91171,8.550827,8.881885,3754200,3.438665
"2001-04-17",8.783463,8.962413,8.783463,8.92364,5297200,3.454831
"2001-04-18",8.926622,9.04294,8.747672,8.825217,5761900,3.416727
"2001-04-19",8.76855,8.8282,8.622408,8.688023,4385200,3.363611
"2001-04-20",8.688023,8.929605,8.688023,8.858025,5811500,3.429427
"2001-04-23",9.096625,9.356103,9.010133,9.356103,14923700,3.622264
"2001-04-24",9.678212,9.678212,9.439612,9.526105,19969100,3.688079
"2001-04-25",9.544,9.546983,9.391892,9.499263,10119600,3.677689
"2001-04-26",9.48435,9.56786,9.463472,9.463472,9224400,3.663831
"2001-04-27",9.48435,9.505227,9.382945,9.4247,4922300,3.648821
"2001-04-30",9.499263,9.573825,9.439612,9.53207,5798400,3.690388
"2001-05-01",9.529087,9.529087,9.35312,9.439612,4576300,3.654593
"2001-05-02",9.227855,9.415752,8.9475,9.022062,7742400,3.492934
"2001-05-03",8.992237,8.99522,8.774515,8.986273,4055600,3.47908
"2001-05-04",8.962413,9.165222,8.962413,9.153293,3247600,3.543744
"2001-05-07",9.24575,9.251715,9.087678,9.239785,2948100,3.577228
"2001-05-08",9.230838,9.350138,9.183118,9.266627,3746100,3.587622
"2001-05-09",9.24575,9.517158,9.24575,9.517158,4791200,3.684616
"2001-05-10",9.544,9.573825,9.445578,9.505227,3273400,3.679997
"2001-05-11",9.499263,9.514175,9.454525,9.487332,4312100,3.673069
"2001-05-14",9.544,9.642423,9.502245,9.636457,4392200,3.823495
"2001-05-15",9.827337,9.827337,9.696108,9.743828,4699400,3.866097
"2001-05-16",9.743828,9.934708,9.73488,9.934708,6599100,3.941834
"2001-05-17",9.860145,9.9019,9.7826,9.833302,5466200,3.901598
"2001-05-18",9.827337,9.979445,9.80646,9.955585,5852400,3.950116
"2001-05-21",9.976462,10.024182,9.815408,9.97348,4527700,3.957216
"2001-05-22",10.059973,10.059973,9.803477,9.821372,3656600,3.896863
"2001-05-23",9.800495,9.800495,9.60365,9.633475,3643200,3.822315
"2001-05-24",9.588737,9.7826,9.573825,9.761723,3659000,3.873197
"2001-05-25",9.812425,9.812425,9.62751,9.654352,2920700,3.830595
"2001-05-29",9.693125,9.743828,9.654352,9.681195,3329000,3.841246
"2001-05-30",9.708037,9.71102,9.544,9.618563,4072000,3.816396
"2001-05-31",9.618563,9.6633,9.544,9.648388,4977700,3.82823
"2001-06-01",9.678212,9.690143,9.552947,9.588737,3159400,3.804561
"2001-06-04",9.6633,9.767688,9.63944,9.75874,4052300,3.872014
"2001-06-05",9.755757,9.9019,9.67523,9.86611,2645000,3.914615
"2001-06-06",9.767688,9.767688,9.517158,9.526105,7041000,3.779709
"2001-06-07",9.573825,9.585755,9.43663,9.451543,6516600,3.750126
"2001-06-08",9.499263,9.564878,9.382945,9.535052,2541100,3.783261
"2001-06-11",9.544,9.630492,9.50821,9.529087,3775300,3.780895
"2001-06-12",9.535052,9.633475,9.526105,9.621545,2896800,3.817578
"2001-06-13",9.60365,9.705055,9.48435,9.499263,4314100,3.76906
"2001-06-14",9.454525,9.469438,9.368032,9.403823,2289300,3.731193
"2001-06-15",9.335225,9.523123,9.320313,9.442595,3533200,3.746576
"2001-06-18",9.60365,9.60365,9.344172,9.347155,2360100,3.708707
"2001-06-19",9.409787,9.41277,9.24575,9.373998,1778700,3.719357
"2001-06-20",9.373998,9.397858,9.096625,9.132415,3948300,3.623504
"2001-06-21",9.16224,9.195047,8.810305,8.88785,7148000,3.526467
"2001-06-22",8.858025,9.00715,8.738725,9.004168,6934700,3.57262
"2001-06-25",9.036975,9.072765,8.872937,8.9475,2864300,3.550134
"2001-06-26",8.9475,9.0668,8.866973,9.00715,4443200,3.573802
"2001-06-27",8.917675,9.04294,8.640303,8.679075,4375800,3.44363
"2001-06-28",8.500125,8.5896,8.407667,8.407667,6041200,3.335943
"2001-06-29",8.52995,8.810305,8.4703,8.801357,7204300,3.492149
