"","Open","High","Low","Close","Volume"
"2001-01-02",11.480651,11.480651,11.105651,11.168151,2583400
"2001-01-03",10.494357,12.244357,10.150607,12.244357,6289000
"2001-01-04",11.808167,13.995667,11.589417,12.995667,14758800
"2001-01-05",13.345888,13.377138,12.064638,12.345888,4312800
"2001-01-08",12.477079,13.008329,12.352079,12.508329,3028600
"2001-01-09",12.713107,13.056857,12.213107,12.244357,2118800
"2001-01-10",11.714556,12.589556,11.714556,12.589556,1760400
"2001-01-11",12.681718,12.775468,12.244218,12.650468,2292800
"2001-01-12",12.561337,13.405087,12.498837,12.873837,5301000
"2001-01-16",12.976944,13.101944,12.726944,12.914444,1955000
"2001-01-17",13.050388,13.550388,12.862888,12.894138,4085600
"2001-01-18",13.189638,13.189638,12.345888,12.345888,2289600
"2001-01-19",12.345888,12.408388,11.845888,12.345888,3604000
"2001-01-22",12.658111,13.626861,12.564361,13.158111,5206400
"2001-01-23",12.989333,13.270583,12.989333,13.239333,3784400
"2001-01-24",12.637672,13.606422,12.481422,13.543922,2286200
"2001-01-25",13.296958,14.046958,12.546958,13.828208,6246400
"2001-01-26",13.667343,13.886093,13.292343,13.604843,2957800
"2001-01-29",13.48764,14.10264,13.467642,13.81764,1644000
"2001-01-30",13.698566,14.038567,13.333567,14.038567,3145600
"2001-01-31",13.812177,15.227178,13.692178,14.477178,8355200
"2001-02-01",14.332574,14.857576,13.907575,14.782575,5350600
"2001-02-02",14.913907,14.913907,14.423907,14.538907,3539800
"2001-02-05",14.629705,14.744707,14.274706,14.379705,3342000
"2001-02-06",14.138882,14.853882,14.138882,14.603882,1993000
"2001-02-07",14.43053,14.93053,14.30553,14.925529,2956600
"2001-02-08",15.473848,15.688848,13.918848,13.963848,5221400
"2001-02-09",14.289297,15.294296,13.169296,13.369297,5429800
"2001-02-12",13.407791,14.43279,13.292791,14.132791,3312400
"2001-02-13",14.131708,14.486708,13.761707,14.366709,2525800
"2001-02-14",14.263394,14.653393,13.708393,14.558394,3183400
"2001-02-15",14.13262,14.702619,13.862619,14.652618,2590800
"2001-02-16",13.788795,14.983797,13.788795,14.863796,4620400
"2001-02-20",14.913795,15.538795,14.743795,14.863796,5008600
"2001-02-21",14.966546,15.121545,13.916545,14.116545,2799600
"2001-02-22",14.067705,14.392704,12.892704,14.392704,3805200
"2001-02-23",13.893964,14.568963,13.743964,14.343965,3638200
"2001-02-26",14.195805,14.850804,14.045803,14.850804,2937200
"2001-02-27",14.560121,15.450122,14.560121,15.39012,5003400
"2001-02-28",15.78352,16.03352,15.03352,15.708519,6482400
"2001-03-01",15.448114,15.548114,14.698114,15.403114,4293400
"2001-03-02",15.032356,15.532356,14.782356,15.432356,4991800
"2001-03-05",15.588199,15.588199,15.0282,15.143199,5011600
"2001-03-06",15.207835,15.572837,14.907836,15.477836,2853400
"2001-03-07",15.349161,16.324162,15.324162,16.00416,6761600
"2001-03-08",15.932356,16.032356,15.282356,15.432356,6400400
"2001-03-09",15.371071,15.621071,15.116072,15.54607,2736600
"2001-03-12",15.328664,15.753665,15.123664,15.253665,3165000
"2001-03-13",15.438797,15.443796,14.638796,14.863796,3141800
"2001-03-14",14.478285,15.033285,14.208285,14.883286,3643200
"2001-03-15",14.919045,15.094046,14.619046,14.854047,2192600
"2001-03-16",15.085192,15.425192,14.425192,14.425192,2983600
"2001-03-19",14.361368,14.636368,14.161367,14.636368,2346200
"2001-03-20",14.637639,15.562638,14.58764,14.58764,3459400
"2001-03-21",14.922283,15.117285,13.982285,14.152285,4700400
"2001-03-22",14.546609,14.74661,12.671609,13.921609,6495400
"2001-03-23",13.922578,14.372577,13.297578,14.012579,4600400
"2001-03-26",13.762983,13.767982,13.272983,13.547982,6259800
"2001-03-27",13.441463,13.676463,12.861463,13.606464,6241000
"2001-03-28",13.443515,13.643514,13.018514,13.463513,5331200
"2001-03-29",13.531809,13.531809,13.24181,13.33681,3212400
"2001-03-30",13.249252,13.724252,13.029252,13.499252,5568600
"2001-04-02",13.101296,13.471297,13.006297,13.356297,4043200
"2001-04-03",13.638224,13.833224,12.638224,12.833224,3905400
"2001-04-04",12.549358,13.399358,12.499358,13.174358,5175400
"2001-04-05",13.170454,13.795454,13.070453,13.645454,6179800
"2001-04-06",13.667541,13.692541,12.867542,13.372541,3586600
"2001-04-09",13.306811,13.81181,13.216811,13.33681,3544200
"2001-04-10",13.447982,14.072982,13.342982,13.547982,2878400
