"","Open","High","Low","Close","Volume"
"2002-07-01",13.157519,13.157519,13.157519,13.157519,1300
"2002-07-02",13.641552,14.641552,13.141552,13.271552,7000
"2002-07-03",12.157519,14.157519,12.157519,13.157519,10200
"2002-07-05",13.157519,13.157519,13.157519,13.157519,500
"2002-07-08",12.280352,12.280352,12.280352,12.280352,300
"2002-07-09",12.0961,13.5961,12.0961,13.5961,2300
"2002-07-10",11.8461,13.5961,11.8461,13.5961,500
"2002-07-11",13.5961,13.5961,13.5961,13.5961,0
"2002-07-12",13.157519,13.157519,13.157519,13.157519,100
"2002-07-15",13.183889,13.183889,10.933889,11.183889,42700
"2002-07-16",11.214597,11.214597,10.964597,10.964597,5900
"2002-07-17",10.964597,10.964597,10.714597,10.964597,2400
"2002-07-18",10.856721,10.856721,10.306721,10.306721,1400
"2002-07-19",10.310262,10.310262,8.760262,9.210262,10700
"2002-07-22",9.247113,9.247113,8.747113,8.947113,4600
"2002-07-23",8.947113,8.947113,8.947113,8.947113,100
"2002-07-24",8.910262,9.210262,8.910262,9.210262,2200
"2002-07-25",9.253254,9.253254,8.903254,8.903254,1300
"2002-07-26",8.903254,8.903254,8.903254,8.903254,0
"2002-07-29",9.136566,9.736566,9.086566,9.736566,4100
"2002-07-30",9.837427,10.437427,9.837427,10.087427,8900
"2002-07-31",10.426014,10.526014,10.276014,10.526014,5000
"2002-08-01",10.350581,10.450581,10.350581,10.350581,4300
"2002-08-02",10.350581,10.350581,10.350581,10.350581,0
"2002-08-05",10.444438,10.544438,10.394438,10.394438,28600
"2002-08-06",10.526014,10.526014,10.526014,10.526014,10000
"2002-08-07",10.499874,10.569874,10.469874,10.569874,4400
"2002-08-08",10.613731,10.613731,10.563731,10.613731,12300
"2002-08-09",10.657587,10.657587,10.657587,10.657587,3400
"2002-08-12",10.657587,10.657587,10.607587,10.657587,24400
"2002-08-13",10.701448,10.701448,10.601448,10.701448,3900
"2002-08-14",10.651448,10.701448,10.651448,10.701448,3700
"2002-08-15",10.663731,10.663731,10.613731,10.613731,700
"2002-08-16",10.507587,10.657587,10.507587,10.657587,8600
"2002-08-19",10.719003,10.719003,10.219003,10.219003,8700
"2002-08-20",10.175146,10.175146,10.175146,10.175146,100
"2002-08-21",10.456721,10.556721,10.306721,10.306721,16400
"2002-08-22",10.398847,10.398847,9.648847,9.648847,35500
"2002-08-23",9.636566,9.736566,9.636566,9.736566,3700
"2002-08-26",9.664815,9.664815,9.514815,9.534815,11900
"2002-08-27",9.559034,9.709034,9.219034,9.219034,23900
"2002-08-28",9.259395,9.259395,8.759395,8.859395,24700
"2002-08-29",8.947113,8.947113,8.847113,8.947113,8500
"2002-08-30",9.071676,9.071676,8.771676,8.771676,4200
"2002-09-03",8.733964,8.783964,8.083964,8.683964,8000
"2002-09-04",8.207658,8.357658,7.757658,8.157658,89100
"2002-09-05",8.157658,8.157658,8.157658,8.157658,3100
"2002-09-06",8.10853,8.50853,8.10853,8.50853,30400
"2002-09-09",8.54625,8.69625,8.49625,8.59625,26000
"2002-09-10",8.683964,8.733964,8.603964,8.683964,36200
"2002-09-11",8.765536,8.815536,8.665536,8.815536,2400
"2002-09-12",8.883964,8.883964,8.683964,8.683964,4000
"2002-09-13",8.679049,8.719049,8.679049,8.719049,2800
"2002-09-16",8.711676,8.771676,8.621676,8.771676,10300
"2002-09-17",8.533964,8.683964,8.533964,8.683964,4800
"2002-09-18",8.657647,8.657647,8.657647,8.657647,1500
"2002-09-19",8.59625,8.59625,8.59625,8.59625,6200
"2002-09-20",8.495379,8.495379,8.245379,8.245379,2700
"2002-09-23",8.55853,8.55853,8.50853,8.50853,1200
"2002-09-24",8.245379,8.245379,8.245379,8.245379,2000
"2002-09-25",8.420812,8.520812,8.320812,8.420812,7000
"2002-09-26",8.50853,8.50853,8.50853,8.50853,1000
"2002-09-27",8.434321,8.434321,8.134321,8.324321,6200
"2002-09-30",8.151523,8.201523,8.151523,8.201523,3100
"2002-10-01",8.333097,8.333097,8.333097,8.333097,2000
"2002-10-02",8.336779,8.336779,8.136779,8.306779,8700
"2002-10-03",8.376954,8.376954,8.376954,8.376954,100
"2002-10-04",8.376954,8.376954,8.376954,8.376954,500
"2002-10-07",8.233097,8.333097,8.233097,8.333097,1000
"2002-10-08",8.163803,8.163803,8.113803,8.113803,3200
"2002-10-09",8.144508,8.194508,7.894508,7.894508,19100
"2002-10-10",7.894508,7.894508,7.894508,7.894508,3000
"2002-10-11",7.994508,7.994508,7.844508,7.894508,19900
"2002-10-14",7.845742,7.895742,7.795742,7.885742,13500
"2002-10-15",7.737501,7.737501,7.387501,7.587501,23600
"2002-10-16",7.424352,7.474352,7.224352,7.324352,14700
"2002-10-17",7.286636,7.286636,6.986636,7.236636,9900
"2002-10-18",7.236636,7.236636,7.236636,7.236636,12400
"2002-10-21",7.261202,7.261202,6.911202,7.061202,4200
"2002-10-22",7.017344,7.117344,7.017344,7.017344,10900
"2002-10-23",6.84191,6.84191,6.74191,6.84191,2100
"2002-10-24",6.809468,6.809468,6.309468,6.359468,7500
"2002-10-25",6.115608,6.315608,5.465608,6.315608,43700
"2002-10-28",6.640176,6.640176,6.140176,6.140176,3200
"2002-10-29",6.54805,6.79805,6.34805,6.79805,7700
"2002-10-30",6.372617,6.722617,6.322617,6.622617,11400
"2002-10-31",6.62876,6.62876,6.52876,6.57876,9000
"2002-11-01",6.42876,6.57876,6.42876,6.57876,9200
"2002-11-04",6.77876,6.77876,6.57876,6.57876,4400
"2002-11-05",6.57876,6.57876,6.57876,6.57876,500
"2002-11-06",6.666476,6.666476,6.666476,6.666476,300
"2002-11-07",6.77876,6.77876,6.57876,6.57876,2700
"2002-11-08",6.57876,6.57876,6.57876,6.57876,0
"2002-11-11",6.729626,6.929626,6.699626,6.929626,11200
"2002-11-12",6.929626,6.929626,6.929626,6.929626,5300
"2002-11-13",6.870667,7.350667,6.870667,7.350667,38300
"2002-11-14",7.342068,7.412068,7.342068,7.412068,5400
"2002-11-15",7.468209,7.468209,7.368209,7.368209,3400
"2002-11-18",7.405928,7.455928,7.375928,7.455928,12400
"2002-11-19",7.384179,7.384179,7.234179,7.254179,4200
"2002-11-20",7.368209,7.368209,7.368209,7.368209,500
"2002-11-21",7.368209,7.368209,7.178209,7.368209,16600
"2002-11-22",7.208209,7.368209,7.208209,7.368209,1200
"2002-11-25",7.368209,7.368209,7.368209,7.368209,12800
"2002-11-26",7.257658,8.207658,7.257658,8.157658,274000
"2002-11-27",8.071676,8.771676,8.071676,8.771676,124800
"2002-11-29",8.771676,9.771676,8.771676,8.771676,11700
