"","Open","High","Low","Close","Volume"
"2003-12-02",8.525943,8.650943,8.525943,8.650943,160000
"2003-12-03",8.763289,8.763289,8.763289,8.763289,3e+05
"2003-12-04",9.10034,9.10034,9.10034,9.10034,50000
"2003-12-05",9.10034,9.10034,9.10034,9.10034,0
"2003-12-08",9.396909,9.796909,9.396909,9.796909,954000
"2003-12-09",9.780214,10.255214,9.780214,9.945214,3014200
"2003-12-10",9.986486,10.361486,9.986486,10.111486,2994600
"2003-12-11",10.21625,10.34125,10.15625,10.29125,2203200
"2003-12-12",10.33872,10.36372,10.29872,10.31372,709000
"2003-12-15",10.316549,10.316549,10.066549,10.066549,1287000
"2003-12-16",10.064323,10.064323,9.789323,9.864323,885600
"2003-12-17",9.864624,9.864624,9.614624,9.639624,1150800
"2003-12-18",9.634561,9.684561,9.634561,9.684561,2425200
"2003-12-19",9.671909,9.796909,9.671909,9.796909,1421800
"2003-12-22",9.729499,9.804499,9.729499,9.729499,5200
"2003-12-23",9.746909,9.821909,9.746909,9.796909,133800
"2003-12-24",9.79438,9.81938,9.79438,9.81938,20200
"2003-12-26",9.81938,9.81938,9.81938,9.81938,1000
"2003-12-29",9.796909,9.796909,9.796909,9.796909,1200
"2003-12-30",9.81685,9.84185,9.81685,9.84185,31600
"2003-12-31",9.84185,9.89185,9.84185,9.84185,14200
"2004-01-02",9.864019,10.089019,9.839019,10.089019,557600
"2004-01-05",10.091549,10.116549,10.016549,10.066549,136000
"2004-01-06",10.064019,10.114019,10.059019,10.089019,160600
"2004-01-07",10.07414,10.07414,9.87414,9.99914,283400
"2004-01-08",10.048633,10.048633,9.973633,10.003633,385200
"2004-01-09",10.079803,10.079803,9.504803,9.504803,3456200
"2004-01-12",9.552274,9.552274,9.527274,9.527274,17800
"2004-01-13",9.562389,9.612389,9.417389,9.437389,1069600
"2004-01-14",9.462389,9.487389,9.437389,9.437389,208600
"2004-01-15",9.444981,9.444981,9.319981,9.369981,54200
"2004-01-16",9.322508,9.397508,9.322508,9.347508,493800
"2004-01-20",9.437389,9.462389,9.422389,9.437389,856600
"2004-01-21",9.462389,9.512389,9.437389,9.437389,969600
"2004-01-22",9.462089,9.712089,9.462089,9.662089,863600
"2004-01-23",9.677274,9.677274,9.477274,9.527274,748400
"2004-01-26",9.544981,9.544981,9.369981,9.369981,291600
"2004-01-27",9.376051,9.376051,9.301051,9.316051,994600
"2004-01-28",9.33769,9.33769,9.18769,9.21269,1e+05
"2004-01-29",9.23799,9.23799,8.86299,8.98799,1169000
"2004-01-30",8.98799,9.11299,8.98799,8.98799,341200
"2004-02-02",8.980402,9.155402,8.980402,9.055402,80800
"2004-02-03",8.97281,9.12781,8.97281,9.12281,1379200
"2004-02-04",9.10034,9.12534,9.10034,9.10034,575200
"2004-02-05",9.120461,9.120461,8.995461,9.010461,649000
"2004-02-06",9.060461,9.060461,8.985461,9.010461,486600
"2004-02-09",9.01299,9.01299,8.98799,8.98799,607400
"2004-02-10",8.986473,9.036473,8.986473,9.001473,544600
"2004-02-11",9.02799,9.02799,8.98799,8.98799,1015600
"2004-02-12",8.99799,9.01299,8.98799,8.98799,188600
"2004-02-13",8.995967,9.005967,8.985967,9.005967,927400
"2004-02-17",9.01311,9.01811,8.89811,8.89811,276200
"2004-02-18",8.887782,8.937782,8.762782,8.767782,442800
"2004-02-19",8.77627,8.78627,8.76127,8.78127,680800
"2004-02-20",8.78627,8.79627,8.76127,8.78127,210200
"2004-02-23",8.775943,8.785943,8.525943,8.650943,94800
"2004-02-24",8.666931,8.866931,8.116931,8.286931,2856800
"2004-02-25",8.278471,8.653471,8.228471,8.628471,2178200
"2004-02-26",8.631001,8.706001,8.581001,8.606001,1029200
"2004-02-27",8.57341,8.67341,8.57341,8.67341,1516600
"2004-03-01",8.58799,9.08799,8.58799,8.98799,1330400
"2004-03-02",8.993049,9.018049,8.868049,8.943049,303800
"2004-03-03",8.939512,8.984512,8.889512,8.974512,465600
"2004-03-04",8.97311,8.97311,8.42311,8.89811,385200
"2004-03-05",8.89558,8.94558,8.87058,8.92058,160800
"2004-03-08",8.963289,8.963289,8.548289,8.763289,99000
"2004-03-09",8.813289,8.888289,8.763289,8.763289,94800
"2004-03-10",8.868351,8.868351,8.718351,8.718351,129800
"2004-03-11",8.825641,9.050641,8.825641,8.875641,2046200
"2004-03-12",8.940521,8.990521,8.865521,8.965521,764400
"2004-03-15",8.98558,8.98558,8.87058,8.92058,35800
"2004-03-16",8.943049,8.968049,8.893049,8.943049,1954800
"2004-03-17",8.93769,9.23769,8.93769,9.21269,1440400
"2004-03-18",9.18263,9.28263,9.15763,9.25763,821600
