"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2001-01-02",13.8125,14.125,13.625,13.6875,1032900,9.233274
"2001-01-03",13.75,14.3125,13.6875,14.125,1073600,9.528399
"2001-01-04",14.3125,16,14.3125,15.4375,2080500,10.41378
"2001-01-05",15.4375,15.5,15.125,15.375,1741100,10.371619
"2001-01-08",15.4375,16.25,15.375,16.125,2145400,10.877549
"2001-01-09",16.125,16.3125,16.125,16.125,1638000,10.877549
"2001-01-10",16.125,16.1875,15.6875,15.875,1189000,10.708911
"2001-01-11",15.8125,15.9375,15.6875,15.8125,917000,10.666748
"2001-01-12",15.625,15.625,15.375,15.4375,1782600,10.41378
"2001-01-16",15.4375,16.125,15.4375,16.125,813200,10.877549
"2001-01-17",16.5,16.5,16.1875,16.5,1001200,11.130511
"2001-01-18",16.5,16.6875,16.4375,16.5625,898100,11.172676
"2001-01-19",16.5,16.5625,16,16.125,2529000,10.877549
"2001-01-22",16.125,16.5,16,16.375,1587600,11.046194
"2001-01-23",16.5,16.625,16.125,16.3125,2312400,11.004031
"2001-01-24",15.5,15.6875,14.6875,15.5625,3634300,10.4981
"2001-01-25",15.125,15.6875,14.875,15.1875,1798700,10.245139
"2001-01-26",15.25,15.5625,15.125,15.3125,1007000,10.329459
"2001-01-29",15.31,15.64,15.31,15.56,1087400,10.496418
"2001-01-30",15.6,15.74,15.52,15.7,1697900,10.590857
"2001-01-31",15.8,16.49,15.5,16.33,1662800,11.058098
"2001-02-01",16.549999,16.690001,16.33,16.549999,1126800,11.207076
"2001-02-02",16.549999,16.74,16.07,16.4,4580700,11.105501
"2001-02-05",16.16,16.5,16.01,16.290001,1322000,11.031016
"2001-02-06",16.4,16.48,16.209999,16.35,1159500,11.071648
"2001-02-07",16.469999,16.51,16.120001,16.15,807800,10.93621
"2001-02-08",16.15,17.15,16.1,17,1548600,11.511799
"2001-02-09",17.75,17.99,17.049999,17.469999,2754800,11.830067
"2001-02-12",17.4,17.959999,17.4,17.780001,1168100,12.039988
"2001-02-13",17.9,18.5,17.799999,18.16,1306300,12.297312
"2001-02-14",18.16,18.24,17.34,17.48,1248000,11.836839
"2001-02-15",17.65,17.99,17.280001,17.65,1183000,11.951959
"2001-02-16",17.790001,18.25,17.620001,18.030001,898900,12.209281
"2001-02-20",18.700001,18.9,18.360001,18.5,1085900,12.52755
"2001-02-21",18.280001,18.639999,18.049999,18.17,1059800,12.304084
"2001-02-22",18.32,18.58,17.91,18.18,1107700,12.310854
"2001-02-23",17.940001,18.26,17.51,17.77,1437900,12.033218
"2001-02-26",17.77,18.15,17.709999,18.030001,1406700,12.209281
"2001-02-27",18.23,18.25,17.92,18.190001,607500,12.317628
