"","Open","High","Low","Close","Volume"
"2001-01-02",9.358274,9.670774,9.170774,9.233274,1032900
"2001-01-03",9.153399,9.715899,9.090899,9.528399,1073600
"2001-01-04",9.28878,10.97628,9.28878,10.41378,2080500
"2001-01-05",10.434119,10.496619,10.121619,10.371619,1741100
"2001-01-08",10.190049,11.002549,10.127549,10.877549,2145400
"2001-01-09",10.877549,11.065049,10.877549,10.877549,1638000
"2001-01-10",10.958911,11.021411,10.521411,10.708911,1189000
"2001-01-11",10.666748,10.791748,10.541748,10.666748,917000
"2001-01-12",10.60128,10.60128,10.35128,10.41378,1782600
"2001-01-16",10.190049,10.877549,10.190049,10.877549,813200
"2001-01-17",11.130511,11.130511,10.818011,11.130511,1001200
"2001-01-18",11.110176,11.297676,11.047676,11.172676,898100
"2001-01-19",11.252549,11.315049,10.752549,10.877549,2529000
"2001-01-22",10.796194,11.171194,10.671194,11.046194,1587600
"2001-01-23",11.191531,11.316531,10.816531,11.004031,2312400
"2001-01-24",10.4356,10.6231,9.6231,10.4981,3634300
"2001-01-25",10.182639,10.745139,9.932639,10.245139,1798700
"2001-01-26",10.266959,10.579459,10.141959,10.329459,1007000
"2001-01-29",10.246418,10.576418,10.246418,10.496418,1087400
"2001-01-30",10.490857,10.630857,10.410857,10.590857,1697900
"2001-01-31",10.528098,11.218098,10.228098,11.058098,1662800
"2001-02-01",11.207076,11.347078,10.987077,11.207076,1126800
"2001-02-02",11.2555,11.445501,10.775501,11.105501,4580700
"2001-02-05",10.901015,11.241015,10.751015,11.031016,1322000
"2001-02-06",11.121648,11.201648,10.931647,11.071648,1159500
"2001-02-07",11.256209,11.29621,10.906211,10.93621,807800
"2001-02-08",10.661799,11.661799,10.611799,11.511799,1548600
"2001-02-09",12.110068,12.350068,11.410067,11.830067,2754800
"2001-02-12",11.659987,12.219986,11.659987,12.039988,1168100
"2001-02-13",12.037312,12.637312,11.937311,12.297312,1306300
"2001-02-14",12.516839,12.596839,11.696839,11.836839,1248000
"2001-02-15",11.951959,12.291959,11.58196,11.951959,1183000
"2001-02-16",11.969281,12.42928,11.799281,12.209281,898900
"2001-02-20",12.727551,12.92755,12.387551,12.52755,1085900
"2001-02-21",12.414085,12.774083,12.184083,12.304084,1059800
"2001-02-22",12.450854,12.710854,12.040854,12.310854,1107700
"2001-02-23",12.203219,12.523218,11.773218,12.033218,1437900
"2001-02-26",11.94928,12.32928,11.889279,12.209281,1406700
"2001-02-27",12.357627,12.377627,12.047627,12.317628,607500
"2001-02-28",12.549912,12.559913,12.179913,12.249913,482200
"2001-03-01",12.135817,12.185817,11.505816,11.985818,1104100
"2001-03-02",11.890779,12.100778,11.440778,11.660777,1642000
"2001-03-05",11.629436,11.879436,11.389436,11.789436,868400
"2001-03-06",11.752353,12.122352,11.502353,11.762353,477700
"2001-03-07",11.624558,12.294558,11.574559,11.904559,660500
"2001-03-08",11.805106,12.205106,11.705106,12.155107,633000
"2001-03-09",12.046132,12.226133,11.706132,12.006132,522600
"2001-03-12",12.122033,12.192035,11.662034,11.742034,596600
"2001-03-13",11.721648,11.821648,10.871648,11.071648,1178300
"2001-03-14",11.226604,11.226604,10.426604,10.746604,910100
"2001-03-15",10.512749,10.842749,10.292749,10.712749,843000
"2001-03-16",10.192984,10.582984,9.972984,10.082984,1661500
"2001-03-19",9.959596,10.719596,9.789596,10.509596,2050900
"2001-03-20",10.594481,10.704481,10.254481,10.394481,1105800
"2001-03-21",10.41582,10.58582,10.12582,10.26582,793100
"2001-03-22",10.247864,10.697864,9.297864,9.967864,1098800
"2001-03-23",9.833616,10.163616,9.563616,10.123616,1439600
"2001-03-26",10.410386,10.410386,9.780386,10.130386,964100
"2001-03-27",10.084636,10.884635,10.084636,10.834636,1676000
"2001-03-28",10.942666,10.982667,10.512666,10.922665,1219200
"2001-03-29",10.968497,11.068497,10.768497,10.868496,967300
"2001-03-30",10.885739,11.845738,10.695738,11.335738,1440500
"2001-04-02",11.386055,11.986056,11.096056,11.356056,1451800
"2001-04-03",11.372196,11.502196,11.002196,11.322195,1033400
"2001-04-04",11.173221,11.523221,10.933221,11.173221,1236900
"2001-04-05",11.140933,11.390933,11.070933,11.240933,1327900
"2001-04-06",11.477077,11.497077,10.927077,11.207076,690800
"2001-04-09",11.224795,11.814796,11.174794,11.274795,1018200
"2001-04-10",11.243927,11.933927,11.063926,11.863927,1127100
"2001-04-11",11.731798,12.091799,11.3718,11.511799,666700
"2001-04-12",11.311798,11.601799,11.311798,11.511799,382100
"2001-04-16",11.429521,11.71952,11.279519,11.57952,583300
"2001-04-17",11.20755,11.68755,11.19755,11.66755,763000
"2001-04-18",11.456839,11.856839,11.206839,11.836839,1695900
"2001-04-19",11.879122,11.879122,11.649122,11.769121,962700
"2001-04-20",11.515029,11.70503,11.485028,11.505029,729200
"2001-04-23",10.87653,11.43653,10.58653,10.95653,1581700
"2001-04-24",11.124637,11.164636,10.634636,10.834636,725600
"2001-04-25",11.27558,11.68558,10.675581,10.895581,1743300
"2001-04-26",12.204948,13.004947,11.504947,12.574947,5254000
"2001-04-27",12.311012,13.661013,12.261013,13.611013,3206100
"2001-04-30",13.627227,13.727227,13.077228,13.367227,2124500
"2001-05-01",13.22731,13.347311,12.847311,13.15731,1077800
"2001-05-02",13.04466,13.334659,12.664658,13.014659,1008100
"2001-05-03",13.062778,13.082778,12.602779,12.912778,794600
"2001-05-04",13.014863,13.254863,12.354863,13.204864,757500
"2001-05-07",13.255244,13.625245,12.635243,13.585244,1522300
"2001-05-08",13.575451,14.265452,13.515452,14.13545,2220300
"2001-05-09",14.012991,14.182991,13.592993,14.182991,2000400
"2001-05-10",13.909819,15.279818,13.629818,15.269818,3285600
"2001-05-11",15.05189,15.691891,14.781889,15.201889,1945000
"2001-05-14",15.100564,15.180564,14.660563,14.950564,2435600
"2001-05-15",15.235844,15.235844,14.745844,14.875844,2865300
"2001-05-16",14.683218,15.453218,14.653219,15.453218,2657200
"2001-05-17",14.909461,16.45946,14.909461,15.96946,3033600
"2001-05-18",15.843994,16.453995,15.753994,16.213995,2252100
"2001-05-21",16.315875,16.315875,15.735875,15.955875,961700
"2001-05-22",15.943595,15.953595,15.423595,15.473596,1191900
"2001-05-23",15.384718,15.554718,15.044718,15.174719,1087300
"2001-05-24",15.208486,15.208486,14.818487,15.018488,1142800
"2001-05-25",14.801508,15.001509,14.401509,14.821509,1029400
"2001-05-29",14.44472,14.834719,14.414719,14.814718,1116300
"2001-05-30",14.86376,15.21376,14.393761,14.583759,954100
"2001-05-31",14.389246,15.109245,14.339247,15.059246,1297000
"2001-06-01",15.090564,15.340564,14.740563,14.950564,939900
"2001-06-04",14.805282,15.225282,14.805282,15.025283,891300
"2001-06-05",14.991709,15.44171,14.371708,15.371708,1237600
"2001-06-06",15.266797,15.546797,14.996796,15.106797,770500
"2001-06-07",15.493594,16.193595,15.343595,15.473596,1613200
"2001-06-08",15.368117,15.518116,14.678116,14.998116,1057200
"2001-06-11",15.065649,15.155649,14.575649,14.68565,680100
"2001-06-12",14.536019,14.536019,14.086021,14.346021,1091100
"2001-06-13",14.402425,14.552425,13.962424,13.972425,1029800
"2001-06-14",14.138454,14.148454,13.288456,13.578455,1323500
"2001-06-15",13.134669,13.664668,12.984667,13.374669,1251300
"2001-06-18",13.219956,13.499957,13.119956,13.299956,805300
"2001-06-19",13.67958,13.879579,12.92958,13.279578,1169400
