"","Open","High","Low","Close","Volume"
"2001-01-02",51.538517,52.101017,42.351017,45.288517,15112500
"2001-01-03",41.161766,60.099266,39.411766,56.349266,21823900
"2001-01-04",52.830978,59.299728,52.565353,58.440353,13012700
"2001-01-05",58.282478,59.469978,47.782478,48.094978,10555200
"2001-01-08",46.375576,49.250576,41.500576,49.250576,11679300
"2001-01-09",49.810932,51.623432,43.873432,45.123432,14525800
"2001-01-10",42.628315,50.503315,41.003315,49.690815,16038700
"2001-01-11",47.775139,56.587639,47.337639,53.212639,13217600
"2001-01-12",52.551579,54.176579,49.176579,51.176579,11300700
"2001-01-16",51.239079,53.239079,49.176579,51.176579,6690500
"2001-01-17",56.078869,58.703869,54.578869,55.578869,11605300
"2001-01-18",56.375164,60.703289,52.703289,59.265789,11021100
"2001-01-19",62.828289,62.890789,58.953289,59.265789,9339600
"2001-01-22",57.818085,60.380585,56.130585,58.880585,7278800
"2001-01-23",58.643646,66.190521,57.831146,64.768646,12258100
"2001-01-24",58.663063,59.163063,51.288063,54.038063,26326600
"2001-01-25",53.745834,54.120834,48.308334,49.745834,12061300
"2001-01-26",48.870834,52.808334,48.730209,49.745834,11007700
"2001-01-29",48.772411,53.084911,48.459911,52.772411,7452200
"2001-01-30",53.051579,53.926579,49.676579,51.176579,7046100
"2001-01-31",52.339527,53.339527,46.589527,47.214527,9793200
"2001-02-01",41.933796,42.371296,37.746296,40.996296,33060600
"2001-02-02",41.661385,42.661385,40.411385,41.161385,13539800
"2001-02-05",40.384808,42.322308,36.197308,38.134808,10308800
"2001-02-06",37.948025,41.135525,37.948025,39.510525,9050700
"2001-02-07",38.757671,39.007671,32.382671,34.007671,20183800
"2001-02-08",34.793592,36.106092,30.293592,30.981092,24927200
"2001-02-09",33.426132,34.848007,30.707382,33.457382,37762900
"2001-02-12",32.447887,35.072887,28.822887,34.447887,16287200
"2001-02-13",35.13065,38.31815,33.75565,34.94315,12252100
"2001-02-14",34.964268,37.839268,32.901768,37.089268,10170500
"2001-02-15",38.495579,42.620579,38.370579,39.620579,14693200
"2001-02-16",37.173458,37.548458,34.423458,35.548458,11901600
"2001-02-20",36.667866,37.730366,29.480366,29.605366,13011100
"2001-02-21",28.398184,33.273184,28.398184,30.210684,15331600
"2001-02-22",28.082964,31.207964,25.020464,29.770464,18985400
"2001-02-23",30.193014,31.693014,26.693014,29.880514,22580900
"2001-02-26",30.18009,31.43009,27.55509,29.05509,12534700
"2001-02-27",28.549633,29.924633,28.174633,28.174633,9353200
"2001-02-28",28.256107,29.943607,24.443607,26.193607,13219500
"2001-03-01",24.996622,28.809122,24.496622,27.184122,11905000
"2001-03-02",25.679962,26.929962,23.992462,23.992462,11746700
"2001-03-05",24.093035,25.280535,23.218035,25.093035,7286900
"2001-03-06",26.480282,26.995907,25.370907,25.808407,10190000
"2001-03-07",26.512865,26.887865,24.450365,24.762865,5130200
"2001-03-08",24.277058,24.886433,21.636433,22.011433,9552100
"2001-03-09",20.974655,21.474655,18.474655,18.599655,13368700
"2001-03-12",17.649229,18.836729,17.102354,17.774229,15341600
"2001-03-13",17.585436,20.272936,17.335436,20.085436,11339700
"2001-03-14",18.467188,20.404688,17.967188,18.654688,14000300
"2001-03-15",20.571077,21.071077,16.071077,16.508577,15417400
"2001-03-16",15.798666,17.361166,15.361166,16.673666,10634200
"2001-03-19",16.806847,18.306847,16.056847,17.994347,7520700
"2001-03-20",18.14852,20.21102,15.89852,16.39852,14609500
"2001-03-21",16.511307,17.948807,16.323807,16.948807,6612000
"2001-03-22",17.312155,19.812155,16.687155,19.79653,11567800
"2001-03-23",20.974655,21.349655,17.724655,18.599655,13409800
"2001-03-26",19.24909,19.37409,16.62409,17.49909,7120800
"2001-03-27",17.19952,19.19952,17.07452,18.32452,6579600
"2001-03-28",18.155994,18.218494,15.843494,16.343494,6674200
"2001-03-29",15.73746,16.04996,13.61246,14.36246,11857800
"2001-03-30",14.365183,15.115183,13.927683,14.802683,10150000
"2001-04-02",14.489476,14.676976,12.739476,13.426976,13538500
"2001-04-03",12.685747,13.123247,10.935747,11.060747,14221800
"2001-04-04",11.2754,11.5254,10.0254,10.4004,15037300
"2001-04-05",11.636174,12.136174,10.948674,11.886174,14085300
"2001-04-06",11.456146,12.081146,10.893646,11.831146,19003200
"2001-04-09",12.504107,12.514107,10.804107,11.754107,14449100
"2001-04-10",12.015573,13.955573,11.725573,13.805573,18395200
"2001-04-11",15.620377,15.830376,14.000377,14.580376,12539400
"2001-04-12",11.31603,14.85603,11.25603,14.68603,20995000
"2001-04-16",14.473387,15.553387,13.193388,13.453388,9478700
"2001-04-17",13.16286,14.402859,13.11286,13.97286,9406700
"2001-04-18",14.656092,17.916092,14.296093,17.116093,16799500
"2001-04-19",18.154196,20.784197,16.824196,19.634195,13727300
"2001-04-20",18.834771,21.844771,18.31477,20.73477,16818300
"2001-04-23",20.126035,20.876035,18.666036,19.326036,9409600
"2001-04-24",19.307513,20.297512,17.397513,17.547512,10647500
"2001-04-25",17.219833,19.129833,17.039833,18.929832,9076000
