"","NWL.Open","NWL.High","NWL.Low","NWL.Close","NWL.Volume","NWL.Adjusted"
"2001-01-02",22.8125,23.5,22.6875,23.375,993800,13.611135
"2001-01-03",23.4375,23.9375,23.375,23.75,1480200,13.829493
"2001-01-04",23.875,24.25,23.625,24.0625,2029700,14.011456
"2001-01-05",24,24.25,23.75,23.875,1302500,13.902281
"2001-01-08",24.75,25.125,24.375,25,2111200,14.557361
"2001-01-09",25.0625,25.6875,25,25.6875,2026700,14.957689
"2001-01-10",25.625,25.9375,25.25,25.8125,1429700,15.030476
"2001-01-11",25.8125,26.75,25.75,26.0625,1392700,15.176055
"2001-01-12",26.125,26.5,25.9375,26.375,727500,15.358019
"2001-01-16",26.25,26.5,26.1875,26.375,1076400,15.358019
"2001-01-17",26.4375,26.8125,26.4375,26.5,1125000,15.430808
"2001-01-18",26.5625,27.25,26.5,27,1215000,15.721954
"2001-01-19",27.125,27.25,26.9375,27.125,1129200,15.794741
"2001-01-22",27.0625,27.125,26,26.5625,952300,15.467199
"2001-01-23",26.5,26.9375,26.5,26.75,628400,15.576385
"2001-01-24",26.5,26.6875,26.1875,26.5,1529100,15.430808
"2001-01-25",26.6875,27.3125,26.4375,27.0625,1544500,15.758351
"2001-01-26",27.3125,27.3125,26.875,27.0625,929400,15.758351
"2001-01-29",26.85,26.9,26.639999,26.709999,813200,15.553088
"2001-01-30",26.799999,27.25,26.76,27.1,750500,15.780184
"2001-01-31",27.1,27.299999,26.9,27.200001,784000,15.838412
"2001-02-01",27.299999,28.6,27.200001,28.6,1082900,16.653622
"2001-02-02",28.4,28.41,27.75,27.959999,783100,16.280952
"2001-02-05",28,28.35,27.700001,27.879999,687400,16.234371
"2001-02-06",27.629999,28.09,27.610001,27.879999,1386600,16.234371
"2001-02-07",27.950001,27.950001,27.42,27.73,1099900,16.147026
"2001-02-08",27.9,28.219999,27.75,28.07,738000,16.345009
"2001-02-09",27.75,27.92,27.049999,27.360001,548700,15.93157
"2001-02-12",26.049999,27,25.879999,26.9,1638400,15.663725
"2001-02-13",26.9,26.9,26.370001,26.450001,1376600,15.401693
"2001-02-14",26.5,27.459999,26.5,26.77,1575900,15.588027
"2001-02-15",26.32,26.950001,26,26.5,1720500,15.55281
"2001-02-16",26.74,26.799999,25.799999,26.120001,1211700,15.32979
"2001-02-20",25.879999,26.5,25.870001,26.379999,723300,15.482379
"2001-02-21",26.379999,26.73,25.75,25.76,885000,15.118513
"2001-02-22",25.700001,25.85,25.27,25.48,824400,14.954177
"2001-02-23",25.549999,25.75,25.120001,25.219999,859300,14.801581
"2001-02-26",25.450001,25.67,25.299999,25.639999,571500,15.048082
"2001-02-27",25.43,27.049999,25.43,25.809999,1200800,15.147858
"2001-02-28",26.059999,26.65,25.9,26.309999,424400,15.441303
"2001-03-01",26.200001,26.540001,25.879999,26.41,1755400,15.499985
"2001-03-02",26.25,27.09,26.25,26.52,884400,15.564548
"2001-03-05",26.6,27.5,26.530001,27.35,922800,16.051674
"2001-03-06",27.9,27.9,27.559999,27.700001,968200,16.257084
"2001-03-07",27.9,28.940001,27.84,28.700001,1181600,16.84399
"2001-03-08",28.700001,29.5,28.49,29.209999,725400,17.143307
"2001-03-09",29,29.4,28.950001,29.16,753800,17.11396
"2001-03-12",29.16,29.25,28.4,28.6,1125500,16.785295
"2001-03-13",28.5,28.65,28.09,28.57,1309200,16.767693
"2001-03-14",27.75,28.299999,27.530001,27.98,604100,16.421421
"2001-03-15",27.85,27.92,27.450001,27.92,622100,16.386204
"2001-03-16",27.4,27.75,27.33,27.43,1044400,16.098627
"2001-03-19",27.700001,28,27.09,27.799999,624500,16.315783
"2001-03-20",28,28.559999,27.799999,28.33,817000,16.626839
"2001-03-21",28.33,28.450001,27.15,27.360001,1290700,16.057545
"2001-03-22",27.110001,27.15,26.01,26.73,1140200,15.687801
"2001-03-23",26.549999,27.5,25.9,26.99,1146400,15.840393
"2001-03-26",26.9,27.25,26.700001,27.07,668100,15.88734
"2001-03-27",26.25,26.799999,25.6,26.35,2379400,15.464775
"2001-03-28",26,26.4,25.49,25.870001,1385700,15.183059
"2001-03-29",26.1,26.43,25.48,26.17,788900,15.359131
"2001-03-30",26.17,26.799999,25.790001,26.5,726400,15.55281
"2001-04-02",26.51,27.6,26.51,27.110001,846500,15.910817
"2001-04-03",27.110001,27.110001,26.110001,26.25,945800,15.406088
"2001-04-04",26.25,26.32,25.799999,26,798500,15.259367
"2001-04-05",26.450001,26.469999,25.040001,26.030001,2013300,15.276968
"2001-04-06",26.27,26.27,25.32,25.51,1194400,14.971783
"2001-04-09",26,26.049999,25.549999,25.799999,587400,15.141976
"2001-04-10",26.15,26.23,25.450001,25.82,1162800,15.153723
"2001-04-11",25.75,26.049999,25.25,25.309999,512900,14.854405
"2001-04-12",25.450001,25.870001,25.1,25.280001,688900,14.836793
"2001-04-16",25.75,26.209999,25.559999,25.76,573600,15.118513
"2001-04-17",25.76,26.23,25.6,25.940001,558700,15.224142
"2001-04-18",25.940001,27.09,25.540001,26.82,764300,15.74062
"2001-04-19",27,27,26.309999,26.700001,494400,15.670202
"2001-04-20",26.65,26.85,25.9,25.99,682700,15.253488
"2001-04-23",26.219999,26.219999,25.700001,25.93,424400,15.218284
"2001-04-24",25.93,26.200001,25.290001,25.790001,687400,15.136118
"2001-04-25",25.790001,26.48,25.6,26.33,320500,15.453041
"2001-04-26",26.33,26.85,25.99,26.41,564100,15.499985
"2001-04-27",26.42,27,26.35,26.91,306100,15.793439
"2001-04-30",26.91,27.540001,26.76,26.959999,441000,15.822783
"2001-05-01",27.200001,27.43,26.9,27.309999,413100,16.028193
"2001-05-02",27.15,27.49,26.860001,27.34,460700,16.045799
"2001-05-03",26,26.389999,25.549999,25.85,2932700,15.171332
"2001-05-04",25.549999,25.549999,24.6,24.790001,2213800,14.549219
"2001-05-07",24.75,25.08,24.370001,24.67,1231000,14.478791
"2001-05-08",24.57,24.58,23.5,24.299999,1254700,14.261635
"2001-05-09",23.85,24.24,23.75,24,1385900,14.08557
"2001-05-10",23.799999,24.49,23.75,24.290001,926900,14.255761
"2001-05-11",24.299999,24.5,24.15,24.34,633100,14.28511
"2001-05-14",24.200001,24.5,24.059999,24.4,407300,14.320322
"2001-05-15",24.4,24.700001,24.16,24.309999,765600,14.267502
"2001-05-16",24.309999,26.379999,24.309999,26.299999,1950000,15.435433
"2001-05-17",25.879999,26.08,25.49,25.700001,2069300,15.204702
"2001-05-18",25.5,25.68,24.9,25.120001,1382200,14.861556
"2001-05-21",25.120001,25.120001,24.51,25.01,1546000,14.796479
"2001-05-22",25.049999,25.59,24.9,25.129999,952100,14.867472
"2001-05-23",25.139999,25.370001,25.059999,25.299999,1173500,14.968048
"2001-05-24",25.25,25.51,25.219999,25.26,774400,14.944384
"2001-05-25",25.15,25.190001,24.35,24.809999,882600,14.678152
"2001-05-29",24.799999,25.9,24.25,25.41,1194000,15.033126
"2001-05-30",25.450001,25.91,25.450001,25.5,809100,15.086374
"2001-05-31",25.5,25.719999,25.040001,25.27,859500,14.950305
"2001-06-01",25,25.83,24.9,25.65,532600,15.17512
"2001-06-04",25.65,26,25.65,25.99,1074800,15.376271
"2001-06-05",25.99,26.24,25.92,26.23,1046300,15.518261
