"","Open","High","Low","Close","Volume"
"2001-01-02",13.5625,13.59375,11.875,12.1875,1717600
"2001-01-03",11.828125,13.125,11.8125,12.9375,1884600
"2001-01-04",12.921875,13.1875,12.75,12.875,928600
"2001-01-05",12.8125,13.03125,12.25,12.90625,580600
"2001-01-08",12.8125,13.0625,12.4375,12.53125,521000
"2001-01-09",12.71875,12.71875,12.1875,12.46875,415600
"2001-01-10",12.53125,12.625,12.21875,12.625,1181000
"2001-01-11",12.546875,12.9375,12.46875,12.5625,338000
"2001-01-12",12.4375,12.90625,12.34375,12.4375,371400
"2001-01-16",12.546875,12.8125,12.1875,12.8125,536600
"2001-01-17",12.875,13.25,12.6875,12.71875,1353200
"2001-01-18",12.65625,12.875,12.4375,12.75,787800
"2001-01-19",12.4375,12.9375,11.625,11.625,988800
"2001-01-22",11.65625,12.5,11.625,11.96875,365800
"2001-01-23",12.125,12.25,11.25,11.40625,2121400
"2001-01-24",11.25,11.375,10.25,10.59375,1431800
"2001-01-25",10.40625,10.75,10,10.65625,1082600
"2001-01-26",10.4375,10.75,10.375,10.71875,240400
"2001-01-29",10.5,11.125,10.5,11,662800
"2001-01-30",10.953125,11.125,10.875,11,630200
"2001-01-31",10.96875,11.5625,10.9375,11.25,599200
"2001-02-01",11.25,11.4375,10.5,11.375,442800
"2001-02-02",11.25,11.5,10.6875,10.6875,277600
"2001-02-05",10.75,10.9375,10.25,10.5,504400
"2001-02-06",10.59375,11,10.46875,10.84375,363000
"2001-02-07",10.78125,11.125,10.5,11,584800
"2001-02-08",10.6875,11,10.375,10.53125,522400
"2001-02-09",10.546875,10.59375,9.125,9.96875,1008600
"2001-02-12",7.9375,11,7.75,10,2382400
"2001-02-13",10.0625,10.125,9.5,9.625,373200
"2001-02-14",9.4375,10.125,9.375,10.0625,237200
"2001-02-15",10.0625,10.28125,9.875,10.03125,208800
"2001-02-16",10.03125,10.03125,9.625,9.75,186800
"2001-02-20",9.96875,10.5,9.6875,9.96875,476200
"2001-02-21",9.875,10.0625,9.375,9.53125,581600
"2001-02-22",9.40625,10.21875,9,9.5,419000
"2001-02-23",9.4375,9.75,9.1875,9.71875,291800
"2001-02-26",9.625,10,9.5,9.71875,284200
"2001-02-27",9.570313,9.75,9.5,9.59375,95200
"2001-02-28",9.46875,9.75,9.375,9.46875,443200
"2001-03-01",9.34375,9.4375,8.9375,9.15625,185200
"2001-03-02",8.9375,9.4375,8.9375,9.21875,160200
"2001-03-05",9.15625,9.71875,9.0625,9.25,157200
"2001-03-06",9.28125,9.335938,8.9375,9.0625,334200
"2001-03-07",9.070313,9.5625,9.0625,9.25,182600
"2001-03-08",9.25,9.90625,9.25,9.375,278400
"2001-03-09",9.3125,9.5,9.15625,9.25,364800
"2001-03-12",9.265625,9.5,9.125,9.21875,227000
"2001-03-13",9.25,9.5,9.25,9.46875,415800
"2001-03-14",9.203125,9.6875,9.1875,9.5,456800
"2001-03-15",9.375,9.5625,9.375,9.375,441000
"2001-03-16",9.65625,9.78125,9.3125,9.375,521800
"2001-03-19",9.375,9.59375,9.3125,9.53125,100800
"2001-03-20",9.5,9.65625,9.25,9.28125,253800
"2001-03-21",9.359375,9.46875,9.25,9.46875,324400
"2001-03-22",9.3125,9.375,8.90625,8.90625,430000
"2001-03-23",9.28125,9.375,9.125,9.3125,232000
"2001-03-26",9.367188,9.40625,8.84375,9.125,361400
"2001-03-27",9,9.5,8.875,9.34375,523200
"2001-03-28",9.1875,9.46875,9.0625,9.15625,395800
"2001-03-29",9.0625,9.46875,9,9.15625,186000
"2001-03-30",9.09375,10,9.09375,9.96875,429200
"2001-04-02",9.75,10.0625,9.5625,9.84375,256600
"2001-04-03",9.84375,9.851563,9.5625,9.8125,305600
"2001-04-04",9.65625,10,9.375,9.96875,259000
"2001-04-05",9.96875,10.5,9.84375,10.5,281600
"2001-04-06",10.25,10.5,9.9375,10.28125,433400
"2001-04-09",10.125,10.375,10.125,10.175,137000
"2001-04-10",10.175,10.395,10.01,10.3,219400
"2001-04-11",10.31,10.625,10.25,10.455,238200
"2001-04-12",10.415,10.545,10.05,10.545,124000
"2001-04-16",10.46,10.58,9.985,10.405,218800
"2001-04-17",10.46,10.58,10.16,10.5,180000
"2001-04-18",10.6,10.9,10.435,10.53,345400
"2001-04-19",10.55,11,10.55,10.95,320800
"2001-04-20",10.95,10.95,10.625,10.69,175000
"2001-04-23",10.595,10.75,10.29,10.325,125800
"2001-04-24",10.285,10.975,10.285,10.895,150400
"2001-04-25",10.915,11.425,10.775,11.425,261600
"2001-04-26",11.25,11.885,11.2,11.82,453600
"2001-04-27",11.63,12.4,11.63,12.06,587800
"2001-04-30",12.005,12.005,11.125,11.825,890400
"2001-05-01",11.875,11.975,11.73,11.97,328000
"2001-05-02",11.87,11.95,11.72,11.775,308800
"2001-05-03",11.72,11.75,11.4,11.555,293200
"2001-05-04",11.55,11.815,11.4,11.7,120000
"2001-05-07",11.7,11.725,11.25,11.3,326400
"2001-05-08",11.45,11.775,11.355,11.42,180600
"2001-05-09",11.355,11.625,10.945,11.06,106800
"2001-05-10",11.075,11.75,11.075,11.175,118800
