"","Open","High","Low","Close","Volume"
"2001-01-02",13.592031,14.092031,12.717031,13.029531,626700
"2001-01-03",12.078276,14.015776,11.640776,13.828276,831000
"2001-01-04",13.290739,14.165739,13.290739,13.853239,767900
"2001-01-05",14.541529,14.604029,12.729029,13.354029,853200
"2001-01-08",13.478829,13.603829,12.728829,13.478829,514200
"2001-01-09",14.003986,14.128986,13.128986,13.378986,603500
"2001-01-10",13.378986,13.878986,13.253986,13.378986,824300
"2001-01-11",13.504576,13.629576,13.004576,13.004576,804300
"2001-01-12",13.217031,13.217031,12.404531,13.029531,804800
"2001-01-16",13.091842,13.279342,12.716842,13.154342,706800
"2001-01-17",12.803714,13.616214,12.741214,13.553714,956100
"2001-01-18",13.653754,13.903754,12.903754,13.528754,744100
"2001-01-19",12.978635,13.791135,12.978635,13.603635,623400
"2001-01-22",13.303325,14.115825,13.303325,13.803325,936900
"2001-01-23",12.902379,14.464879,12.902379,14.402379,824500
"2001-01-24",14.665159,14.665159,13.852659,14.227659,353400
"2001-01-25",14.353049,14.415549,13.728049,13.978049,592500
"2001-01-26",14.26558,14.26558,13.32808,13.95308,776300
"2001-01-29",14.145909,14.195908,13.855908,14.065911,1088500
"2001-01-30",14.078672,14.17867,12.778673,13.578672,1158400
"2001-01-31",12.746062,14.196063,12.59606,13.966063,661600
"2001-02-01",14.242357,14.242357,13.212355,13.782354,999900
"2001-02-02",13.472286,14.252289,13.412289,13.822289,654800
"2001-02-05",13.532098,14.152097,13.232099,13.942098,570400
"2001-02-06",13.514084,14.164086,13.314083,13.954083,443600
"2001-02-07",14.14006,14.490058,13.740058,13.970058,777000
"2001-02-08",14.038105,14.038105,13.738106,13.938107,470800
"2001-02-09",13.562134,14.082134,13.062134,13.922135,432200
"2001-02-12",13.648106,14.338104,13.638103,13.938107,844700
"2001-02-13",13.301446,14.401444,13.241444,14.361443,701100
"2001-02-14",14.109398,14.819397,13.409397,14.389397,745600
"2001-02-15",13.76264,16.032641,13.682638,14.872641,976400
"2001-02-16",15.188808,15.238807,14.288806,14.768806,672000
"2001-02-20",14.993301,15.243301,14.393302,14.4533,355600
"2001-02-21",15.318205,15.318205,13.728204,13.878206,1060800
"2001-02-22",14.192804,14.262804,13.292803,13.672804,1086700
"2001-02-23",13.314451,14.214448,13.164449,13.914449,662400
"2001-02-26",14.434418,14.654419,13.634419,14.204418,942000
"2001-02-27",14.745838,14.885837,13.745838,13.82584,449100
"2001-02-28",13.993085,14.413083,13.613084,13.713082,433800
"2001-03-01",13.376671,13.966672,13.326668,13.946671,462600
"2001-03-02",13.724006,14.824004,13.224006,14.144004,632500
"2001-03-05",14.158306,14.478305,13.958305,14.188305,520600
"2001-03-06",14.452333,15.132333,14.112333,14.192335,733000
"2001-03-07",13.798414,14.598413,13.578417,14.498415,544200
"2001-03-08",14.365484,14.765486,13.815485,14.655485,397400
"2001-03-09",14.960934,15.140935,14.270936,14.280934,531200
"2001-03-12",13.872986,15.352986,13.422985,14.582985,764000
"2001-03-13",15.248415,15.248415,13.998415,14.498415,635300
"2001-03-14",14.222471,14.672472,13.072474,14.212473,604500
"2001-03-15",14.556767,14.856766,14.096768,14.256768,398900
"2001-03-16",14.549598,15.149596,13.7896,13.7896,980200
"2001-03-19",12.756605,14.696608,12.696608,14.526606,449700
"2001-03-20",15.124174,15.214174,13.874174,13.874174,387500
"2001-03-21",13.88698,14.63698,13.686979,13.696977,562600
"2001-03-22",12.949436,14.059437,12.949436,14.059437,932100
"2001-03-23",13.435957,14.155954,13.035955,14.135953,686600
"2001-03-26",14.51377,14.593772,13.563769,13.813769,571600
"2001-03-27",13.474172,13.924173,13.424173,13.874174,647400
"2001-03-28",14.67007,14.720074,12.730072,13.270073,1152300
"2001-03-29",12.622805,13.722803,12.322801,13.672804,676900
"2001-03-30",13.014997,14.244997,12.894999,13.994997,762000
"2001-04-02",14.767681,14.967682,13.037682,13.507683,681900
"2001-04-03",13.394381,13.704383,13.084384,13.314383,477800
"2001-04-04",13.021445,13.971446,12.751445,13.471446,534900
"2001-04-05",13.068886,14.468888,12.868885,13.978886,511800
"2001-04-06",14.527421,14.527421,12.82742,13.46742,614300
"2001-04-09",13.456427,13.896425,13.026426,13.616426,358800
"2001-04-10",13.037085,14.627086,13.037085,14.007083,586400
"2001-04-11",14.852669,15.152673,13.452672,13.652673,511100
"2001-04-12",13.144999,14.164995,13.044996,13.994997,390600
"2001-04-16",13.756943,13.996945,13.156945,13.986943,356400
"2001-04-17",13.212062,14.15206,13.06206,14.15206,519300
"2001-04-18",13.88237,15.172371,13.252369,15.082371,805700
"2001-04-19",14.077025,15.777026,13.817027,15.767028,794400
"2001-04-20",16.059004,16.059004,14.109003,15.469004,797800
"2001-04-23",15.737765,15.787764,14.687766,15.287764,300200
"2001-04-24",15.469577,15.549579,14.869579,15.259578,480000
"2001-04-25",15.190398,15.550399,14.900397,15.380397,536800
"2001-04-26",15.479992,16.029991,15.279991,15.319992,698800
"2001-04-27",15.164968,15.81497,15.014971,15.464972,529000
"2001-04-30",15.862067,16.73207,15.112067,15.332069,516500
"2001-05-01",15.006611,16.666611,14.856614,15.706612,327000
"2001-05-02",15.319246,16.259245,15.319246,15.799246,342200
"2001-05-03",15.778451,15.948453,15.178453,15.388452,341900
"2001-05-04",14.556308,15.986309,14.446308,15.956306,548700
"2001-05-07",16.491081,16.661079,15.441082,15.481079,462100
"2001-05-08",15.067706,16.307708,15.067706,15.86771,437000
"2001-05-09",14.909182,16.709181,14.64918,16.379179,902000
"2001-05-10",16.526418,16.626416,15.856416,16.266415,515800
"2001-05-11",16.452422,16.742423,15.862422,15.972423,666400
"2001-05-14",15.954914,16.154915,15.234913,16.044914,299400
"2001-05-15",15.868803,16.368803,15.628806,16.028803,331300
"2001-05-16",15.017204,16.967205,14.917206,16.677204,454700
"2001-05-17",17.01071,17.550711,16.28071,16.310709,521500
"2001-05-18",16.609348,16.609348,15.979347,16.109348,612600
"2001-05-21",16.121297,16.311296,15.971295,16.101297,485200
"2001-05-22",16.049618,16.399616,15.799618,16.149616,522700
"2001-05-23",16.387165,16.387165,15.357166,16.117165,925600
"2001-05-24",16.152924,16.302921,15.302921,16.242924,513700
"2001-05-25",16.779427,16.779427,15.849427,15.849427,404000
"2001-05-29",16.241966,16.391968,15.531967,15.601967,425300
"2001-05-30",15.53659,16.026592,15.156593,15.646591,585500
"2001-05-31",15.750088,16.780087,15.65009,16.040089,809500
"2001-06-01",16.452549,16.552547,15.712547,16.072548,432900
"2001-06-04",16.488203,17.008203,15.968203,16.048204,433800
"2001-06-05",15.442365,16.632364,15.442365,16.632364,764600
"2001-06-06",16.731512,17.211516,16.021513,16.571512,761000
"2001-06-07",16.250198,17.100201,16.120201,16.620201,439400
"2001-06-08",17.199816,17.219817,16.449816,16.449816,397400
"2001-06-11",16.554724,17.004725,16.304724,16.514723,371800
"2001-06-12",16.836129,16.986131,16.176129,16.186132,560400
"2001-06-13",16.298012,16.498013,16.108013,16.178013,687200
"2001-06-14",16.464057,16.524058,15.734057,15.894057,530700
"2001-06-15",15.680471,16.360472,15.450472,16.21047,1060900
"2001-06-18",16.227738,16.517735,15.927734,16.157738,430600
"2001-06-19",16.484999,16.674997,16.004995,16.104998,400100
"2001-06-20",16.119341,17.019343,15.969339,16.129339,605300
"2001-06-21",16.323866,16.513869,16.023867,16.023867,1133700
"2001-06-22",16.102551,16.552547,15.92255,16.072548,443200
"2001-06-25",15.480953,16.970951,15.460952,16.530952,718500
"2001-06-26",16.409628,16.909628,16.279627,16.579626,1096200
"2001-06-27",16.698113,17.308114,16.278115,16.328114,960700
"2001-06-28",15.988962,16.688963,15.988962,16.388964,710400
"2001-06-29",15.466709,17.376709,15.366711,17.086708,704300
"2001-07-02",16.860865,17.350867,16.790865,17.240866,673900
"2001-07-03",17.263221,17.313225,16.803222,17.123222,242200
"2001-07-05",16.873602,17.323603,16.613604,17.293604,286600
"2001-07-06",17.806614,17.806614,16.766617,16.936615,888700
"2001-07-09",16.627188,17.227186,16.61719,16.977186,796100
"2001-07-10",17.482362,17.582365,16.532366,16.632364,651800
"2001-07-11",16.196613,17.026615,15.646614,16.936615,611000
"2001-07-12",16.514643,17.344645,16.414645,17.224642,539200
"2001-07-13",16.844358,17.434358,16.554357,17.204359,542600
"2001-07-16",17.558315,17.578316,16.958317,17.058315,362500
"2001-07-17",16.969543,17.499546,16.689544,17.289543,590500
"2001-07-18",17.408415,17.408415,16.788416,17.208414,467600
"2001-07-19",17.219543,17.539543,16.989544,17.289543,467000
"2001-07-20",17.41218,17.422183,17.132182,17.192183,344000
"2001-07-23",17.818413,17.818413,16.71841,16.778412,478200
"2001-07-24",16.984808,17.654806,16.584806,16.664808,471100
"2001-07-25",16.764538,16.944538,16.514538,16.644535,713700
"2001-07-26",16.948397,16.948397,16.048395,16.348394,1053100
"2001-07-27",16.632647,16.832643,16.082643,16.222647,697800
"2001-07-30",16.3767,16.526697,16.026697,16.226698,766500
"2001-07-31",16.157825,16.517826,16.157825,16.307827,657700
"2001-08-01",16.138964,16.878961,16.138964,16.388964,458800
"2001-08-02",16.513111,16.863109,16.29311,16.54311,319200
"2001-08-03",15.951998,16.931997,15.951998,16.891996,410300
"2001-08-06",16.855482,17.205485,16.705485,16.855482,419100
"2001-08-07",16.596429,17.11643,16.496431,17.066431,767100
"2001-08-08",17.216327,17.276328,16.746326,16.916328,603100
"2001-08-09",16.739078,17.13908,16.589081,16.969082,371900
"2001-08-10",16.852933,17.022935,16.052934,16.672932,521700
"2001-08-13",16.183697,17.063698,16.123695,17.013695,429400
"2001-08-14",16.954825,17.134825,16.704825,17.094824,454800
"2001-08-15",16.776523,17.346523,16.776523,17.216522,820600
"2001-08-16",17.157273,17.207272,16.217274,17.127274,351900
"2001-08-17",17.038025,17.138023,16.448025,17.038025,416900
"2001-08-20",16.665672,17.515675,16.665672,17.155674,959000
"2001-08-21",16.47181,18.001809,16.47181,17.451809,753200
"2001-08-22",17.035183,17.745182,16.855183,17.615185,510100
"2001-08-23",18.171237,18.321239,17.321239,17.52124,727200
"2001-08-24",17.109818,18.009815,16.869816,17.839817,822300
"2001-08-27",17.533876,18.383879,17.263876,18.133879,605800
"2001-08-28",18.188258,18.688258,17.878256,17.958258,585400
"2001-08-29",17.794174,18.194176,17.234177,17.954174,682300
"2001-08-30",18.090232,18.220233,17.330234,17.860233,644200
"2001-08-31",18.002213,18.072212,17.432213,17.762215,515000
"2001-09-04",18.128996,18.128996,17.238992,17.508993,693600
"2001-09-05",17.385186,17.735184,16.565186,17.615185,714700
"2001-09-06",17.053904,18.2539,17.053904,17.843901,856700
"2001-09-07",16.984613,17.984613,16.984613,17.684614,646800
"2001-09-10",17.8159,17.985902,17.265901,17.455904,541500
"2001-09-17",18.130305,18.130305,15.720305,16.990301,1182400
"2001-09-18",16.75366,18.483664,16.75366,17.153662,794100
"2001-09-19",17.507475,17.837473,16.107473,17.047476,1332300
"2001-09-20",17.948089,17.948089,15.448089,16.39809,1137400
"2001-09-21",14.844622,16.504621,14.844622,15.744619,1316500
"2001-09-24",15.428827,16.29883,15.408826,15.948827,1003900
"2001-09-25",16.385453,16.485451,15.335454,15.785455,808700
"2001-09-26",16.154349,16.35435,15.554351,15.634349,1133200
