"","PCG.Open","PCG.High","PCG.Low","PCG.Close","PCG.Volume","PCG.Adjusted"
"2001-01-02",19.625,19.875,19.375,19.5625,1972200,12.075224
"2001-01-03",19.8125,20.9375,17,17,5729400,10.493485
"2001-01-04",13.5,14,8.875,12,23003400,7.407165
"2001-01-05",11.25,13,11.0625,12.625,9592100,7.792955
"2001-01-08",12.5625,14.25,12.0625,14,8297500,8.641689
"2001-01-09",13.25,13.625,12.375,13.5,5950500,8.333058
"2001-01-10",13.4375,14,12.125,13.5625,5967100,8.371639
"2001-01-11",12.75,12.75,11.5625,12.3125,6408600,7.60006
"2001-01-12",12.375,12.5,11.4375,11.5625,6914100,7.137114
"2001-01-16",11.5625,11.5625,9.5,10.9375,7947700,6.751323
"2001-01-17",10.8125,10.8125,9.4375,9.625,7646300,5.941165
"2001-01-18",9.625,10.125,8.375,9.75,10080500,6.018321
"2001-01-19",9.0625,10.75,8.6875,10.1875,7868800,6.288375
"2001-01-22",9.875,11.25,9.6875,9.75,5374200,6.018321
"2001-01-23",9.875,10,9.0625,9.5625,3590300,5.902582
"2001-01-24",9.625,10.1875,9.5,9.9375,6940900,6.134059
"2001-01-25",12,13,10.5,13,11913500,8.024427
"2001-01-26",12.8125,13.625,12.1875,12.5,7713900,7.715797
"2001-01-29",13.75,14.05,13.45,14.02,6079700,8.654037
"2001-01-30",14.75,15.49,14.6,15.23,7470900,9.400928
"2001-01-31",15.3,15.3,13.5,14.25,6951100,8.796009
"2001-02-01",13.75,14.6,12.62,14.31,5390200,8.833044
"2001-02-02",15,15.15,13.5,13.74,3879300,8.481203
"2001-02-05",13.7,14.09,13,13.6,2392000,8.394787
"2001-02-06",13.6,13.6,12.75,12.92,3406600,7.975047
"2001-02-07",13,13.4,12.87,12.9,4245800,7.962703
"2001-02-08",12.9,12.96,12.46,12.92,2413500,7.975047
"2001-02-09",12.95,13.22,12.91,13.05,2376200,8.055292
"2001-02-12",13.05,14.14,11.12,12.55,6933700,7.746659
"2001-02-13",12.2,12.9,12.13,12.3,1870200,7.592344
"2001-02-14",12.2,12.91,12.02,12.5,2367600,7.715797
"2001-02-15",12.5,12.95,12.45,12.84,1952800,7.925662
"2001-02-16",12.8,13.65,12.8,13,3037100,8.024427
"2001-02-20",13.05,13.39,12.87,12.99,2173400,8.018258
"2001-02-21",12.9,13.75,12.8,13.06,2679600,8.061467
"2001-02-22",13.15,14.55,13.02,14.55,4361700,8.981189
"2001-02-23",14.45,14.89,13.13,13.7,3610600,8.456512
"2001-02-26",14.15,14.75,13.9,13.97,3349700,8.623173
"2001-02-27",14.1,14.19,13.8,14.05,1724500,8.672556
"2001-02-28",14,14.05,13.81,13.96,1846300,8.617002
"2001-03-01",13.96,14,13.6,13.99,1566800,8.635519
"2001-03-02",13.99,14.5,13.61,14.5,1589900,8.950325
"2001-03-05",14.7,14.75,14.34,14.75,2516900,9.10464
"2001-03-06",14.75,14.75,14.2,14.4,1410400,8.888596
"2001-03-07",14.3,14.65,14.3,14.55,1257300,8.981189
"2001-03-08",14.55,14.64,14.35,14.43,1165600,8.907115
"2001-03-09",14.36,14.59,14.2,14.37,993400,8.87008
"2001-03-12",14.35,14.59,14.26,14.52,1282600,8.962668
"2001-03-13",14.45,14.48,14.2,14.24,1104900,8.789835
"2001-03-14",13.75,14,12.85,13.1,2449000,8.086158
"2001-03-15",13,13.11,12.7,12.92,1820500,7.975047
"2001-03-16",12,12.1,10.76,11.42,3907000,7.049152
"2001-03-19",11.9,12.14,11.41,11.85,2105700,7.314576
"2001-03-20",11.72,11.94,11.4,11.4,1285000,7.036805
"2001-03-21",11.41,12.07,11.41,11.75,2130100,7.252851
"2001-03-22",11.64,11.74,10.9,11.19,2183800,6.907182
"2001-03-23",10.8,11.03,10.41,10.65,2668900,6.573858
"2001-03-26",12.5,14.7,12.3,13.75,5808400,8.487379
"2001-03-27",13.75,14.16,13.2,13.2,3920200,8.147881
"2001-03-28",13.75,13.79,13.15,13.2,2166800,8.147881
"2001-03-29",12.94,13,12.53,12.62,1818400,7.789868
"2001-03-30",12.45,12.45,11.51,11.84,2562800,7.308401
"2001-04-02",11.1,11.88,11.1,11.75,1839000,7.252851
"2001-04-03",11.55,11.95,11.1,11.53,1758700,7.117049
"2001-04-04",11.5,11.65,11.25,11.65,2359700,7.191122
"2001-04-05",11.55,11.55,11.16,11.38,1513900,7.024461
"2001-04-06",11.38,11.54,6.55,6.55,8618900,4.043079
"2001-04-09",6.5,7.75,6.5,6.9,7138800,4.259121
"2001-04-10",7.5,8.9,7.5,8.5,6547800,5.246743
"2001-04-11",8.4,8.59,8.02,8.46,2604100,5.222052
"2001-04-12",8.5,8.95,8.43,8.65,2312700,5.339331
"2001-04-16",9.05,9.1,8.56,8.84,2597700,5.456609
"2001-04-17",8.75,8.94,8.69,8.9,1901300,5.493647
"2001-04-18",9,9.1,8.91,9.04,2981900,5.580066
"2001-04-19",9.05,9.05,8.72,8.73,1878700,5.388712
"2001-04-20",8.75,9,8.57,8.9,2277500,5.493647
"2001-04-23",9,9.04,8.81,8.99,2225800,5.5492
"2001-04-24",9,9.1,8.9,9.02,1583300,5.567719
"2001-04-25",8.95,8.95,8.71,8.8,2102400,5.43192
"2001-04-26",8.8,8.8,8.64,8.74,1214100,5.394886
"2001-04-27",8.75,8.99,8.75,8.94,749500,5.518336
"2001-04-30",9,9.05,8.81,8.97,1273200,5.536855
"2001-05-01",9.15,9.15,8.91,9,1418200,5.555372
"2001-05-02",9,9.04,8.86,8.96,1554900,5.530684
"2001-05-03",8.89,8.93,8.74,8.86,672700,5.468956
"2001-05-04",8.85,9,8.82,9,1266300,5.555372
"2001-05-07",9,9.07,8.94,9,643800,5.555372
"2001-05-08",9,9,8.93,8.95,628400,5.52451
"2001-05-09",8.98,9.1,8.89,9,6560500,5.555372
"2001-05-10",9.01,9.29,8.96,9.1,2395900,5.6171
"2001-05-11",9.2,10.59,9.15,10.58,5333400,6.530652
"2001-05-14",10.59,12,10.58,11.8,6170000,7.28371
"2001-05-15",11.55,11.96,11.5,11.55,3183300,7.129396
"2001-05-16",11.1,11.32,10.9,11,1539700,6.789901
"2001-05-17",10.99,11.69,10.7,11.67,1269800,7.203467
