"","Open","High","Low","Close","Volume"
"2001-01-02",13.271925,13.521925,12.959425,13.209425,535000
"2001-01-03",12.802994,13.334244,12.779557,12.959244,285600
"2001-01-04",13.377599,13.463537,12.283849,12.408849,594800
"2001-01-05",13.071332,13.102582,11.915082,12.383832,546000
"2001-01-08",11.508832,12.415082,11.102582,12.383832,274800
"2001-01-09",12.506985,12.514797,11.983547,11.983547,344200
"2001-01-10",11.77902,12.458707,11.771207,12.208707,266000
"2001-01-11",12.52103,12.80228,11.64603,11.95853,193000
"2001-01-12",11.758206,11.766019,10.883206,11.508206,452600
"2001-01-16",11.564297,11.626797,11.251797,11.283047,792200
"2001-01-17",11.664456,12.008206,11.258206,11.508206,726400
"2001-01-18",11.531914,11.977226,11.477226,11.883476,1039800
"2001-01-19",12.277173,12.464673,11.464673,11.808423,233200
"2001-01-22",11.620745,12.370745,11.370745,11.558245,393400
"2001-01-23",11.533315,11.970815,11.502065,11.658315,274600
"2001-01-24",11.889797,12.014797,11.077297,11.983547,321800
"2001-01-25",11.933693,12.246193,11.621193,12.183693,187000
"2001-01-26",12.196242,12.414992,11.758742,12.258742,69600
"2001-01-29",11.91526,12.85276,11.91526,12.63401,217200
"2001-01-30",12.640243,12.640243,12.358993,12.608993,178400
"2001-01-31",12.733636,12.827386,12.077386,12.108636,463600
"2001-02-01",12.49434,12.502152,11.689652,11.783402,473400
"2001-02-02",11.802188,11.927188,11.614688,11.833438,678400
"2001-02-05",11.815278,13.096528,11.690278,12.659028,374200
"2001-02-06",12.546761,13.328011,12.078011,12.984261,431400
"2001-02-07",12.834596,13.490846,12.647096,13.459596,382000
"2001-02-08",13.490224,13.802724,12.490224,12.583974,295600
"2001-02-09",12.770938,12.927188,11.833438,11.833438,377200
"2001-02-12",12.071242,13.383742,11.664992,12.258742,559600
"2001-02-13",12.228896,13.127333,11.939833,12.033583,629600
"2001-02-14",12.138574,12.458886,11.927636,12.458886,263800
"2001-02-15",12.177724,12.865224,12.154287,12.583974,500800
"2001-02-16",12.259279,13.353029,12.259279,13.009279,193600
"2001-02-20",12.484261,13.109261,12.390511,12.984261,294000
"2001-02-21",12.740675,13.365675,12.521925,13.209425,289200
"2001-02-22",13.371637,13.684137,12.684137,12.809137,623200
"2001-02-23",13.009279,13.353029,12.759279,13.009279,193200
"2001-02-26",12.815459,13.159209,12.752959,12.909209,471800
"2001-02-27",12.590655,13.528155,12.559405,13.184405,680000
"2001-02-28",13.409028,13.627778,12.534028,12.659028,256400
"2001-03-01",13.026397,13.252959,12.596709,12.909209,263000
"2001-03-02",13.065635,13.315635,12.846885,13.159385,627200
"2001-03-05",13.415618,13.446868,13.071868,13.134368,268600
"2001-03-06",13.315548,13.315548,13.003048,13.034298,377400
"2001-03-07",13.262344,13.434219,12.777969,12.934219,593400
"2001-03-08",13.024635,13.10276,12.35276,12.63401,298800
"2001-03-09",12.584063,12.818438,12.490313,12.709063,192400
"2001-03-12",13.014797,13.139797,11.952297,11.983547,284000
"2001-03-13",11.830903,12.784028,11.815278,12.659028,244600
"2001-03-14",12.639976,12.952476,12.046226,12.233726,176000
"2001-03-15",12.177545,12.802545,11.990045,12.333795,359200
"2001-03-16",12.708795,12.865045,11.927545,12.333795,470400
"2001-03-19",12.227405,12.321155,12.102405,12.133655,400800
"2001-03-20",12.446066,12.664816,12.008566,12.008566,206400
"2001-03-21",12.433599,12.496099,11.933599,12.058599,219000
"2001-03-22",12.033315,12.064565,11.064565,11.658315,480800
"2001-03-23",11.903843,12.20853,11.86478,11.95853,576000
"2001-03-26",12.014886,12.358636,11.921136,12.108636,617000
"2001-03-27",12.058779,12.340029,11.996279,12.308779,204400
"2001-03-28",12.288499,12.952561,11.983811,12.358811,264200
"2001-03-29",12.510322,12.627509,11.877509,12.283759,589800
"2001-03-30",12.402529,12.683779,11.933779,12.308779,937400
"2001-04-02",12.453699,12.570886,11.695886,11.758386,364000
"2001-04-03",11.964763,12.152263,11.839763,11.933513,399600
"2001-04-04",11.733726,12.452476,11.702476,12.233726,478000
"2001-04-05",12.302457,12.802457,12.146207,12.208707,414800
"2001-04-06",12.164992,12.414992,11.946242,12.258742,237000
"2001-04-09",11.888906,12.553906,11.888906,12.488906,293800
"2001-04-10",12.047882,12.547882,11.997882,12.452882,221000
"2001-04-11",12.628923,12.628923,12.333923,12.508923,271600
"2001-04-12",12.173893,12.893893,12.168893,12.468893,131400
"2001-04-16",12.316756,12.491756,11.966756,12.276756,252200
"2001-04-17",12.399707,12.464707,12.079707,12.204707,402400
"2001-04-18",12.193707,12.333707,11.913707,12.208707,457200
"2001-04-19",12.253566,12.253566,11.863566,12.008566,402200
"2001-04-20",11.983566,12.083566,11.958566,12.008566,562800
"2001-04-23",11.944561,12.069561,11.929561,12.004561,146800
"2001-04-24",12.030503,12.090503,11.830503,11.920503,174200
"2001-04-25",11.893677,12.168677,11.793677,12.168677,587400
"2001-04-26",11.948768,12.418768,11.948768,12.288768,154800
"2001-04-27",12.073707,12.383707,12.073707,12.208707,261600
"2001-04-30",12.302724,12.302724,12.092724,12.232724,294800
"2001-05-01",12.223677,12.333677,12.013677,12.168677,155600
"2001-05-02",12.027724,12.242724,12.002724,12.232724,357400
"2001-05-03",12.095742,12.275742,12.095742,12.260742,541000
"2001-05-04",12.022895,12.642895,11.917895,12.472895,315400
"2001-05-07",12.612908,12.612908,12.427908,12.492908,293600
"2001-05-08",12.21882,12.42382,12.21882,12.36882,358000
"2001-05-09",12.379791,12.429791,12.279791,12.324791,374600
"2001-05-10",12.253863,12.638863,12.253863,12.428863,420600
"2001-05-11",12.458707,12.533707,12.208707,12.208707,130400
"2001-05-14",12.277654,12.507654,12.132654,12.132654,171000
"2001-05-15",12.16382,12.54382,12.09882,12.36882,348200
"2001-05-16",12.419876,12.524876,12.324876,12.444876,172800
"2001-05-17",12.294264,13.039264,12.239264,12.989264,864000
"2001-05-18",12.963623,13.673622,12.958622,13.493622,962600
"2001-05-21",13.431857,14.056857,13.431857,13.821856,1525400
"2001-05-22",13.964038,14.494039,13.80904,14.074039,1038200
"2001-05-23",14.016717,14.046718,13.451716,13.621716,700200
"2001-05-24",13.713862,13.728864,12.033863,12.428863,2043800
"2001-05-25",12.229221,13.279221,12.219221,12.929221,1206000
"2001-05-29",12.731514,13.376515,12.681513,13.341515,1004200
"2001-05-30",13.238782,13.933781,12.63378,13.71378,354800
"2001-05-31",13.777743,13.902743,13.042743,13.657742,365800
"2001-06-01",13.658738,14.098739,13.21874,13.653739,755200
"2001-06-04",13.924693,13.934694,13.489694,13.589694,301800
"2001-06-05",13.589694,13.589694,13.464694,13.589694,304800
"2001-06-06",13.55472,13.629719,13.42972,13.629719,273000
"2001-06-07",13.504719,13.979719,13.404718,13.629719,401400
"2001-06-08",13.66667,13.66667,13.546669,13.561671,142800
"2001-06-11",13.514648,13.629648,13.399648,13.529648,261000
"2001-06-12",13.640401,13.640401,13.040403,13.185401,210800
"2001-06-13",13.266646,13.641646,13.006646,13.521645,368000
"2001-06-14",13.567542,13.592541,13.247542,13.377541,594000
"2001-06-15",13.584534,13.584534,13.364533,13.369534,409000
"2001-06-18",13.510289,13.73029,12.88029,13.02529,260200
