"","Open","High","Low","Close","Volume"
"2001-01-02",31.160662,31.285662,30.535662,31.160662,4267800
"2001-01-03",32.221237,32.221237,29.221237,29.346237,7189400
"2001-01-04",30.130159,30.130159,26.880159,28.005159,12373700
"2001-01-05",28.221821,29.221821,27.659321,28.596821,5041900
"2001-01-08",28.320141,29.507641,28.257641,29.070141,3755700
"2001-01-09",29.00403,29.94153,28.69153,29.50403,3427400
"2001-01-10",29.593187,29.843187,28.780687,29.030687,4079800
"2001-01-11",29.445141,29.507641,28.382641,29.070141,3499800
"2001-01-12",29.208477,29.270977,28.520977,28.833477,3084900
"2001-01-16",28.803738,29.178738,28.428738,28.991238,3153700
"2001-01-17",29.448759,29.511259,28.386259,28.636259,4190400
"2001-01-18",28.399603,29.149603,28.399603,28.399603,3635800
"2001-01-19",28.337667,28.712667,27.462667,27.650167,4159100
"2001-01-22",27.212667,27.900167,26.837667,27.650167,2606000
"2001-01-23",28.005726,28.380726,26.693226,27.255726,6121000
"2001-01-24",27.85462,27.85462,26.47962,26.97962,5642400
"2001-01-25",26.110725,27.798225,26.110725,27.610725,5997200
"2001-01-26",28.245434,28.620434,27.495434,27.807934,4612700
"2001-01-29",27.697603,28.397604,27.427603,27.547606,3283100
"2001-01-30",27.086666,28.286667,26.776669,28.096668,4041500
"2001-01-31",28.512664,28.592662,27.272663,27.812664,5223500
"2001-02-01",27.56023,27.960232,26.640232,27.56023,4880300
"2001-02-02",26.823293,28.403295,26.603296,28.393297,5717500
"2001-02-05",28.160664,28.660664,27.660664,28.380665,5261000
"2001-02-06",28.653692,28.953696,28.203696,28.563692,4030300
"2001-02-07",28.015496,30.145498,28.015496,29.6555,6422400
"2001-02-08",29.617143,29.717141,28.967141,29.567139,4430000
"2001-02-09",29.906918,30.156918,28.976917,29.156918,2423100
"2001-02-12",29.380259,29.780256,28.730257,29.630259,3360200
"2001-02-13",29.106466,29.776464,28.616464,29.756468,3565900
"2001-02-14",29.972466,30.122463,29.112465,29.472466,3602800
"2001-02-15",29.317139,29.567139,28.967141,29.567139,3755700
"2001-02-16",29.49375,29.983748,29.40375,29.863749,5507700
"2001-02-20",29.608454,30.898455,29.528452,30.608454,5478600
"2001-02-21",30.049569,30.309571,29.469571,29.819569,7446200
"2001-02-22",29.827801,29.907803,28.6278,29.3778,5337600
"2001-02-23",29.19051,29.900509,28.290513,29.270512,4247700
"2001-02-26",29.307392,29.347389,28.467392,29.20739,3083700
