"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2001-01-02",45.5625,46.75,45.5,46.125,10655700,24.042063
"2001-01-03",46,46.4375,42.5,43.5625,22539500,22.70639
"2001-01-04",43.875,43.9375,41,41.8125,33064500,21.794218
"2001-01-05",42.5,43.4375,41.625,42.375,18119200,22.087412
"2001-01-08",43,43.375,41.5625,41.875,13846000,21.826799
"2001-01-09",42.25,43.25,42,43.25,11225900,22.543503
"2001-01-10",43.125,43.75,42.25,42.3125,14161100,22.054844
"2001-01-11",42.125,42.375,40.75,41,22098000,21.370712
"2001-01-12",41,41.75,40.875,41.4375,18387600,21.598764
"2001-01-16",41,42.125,40.9375,41.6875,16295900,21.729063
"2001-01-17",41.375,41.375,40.5,40.75,17255700,21.240408
"2001-01-18",41.125,41.8125,40.875,41.125,17133300,21.435875
"2001-01-19",41,41.5,40.625,41.375,16545300,21.566183
"2001-01-22",41.75,42.4375,41.4375,42.125,14709000,21.957108
"2001-01-23",41.75,42.9375,41.625,42.875,12208900,22.34803
"2001-01-24",42.875,43.1875,42.25,42.9375,21559000,22.380617
"2001-01-25",43,44.9375,42.875,44.4375,14745400,23.162472
"2001-01-26",44.9375,45.125,44,44.3125,14351900,23.097313
"2001-01-29",44.32,44.900002,43.09,43.299999,10291000,22.569544
"2001-01-30",43.549999,44.599998,43.07,44.279999,9589500,23.080374
"2001-01-31",44.279999,45.150002,43.389999,45.150002,13045200,23.533855
"2001-02-01",45.150002,45.209999,44.509998,45.209999,9538700,23.565125
"2001-02-02",45.189999,45.240002,44.66,44.900002,9906100,23.403547
"2001-02-05",44.900002,46,44.709999,45.75,11377900,23.846586
"2001-02-06",46.700001,46.709999,45.59,45.849998,15564500,23.898716
"2001-02-07",45.849998,46.200001,44.5,44.5,19117000,23.195047
"2001-02-08",44.700001,45.279999,44.02,44.75,11761800,23.325356
"2001-02-09",44.849998,46.049999,44.759998,45.040001,10115100,23.476507
"2001-02-12",45.25,46.119999,45.07,46.119999,10924100,24.039454
"2001-02-13",45.290001,45.290001,44.560001,45.029999,14356100,23.471304
"2001-02-14",44.650002,45.48,44.259998,45.200001,11218000,23.617607
"2001-02-15",44.549999,44.75,43.549999,44.25,12204300,23.121223
"2001-02-16",43.950001,45.529999,43.950001,45.259998,14790600,23.64896
"2001-02-20",45.27,45.950001,44.799999,44.869999,11025900,23.445183
"2001-02-21",45.099998,46,44.75,44.810001,12084500,23.413828
"2001-02-22",45.950001,46,44.68,45.09,17276200,23.560129
"2001-02-23",45.09,45.150002,44.32,44.82,9996800,23.419054
"2001-02-26",44.25,45.25,44,45.25,11181500,23.64373
"2001-02-27",45.07,45.439999,44.91,45.209999,8087800,23.622833
"2001-02-28",45.25,45.48,44.450001,45,14031300,23.513109
"2001-03-01",44.98,44.98,43.799999,44.099998,14837300,23.042835
"2001-03-02",44.299999,44.52,43.220001,43.610001,15909500,22.7868
"2001-03-05",43.540001,44.07,42.889999,43.830002,10063100,22.90176
"2001-03-06",44.470001,44.470001,42.91,43.099998,10659300,22.520325
"2001-03-07",42.700001,42.84,41.77,41.950001,15972100,21.919436
"2001-03-08",41.959999,42.450001,41.5,42,13707900,21.945566
"2001-03-09",42.369999,42.830002,42.130001,42.450001,11227300,22.1807
"2001-03-12",41.700001,42.25,40,40.349998,13750200,21.083416
"2001-03-13",40.099998,40.25,38.25,39.900002,21433500,20.848282
"2001-03-14",39,39.5,38.200001,39,18618900,20.378017
"2001-03-15",39,39.200001,38,38.549999,18045500,20.142883
"2001-03-16",38.02,38.400002,36.889999,37.369999,28063000,19.526329
"2001-03-19",37.049999,37.990002,37.049999,37.599998,14040900,19.646503
"2001-03-20",38,38.209999,37.099998,37.220001,15353400,19.447945
"2001-03-21",37.349998,37.5,35.709999,35.98,17576100,18.800034
"2001-03-22",35.91,36.009998,34.099998,35.669998,27416100,18.638052
"2001-03-23",36.700001,37.779999,36.009998,37.529999,20882000,19.60993
"2001-03-26",38.25,39.5,37.400002,38.740002,15798700,20.242176
"2001-03-27",39,40,38.540001,39.98,15243100,20.890087
"2001-03-28",39.900002,40.290001,39.02,39.93,12059700,20.863962
"2001-03-29",39.950001,41.02,39.049999,39.990002,15641000,20.895311
"2001-03-30",40.299999,40.950001,39.599998,40.950001,14502100,21.396925
"2001-04-02",40.75,40.869999,38.5,38.950001,15844200,20.351898
"2001-04-03",39.200001,39.98,38.5,39.02,16348200,20.388475
"2001-04-04",38.77,40.369999,38.700001,39.75,13844800,20.769915
"2001-04-05",40.450001,40.849998,39.790001,40.799999,12532100,21.318548
"2001-04-06",40.200001,41.080002,40,41.080002,11796900,21.464849
"2001-04-09",41.59,41.990002,41.509998,41.970001,10380500,21.929892
"2001-04-10",42,42.029999,40.299999,41,14440400,21.423046
"2001-04-11",39.209999,40.130001,39.130001,40,17350000,20.900532
"2001-04-12",40,40.810001,39.68,40.700001,10839300,21.266294
