"","Open","High","Low","Close","Volume"
"2001-01-02",23.479563,24.667063,23.417063,24.042063,10655700
"2001-01-03",25.14389,25.58139,21.64389,22.70639,22539500
"2001-01-04",23.856718,23.919218,20.981718,21.794218,33064500
"2001-01-05",22.212412,23.149912,21.337412,22.087412,18119200
"2001-01-08",22.951799,23.326799,21.514299,21.826799,13846000
"2001-01-09",21.543503,22.543503,21.293503,22.543503,11225900
"2001-01-10",22.867344,23.492344,21.992344,22.054844,14161100
"2001-01-11",22.495712,22.745712,21.120712,21.370712,22098000
"2001-01-12",21.161264,21.911264,21.036264,21.598764,18387600
"2001-01-16",21.041563,22.166563,20.979063,21.729063,16295900
"2001-01-17",21.865408,21.865408,20.990408,21.240408,17255700
"2001-01-18",21.435875,22.123375,21.185875,21.435875,17133300
"2001-01-19",21.191183,21.691183,20.816183,21.566183,16545300
"2001-01-22",21.582108,22.269608,21.269608,21.957108,14709000
"2001-01-23",21.22303,22.41053,21.09803,22.34803,12208900
"2001-01-24",22.318117,22.630617,21.693117,22.380617,21559000
"2001-01-25",21.724972,23.662472,21.599972,23.162472,14745400
"2001-01-26",23.722313,23.909813,22.784813,23.097313,14351900
"2001-01-29",23.589545,24.169547,22.359545,22.569544,10291000
"2001-01-30",22.350374,23.400373,21.870375,23.080374,9589500
"2001-01-31",22.663852,23.533855,21.773852,23.533855,13045200
"2001-02-01",23.505128,23.565125,22.865124,23.565125,9538700
"2001-02-02",23.693544,23.743547,23.163545,23.403547,9906100
"2001-02-05",22.996588,24.096586,22.806585,23.846586,11377900
"2001-02-06",24.748719,24.758717,23.638718,23.898716,15564500
"2001-02-07",24.545045,24.895048,23.195047,23.195047,19117000
"2001-02-08",23.275357,23.855355,22.595356,23.325356,11761800
"2001-02-09",23.286504,24.486505,23.196504,23.476507,10115100
"2001-02-12",23.169455,24.039454,22.989455,24.039454,10924100
"2001-02-13",23.731306,23.731306,23.001306,23.471304,14356100
"2001-02-14",23.067608,23.897606,22.677604,23.617607,11218000
"2001-02-15",23.421222,23.621223,22.421222,23.121223,12204300
"2001-02-16",22.338963,23.918961,22.338963,23.64896,14790600
"2001-02-20",23.845184,24.525185,23.375183,23.445183,11025900
"2001-02-21",23.703825,24.603827,23.353827,23.413828,12084500
"2001-02-22",24.42013,24.470129,23.150129,23.560129,17276200
"2001-02-23",23.689054,23.749056,22.919054,23.419054,9996800
"2001-02-26",22.64373,23.64373,22.39373,23.64373,11181500
"2001-02-27",23.482834,23.852833,23.322834,23.622833,8087800
"2001-02-28",23.763109,23.993109,22.96311,23.513109,14031300
"2001-03-01",23.922837,23.922837,22.742836,23.042835,14837300
"2001-03-02",23.476798,23.696799,22.3968,22.7868,15909500
"2001-03-05",22.611759,23.141758,21.961757,22.90176,10063100
"2001-03-06",23.890328,23.890328,22.330327,22.520325,10659300
"2001-03-07",22.669436,22.809435,21.739435,21.919436,15972100
"2001-03-08",21.905565,22.395567,21.445566,21.945566,13707900
"2001-03-09",22.100698,22.560701,21.8607,22.1807,11227300
"2001-03-12",22.433419,22.983418,20.733418,21.083416,13750200
"2001-03-13",21.048278,21.19828,19.19828,20.848282,21433500
"2001-03-14",20.378017,20.878017,19.578018,20.378017,18618900
"2001-03-15",20.592884,20.792885,19.592884,20.142883,18045500
"2001-03-16",20.17633,20.556332,19.046329,19.526329,28063000
"2001-03-19",19.096504,20.036507,19.096504,19.646503,14040900
"2001-03-20",20.227944,20.437943,19.327942,19.447945,15353400
"2001-03-21",20.170032,20.320034,18.530033,18.800034,17576100
"2001-03-22",18.878054,18.978052,17.068052,18.638052,27416100
"2001-03-23",18.779932,19.85993,18.089929,19.60993,20882000
"2001-03-26",19.752174,21.002174,18.902176,20.242176,15798700
"2001-03-27",19.910087,20.910087,19.450088,20.890087,15243100
"2001-03-28",20.833964,21.223963,19.953962,20.863962,12059700
"2001-03-29",20.85531,21.925309,19.955308,20.895311,15641000
"2001-03-30",20.746923,21.396925,20.046922,21.396925,14502100
"2001-04-02",22.151897,22.271896,19.901897,20.351898,15844200
"2001-04-03",20.568476,21.348475,19.868475,20.388475,16348200
"2001-04-04",19.789915,21.389914,19.719916,20.769915,13844800
"2001-04-05",20.96855,21.368547,20.30855,21.318548,12532100
"2001-04-06",20.584848,21.464849,20.384847,21.464849,11796900
"2001-04-09",21.549891,21.949893,21.469889,21.929892,10380500
"2001-04-10",22.423046,22.453045,20.723045,21.423046,14440400
"2001-04-11",20.110531,21.030533,20.030533,20.900532,17350000
"2001-04-12",20.566293,21.376294,20.246293,21.266294,10839300
"2001-04-16",21.830797,22.210798,20.950796,21.370798,10990500
"2001-04-17",20.099798,22.239802,20.0698,22.1598,12432400
"2001-04-18",21.970796,23.220796,21.070794,21.370798,27480400
"2001-04-19",21.296032,21.686032,20.796032,20.796032,24579400
"2001-04-20",20.287651,21.437653,20.047649,21.297649,19537200
"2001-04-23",21.323048,21.683044,21.183044,21.423046,11785400
"2001-04-24",21.652241,22.122242,20.762242,21.172241,11114300
"2001-04-25",21.016018,21.716019,20.886017,21.376019,10232900
"2001-04-26",20.70682,22.29682,20.45682,22.20682,16881200
"2001-04-27",21.500782,22.610783,21.320782,22.530781,13011900
"2001-04-30",22.344816,23.284815,22.324816,22.624815,13977200
