"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"2001-01-02",51.75,52.3125,48.25,48.5,1115000,38.825016
"2001-01-03",48.5,50.3125,45.5,50.03125,2008400,40.050816
"2001-01-04",50,50,46.5,46.84375,1134400,37.499176
"2001-01-05",46.84375,46.90625,41.75,43.125,1809800,34.522221
"2001-01-08",42.875,45.1875,42.34375,44.46875,1222400,35.597935
"2001-01-09",45.5,45.5,42.6875,43.65625,1249600,34.947517
"2001-01-10",43.21875,46.1875,43.21875,45.5625,1212600,36.473495
"2001-01-11",45.96875,47.96875,44.9375,47.78125,807400,38.249653
"2001-01-12",47.90625,48.09375,45.75,45.84375,624200,36.69865
"2001-01-16",45.75,46.21875,42.8125,45.46875,1093000,36.398449
"2001-01-17",45.46875,47.96875,45.46875,46.3125,1310200,37.1884
"2001-01-18",46.3125,47.09375,45.53125,46.90625,713400,37.665157
"2001-01-19",46.96875,46.96875,43.375,43.75,1033800,35.130722
"2001-01-22",44.3125,44.96875,44,44.71875,876200,35.908623
"2001-01-23",44.84375,45.6875,44.53125,45.28125,1048600,36.360317
"2001-01-24",45.1875,45.875,43,43,1331200,34.528503
"2001-01-25",45,45.25,42.75,43.96875,2363200,35.306389
"2001-01-26",44,46.46875,43.21875,45.625,1163800,36.636333
"2001-01-29",45.375,46.110001,45.055,45.599998,917400,36.616257
"2001-01-30",46.5,47.119999,45.529999,46.150002,947400,37.057892
"2001-01-31",46.450001,48.950001,46.200001,48.744999,1382600,39.141678
"2001-02-01",48.650002,49.099998,47.529999,47.529999,1465000,38.166012
"2001-02-02",47.560001,47.560001,45.5,45.68,864000,36.680504
"2001-02-05",46.400002,46.450001,44.880001,45.560001,1303800,36.584133
"2001-02-06",45.959999,48.75,45.950001,47.650002,1087400,38.262398
"2001-02-07",47,47.005001,45.130001,45.740002,726800,36.728668
"2001-02-08",45.740002,46.744999,45.02,45.18,651200,36.279015
"2001-02-09",45.18,45.450001,43.805,44.345001,576200,35.608521
"2001-02-12",44.345001,45.575001,44.314999,45.119999,507400,36.230824
"2001-02-13",45,46.345001,44.009998,44.014999,469400,35.343529
"2001-02-14",43.700001,45.740002,43.064999,45.740002,992600,36.728668
"2001-02-15",46.5,46.869999,45.25,45.700001,796600,36.696552
"2001-02-16",44.650002,44.650002,42.200001,43.939999,1040000,35.283306
"2001-02-20",43,43.220001,40,40.244999,1258000,32.316273
"2001-02-21",39.775002,41.424999,38.5,38.900002,1211800,31.236248
"2001-02-22",38.275002,38.75,36.450001,37.049999,2968200,29.750715
"2001-02-23",36.75,38,35.799999,37.689999,1250800,30.264633
"2001-02-26",37.810001,39.345001,37.799999,39.345001,1818000,31.593565
"2001-02-27",39.345001,39.799999,38.005001,38.224998,1201800,30.69422
"2001-02-28",38.5,38.625,35.52,36.610001,1553200,29.397388
"2001-03-01",35.875,36.240002,34.264999,35.994999,1310800,28.903557
