"","Open","High","Low","Close","Volume"
"2001-01-02",21.147287,21.272287,20.084787,20.147287,166700
"2001-01-03",21.737919,23.175419,18.862919,18.925419,381200
"2001-01-04",20.236322,20.236322,16.611322,17.486322,519000
"2001-01-05",16.991465,18.241465,16.991465,17.866465,435000
"2001-01-08",17.211256,18.523756,17.211256,18.273756,368000
"2001-01-09",18.333681,18.521181,17.521181,18.083681,228300
"2001-01-10",18.385429,19.135429,17.572929,17.947929,282900
"2001-01-11",18.407436,18.407436,16.782436,17.594936,543200
"2001-01-12",17.559582,18.434582,17.059582,17.622082,540100
"2001-01-16",18.062649,18.125149,16.687649,17.187649,506700
"2001-01-17",16.850569,17.663069,16.725569,17.350569,271800
"2001-01-18",16.562155,17.999655,16.562155,17.812155,353000
"2001-01-19",17.687155,18.499655,16.562155,17.812155,181000
"2001-01-22",17.442297,18.817297,17.379797,18.192297,274400
"2001-01-23",17.645702,19.020702,17.645702,18.708202,270600
"2001-01-24",18.735344,19.547844,18.610344,18.735344,217400
"2001-01-25",18.400833,19.525833,18.400833,19.088333,198900
"2001-01-26",19.205139,19.548889,17.705139,19.142639,201800
"2001-01-29",19.124578,19.794577,18.984575,19.154577,216000
"2001-01-30",19.24465,19.364653,18.794654,18.99465,358100
"2001-01-31",18.995783,18.995783,18.255781,18.915781,223800
"2001-02-01",18.403128,18.703127,18.153128,18.403128,416700
"2001-02-02",18.480647,19.150649,18.35065,18.42065,351500
"2001-02-05",18.013209,19.55321,18.013209,18.863207,239600
"2001-02-06",18.126669,19.436671,17.80667,19.086672,473700
"2001-02-07",18.395622,19.905621,18.395622,19.625622,424800
"2001-02-08",19.860918,20.01092,19.340918,19.410917,357800
"2001-02-09",18.757854,19.907852,18.757854,19.857853,244400
"2001-02-12",20.426071,20.97607,19.076068,19.516071,283800
"2001-02-13",19.642377,20.242375,18.942376,19.542374,703200
"2001-02-14",19.716522,19.986523,19.016526,19.406525,194200
"2001-02-15",19.472719,19.51272,19.052721,19.362719,137500
"2001-02-16",18.731098,20.011101,18.731098,19.941097,423100
"2001-02-20",19.675802,20.805804,19.375803,20.155802,292200
"2001-02-21",19.58273,21.052731,19.58273,20.60273,518400
"2001-02-22",20.464752,21.214752,20.204754,20.694752,291600
"2001-02-23",20.763632,21.323629,19.673631,20.77363,506100
"2001-02-26",21.393438,21.79344,19.943442,20.243441,647000
"2001-02-27",20.252979,20.652981,19.902981,20.352982,206800
"2001-02-28",20.372982,20.402981,19.492981,20.352982,233800
"2001-03-01",20.581417,20.581417,19.761417,20.151421,318800
"2001-03-02",19.978499,20.398501,19.478499,20.278498,320100
"2001-03-05",20.611994,20.851991,19.761991,20.111994,174100
"2001-03-06",20.277709,20.527709,19.977705,20.177706,237800
"2001-03-07",20.071537,20.871536,19.691536,20.221539,318300
"2001-03-08",19.996802,20.646799,19.946798,20.396799,325100
"2001-03-09",20.591742,20.69174,19.871741,20.361742,145100
"2001-03-12",20.554117,20.774118,20.274118,20.274118,263300
"2001-03-13",20.961457,21.011456,19.661458,19.761456,267100
"2001-03-14",20.340131,20.340131,19.140135,19.310133,223700
"2001-03-15",18.998549,19.758547,18.69855,19.498549,313800
"2001-03-16",19.135642,20.025642,19.135642,19.235645,344700
"2001-03-19",19.526671,19.706671,19.006671,19.086672,237800
"2001-03-20",18.8542,19.6042,18.404204,19.1042,281300
"2001-03-21",19.122748,20.472746,18.872748,18.972746,322400
"2001-03-22",20.023371,20.083373,17.223372,18.153372,373500
"2001-03-23",18.220008,18.28001,17.450008,18.000011,391700
"2001-03-26",17.472774,18.872776,17.472774,18.582775,321100
"2001-03-27",18.699175,19.569173,18.399171,18.679174,256300
"2001-03-28",18.405293,19.625294,18.305295,19.415295,346500
"2001-03-29",18.688417,19.838419,18.28842,19.818419,339500
"2001-03-30",19.468846,20.778843,19.468846,20.098843,266700
"2001-04-02",19.65129,20.511286,19.071288,20.471289,406700
"2001-04-03",20.011826,20.991826,19.101826,20.821827,558600
"2001-04-04",20.97475,21.464752,20.024753,20.694752,402000
"2001-04-05",20.900163,20.950162,19.570161,20.550165,403800
"2001-04-06",21.180542,22.080544,19.580544,19.980541,571100
"2001-04-09",19.24284,21.06284,19.24284,20.67284,452900
"2001-04-10",20.253489,21.443492,20.193492,21.093489,674700
"2001-04-11",21.373512,21.373512,20.103516,20.703514,535200
"2001-04-12",20.266419,21.166416,20.116417,20.966415,401600
"2001-04-16",20.329861,22.329861,20.329861,21.579861,546100
"2001-04-17",21.848949,22.448952,21.468948,21.79895,649700
"2001-04-18",22.231548,22.601547,21.301548,21.461548,441800
"2001-04-19",22.06529,22.56529,20.81529,21.04529,373100
"2001-04-20",21.219456,22.439457,20.439457,20.909458,313800
"2001-04-23",20.532681,21.432678,20.532681,21.382679,258800
"2001-04-24",21.649182,22.069184,21.189183,21.549183,318800
"2001-04-25",21.229829,22.129826,21.029828,21.969826,371800
"2001-04-26",21.700615,22.350617,21.700615,22.070614,410400
"2001-04-27",22.149928,22.299925,21.449927,22.169928,768100
"2001-04-30",22.266696,22.436698,21.566695,22.156696,313200
"2001-05-01",22.529753,23.029753,21.779753,21.869753,379700
"2001-05-02",22.631895,22.681894,21.281892,21.551893,306400
