"","PVH.Open","PVH.High","PVH.Low","PVH.Close","PVH.Volume","PVH.Adjusted"
"2001-01-02",12.9375,12.9375,11.5,11.5625,80200,10.659187
"2001-01-03",11.4375,12.375,11.25,12.1875,107900,11.235357
"2001-01-04",12.125,12.125,11.4375,11.625,249700,10.716802
"2001-01-05",11.625,11.8125,11.5625,11.5625,57200,10.659187
"2001-01-08",11.6875,11.8125,11.1875,11.3125,118600,10.428715
"2001-01-09",11.3125,12,11.3125,12,118500,11.062507
"2001-01-10",12,12,11.5,11.625,107400,10.716802
"2001-01-11",11.625,11.625,11.25,11.4375,48000,10.543957
"2001-01-12",11.4375,11.9375,11,11.9375,79300,11.004889
"2001-01-16",11.9375,12.1875,11.8125,12.0625,270600,11.120122
"2001-01-17",12.0625,12.0625,11.6875,12,56900,11.062507
"2001-01-18",11.9375,11.9375,11.875,11.9375,19300,11.004889
"2001-01-19",11.875,11.9375,11.6875,11.8125,24600,10.889659
"2001-01-22",12.125,12.3125,12,12.25,242600,11.292975
"2001-01-23",12.875,13.0625,12.6875,12.875,340100,11.86915
"2001-01-24",12.875,13.4375,12.875,13,73500,11.984382
"2001-01-25",13.0625,13.125,12.8125,13,75900,11.984382
"2001-01-26",13,13.1875,13,13.0625,54400,12.042001
"2001-01-29",13.09,13.1,12.1,12.18,79800,11.228447
"2001-01-30",12.55,13.44,12.55,13.26,120600,12.22407
"2001-01-31",13.36,13.47,12.82,12.91,71600,11.901415
"2001-02-01",13.3,14,13.3,13.8,92700,12.721884
"2001-02-02",14.05,14.07,13.8,14.05,73800,12.95235
"2001-02-05",14.01,15,14,14.9,125600,13.735947
"2001-02-06",15,15.48,14.91,15.25,239100,14.058601
"2001-02-07",15.26,15.75,14.9,15.26,163000,14.067822
"2001-02-08",15.25,15.32,15.25,15.25,32600,14.058601
"2001-02-09",15.25,15.7,15.25,15.7,179600,14.473446
"2001-02-12",15.83,15.84,14.88,15.06,137100,13.883446
"2001-02-13",15.08,15.1,14.99,15.05,99800,13.874232
"2001-02-14",15.09,15.1,14.76,14.94,97800,13.772821
"2001-02-15",15.04,15.09,14.74,14.86,82300,13.699071
"2001-02-16",14.76,15.1,14.7,14.78,66800,13.625322
"2001-02-20",14.88,15.25,14.88,15.07,196800,13.89267
"2001-02-21",15.07,15.35,15,15.01,84800,13.837357
"2001-02-22",15.01,15.32,14.9,15.04,53200,13.865005
"2001-02-23",15.02,15.25,14.91,15.25,64900,14.058601
"2001-02-26",15.29,15.29,14.93,15.25,42000,14.058601
"2001-02-27",15.05,15.1,14.75,14.95,69900,13.782043
"2001-02-28",14.95,15.05,14.45,14.9,85100,13.735947
"2001-03-01",14.99,14.99,14,14.8,58600,13.64376
"2001-03-02",14.9,15.2,14.71,15,138800,13.828134
"2001-03-05",15,15.3,14.7,15.25,98300,14.058601
"2001-03-06",15.25,16.450001,15.15,15.96,242400,14.713137
"2001-03-07",16.049999,16.4,16.049999,16.209999,310900,14.943604
"2001-03-08",16.209999,16.209999,15.75,16.17,95200,14.906728
"2001-03-09",16.17,16.389999,16.01,16.299999,47800,15.026571
"2001-03-12",16.379999,16.379999,15,15.25,92400,14.058601
"2001-03-13",15.25,15.97,15.25,15.51,77400,14.298291
"2001-03-14",15.4,15.6,14.7,14.75,85600,13.597667
"2001-03-15",14.61,15.14,14.47,14.48,80100,13.382786
"2001-03-16",14.47,14.47,14,14.15,73900,13.077787
"2001-03-19",14.05,15.35,14.05,14.95,173200,13.817167
"2001-03-20",14.5,15.1,14.5,14.74,75900,13.623077
"2001-03-21",14.84,14.91,14.51,14.6,28100,13.493692
"2001-03-22",14.6,14.67,13.5,13.8,58500,12.754312
"2001-03-23",13.9,14.45,12.7,13.4,124700,12.38462
"2001-03-26",13.3,14.2,13.3,14.03,90000,12.966877
"2001-03-27",13.93,15.1,13.91,15.1,73700,13.9558
"2001-03-28",15.05,15.05,14.28,14.3,87200,13.216419
"2001-03-29",14.4,14.76,14.05,14.05,77800,12.985364
"2001-03-30",14.15,15.24,14.15,15.08,96100,13.937316
"2001-04-02",15.2,15.45,14.85,15.35,105700,14.186859
"2001-04-03",15.45,15.48,15.08,15.24,128300,14.085193
"2001-04-04",15.24,15.45,14.8,15.3,97200,14.140645
"2001-04-05",15.47,15.75,15.4,15.5,103800,14.325491
"2001-04-06",15.5,15.5,15.25,15.3,58000,14.140645
"2001-04-09",15.3,15.9,15.3,15.8,76700,14.602756
"2001-04-10",15.8,15.8,15.36,15.65,89100,14.464128
"2001-04-11",15.7,15.7,15.25,15.44,38900,14.270041
"2001-04-12",15.4,15.4,14.72,15.1,68600,13.9558
"2001-04-16",15.1,15.25,15.1,15.11,71200,13.965043
"2001-04-17",15.15,15.2,15.1,15.1,60700,13.9558
"2001-04-18",15.3,15.9,15.1,15.75,228400,14.556551
"2001-04-19",15.75,15.94,15.25,15.4,72300,14.233071
"2001-04-20",15.25,15.25,14.57,14.7,105300,13.586113
"2001-04-23",14.6,14.8,14,14.8,119400,13.678531
"2001-04-24",14.9,15.09,14.83,15.09,30600,13.946559
"2001-04-25",15.09,15.09,14.8,14.85,52000,13.724747
"2001-04-26",14.95,15.1,14.8,14.82,62800,13.697018
"2001-04-27",14.72,15.15,14.7,15.15,31300,14.002014
"2001-04-30",15.15,16.18,15,15,201400,13.86338
"2001-05-01",15.4,17,15.25,17,465000,15.711825
"2001-05-02",16.75,16.98,15.08,16.5,180700,15.249722
"2001-05-03",16.5,16.799999,16.02,16.16,50400,14.935483
"2001-05-04",16.1,16.48,15.92,16.48,69500,15.231237
"2001-05-07",16.48,17.450001,16.25,17.219999,189800,15.915155
"2001-05-08",17.15,17.200001,16.950001,17.1,42700,15.804255
"2001-05-09",17,17.450001,16.950001,17.299999,58900,15.989101
"2001-05-10",17.25,17.299999,16.549999,17.299999,194200,15.989101
"2001-05-11",17.25,17.549999,17.15,17.4,49600,16.081518
"2001-05-14",17.65,17.85,17.02,17.75,73200,16.405001
"2001-05-15",17.75,18.700001,17.35,17.67,228000,16.331064
"2001-05-16",17.92,17.92,17.299999,17.35,84400,16.035311
"2001-05-17",17.5,18.200001,17.309999,17.6,75400,16.266363
"2001-05-18",17.65,18.5,17.65,18.450001,160900,17.051954
"2001-05-21",18.4,18.58,18.25,18.450001,96200,17.051954
"2001-05-22",18.450001,18.74,18.4,18.450001,231900,17.051954
"2001-05-23",18.4,18.450001,17.65,17.65,115400,16.312571
"2001-05-24",17.799999,17.799999,14.8,15.69,350700,14.531973
"2001-05-25",15.75,16,15.74,15.93,78100,14.754259
"2001-05-29",16,16.73,15.86,16.73,139000,15.495208
"2001-05-30",16.73,17,16.25,16.549999,107200,15.328492
"2001-05-31",16.799999,16.799999,15.5,15.5,161000,14.355992
"2001-06-01",15.57,16,15.57,15.91,128700,14.735736
"2001-06-04",15.95,16,15.85,16,74000,14.819088
"2001-06-05",16,16.02,15.9,16,166800,14.819088
"2001-06-06",15.95,16,15.65,15.65,58800,14.494926
"2001-06-07",15.75,15.75,15.15,15.33,69200,14.198539
"2001-06-08",15.25,15.29,14.1,14.7,188300,13.615036
"2001-06-11",14.6,14.7,13.8,14,130100,12.966703
"2001-06-12",14.05,14.2,13.76,13.98,140700,12.948178
"2001-06-13",14.1,14.11,13.89,14.11,108500,13.068584
"2001-06-14",13.8,14.4,13.76,14.4,77800,13.337183
"2001-06-15",14.35,14.35,14.19,14.25,152500,13.198253
"2001-06-18",14.48,14.48,14.15,14.15,156800,13.105637
"2001-06-19",14.7,14.7,14.2,14.2,91500,13.15194
"2001-06-20",14.21,14.59,14.21,14.5,102100,13.429802
"2001-06-21",14.55,14.63,14.22,14.6,101600,13.522423
"2001-06-22",14.5,14.5,13.94,14.09,48400,13.050057
"2001-06-25",14.18,14.36,13.8,13.8,45800,12.781467
"2001-06-26",13.7,14.74,13.7,14.74,143600,13.652084
"2001-06-27",14.84,14.96,14,14.12,104400,13.077848
"2001-06-28",14.2,14.6,14.15,14.25,84100,13.198253
"2001-06-29",14.35,14.7,14.22,14.4,115300,13.337183
"2001-07-02",14.3,14.6,14.15,14.15,76100,13.105637
"2001-07-03",14.25,14.42,14.21,14.3,18800,13.244559
"2001-07-05",14.25,14.3,13.8,14.06,69900,13.02227
"2001-07-06",14.06,14.15,13.05,13.15,165000,12.179441
"2001-07-09",13,13,12.2,12.28,332200,11.373653
"2001-07-10",11.7,12.2,11.7,12.12,515700,11.22546
"2001-07-11",12.22,14.51,12.22,14.41,354300,13.346437
"2001-07-12",14.75,14.75,13.8,13.9,68600,12.874086
"2001-07-13",13.95,14.44,13.95,14.29,63300,13.235302
"2001-07-16",14.39,14.4,14.1,14.2,55700,13.15194
"2001-07-17",14.18,14.5,14.02,14.5,61100,13.429802
"2001-07-18",14.4,14.75,14.3,14.65,42000,13.568735
"2001-07-19",14.7,15.2,14.63,14.8,103600,13.707657
"2001-07-20",14.76,14.99,14.65,14.81,36800,13.716921
"2001-07-23",14.82,15.03,14.73,14.9,77900,13.800277
"2001-07-24",14.95,15.05,14.35,14.35,70600,13.290872
"2001-07-25",14.35,14.58,14.25,14.3,113000,13.244559
"2001-07-26",14.3,14.55,13.8,13.99,109100,12.957443
"2001-07-27",13.99,13.99,13.2,13.34,133900,12.355417
"2001-07-30",13.4,14,13.2,14,127700,12.966703
"2001-07-31",14,14.05,13.5,13.7,101600,12.688848
"2001-08-01",13.65,13.65,12.85,12.95,91500,11.9942
"2001-08-02",12.85,12.86,11.7,12.1,515400,11.206942
"2001-08-03",12.08,12.45,12.08,12.45,48800,11.531103
"2001-08-06",12.45,12.45,11.89,11.9,33000,11.021699
"2001-08-07",12,12.2,11.65,11.75,58500,10.882767
"2001-08-08",11.8,11.99,11.5,11.5,79300,10.65122
"2001-08-09",11.6,12.3,11.6,12.27,185700,11.36439
"2001-08-10",12.37,12.37,12.15,12.21,92400,11.308819
"2001-08-13",12.15,12.55,12.15,12.32,103800,11.410701
"2001-08-14",12.4,12.75,12.35,12.61,79800,11.679296
"2001-08-15",12.6,13.4,12.6,13.39,85500,12.401725
"2001-08-16",13.3,13.3,12.87,13.05,87300,12.086818
"2001-08-17",13.03,13.12,13,13.05,21700,12.086818
"2001-08-20",13.02,13.3,13,13.23,14100,12.253536
"2001-08-21",13.33,13.42,13,13.01,81200,12.049771
"2001-08-22",12.97,13.1,12.85,13.1,77300,12.168202
"2001-08-23",13.45,13.8,13.1,13.57,154200,12.604769
"2001-08-24",13.58,14.05,13.58,13.82,108800,12.836991
"2001-08-27",13.83,14.4,13.83,14.26,84700,13.245692
"2001-08-28",14.26,14.3,14.05,14.23,114800,13.21783
"2001-08-29",14.23,14.24,14,14.18,145700,13.171387
"2001-08-30",14.15,14.36,14.12,14.21,97000,13.199253
"2001-08-31",14.22,14.77,14.19,14.77,68400,13.719419
"2001-09-04",14.87,14.87,14,14,71300,13.004188
"2001-09-05",14.1,14.35,14.02,14.13,37700,13.124941
"2001-09-06",14.14,14.14,14,14.01,158300,13.013476
"2001-09-07",14,14.03,13.31,13.34,178400,12.391134
"2001-09-10",13.24,13.24,12.56,12.66,156800,11.759506
"2001-09-17",12.66,12.66,11.2,11.2,29500,10.40335
"2001-09-18",11.3,11.4,10.6,10.98,59100,10.198999
"2001-09-19",10.98,10.98,10.4,10.67,32300,9.911053
"2001-09-20",10.57,10.57,9.52,9.7,47000,9.010043
"2001-09-21",9.1,9.78,9,9.12,341300,8.471298
"2001-09-24",9.15,10.85,9.15,9.99,110100,9.279418
"2001-09-25",9.6,9.7,9.3,9.7,156500,9.010043
"2001-09-26",9.75,9.75,9.4,9.41,54400,8.740673
"2001-09-27",9.41,9.41,9.01,9.24,51000,8.582759
"2001-09-28",9.5,9.9,9.25,9.9,119600,9.195825
"2001-10-01",9.88,10.35,9.32,9.44,108800,8.768536
"2001-10-02",9.5,9.5,9.15,9.23,124800,8.573473
"2001-10-03",9.26,9.65,9.12,9.5,215700,8.82427
"2001-10-04",9.6,9.99,9.6,9.67,94400,8.98218
"2001-10-05",9.75,9.9,9.2,9.8,45800,9.102928
"2001-10-08",9.8,9.9,9.5,9.8,14600,9.102928
"2001-10-09",9.7,9.71,9.3,9.3,12600,8.638495
"2001-10-10",9.3,9.65,9.25,9.59,47700,8.907867
"2001-10-11",9.5,10,9.5,9.95,160300,9.242263
"2001-10-12",9.85,9.88,9.62,9.69,25200,9.00076
"2001-10-15",9.75,10,9.71,9.93,47300,9.223685
"2001-10-16",9.93,10,9.92,9.93,27900,9.223685
"2001-10-17",9.98,10,9.6,9.6,56400,8.917155
"2001-10-18",9.6,9.62,9.4,9.54,103900,8.861423
"2001-10-19",9.55,9.9,9.55,9.89,47900,9.186529
"2001-10-22",9.95,10.15,9.84,9.85,45300,9.149372
"2001-10-23",9.8,10.45,9.75,9.75,53200,9.056484
"2001-10-24",9.75,9.79,9.44,9.54,41100,8.861423
"2001-10-25",9.2,9.35,9,9.33,111000,8.666361
"2001-10-26",9.33,9.58,9.26,9.35,83900,8.684935
"2001-10-29",9.25,9.39,8.85,9,98500,8.359832
"2001-10-30",9,9.04,8.4,8.5,116800,7.8954
"2001-10-31",8.52,8.79,8.5,8.54,236900,7.932553
"2001-11-01",8.55,8.75,8.32,8.7,62100,8.081175
"2001-11-02",8.71,8.9,8.5,8.51,72700,7.904688
"2001-11-05",8.45,9.14,8.45,9.14,40100,8.489876
"2001-11-06",9.04,9.55,8.5,9.35,58300,8.684935
"2001-11-07",9.15,9.95,9.15,9.86,123500,9.158664
"2001-11-08",9.9,10.24,9.55,9.55,86300,8.870712
"2001-11-09",9.55,10.1,9.55,9.83,345700,9.130795
"2001-11-12",9.9,9.9,9.48,9.52,71900,8.842845
"2001-11-13",9.5,10.25,9.49,10.25,199900,9.520922
"2001-11-14",10.25,11.1,10.23,11.07,150600,10.320355
"2001-11-15",11.25,11.77,11.25,11.5,220100,10.721234
"2001-11-16",11.5,11.9,11.26,11.26,167800,10.497485
"2001-11-19",11.26,11.5,11.26,11.27,38000,10.506809
"2001-11-20",11.25,11.4,10.9,10.99,49300,10.24577
"2001-11-21",10.9,11.05,10.5,10.97,89700,10.227122
"2001-11-23",11,11.3,11,11.1,30300,10.348323
"2001-11-26",11.13,11.29,10.96,11.05,105500,10.301709
"2001-11-27",11.1,11.25,10.92,11,48100,10.255098
"2001-11-28",11,11.05,10.8,10.99,70500,10.24577
"2001-11-29",11.01,11.12,10.96,11.07,52800,10.320355
"2001-11-30",11.15,11.27,10.6,11,116100,10.255098
"2001-12-03",10.95,10.99,10.52,10.71,57600,9.984732
"2001-12-04",10.71,11.05,10.71,11.04,62300,10.292385
"2001-12-05",11,11.23,10.98,11.2,88300,10.44155
"2001-12-06",11.1,11.2,10.97,11.1,91600,10.348323
"2001-12-07",11.02,11.32,11.02,11.05,81800,10.301709
