"","QEP.Open","QEP.High","QEP.Low","QEP.Close","QEP.Volume","QEP.Adjusted"
"2010-06-16",37,37,34.599998,34.610001,62900,33.883713
"2010-06-17",34.25,34.549999,33.799999,34,21700,33.286526
"2010-06-18",34.25,34.5,34.25,34.5,300,33.77602
"2010-06-21",34.310001,34.75,33.5,33.75,12000,33.041767
"2010-06-22",33.849998,33.849998,32.299999,32.299999,81900,31.622192
"2010-06-23",32.169998,32.27,31.74,32.27,7300,31.592821
"2010-06-24",32.470001,34.240002,31.98,32,420200,31.328485
"2010-06-25",32.25,32.950001,32.080002,32.509998,562300,31.827782
"2010-06-28",32.709999,32.709999,32.099998,32.25,361700,31.573233
"2010-06-29",32,32,30.07,30.309999,818800,29.673954
"2010-06-30",30.25,31.15,30.15,30.83,7171100,30.183044
"2010-07-01",30.4,31.030001,29.219999,29.309999,2811500,28.694933
"2010-07-02",29.5,29.959999,28.879999,29.02,3081100,28.411018
"2010-07-06",29.610001,29.610001,28.01,28.18,2271400,27.588655
"2010-07-07",28.51,29.629999,27.9,29.540001,2222400,28.920109
"2010-07-08",29.950001,31.09,29.91,30.299999,2271400,29.664158
"2010-07-09",30.32,31.209999,30.09,30.440001,1732700,29.801226
"2010-07-12",30.440001,30.440001,30,30.190001,1356300,29.556469
"2010-07-13",30.389999,30.67,30.33,30.469999,1379900,29.830593
"2010-07-14",30.25,30.57,30.02,30.469999,896500,29.830593
"2010-07-15",30.42,30.610001,29.690001,30.530001,1660000,29.889338
"2010-07-16",30.219999,30.540001,29.25,29.719999,1342500,29.096333
"2010-07-19",29.860001,30.32,29.549999,29.799999,1046400,29.17465
"2010-07-20",29.51,30.51,29.110001,30.43,1201600,29.791428
"2010-07-21",30.559999,30.559999,29.389999,29.719999,861500,29.096333
"2010-07-22",30.01,30.370001,29.809999,30.02,852800,29.390036
"2010-07-23",29.99,29.99,29.049999,29.27,662500,28.655779
"2010-07-26",29.18,29.6,28.950001,29.58,888800,28.95927
"2010-07-27",30.200001,31,29.51,30.16,1705700,29.527092
"2010-07-28",30.42,31.01,30.35,30.91,1706600,30.261364
"2010-07-29",31.49,33.16,31.34,32.5,3203200,31.817982
"2010-07-30",32.41,35.150002,31.68,34.419998,2745800,33.697708
"2010-08-02",33.790001,34.32,33.619999,33.900002,516400,33.188618
"2010-08-03",34.209999,34.790001,33.400002,34.560001,230200,33.834763
"2010-08-04",34.610001,34.990002,34.259998,34.900002,272600,34.167633
"2010-08-05",34.599998,35.060001,34.32,34.889999,204000,34.157833
"2010-08-06",34.41,34.709999,33.009998,33.970001,300200,33.257149
"2010-08-09",34.080002,34.459999,33.139999,34.299999,554300,33.580215
"2010-08-10",34.209999,34.279999,33.389999,33.610001,853000,32.904709
"2010-08-11",32.919998,32.919998,31.57,31.780001,860300,31.113106
"2010-08-12",31.5,31.5,30.059999,30.889999,1094900,30.241779
"2010-08-13",30.75,31.25,29.92,30.139999,1841400,29.507517
"2010-08-16",30.07,30.629999,29.629999,30.32,935700,29.683744
"2010-08-17",30.639999,31.93,30.290001,31.6,1117400,30.93688
"2010-08-18",31.42,31.9,30.790001,31.5,980500,30.858509
"2010-08-19",31.290001,31.459999,30.76,31.34,441800,30.701767
"2010-08-20",30.93,31.370001,30.77,31.01,724300,30.37849
"2010-08-23",31.09,31.48,30.58,31.17,497900,30.535231
"2010-08-24",30.66,30.93,30.33,30.65,893600,30.025818
"2010-08-25",30.549999,30.9,30.16,30.540001,758700,29.918062
"2010-08-26",30.709999,31.040001,30.16,30.41,1205500,29.790707
"2010-08-27",30.620001,30.68,29.76,30.379999,730700,29.761322
"2010-08-30",30.34,30.610001,29.440001,29.450001,736600,28.85026
"2010-08-31",29.209999,29.719999,28.57,29.030001,1402300,28.43881
"2010-09-01",29.5,30.799999,29.299999,30.76,929200,30.133581
"2010-09-02",30.84,31.549999,30.33,31.309999,546200,30.672384
"2010-09-03",31.68,31.85,31.110001,31.75,617200,31.103416
"2010-09-07",31.469999,31.74,31.25,31.309999,378800,30.672384
"2010-09-08",30.85,31.299999,30.26,30.549999,874400,29.927856
"2010-09-09",30.76,31.030001,30,30.08,383800,29.46743
"2010-09-10",30.08,30.219999,29.83,30.07,986800,29.457634
"2010-09-13",30.49,30.49,29.01,29.77,1569700,29.163742
"2010-09-14",29.780001,29.85,29.27,29.76,937900,29.153942
"2010-09-15",29.620001,29.889999,29.4,29.870001,463400,29.261707
"2010-09-16",29.610001,30.07,29.51,29.700001,872600,29.095165
"2010-09-17",29.860001,30.16,29.059999,29.190001,2999900,28.595552
"2010-09-20",29.309999,30,28.85,29.77,834600,29.163742
"2010-09-21",29.700001,29.709999,28.65,29.24,1687000,28.644533
"2010-09-22",29.360001,29.58,28.99,29.299999,1443500,28.703306
"2010-09-23",29.17,29.48,29.07,29.299999,1345700,28.703306
"2010-09-24",29.540001,29.73,29.24,29.34,1139500,28.742493
"2010-09-27",29.299999,29.5,29.129999,29.17,616800,28.575962
"2010-09-28",29.15,29.879999,28.74,29.84,569900,29.232315
"2010-09-29",29.809999,30.049999,29.610001,29.879999,887100,29.271498
"2010-09-30",29.940001,30.75,29.809999,30.139999,951300,29.526207
"2010-10-01",30.290001,30.889999,30.209999,30.35,1063200,29.731934
"2010-10-04",30.32,30.48,29.940001,30.040001,560100,29.428242
"2010-10-05",30.23,30.57,30.190001,30.389999,898100,29.771116
"2010-10-06",30.389999,30.83,30.15,30.790001,1242200,30.162968
"2010-10-07",30.82,30.98,30.23,30.450001,778800,29.829895
"2010-10-08",30.459999,30.719999,30.290001,30.35,967100,29.731934
"2010-10-11",30.280001,30.43,30.1,30.200001,508300,29.584984
"2010-10-12",30.08,30.18,29.540001,29.68,1136600,29.075575
"2010-10-13",29.860001,30.6,29.690001,30.49,1629100,29.869081
"2010-10-14",30.379999,30.799999,30.15,30.530001,1098000,29.90826
"2010-10-15",30.65,31.190001,30.450001,31.15,1338100,30.515635
"2010-10-18",31.09,32,30.969999,31.870001,1076500,31.220974
"2010-10-19",31.25,31.67,30.709999,31.48,1201600,30.838915
"2010-10-20",31.6,32,31.34,31.620001,798400,30.976063
"2010-10-21",31.620001,32.240002,31.049999,31.780001,584700,31.132811
"2010-10-22",31.92,31.92,31.42,31.799999,469100,31.152399
"2010-10-25",31.98,32.040001,31.379999,31.450001,439200,30.809528
"2010-10-26",32.09,32.700001,31.73,32.389999,1620800,31.730389
"2010-10-27",30.110001,32.200001,30.110001,31.75,1151300,31.103416
"2010-10-28",31.889999,32.5,31.690001,32.41,910600,31.749977
"2010-10-29",32.349998,33.490002,32.279999,33.029999,926200,32.357338
"2010-11-01",33.389999,33.82,32.349998,32.889999,794400,32.220196
"2010-11-02",33.169998,33.610001,32.669998,33.41,741700,32.729614
"2010-11-03",33.759998,34.009998,33.07,34.009998,683100,33.317394
"2010-11-04",34.450001,34.73,33.77,34.18,860400,33.483936
"2010-11-05",34.18,34.290001,33.029999,33.459999,1034400,32.778599
"2010-11-08",33.349998,33.529999,32.560001,33.310001,1025100,32.631657
"2010-11-09",33.639999,34.799999,33.029999,33.509998,1833100,32.827568
"2010-11-10",33.389999,33.82,32.93,33.66,514800,32.974514
"2010-11-11",33.369999,34,33.34,33.849998,512900,33.160652
"2010-11-12",33.540001,33.759998,32.549999,32.990002,530500,32.318172
"2010-11-15",33.200001,34.240002,33.200001,33.259998,1207600,32.582668
"2010-11-16",33.119999,33.279999,32.25,32.880001,584400,32.210411
"2010-11-17",32.990002,34.009998,32.91,33.619999,1073900,32.935337
"2010-11-18",34.009998,34.700001,33.82,34.259998,1023800,33.562298
"2010-11-19",34.34,34.810001,33.779999,34.77,947700,34.061913
"2010-11-22",34.689999,35.93,34.34,35.540001,1358800,34.816223
"2010-11-23",35.209999,35.279999,33.939999,34.32,799400,33.640015
"2010-11-24",34.52,35.700001,34.080002,35.549999,1082900,34.845642
"2010-11-26",35.27,35.490002,34.619999,34.91,217200,34.218323
"2010-11-29",34.77,35.41,34.119999,35.23,357900,34.531971
"2010-11-30",34.84,35.57,34.419998,35.130001,1094300,34.43396
"2010-12-01",35.68,36.810001,35.68,36.450001,1537500,35.727818
"2010-12-02",36.43,37,36.349998,36.91,1181400,36.178696
"2010-12-03",36.91,37.119999,36.709999,37.009998,1264400,36.276711
"2010-12-06",36.919998,37.439999,36.919998,37.360001,1040400,36.619774
"2010-12-07",37.740002,38.310001,37.73,38.119999,1523200,37.364719
"2010-12-08",38.099998,38.330002,37.060001,37.209999,740100,36.472752
"2010-12-09",37.470001,37.599998,37.009998,37.290001,701600,36.551167
"2010-12-10",37.25,37.549999,36.849998,37.07,861900,36.335526
"2010-12-13",37.48,38.060001,37.189999,37.91,1261400,37.158882
"2010-12-14",37.810001,38.110001,37.240002,37.490002,583900,36.747208
"2010-12-15",37.310001,37.77,36.41,36.509998,1168100,35.786617
"2010-12-16",36.490002,36.93,36.23,36.77,727000,36.041458
"2010-12-17",36.720001,36.799999,36.029999,36.709999,1628800,35.982658
"2010-12-20",36.66,37,36.07,36.630001,1197500,35.904247
"2010-12-21",36.84,37.52,36.189999,37.43,740200,36.6884
"2010-12-22",37.439999,37.700001,37.049999,37.169998,559600,36.433544
"2010-12-23",36.869999,37.09,36.650002,36.950001,579000,36.217899
"2010-12-27",36.75,36.77,35.970001,36.27,544700,35.551376
"2010-12-28",36.41,36.459999,35.970001,36.189999,503600,35.472961
"2010-12-29",36.310001,36.66,36.150002,36.23,441200,35.512169
"2010-12-30",36.259998,36.5,35.650002,36.009998,591500,35.296524
"2010-12-31",35.919998,36.959999,35.860001,36.310001,817800,35.59058
"2011-01-03",36.580002,36.709999,36.330002,36.52,1263000,35.796417
"2011-01-04",36.830002,36.830002,35.779999,36.509998,1180400,35.786617
"2011-01-05",36.299999,36.880001,35.860001,36.580002,833100,35.855236
"2011-01-06",36.52,36.950001,36.049999,36.59,973700,35.865032
"2011-01-07",36.02,36.939999,36.02,36.919998,1059200,36.188496
"2011-01-10",36.650002,37.459999,36.130001,37.189999,795000,36.453148
"2011-01-11",37.310001,37.990002,37.09,37.830002,1105000,37.080467
"2011-01-12",38.189999,39.389999,38.189999,39.25,1899800,38.472336
"2011-01-13",39.130001,39.18,38.279999,38.549999,1158500,37.786194
"2011-01-14",38.540001,38.540001,37.650002,38.240002,1058900,37.482349
"2011-01-18",38.290001,38.700001,37.970001,38.650002,641700,37.884212
"2011-01-19",38.77,38.93,37.599998,37.889999,1082300,37.139275
"2011-01-20",37.900002,38.099998,37.259998,37.900002,1098400,37.149086
"2011-01-21",38.09,38.91,37.25,37.509998,1909900,36.766796
"2011-01-24",37.610001,38.650002,37.580002,38.610001,1016700,37.845009
"2011-01-25",38.439999,38.82,38.02,38.790001,886000,38.021458
"2011-01-26",38.91,39.490002,38.32,39.290001,1077600,38.511543
"2011-01-27",39.360001,39.66,38.970001,39.580002,1301900,38.795799
"2011-01-28",39.580002,39.639999,38.82,38.959999,936100,38.18808
"2011-01-31",39.09,41.040001,39.080002,40.639999,1714500,39.834797
"2011-02-01",40.880001,41.970001,40.639999,41.5,1742900,40.677761
"2011-02-02",41.400002,41.740002,40.419998,40.82,1560100,40.011223
"2011-02-03",40.68,41.029999,40.27,40.5,1523800,39.697563
"2011-02-04",40.52,40.610001,39.889999,40.279999,751900,39.481922
"2011-02-07",40.419998,40.610001,40.060001,40.290001,863900,39.491734
"2011-02-08",40.279999,40.279999,39.419998,39.759998,889800,38.972218
"2011-02-09",39.540001,39.599998,38.540001,38.919998,1208500,38.148865
"2011-02-10",38.52,38.68,37.73,37.849998,2217900,37.100067
"2011-02-11",37.77,38.639999,37.380001,38.509998,1443900,37.746994
"2011-02-14",38.599998,39.650002,38.57,39.220001,1120300,38.442921
"2011-02-15",39.130001,39.299999,38.580002,38.779999,740800,38.011642
"2011-02-16",38.970001,39.59,38.220001,39.349998,1267400,38.570354
"2011-02-17",39.439999,40.259998,38.950001,39.299999,1178200,38.521339
"2011-02-18",39.310001,39.310001,38.470001,39.09,1245500,38.315491
"2011-02-22",39.150002,40,38.529999,38.889999,2068900,38.119465
"2011-02-23",38.880001,39.200001,37.66,38.82,1580300,38.050846
"2011-02-24",37.669998,38.889999,36.91,37.939999,2248600,37.18829
"2011-02-25",38.07,39.139999,37.759998,39.07,1277900,38.295898
"2011-02-28",39.209999,39.860001,39.16,39.549999,1639400,38.766384
"2011-03-01",39.799999,39.799999,38.369999,38.509998,883000,37.746994
"2011-03-02",38.470001,38.950001,37.900002,38.419998,1261100,37.658775
"2011-03-03",38.970001,39.049999,38.209999,38.59,792200,37.825417
"2011-03-04",38.57,38.650002,37.939999,38.400002,927300,37.639179
"2011-03-07",38.599998,38.93,37.610001,38.07,495800,37.31572
"2011-03-08",38.099998,38.650002,37.830002,38.009998,834000,37.256901
"2011-03-09",37.700001,38.630001,37.360001,37.779999,1094900,37.050949
"2011-03-10",37.150002,37.84,36.110001,37.299999,1192800,36.580219
"2011-03-11",36.869999,38.080002,36.610001,37.799999,679800,37.070576
"2011-03-14",37.459999,38.73,37.130001,38.57,1323600,37.825703
"2011-03-15",37.369999,37.700001,36.700001,37.400002,1804000,36.678284
"2011-03-16",37.48,37.919998,36.790001,37.450001,1688500,36.727322
"2011-03-17",38.400002,39.049999,38.049999,38.91,931000,38.159142
"2011-03-18",39.299999,39.389999,38.450001,39.150002,2577600,38.394516
"2011-03-21",39.650002,41.279999,39.549999,40.68,1507300,39.894989
"2011-03-22",40.73,41,40.279999,40.389999,1067300,39.610584
"2011-03-23",40.360001,40.759998,40.009998,40.349998,677500,39.57135
"2011-03-24",40.700001,41.580002,40.43,41.27,1031800,40.473602
"2011-03-25",41.41,42,41.18,41.259998,1609000,40.463795
"2011-03-28",41.400002,41.73,40,40.029999,1188600,39.25753
"2011-03-29",40.110001,40.259998,39.43,40.18,1471400,39.40464
"2011-03-30",40.450001,41.200001,40,40.110001,1552400,39.335987
"2011-03-31",40.119999,40.73,40,40.540001,1948300,39.75769
"2011-04-01",41.150002,41.639999,40.68,41.040001,1647400,40.248047
"2011-04-04",41.220001,42.330002,41.209999,41.849998,1310500,41.042416
"2011-04-05",41.889999,42.220001,41.080002,41.130001,932100,40.336311
"2011-04-06",41.34,41.57,39.98,40.040001,1195500,39.267342
