"","Open","High","Low","Close","Volume"
"2010-06-16",36.273712,36.273712,33.87371,33.883713,62900
"2010-06-17",33.536526,33.836525,33.086525,33.286526,21700
"2010-06-18",33.52602,33.77602,33.52602,33.77602,300
"2010-06-21",33.601768,34.041767,32.791767,33.041767,12000
"2010-06-22",33.172191,33.172191,31.622192,31.622192,81900
"2010-06-23",31.492819,31.592821,31.062821,31.592821,7300
"2010-06-24",31.798486,33.568487,31.308485,31.328485,420200
"2010-06-25",31.567784,32.267785,31.397786,31.827782,562300
"2010-06-28",32.033232,32.033232,31.423231,31.573233,361700
"2010-06-29",31.363955,31.363955,29.433955,29.673954,818800
"2010-06-30",29.603044,30.503044,29.503044,30.183044,7171100
"2010-07-01",29.784934,30.414935,28.604933,28.694933,2811500
"2010-07-02",28.891018,29.351017,28.271017,28.411018,3081100
"2010-07-06",29.018656,29.018656,27.418655,27.588655,2271400
"2010-07-07",27.890108,29.010107,27.280108,28.920109,2222400
"2010-07-08",29.31416,30.454159,29.274159,29.664158,2271400
"2010-07-09",29.681225,30.571224,29.451225,29.801226,1732700
"2010-07-12",29.806469,29.806469,29.366468,29.556469,1356300
"2010-07-13",29.750593,30.030594,29.690594,29.830593,1379900
"2010-07-14",29.610594,29.930594,29.380594,29.830593,896500
"2010-07-15",29.779337,29.969338,29.049338,29.889338,1660000
"2010-07-16",29.596333,29.916335,28.626334,29.096333,1342500
"2010-07-19",29.234652,29.694651,28.92465,29.17465,1046400
"2010-07-20",28.871428,29.871428,28.471429,29.791428,1201600
"2010-07-21",29.936333,29.936333,28.766333,29.096333,861500
"2010-07-22",29.380036,29.740037,29.180035,29.390036,852800
"2010-07-23",29.375779,29.375779,28.435778,28.655779,662500
"2010-07-26",28.55927,28.97927,28.329271,28.95927,888800
"2010-07-27",29.567093,30.367092,28.877092,29.527092,1705700
"2010-07-28",29.771364,30.361364,29.701364,30.261364,1706600
"2010-07-29",30.807982,32.477982,30.657982,31.817982,3203200
"2010-07-30",31.68771,34.427712,30.95771,33.697708,2745800
"2010-08-02",33.078617,33.608616,32.908615,33.188618,516400
"2010-08-03",33.484761,34.064763,32.674764,33.834763,230200
"2010-08-04",33.877632,34.257633,33.527629,34.167633,272600
"2010-08-05",33.867832,34.327835,33.587834,34.157833,204000
"2010-08-06",33.697148,33.997147,32.297146,33.257149,300200
"2010-08-09",33.360218,33.740215,32.420215,33.580215,554300
"2010-08-10",33.504707,33.574707,32.684707,32.904709,853000
"2010-08-11",32.253103,32.253103,30.903105,31.113106,860300
"2010-08-12",30.85178,30.85178,29.411779,30.241779,1094900
"2010-08-13",30.117518,30.617518,29.287518,29.507517,1841400
"2010-08-16",29.433744,29.993743,28.993743,29.683744,935700
"2010-08-17",29.976879,31.26688,29.626881,30.93688,1117400
"2010-08-18",30.778509,31.258509,30.14851,30.858509,980500
"2010-08-19",30.651768,30.821766,30.121767,30.701767,441800
"2010-08-20",30.29849,30.738491,30.13849,30.37849,724300
"2010-08-23",30.455231,30.845231,29.945231,30.535231,497900
"2010-08-24",30.035818,30.305818,29.705818,30.025818,893600
"2010-08-25",29.92806,30.278061,29.538061,29.918062,758700
"2010-08-26",30.090706,30.420708,29.540707,29.790707,1205500
"2010-08-27",30.001324,30.061323,29.141323,29.761322,730700
"2010-08-30",29.740259,30.01026,28.84026,28.85026,736600
"2010-08-31",28.618808,29.128808,27.978809,28.43881,1402300
"2010-09-01",28.873581,30.17358,28.67358,30.133581,929200
"2010-09-02",30.202385,30.912384,29.692385,30.672384,546200
"2010-09-03",31.033416,31.203416,30.463417,31.103416,617200
"2010-09-07",30.832384,31.102385,30.612385,30.672384,378800
"2010-09-08",30.227857,30.677856,29.637857,29.927856,874400
"2010-09-09",30.14743,30.417431,29.38743,29.46743,383800
"2010-09-10",29.467634,29.607633,29.217634,29.457634,986800
"2010-09-13",29.883742,29.883742,28.403742,29.163742,1569700
"2010-09-14",29.173943,29.243942,28.663942,29.153942,937900
"2010-09-15",29.011707,29.281705,28.791706,29.261707,463400
"2010-09-16",29.005165,29.465164,28.905164,29.095165,872600
"2010-09-17",29.265552,29.565551,28.46555,28.595552,2999900
"2010-09-20",28.703741,29.393742,28.243742,29.163742,834600
"2010-09-21",29.104534,29.114532,28.054533,28.644533,1687000
"2010-09-22",28.763308,28.983307,28.393307,28.703306,1443500
"2010-09-23",28.573307,28.883307,28.473307,28.703306,1345700
"2010-09-24",28.942494,29.132493,28.642493,28.742493,1139500
"2010-09-27",28.705961,28.905962,28.535961,28.575962,616800
"2010-09-28",28.542315,29.272314,28.132315,29.232315,569900
"2010-09-29",29.201498,29.441498,29.0015,29.271498,887100
"2010-09-30",29.326209,30.136208,29.196207,29.526207,951300
"2010-10-01",29.671935,30.271933,29.591933,29.731934,1063200
"2010-10-04",29.708241,29.868241,29.328242,29.428242,560100
"2010-10-05",29.611117,29.951117,29.571118,29.771116,898100
"2010-10-06",29.762966,30.202967,29.522967,30.162968,1242200
"2010-10-07",30.199894,30.359894,29.609894,29.829895,778800
"2010-10-08",29.841933,30.101933,29.671935,29.731934,967100
"2010-10-11",29.664984,29.814983,29.484983,29.584984,508300
"2010-10-12",29.475575,29.575575,28.935576,29.075575,1136600
"2010-10-13",29.239082,29.979081,29.069082,29.869081,1629100
"2010-10-14",29.758258,30.178258,29.528259,29.90826,1098000
"2010-10-15",30.015635,30.555636,29.815636,30.515635,1338100
"2010-10-18",30.440973,31.350973,30.320972,31.220974,1076500
"2010-10-19",30.608915,31.028915,30.068914,30.838915,1201600
"2010-10-20",30.956062,31.356062,30.696062,30.976063,798400
"2010-10-21",30.972811,31.592812,30.402809,31.132811,584700
"2010-10-22",31.2724,31.2724,30.7724,31.152399,469100
"2010-10-25",31.339527,31.399528,30.739526,30.809528,439200
"2010-10-26",31.43039,32.040391,31.07039,31.730389,1620800
"2010-10-27",29.463417,31.553417,29.463417,31.103416,1151300
"2010-10-28",31.229976,31.839977,31.029978,31.749977,910600
"2010-10-29",31.677337,32.817341,31.607338,32.357338,926200
"2010-11-01",32.720196,33.150197,31.680195,32.220196,794400
"2010-11-02",32.489612,32.929615,31.989612,32.729614,741700
"2010-11-03",33.067394,33.317394,32.377396,33.317394,683100
"2010-11-04",33.753937,34.033936,33.073936,33.483936,860400
"2010-11-05",33.4986,33.608601,32.348599,32.778599,1034400
"2010-11-08",32.671654,32.851655,31.881657,32.631657,1025100
