"","RF.Open","RF.High","RF.Low","RF.Close","RF.Volume","RF.Adjusted"
"2001-01-02",22.223797,22.274422,21.565689,21.970678,1319000,12.671012
"2001-01-03",21.920055,22.983152,21.261948,22.843937,1186500,13.174641
"2001-01-04",22.768002,23.388142,22.679411,23.185648,917300,13.371714
"2001-01-05",23.236271,23.236271,22.274422,22.628786,731000,13.05056
"2001-01-08",22.426292,22.628786,22.071926,22.375668,944000,12.90458
"2001-01-09",22.325045,22.52754,21.818808,22.223797,1084700,12.816992
"2001-01-10",22.173174,22.578163,22.021303,22.274422,927100,12.846189
"2001-01-11",22.274422,22.780657,22.223797,22.679411,1775300,13.07976
"2001-01-12",22.831282,22.831282,22.173174,22.426292,993600,12.933774
"2001-01-16",22.325045,23.0844,22.122549,22.983152,850300,13.254929
"2001-01-17",23.0844,23.489389,23.0844,23.388142,693500,13.488495
"2001-01-18",23.337519,23.388142,22.932529,22.95784,1082700,13.240331
"2001-01-19",22.881905,23.286894,22.578163,22.881905,911900,13.196541
"2001-01-22",22.831282,23.64126,22.780657,23.615948,1175700,13.619879
"2001-01-23",23.540012,23.742508,23.337519,23.438766,503700,13.517694
"2001-01-24",23.489389,23.540012,23.337519,23.489389,625800,13.546891
"2001-01-25",23.489389,23.742508,23.388142,23.438766,585300,13.517694
"2001-01-26",23.438766,23.945002,23.388142,23.742508,894400,13.692866
"2001-01-29",23.793131,24.349993,23.691883,23.894379,1110100,13.780455
"2001-01-30",23.945002,24.096874,23.742508,24.046249,316700,13.868043
"2001-01-31",24.096874,24.147497,23.793131,24.096874,757600,13.897239
"2001-02-01",24.096874,24.299368,23.894379,24.147497,436600,13.926436
"2001-02-02",24.058907,24.299368,23.995626,24.096874,885700,13.897239
"2001-02-05",24.223433,24.248745,24.046249,24.19812,669600,13.95563
"2001-02-06",24.248745,24.299368,23.995626,24.046249,415300,13.868043
"2001-02-07",23.945002,24.248745,23.894379,24.147497,856000,13.926436
"2001-02-08",24.248745,24.299368,24.046249,24.19812,459700,13.95563
"2001-02-09",24.096874,24.299368,24.046249,24.248745,722600,13.98483
"2001-02-12",24.147497,24.653734,24.096874,24.299368,749400,14.014021
"2001-02-13",24.19812,24.349993,24.096874,24.248745,490700,13.98483
"2001-02-14",24.19812,24.299368,24.046249,24.19812,645900,13.95563
"2001-02-15",24.096874,24.451239,24.096874,24.451239,755300,14.101607
"2001-02-16",24.248745,24.754982,24.248745,24.704357,518400,14.247586
"2001-02-20",24.603111,24.704357,24.147497,24.299368,793200,14.014021
"2001-02-21",24.096874,24.501863,24.046249,24.248745,787700,13.98483
"2001-02-22",24.248745,24.451239,23.64126,24.248745,1719900,13.98483
"2001-02-23",24.248745,24.451239,24.046249,24.337336,1364800,14.03592
"2001-02-26",24.19812,24.603111,24.147497,24.603111,679100,14.189198
"2001-02-27",24.552486,24.856228,24.299368,24.501863,693900,14.130806
"2001-02-28",24.476551,24.754982,23.945002,24.299368,698600,14.014021
"2001-03-01",24.19812,24.704357,24.096874,24.603111,740200,14.189198
"2001-03-02",24.451239,25.261219,24.349993,25.261219,936100,14.568747
"2001-03-05",25.058723,25.41309,24.906853,25.311842,644900,14.59794
"2001-03-06",25.41309,25.615583,25.058723,25.210594,514400,14.539545
"2001-03-07",25.159971,25.919327,25.109346,25.919327,821300,14.948292
"2001-03-08",25.868702,25.96995,25.615583,25.919327,609000,14.948292
"2001-03-09",25.868702,25.868702,25.159971,25.311842,391700,14.59794
"2001-03-12",25.311842,25.311842,23.995626,24.147497,770800,13.926436
"2001-03-13",24.248745,24.603111,23.793131,24.603111,908900,14.189198
"2001-03-14",23.843756,24.147497,23.135023,23.438766,691200,13.643459
"2001-03-15",23.489389,24.096874,23.489389,23.843756,723100,13.879201
"2001-03-16",23.337519,23.843756,23.286894,23.489389,1658000,13.672922
"2001-03-19",23.64126,23.691883,22.881905,23.337519,911000,13.58452
"2001-03-20",23.438766,23.489389,22.704721,22.730034,960300,13.230916
"2001-03-21",22.730034,22.780657,21.970678,22.021303,994500,12.818369
"2001-03-22",21.932711,22.122549,21.059452,21.666937,1740700,12.612096
"2001-03-23",21.666937,22.679411,21.616312,22.426292,1238100,13.054107
"2001-03-26",22.679411,22.831282,22.578163,22.780657,1267800,13.260381
"2001-03-27",22.730034,22.983152,22.578163,22.831282,1611000,13.289846
"2001-03-28",22.881905,22.881905,22.52754,22.780657,1123600,13.260381
"2001-03-29",22.628786,23.0844,22.578163,22.818626,815300,13.28248
"2001-03-30",23.033775,23.742508,22.932529,23.033775,2902000,13.407718
