"","Open","High","Low","Close","Volume"
"2001-01-02",12.924131,12.974756,12.266023,12.671012,1319000
"2001-01-03",12.250759,13.313856,11.592652,13.174641,1186500
"2001-01-04",12.954068,13.574208,12.865477,13.371714,917300
"2001-01-05",13.658045,13.658045,12.696196,13.05056,731000
"2001-01-08",12.955204,13.157698,12.600838,12.90458,944000
"2001-01-09",12.91824,13.120735,12.412003,12.816992,1084700
"2001-01-10",12.744941,13.14993,12.59307,12.846189,927100
"2001-01-11",12.674771,13.181006,12.624146,13.07976,1775300
"2001-01-12",13.338764,13.338764,12.680656,12.933774,993600
"2001-01-16",12.596822,13.356177,12.394326,13.254929,850300
"2001-01-17",13.184753,13.589742,13.184753,13.488495,693500
"2001-01-18",13.62001,13.670633,13.21502,13.240331,1082700
"2001-01-19",13.196541,13.60153,12.892799,13.196541,911900
"2001-01-22",12.835213,13.645191,12.784588,13.619879,1175700
"2001-01-23",13.61894,13.821436,13.416447,13.517694,503700
"2001-01-24",13.546891,13.597514,13.395021,13.546891,625800
"2001-01-25",13.568317,13.821436,13.46707,13.517694,585300
"2001-01-26",13.389124,13.89536,13.3385,13.692866,894400
"2001-01-29",13.679207,14.236069,13.577959,13.780455,1110100
"2001-01-30",13.766796,13.918668,13.564302,13.868043,316700
"2001-01-31",13.897239,13.947862,13.593496,13.897239,757600
"2001-02-01",13.875813,14.078307,13.673318,13.926436,436600
"2001-02-02",13.859272,14.099733,13.795991,13.897239,885700
"2001-02-05",13.980943,14.006255,13.803759,13.95563,669600
"2001-02-06",14.070539,14.121162,13.81742,13.868043,415300
"2001-02-07",13.723941,14.027684,13.673318,13.926436,856000
"2001-02-08",14.006255,14.056878,13.803759,13.95563,459700
"2001-02-09",13.832959,14.035453,13.782334,13.98483,722600
"2001-02-12",13.86215,14.368387,13.811527,14.014021,749400
"2001-02-13",13.934205,14.086078,13.832959,13.98483,490700
"2001-02-14",13.95563,14.056878,13.803759,13.95563,645900
"2001-02-15",13.747242,14.101607,13.747242,14.101607,755300
"2001-02-16",13.791974,14.298211,13.791974,14.247586,518400
"2001-02-20",14.317764,14.41901,13.86215,14.014021,793200
"2001-02-21",13.832959,14.237948,13.782334,13.98483,787700
"2001-02-22",13.98483,14.187324,13.377345,13.98483,1719900
"2001-02-23",13.947329,14.149823,13.744833,14.03592,1364800
"2001-02-26",13.784207,14.189198,13.733584,14.189198,679100
"2001-02-27",14.181429,14.485171,13.928311,14.130806,693900
"2001-02-28",14.191204,14.469635,13.659655,14.014021,698600
"2001-03-01",13.784207,14.290444,13.682961,14.189198,740200
"2001-03-02",13.758767,14.568747,13.657521,14.568747,936100
"2001-03-05",14.344821,14.699188,14.192951,14.59794,644900
"2001-03-06",14.742041,14.944534,14.387674,14.539545,514400
"2001-03-07",14.188936,14.948292,14.138311,14.948292,821300
"2001-03-08",14.897667,14.998915,14.644548,14.948292,609000
"2001-03-09",15.1548,15.1548,14.446069,14.59794,391700
"2001-03-12",15.090781,15.090781,13.774565,13.926436,770800
"2001-03-13",13.834832,14.189198,13.379218,14.189198,908900
"2001-03-14",14.048449,14.35219,13.339716,13.643459,691200
"2001-03-15",13.524834,14.132319,13.524834,13.879201,723100
"2001-03-16",13.521052,14.027289,13.470427,13.672922,1658000
"2001-03-19",13.888261,13.938884,13.128906,13.58452,911000
"2001-03-20",13.939648,13.990271,13.205603,13.230916,960300
"2001-03-21",13.5271,13.577723,12.767744,12.818369,994500
"2001-03-22",12.87787,13.067708,12.004611,12.612096,1740700
"2001-03-23",12.294752,13.307226,12.244127,13.054107,1238100
"2001-03-26",13.159135,13.311006,13.057887,13.260381,1267800
"2001-03-27",13.188598,13.441716,13.036727,13.289846,1611000
"2001-03-28",13.361629,13.361629,13.007264,13.260381,1123600
"2001-03-29",13.09264,13.548254,13.042017,13.28248,815300
"2001-03-30",13.407718,14.116451,13.306472,13.407718,2902000
"2001-04-02",13.209,14.120227,13.006505,13.61399,2068900
"2001-04-03",13.563367,13.664614,13.259623,13.61399,1862200
"2001-04-04",13.960803,14.011426,12.897705,13.201448,957400
"2001-04-05",12.930192,13.841418,12.879567,13.790793,1146800
"2001-04-06",13.930388,13.943044,13.310248,13.61399,1472000
"2001-04-09",13.558805,13.826099,13.558805,13.696502,1249200
"2001-04-10",13.38242,14.16,13.38242,14.111401,1343800
"2001-04-11",13.943121,14.299512,13.935022,14.210415,1665300
"2001-04-12",13.818723,14.345208,13.745824,14.304709,838100
"2001-04-16",14.219239,14.518931,14.032944,14.186841,1115800
"2001-04-17",14.252362,14.252362,13.98507,14.163266,1428000
"2001-04-18",13.778824,14.831797,13.778824,14.653601,1183100
"2001-04-19",14.617212,14.819707,14.528114,14.625312,767100
"2001-04-20",14.629667,14.775463,14.248977,14.483871,1345700
"2001-04-23",14.455464,14.528362,14.244869,14.512163,1104500
"2001-04-24",14.548918,14.605616,14.257324,14.370722,1282300
"2001-04-25",14.387524,14.403723,13.755741,14.403723,1033200
"2001-04-26",14.323812,14.607303,14.202314,14.210415,592200
"2001-04-27",13.927407,14.62399,13.927407,14.615889,733700
