"","RIG.Open","RIG.High","RIG.Low","RIG.Close","RIG.Volume","RIG.Adjusted"
"2001-01-02",66.823898,69.146652,66.734566,67.62793,2038200,43.948559
"2001-01-03",67.71727,68.253288,64.769157,65.215836,1931400,42.381035
"2001-01-04",65.126503,65.215836,59.855633,60.749001,3966400,39.478218
"2001-01-05",61.285019,61.731705,59.319611,60.659664,3040800,39.420166
"2001-01-08",60.391651,61.821041,60.034306,60.480988,1393600,39.30405
"2001-01-09",61.821041,63.161091,60.570328,61.195683,1745000,39.768505
"2001-01-10",61.195683,64.233131,60.749001,63.339767,1437100,41.161854
"2001-01-11",63.697113,65.394508,62.4464,63.339767,2480900,41.161854
"2001-01-12",63.339767,63.339767,61.195683,62.714409,2036400,40.755455
"2001-01-16",63.965122,65.751862,62.178387,65.305176,1886500,42.439083
"2001-01-17",64.322472,65.305176,62.803745,63.161091,2252800,41.045742
"2001-01-18",62.357059,63.161091,59.319611,60.749001,2428400,39.478218
"2001-01-19",58.24757,61.642368,57.175529,59.67696,2791800,38.781548
"2001-01-22",60.302315,61.01701,59.408947,60.659664,2346300,39.420166
"2001-01-23",61.642368,62.803745,60.838337,62.625072,2498200,40.697407
"2001-01-24",62.625072,65.930534,62.535736,65.573181,2940400,42.613251
"2001-01-25",65.751862,66.823898,63.607777,65.305176,4366000,42.439083
"2001-01-26",65.662521,66.645226,61.463692,61.463692,4728500,39.942669
"2001-01-29",62.535736,62.535736,58.461979,58.604916,2688400,38.084869
"2001-01-30",61.034878,63.822186,58.033161,63.250427,5363900,41.103794
"2001-01-31",63.250427,64.965698,63.250427,64.965698,8877600,42.218475
"2001-02-01",64.250999,64.265297,62.19268,63.050316,3055700,40.973751
"2001-02-02",62.249859,65.037163,62.249859,64.851341,2251500,42.144165
"2001-02-05",65.323044,68.967979,65.323044,68.396225,3893200,44.447838
"2001-02-06",67.895943,70.754715,66.752426,70.040024,3427800,45.516071
"2001-02-07",71.040596,71.040596,68.882217,70.140083,3316600,45.581097
"2001-02-08",70.040024,71.369354,69.539734,71.112061,3523900,46.212746
"2001-02-09",71.112061,72.541451,70.254433,72.112633,2400300,46.862968
"2001-02-12",72.112633,72.112633,70.468842,70.554604,2618600,45.850468
"2001-02-13",70.040024,71.397942,69.725555,69.76844,2350600,45.339581
"2001-02-14",70.254433,71.112061,69.682678,70.468842,1778400,45.794731
"2001-02-15",70.197258,70.197258,69.182388,69.611206,2123900,45.2374
"2001-02-16",70.325897,73.327614,69.925674,71.555176,3341900,46.500698
"2001-02-20",72.541451,73.04174,71.126358,71.355057,1539700,46.370655
"2001-02-21",72.069756,72.684395,69.539734,69.539734,2224000,45.190952
"2001-02-22",71.469414,71.469414,66.89537,67.681534,2017900,43.983387
