"","Open","High","Low","Close","Volume"
"2001-01-02",4.294465,4.419465,4.127798,4.211131,1308300
"2001-01-03",4.271281,4.271281,3.687948,3.896281,1248900
"2001-01-04",3.861545,3.861545,3.444879,3.778212,1002300
"2001-01-05",3.713441,4.171775,3.713441,4.171775,742600
"2001-01-08",4.257419,4.340752,4.090752,4.132419,834400
"2001-01-09",4.088441,4.338441,3.796775,4.171775,1567300
"2001-01-10",4.12087,4.454203,4.12087,4.329203,1404300
"2001-01-11",4.373178,4.498178,4.164845,4.289845,1194100
"2001-01-12",4.259728,4.259728,3.968061,4.093061,619000
"2001-01-16",3.998178,4.331511,3.998178,4.289845,1335700
"2001-01-17",4.303705,4.387038,4.012038,4.053705,604900
"2001-01-18",4.056018,4.056018,3.889351,4.014351,298600
"2001-01-19",4.021281,4.021281,3.854614,3.896281,331900
"2001-01-22",3.889351,4.056018,3.889351,4.014351,188200
"2001-01-23",3.937948,4.021281,3.854614,3.896281,363000
"2001-01-24",3.935637,4.01897,3.89397,3.935637,403600
"2001-01-25",3.924086,4.132419,3.924086,4.132419,339600
"2001-01-26",4.093061,4.218061,4.051395,4.093061,390100
"2001-01-29",4.09676,4.09676,3.89676,4.030094,194700
"2001-01-30",3.941182,4.007848,3.774515,3.841182,634900
"2001-01-31",3.72117,3.847837,3.714503,3.727837,1200400
"2001-02-01",3.724879,3.778212,3.551545,3.778212,685900
"2001-02-02",3.771186,3.904519,3.704519,3.897853,1351500
"2001-02-05",3.877473,3.877473,3.710806,3.790806,349200
"2001-02-06",3.84414,3.910806,3.777473,3.790806,288400
"2001-02-07",3.836007,3.92934,3.70934,3.92934,547800
"2001-02-08",3.919728,4.093061,3.893061,4.093061,394300
"2001-02-09",4.083453,4.276787,4.083453,4.256787,768700
"2001-02-12",4.286777,4.353444,4.160111,4.200111,185200
"2001-02-13",4.150488,4.250488,4.063822,4.250488,369000
"2001-02-14",4.252335,4.312335,4.199002,4.219002,317800
"2001-02-15",4.183821,4.250488,4.083821,4.250488,395200
"2001-02-16",4.181232,4.341232,4.181232,4.294566,261700
"2001-02-20",4.259002,4.339002,4.172335,4.219002,257400
"2001-02-21",4.198607,4.205274,3.771941,3.998607,409900
"2001-02-22",3.939335,3.972668,3.872668,3.872668,217000
"2001-02-23",3.831545,3.878212,3.611545,3.778212,816100
"2001-02-26",3.711545,3.911545,3.644879,3.778212,424600
"2001-02-27",3.776365,3.836365,3.709698,3.809698,328200
"2001-02-28",3.791545,3.831545,3.751545,3.778212,567100
"2001-03-01",3.788206,3.874872,3.701539,3.721539,459900
"2001-03-02",3.71672,3.783387,3.583387,3.690054,1018900
"2001-03-05",3.704153,3.937487,3.67082,3.904153,411000
"2001-03-06",3.941552,3.974885,3.788218,3.834885,414600
"2001-03-07",3.826011,3.992677,3.826011,3.986011,633300
"2001-03-08",4.027874,4.121207,4.027874,4.067874,995700
"2001-03-09",4.07083,4.07083,3.964163,4.017497,333300
"2001-03-12",4.069699,4.096365,3.776365,3.809698,342600
"2001-03-13",3.78006,3.78006,3.586727,3.746727,464100
"2001-03-14",3.75375,3.75375,3.520416,3.627083,274000
"2001-03-15",3.657816,3.691149,3.557816,3.557816,311500
"2001-03-16",3.559295,3.625961,3.525961,3.532628,267300
"2001-03-19",3.530041,3.603374,3.496708,3.576708,320400
"2001-03-20",3.571161,3.717827,3.571161,3.671161,292600
"2001-03-21",3.675599,3.675599,3.488932,3.595599,243600
"2001-03-22",3.598898,3.598898,3.238898,3.312232,686500
"2001-03-23",3.391889,3.545222,3.325222,3.545222,653100
"2001-03-26",3.521525,3.641525,3.521525,3.608192,148500
"2001-03-27",3.544482,3.724482,3.531149,3.557816,145900
"2001-03-28",3.492257,3.62559,3.492257,3.538924,119800
"2001-03-29",3.501129,3.534462,3.274462,3.387796,490900
"2001-03-30",3.316693,3.476693,3.296693,3.46336,378300
"2001-04-02",3.476299,3.476299,3.209632,3.242965,380500
"2001-04-03",3.222965,3.242965,3.076299,3.242965,822300
"2001-04-04",3.239268,3.439268,3.205935,3.305935,225000
"2001-04-05",3.297434,3.464101,3.297434,3.450767,311100
"2001-04-06",3.362623,3.535956,3.329289,3.475956,234600
"2001-04-09",3.467453,3.667453,3.467453,3.620786,228100
"2001-04-10",3.741552,3.841552,3.708218,3.834885,704200
"2001-04-11",3.811175,3.837842,3.744509,3.784509,426400
"2001-04-12",3.775995,3.842662,3.669328,3.815995,381600
"2001-04-16",3.798199,3.844866,3.651533,3.664866,378100
