"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2001-01-02",11.5,11.5,10.833333,11.041667,2702400,7.39331
"2001-01-03",10.916667,11.083333,10.625,10.75,1851100,7.198013
"2001-01-04",10.791667,10.958333,10.666667,10.916667,3143400,7.309616
"2001-01-05",10.875,11.25,10.875,11.208333,1998700,7.504903
"2001-01-08",11.25,11.416667,11.166667,11.416667,1961200,7.644403
"2001-01-09",11.458333,11.458333,10.958333,11.041667,3036300,7.39331
"2001-01-10",10.958333,10.958333,10.541667,10.875,894300,7.281712
"2001-01-11",10.833333,10.916667,10.541667,10.666667,935400,7.142215
"2001-01-12",10.666667,10.666667,10.541667,10.583333,650800,7.086417
"2001-01-16",10.583333,10.833333,10.5,10.833333,1454500,7.253812
"2001-01-17",10.833333,10.833333,10.5,10.5,1082200,7.030616
"2001-01-18",10.541667,10.625,10.5,10.625,1569400,7.114316
"2001-01-19",10.625,10.625,10.541667,10.541667,842100,7.058517
"2001-01-22",10.541667,10.625,10.5,10.541667,1001100,7.058517
"2001-01-23",10.541667,10.583333,10.416667,10.458333,858400,7.002717
"2001-01-24",10.458333,10.625,10.375,10.583333,682300,7.086417
"2001-01-25",10.625,10.666667,10.541667,10.541667,801600,7.058517
"2001-01-26",10.5,10.541667,10.291667,10.5,1122000,7.030616
"2001-01-29",10.466666,10.66,10.406667,10.58,1140000,7.084185
"2001-01-30",10.333333,10.4,9.506667,9.7,2345700,6.494952
"2001-01-31",9.7,9.8,9.166667,9.166667,1978800,6.137841
"2001-02-01",9.333333,9.5,9.3,9.426666,1890000,6.311932
"2001-02-02",9.626667,9.833333,9.6,9.773334,1538200,6.544054
"2001-02-05",10,10.126667,9.833333,9.866667,2181700,6.606549
"2001-02-06",9.866667,10.4,9.866667,10.333333,2448100,6.91902
"2001-02-07",10.3,10.386666,10.266666,10.333333,853800,6.91902
"2001-02-08",10.3,10.326667,10.033334,10.066667,861100,6.740466
"2001-02-09",10.066667,10.433333,10.066667,10.366667,1318000,6.941341
"2001-02-12",10.333333,10.72,10.333333,10.586667,1917400,7.08865
"2001-02-13",10.633333,10.693334,10.6,10.673333,774100,7.146679
"2001-02-14",10.673333,10.726666,10.606667,10.66,1066600,7.137753
"2001-02-15",10.66,10.733334,10.633333,10.666667,1535100,7.142215
"2001-02-16",10.633333,10.733334,10.606667,10.66,2718600,7.137753
"2001-02-20",10.693334,10.8,10.606667,10.78,1501900,7.218101
"2001-02-21",10.766666,10.8,10.633333,10.746667,989700,7.19578
"2001-02-22",10.813334,10.933333,10.753333,10.793333,809800,7.227027
"2001-02-23",10.86,10.86,10.693334,10.78,549600,7.218101
"2001-02-26",10.733334,10.833333,10.533334,10.833333,579400,7.253812
"2001-02-27",10.766666,10.986667,10.766666,10.833333,1283700,7.253812
"2001-02-28",10.866667,11.093333,10.78,11.093333,801600,7.427907
"2001-03-01",11.066667,11.266666,11.066667,11.266666,1104400,7.543967
"2001-03-02",11.266666,11.426666,11.166667,11.406667,1662300,7.637704
"2001-03-05",11.5,11.66,11.5,11.533334,1367200,7.722523
"2001-03-06",11.6,11.633333,11.506667,11.52,632800,7.713596
"2001-03-07",11.52,11.68,11.52,11.653334,892000,7.802872
"2001-03-08",11.633333,12.44,11.6,12.26,2308900,8.209083
"2001-03-09",12.26,12.666667,12.166667,12.273334,1964200,8.21801
"2001-03-12",12.24,12.666667,12.213333,12.506667,1916500,8.374251
"2001-03-13",12.6,12.64,12.22,12.566667,1590700,8.414423
"2001-03-14",12,12.52,11.933333,12.3,2079700,8.235868
"2001-03-15",12.333333,12.366667,11.92,12,1322700,8.03499
"2001-03-16",11.933333,12.166667,11.913333,12.166667,931900,8.146591
"2001-03-19",12.2,12.28,12.026667,12.12,776400,8.115343
"2001-03-20",12.12,12.293333,12,12.24,694000,8.195695
"2001-03-21",12.066667,12.2,11.766666,12.033334,778600,8.05731
"2001-03-22",11.933333,11.933333,11.2,11.36,1038900,7.60646
"2001-03-23",11.293333,11.666667,11.12,11.666667,1279300,7.811799
"2001-03-26",11.533334,12.166667,11.533334,11.866667,918000,7.945711
"2001-03-27",11.866667,11.866667,11.533334,11.653334,676000,7.802872
"2001-03-28",11.613334,12,11.6,11.973333,776400,8.017137
"2001-03-29",11.946667,12.733334,11.853333,12.673333,1769200,8.485847
"2001-03-30",12.673333,12.733334,12.373333,12.5,1022800,8.369786
"2001-04-02",12.466666,12.466666,12.066667,12.166667,647400,8.146591
"2001-04-03",12.133333,12.133333,11.78,11.86,1752900,7.94125
"2001-04-04",11.866667,12.02,11.84,12,640500,8.03499
"2001-04-05",12,12.16,11.933333,12.066667,744900,8.079633
"2001-04-06",12.066667,12.173333,11.966666,12.1,794400,8.101953
"2001-04-09",12.033334,12.533334,12.006667,12.273334,1079100,8.21801
"2001-04-10",12.233334,12.413333,12.213333,12.333333,771400,8.258185
"2001-04-11",12.333333,12.44,12.3,12.406667,437200,8.307289
"2001-04-12",12.406667,12.7,12.406667,12.573334,767700,8.418885
"2001-04-16",12.666667,12.766666,12.506667,12.553333,357900,8.405496
"2001-04-17",12.533334,12.633333,12.2,12.266666,542400,8.213549
"2001-04-18",12.333333,12.766666,12.2,12.2,601600,8.168912
"2001-04-19",12.133333,12.333333,11.946667,12.233334,512200,8.191231
"2001-04-20",12.166667,12.173333,11.633333,11.9,602400,7.968033
"2001-04-23",11.9,12,11.693334,12,181900,8.03499
"2001-04-24",11.833333,12,11.786667,11.966666,176200,8.012673
"2001-04-25",11.933333,12.12,11.826667,12.066667,351900,8.079633
"2001-04-26",12.233334,12.733334,12.226666,12.533334,641100,8.392102
"2001-04-27",12.533334,12.833333,12.5,12.706667,747900,8.508168
"2001-04-30",12.666667,12.666667,12,12,620800,8.03499
"2001-05-01",12,12.8,11.933333,12.666667,1093200,8.48138
"2001-05-02",12.666667,12.666667,12.386666,12.413333,408700,8.311753
"2001-05-03",12.366667,12.366667,11.933333,12.286667,356700,8.226937
"2001-05-04",12.286667,12.286667,11.986667,12.013333,455700,8.04392
"2001-05-07",12,12.253333,11.833333,12.173333,530200,8.151055
"2001-05-08",12.173333,12.366667,12.033334,12.273334,1072500,8.21801
"2001-05-09",12.3,12.446667,11.933333,12.4,570900,8.302826
"2001-05-10",12.4,12.466666,12.233334,12.433333,370900,8.325145
"2001-05-11",12.42,12.433333,12.233334,12.353333,282900,8.27158
"2001-05-14",12.3,12.36,12.16,12.36,511200,8.27604
"2001-05-15",12.426666,13.066667,12.366667,12.786667,1266600,8.561731
"2001-05-16",12.786667,13,12.7,12.993333,761400,8.700109
"2001-05-17",12.933333,12.94,12.7,12.753333,1149300,8.53941
"2001-05-18",12.566667,12.7,12.566667,12.666667,455500,8.48138
"2001-05-21",12.666667,12.666667,12.393333,12.5,596400,8.369786
"2001-05-22",12.533334,12.56,12.193334,12.306666,624900,8.240333
"2001-05-23",12.306666,12.333333,11.8,11.966666,1287600,8.012673
"2001-05-24",11.9,12.18,11.9,11.966666,798400,8.012673
"2001-05-25",11.96,11.993333,11.7,11.813334,355300,7.910001
"2001-05-29",11.866667,12.066667,11.833333,11.933333,365800,7.990355
"2001-05-30",11.94,11.96,11.733334,11.873333,384000,7.95018
"2001-05-31",11.9,12.253333,11.9,12.253333,821500,8.204622
"2001-06-01",12.32,12.593333,12.173333,12.533334,651400,8.392102
"2001-06-04",12.366667,12.733334,12.366667,12.673333,578500,8.485847
"2001-06-05",12.633333,12.933333,12.573334,12.7,470700,8.503703
"2001-06-06",12.706667,12.706667,12.433333,12.446667,270900,8.334073
"2001-06-07",12.5,12.873333,12.493333,12.633333,498700,8.459061
"2001-06-08",12.626667,12.733334,12.513333,12.56,404800,8.409961
"2001-06-11",12.566667,12.74,12.48,12.693334,484800,8.49924
"2001-06-12",12.6,12.66,12.553333,12.6,335400,8.436746
"2001-06-13",12.633333,12.966666,12.633333,12.8,550500,8.570659
"2001-06-14",12.8,12.966666,12.766666,12.766666,681100,8.548335
"2001-06-15",12.733334,12.76,12.62,12.653334,353100,8.472453
"2001-06-18",12.666667,12.666667,12.6,12.66,356500,8.47692
"2001-06-19",12.733334,12.926666,12.586667,12.866667,409800,8.615296
"2001-06-20",12.8,13.033334,12.766666,13.026667,606700,8.722428
"2001-06-21",13.02,13.133333,12.9,13.033334,931900,8.726896
"2001-06-22",12.966666,12.973333,12.786667,12.866667,752400,8.615296
"2001-06-25",12.8,12.806666,12.4,12.646667,484300,8.467989
"2001-06-26",12.646667,13.3,12.566667,12.64,600600,8.463524
"2001-06-27",12.506667,12.8,12.506667,12.766666,336300,8.548335
"2001-06-28",12.766666,13.213333,12.766666,13.113334,617500,8.780463
"2001-06-29",13.046667,13.233334,12.78,13.233334,895200,8.86081
"2001-07-02",13.2,13.22,13.1,13.2,814200,8.838491
"2001-07-03",13.266666,13.333333,13.04,13.166667,589300,8.816173
"2001-07-05",13.133333,13.326667,13.08,13.3,849100,8.90545
"2001-07-06",13.266666,13.36,13.14,13.266666,663300,8.883133
"2001-07-09",13.3,13.566667,13.28,13.5,1065300,9.039362
"2001-07-10",13.433333,13.52,13.213333,13.346666,952300,8.936699
"2001-07-11",13.4,13.673333,13.366667,13.62,924000,9.11972
"2001-07-12",13.453333,13.8,13.453333,13.766666,588700,9.217921
"2001-07-13",13.733334,13.933333,13.733334,13.866667,1085700,9.284883
"2001-07-16",13.866667,13.9,13.466666,13.466666,454600,9.017046
"2001-07-17",13.473333,13.633333,13.36,13.386666,357000,8.963479
"2001-07-18",13.4,13.533334,13.286667,13.366667,374500,8.950088
"2001-07-19",13.533334,13.573334,13.326667,13.333333,297600,8.92777
"2001-07-20",13.3,13.513333,13.3,13.333333,463300,8.92777
"2001-07-23",13.6,13.6,13.2,13.266666,199200,8.883133
"2001-07-24",13.166667,13.166667,12.233334,12.406667,748600,8.307289
"2001-07-25",12.533334,12.713333,12.233334,12.593333,772200,8.432278
"2001-07-26",12.46,12.733334,12.346666,12.566667,578800,8.414423
"2001-07-27",12.7,12.766666,12.66,12.673333,722500,8.485847
"2001-07-30",12.666667,13.06,12.666667,12.933333,441400,8.659933
"2001-07-31",12.966666,13.433333,12.733334,13.266666,1162900,8.883133
"2001-08-01",13.266666,13.466666,13.233334,13.3,1043500,8.90545
"2001-08-02",13.366667,13.4,12.96,12.966666,691300,8.682259
"2001-08-03",13.066667,13.653334,13.066667,13.333333,1090200,8.92777
"2001-08-06",13.266666,13.3,13,13.2,799000,8.838491
"2001-08-07",13.206667,13.246667,13.033334,13.133333,531300,8.793852
"2001-08-08",13.066667,13.22,12.973333,13.14,521400,8.798318
"2001-08-09",13.1,13.133333,12.753333,13.02,508300,8.717969
"2001-08-10",13,13.433333,13,13.433333,1649400,8.994725
"2001-08-13",13.366667,13.666667,13.213333,13.566667,675700,9.084004
"2001-08-14",13.533334,13.673333,13.306666,13.466666,810900,9.017046
"2001-08-15",13.5,13.5,13.133333,13.326667,658200,8.923305
"2001-08-16",13.333333,13.333333,13.22,13.313334,491700,8.914373
"2001-08-17",13.266666,13.333333,13.066667,13.2,438400,8.838491
"2001-08-20",13.266666,13.333333,13.233334,13.293333,308100,8.900984
"2001-08-21",13.293333,13.366667,13.28,13.326667,286600,8.923305
"2001-08-22",13.326667,13.333333,13.133333,13.226666,374400,8.85635
"2001-08-23",13.226666,13.226666,13,13.146667,394000,8.802782
"2001-08-24",13.146667,13.146667,12.6,13.053333,1124700,8.740285
"2001-08-27",13.266666,13.48,13.266666,13.333333,1203600,8.92777
"2001-08-28",13.333333,13.48,13.313334,13.373333,1077600,8.954551
"2001-08-29",13.36,13.553333,13.333333,13.493333,1180300,9.034903
"2001-08-30",13.5,13.5,13.166667,13.266666,1750300,8.883133
"2001-08-31",13.266666,13.386666,13.233334,13.233334,1084900,8.86081
"2001-09-04",13.3,13.4,13.186666,13.333333,437100,8.92777
"2001-09-05",13.333333,13.453333,13.326667,13.38,477400,8.959017
"2001-09-06",13.333333,13.36,13.233334,13.3,608800,8.90545
"2001-09-07",13.266666,13.266666,12.686666,12.833333,1178700,8.592978
"2001-09-10",12.633333,12.82,12.266666,12.733334,1129800,8.526021
"2001-09-17",12.333333,12.333333,11.766666,11.933333,1108900,7.990355
"2001-09-18",12,12,11.1,11.48,1080400,7.68681
"2001-09-19",11.413333,11.5,10.466666,11.233334,1603600,7.521646
"2001-09-20",11.133333,11.14,10.713333,10.84,688600,7.258276
"2001-09-21",10.533334,11,10.4,11,1001400,7.36541
"2001-09-24",11.5,11.5,11.266666,11.293333,991600,7.561821
"2001-09-25",11.426666,11.666667,11.166667,11.366667,761800,7.610926
"2001-09-26",11.366667,11.426666,10.633333,10.746667,1372200,7.19578
"2001-09-27",10.733334,11.32,10.706667,11.2,942600,7.499325
"2001-09-28",11.32,11.366667,10.8,10.8,1361700,7.231495
"2001-10-01",10.833333,10.933333,10.58,10.72,873900,7.177925
"2001-10-02",10.866667,11.066667,10.86,11.066667,1477000,7.410052
"2001-10-03",11.466666,11.493333,11.28,11.333333,782500,7.588602
"2001-10-04",11.333333,11.566667,11.306666,11.393333,1097200,7.628775
"2001-10-05",11.393333,11.466666,11.1,11.246667,598800,7.530574
"2001-10-08",11.4,11.4,10.913333,11.08,571500,7.418976
"2001-10-09",11.133333,11.333333,11.133333,11.24,416400,7.526108
"2001-10-10",11.333333,11.466666,11.3,11.466666,528100,7.677881
"2001-10-11",11.533334,11.866667,11.5,11.686666,704700,7.82519
"2001-10-12",11.666667,11.7,11.546667,11.606667,1251900,7.771622
"2001-10-15",11.586667,11.586667,11.2,11.266666,600300,7.543967
"2001-10-16",11.5,11.913333,11.5,11.853333,833200,7.936785
"2001-10-17",11.9,12,11.766666,11.766666,745900,7.878757
"2001-10-18",11.633333,11.966666,11.626667,11.806666,240900,7.90554
"2001-10-19",11.9,11.966666,11.566667,11.566667,254700,7.744838
"2001-10-22",11.633333,11.733334,11.266666,11.3,774300,7.566283
"2001-10-23",11.333333,11.4,11.266666,11.333333,279700,7.588602
"2001-10-24",11.333333,11.5,11.333333,11.426666,289800,7.651099
"2001-10-25",11.333333,11.76,11.333333,11.606667,450400,7.771622
"2001-10-26",11.606667,11.813334,11.606667,11.7,297100,7.834116
"2001-10-29",11.7,11.733334,11.2,11.293333,356100,7.561821
"2001-10-30",10.533334,11.253333,10.533334,11.166667,924400,7.477006
"2001-10-31",11.233334,11.366667,10.686666,10.92,1087600,7.311846
"2001-11-01",10.9,10.966666,10.566667,10.7,1172700,7.164537
"2001-11-02",10.666667,10.666667,10.166667,10.3,2370100,6.896702
"2001-11-05",10.3,10.606667,10.3,10.54,1363900,7.057404
"2001-11-06",10.533334,11.2,10.533334,11.033334,905700,7.387729
"2001-11-07",10.966666,11.573334,10.966666,11.306666,744900,7.57075
"2001-11-08",11.333333,11.56,11.066667,11.173333,420300,7.481472
"2001-11-09",11.166667,11.373333,11.1,11.353333,251800,7.601995
"2001-11-12",11.133333,11.233334,10.9,11.1,393700,7.43237
"2001-11-13",11.133333,11.466666,11.133333,11.333333,511200,7.588602
"2001-11-14",11.433333,11.566667,11.306666,11.52,526800,7.713596
"2001-11-15",11.5,11.966666,11.333333,11.906667,418500,7.972499
"2001-11-16",11.906667,12.233334,11.866667,12.206667,973300,8.173374
"2001-11-19",12.22,12.46,12.133333,12.173333,763500,8.151055
"2001-11-20",12.173333,12.2,12.1,12.133333,973300,8.12427
"2001-11-21",12.126667,12.126667,11.8,11.853333,265500,7.936785
"2001-11-23",11.866667,12.033334,11.733334,11.933333,101500,7.990355
"2001-11-26",11.8,11.92,11.753333,11.88,305700,7.954641
"2001-11-27",11.8,11.866667,11.633333,11.666667,268500,7.811799
"2001-11-28",11.666667,11.7,11.52,11.533334,342700,7.722523
"2001-11-29",11.533334,11.533334,11.226666,11.326667,419500,7.584141
"2001-11-30",11.2,11.68,11.1,11.5,1123500,7.700202
"2001-12-03",11.5,11.533334,11.333333,11.533334,290200,7.722523
"2001-12-04",11.533334,11.533334,11.333333,11.34,516400,7.593068
"2001-12-05",11.333333,11.54,11.333333,11.366667,719700,7.610926
"2001-12-06",11.466666,12.366667,11.4,12.346666,1741000,8.267116
"2001-12-07",12.3,12.466666,11.9,12.453333,717900,8.338539
"2001-12-10",12.4,12.42,12.14,12.233334,563400,8.191231
"2001-12-11",12.266666,12.266666,12.02,12.02,474100,8.048385
"2001-12-12",12,12.053333,11.766666,11.873333,752700,7.95018
"2001-12-13",12.5,12.946667,12.353333,12.7,31271800,8.503703
"2001-12-14",12.766666,12.913333,12.6,12.9,2433100,8.637615
"2001-12-17",12.733334,13.2,12.733334,13.173333,1290400,8.820636
"2001-12-18",13.266666,13.28,13.04,13.233334,1473400,8.86081
"2001-12-19",13.233334,13.333333,12.833333,12.9,1531600,8.637615
"2001-12-20",12.966666,13.106667,12.74,13,2292400,8.704571
"2001-12-21",13.1,13.733334,13.033334,13.566667,2606700,9.084004
"2001-12-24",13.6,13.62,13.42,13.566667,300400,9.084004
"2001-12-26",13.5,13.5,13.326667,13.393333,471300,8.967944
"2001-12-27",13.326667,13.666667,13.326667,13.433333,1000800,8.994725
"2001-12-28",13.486667,13.553333,13.4,13.5,1461000,9.039362
"2001-12-31",13.433333,13.5,13.133333,13.313334,934300,8.914373
"2002-01-02",12.933333,13.326667,12.733334,13.326667,1377100,8.923305
"2002-01-03",13.333333,13.333333,13.126667,13.146667,819900,8.802782
"2002-01-04",13.146667,13.146667,12.9,12.966666,979600,8.682259
"2002-01-07",12.966666,13.28,12.96,13.133333,487800,8.793852
"2002-01-08",13.14,13.14,12.92,13.02,320200,8.717969
"2002-01-09",13,13.133333,12.84,12.88,569200,8.624225
"2002-01-10",12.88,12.88,12.573334,12.666667,1206900,8.48138
"2002-01-11",12.666667,12.953333,12.633333,12.866667,377400,8.615296
"2002-01-14",12.92,13.126667,12.866667,12.946667,547900,8.668866
"2002-01-15",12.946667,13.026667,12.7,13,696300,8.704571
"2002-01-16",13,13.24,12.933333,13.026667,895500,8.722428
"2002-01-17",13,13,12.8,12.993333,425100,8.700109
"2002-01-18",12.933333,12.933333,12.793333,12.893333,523500,8.633152
"2002-01-22",12.966666,13.033334,12.833333,12.926666,672400,8.65547
"2002-01-23",12.926666,13.066667,12.92,12.92,659700,8.651009
"2002-01-24",12.973333,13,12.833333,12.886666,352500,8.628688
"2002-01-25",12.886666,12.993333,12.833333,12.966666,549300,8.682259
"2002-01-28",12.966666,12.973333,12.666667,12.666667,1328200,8.48138
"2002-01-29",12.666667,12.766666,12.613334,12.666667,1171200,8.48138
"2002-01-30",12.673333,12.673333,12.066667,12.22,1816600,8.182301
"2002-01-31",11.333333,12,11.266666,11.6,3652600,7.76716
"2002-02-01",11.5,11.5,11.166667,11.32,3664800,7.579677
"2002-02-04",11.066667,11.333333,10.966666,11.166667,1055400,7.477006
"2002-02-05",10.966666,11.313334,10.966666,11.26,985500,7.539505
"2002-02-06",11.26,11.26,11.173333,11.253333,1018200,7.535038
"2002-02-07",11.253333,11.366667,11.173333,11.3,1326900,7.566283
"2002-02-08",11.3,11.366667,11.253333,11.32,773400,7.579677
"2002-02-11",11.32,11.413333,11.266666,11.333333,1183000,7.588602
"2002-02-12",11.3,11.34,11.2,11.253333,677800,7.535038
"2002-02-13",11.2,11.3,11.166667,11.22,1002000,7.512718
"2002-02-14",11.233334,11.8,11.233334,11.533334,2053800,7.722523
"2002-02-15",11.6,11.753333,11.533334,11.666667,857500,7.811799
"2002-02-19",11.533334,11.633333,11.453333,11.573334,951300,7.749304
"2002-02-20",11.64,11.733334,11.566667,11.633333,1056000,7.789477
"2002-02-21",11.6,11.66,11.546667,11.6,1286400,7.76716
"2002-02-22",11.533334,11.733334,11.5,11.726666,1149900,7.851971
"2002-02-25",11.8,11.866667,11.466666,11.58,598900,7.753767
"2002-02-26",11.633333,11.826667,11.506667,11.593333,932200,7.762696
"2002-02-27",11.633333,12.2,11.633333,12.08,1104400,8.088561
"2002-02-28",12.033334,12.04,11.92,11.966666,777100,8.012673
"2002-03-01",11.96,12.12,11.933333,12.093333,685500,8.097486
"2002-03-04",12.2,12.393333,12.2,12.393333,831600,8.298363
"2002-03-05",12.3,12.413333,12.233334,12.3,727200,8.235868
"2002-03-06",12.166667,12.466666,12.106667,12.4,681600,8.302826
"2002-03-07",12.373333,12.6,12.28,12.366667,645700,8.280506
"2002-03-08",12.433333,12.466666,12.02,12.066667,1069800,8.079633
"2002-03-11",12.066667,12.166667,12,12.053333,782800,8.070703
"2002-03-12",12.013333,12.013333,11.606667,11.746667,1942800,7.865366
"2002-03-13",11.7,11.8,11.566667,11.6,1354800,7.76716
"2002-03-14",11.266666,11.8,11.266666,11.68,1134400,7.820725
"2002-03-15",11.68,11.7,11.5,11.58,961800,7.753767
"2002-03-18",11.666667,11.733334,11.433333,11.56,939900,7.740378
"2002-03-19",11.633333,12.493333,11.586667,12.4,1595700,8.302826
"2002-03-20",12.4,12.633333,12.34,12.4,1166400,8.302826
"2002-03-21",12.366667,12.393333,12.006667,12.266666,283500,8.213549
"2002-03-22",12.333333,12.6,12.233334,12.46,622600,8.342997
