"","Open","High","Low","Close","Volume"
"2001-01-02",19.690145,20.315145,19.315145,19.377645,784100
"2001-01-03",19.216404,20.028904,19.216404,19.653904,732100
"2001-01-04",19.973009,20.035509,19.098009,19.535509,778500
"2001-01-05",19.726383,19.726383,18.913883,19.101383,610200
"2001-01-08",19.285664,19.598164,18.785664,18.785664,854400
"2001-01-09",18.390705,19.890705,18.390705,19.890705,1788600
"2001-01-10",19.492517,20.930017,19.492517,20.680017,1663100
"2001-01-11",21.255871,21.318371,19.568371,19.693371,810600
"2001-01-12",19.67034,19.98284,19.17034,19.73284,704600
"2001-01-16",19.46319,19.58819,18.83819,19.33819,623800
"2001-01-17",19.624428,19.749428,18.811928,19.061928,382800
"2001-01-18",19.137627,19.387627,18.637627,18.825127,690900
"2001-01-19",19.042269,19.979769,18.604769,18.667269,977800
"2001-01-22",18.127645,19.565145,18.127645,19.377645,1064500
"2001-01-23",19.097858,20.722858,19.097858,20.285358,1368200
"2001-01-24",20.321606,20.446606,19.821606,20.009106,727900
"2001-01-25",18.873821,22.061321,18.811321,22.061321,1446200
"2001-01-26",22.104158,22.541658,20.854158,21.666658,1093100
"2001-01-29",21.468718,22.058718,21.418719,21.898718,1100700
"2001-01-30",21.420221,22.310221,20.54022,22.29022,969300
"2001-01-31",21.93076,22.700756,21.93076,22.220757,1079800
"2001-02-01",21.714793,23.194792,21.61479,23.104792,1231200
"2001-02-02",23.50651,23.50651,22.136511,22.41651,3563800
"2001-02-05",22.641193,22.921196,22.501194,22.631195,1352800
"2001-02-06",22.907046,22.947047,22.347044,22.347044,856300
"2001-02-07",22.839352,22.839352,20.489354,21.349354,1782000
"2001-02-08",21.441471,21.72147,21.201469,21.31147,2251400
"2001-02-09",21.386774,21.406774,20.966772,21.096773,990500
"2001-02-12",21.137316,21.197317,20.527315,21.027315,765400
"2001-02-13",20.48407,21.534069,20.48407,21.444069,1217000
"2001-02-14",21.713117,21.813119,20.983118,20.983118,763500
"2001-02-15",21.001031,21.55103,20.901028,20.901028,877600
"2001-02-16",20.826727,21.686727,20.726728,21.336729,972200
"2001-02-20",21.415162,22.065164,21.255163,21.305166,619400
"2001-02-21",21.396224,22.096225,21.166224,21.166224,849000
"2001-02-22",21.085666,21.365669,20.665668,21.355667,802300
"2001-02-23",21.602602,21.602602,20.512602,20.932604,799200
"2001-02-26",20.590952,21.340952,20.590952,21.26095,662900
"2001-02-27",21.31147,21.411468,21.211472,21.31147,1049100
"2001-02-28",21.510475,21.510475,20.940475,20.970474,1112100
"2001-03-01",21.433948,21.433948,19.283949,19.473949,2231000
"2001-03-02",19.546596,19.546596,18.126596,19.366596,2373800
"2001-03-05",19.089132,19.859133,19.089132,19.859133,674800
"2001-03-06",20.248816,20.298815,18.778817,18.848816,1434500
"2001-03-07",19.132591,19.16259,16.782591,18.362591,3248200
"2001-03-08",18.45839,18.54839,17.90839,18.31839,1331700
"2001-03-09",17.978295,18.858294,17.538294,18.798294,1098400
"2001-03-12",18.689841,19.639842,18.339841,18.949841,1302100
"2001-03-13",19.435664,20.035664,18.475665,18.785664,1703000
"2001-03-14",18.655807,18.705806,17.805806,18.065807,1115000
"2001-03-15",18.512195,18.512195,17.462194,17.712194,1387900
"2001-03-16",17.720179,18.02018,17.130179,17.27018,2666200
"2001-03-19",17.667604,17.667604,16.897604,17.017605,1904700
"2001-03-20",17.141304,17.141304,16.841305,16.891304,985400
"2001-03-21",17.002853,17.102851,16.702852,17.042852,1548200
"2001-03-22",17.417719,17.417719,15.657719,16.417719,1979000
"2001-03-23",16.146592,17.046591,16.07659,16.796591,1094400
"2001-03-26",16.695976,17.225977,16.575975,17.225977,1089100
"2001-03-27",16.918468,18.268468,16.818467,17.958469,1620400
"2001-03-28",17.681122,17.931122,17.201123,17.851122,973800
"2001-03-29",17.295615,19.145615,17.275614,19.025614,1622000
"2001-03-30",19.122027,19.132025,18.272026,18.552025,867800
"2001-04-02",18.369821,19.33982,18.369821,19.069822,1043400
"2001-04-03",19.106671,19.356671,18.80667,19.00667,1270000
"2001-04-04",18.682802,19.382801,18.482801,19.222801,885800
"2001-04-05",19.164991,19.774992,18.894993,19.724993,652500
"2001-04-06",19.666844,19.716843,19.146843,19.686842,696500
"2001-04-09",19.786692,20.066692,19.336693,19.826693,962400
"2001-04-10",18.960568,19.660567,18.820566,19.610567,1618900
"2001-04-11",19.617228,19.817227,18.937227,19.337227,1468700
"2001-04-12",18.764212,19.614212,18.764212,19.604212,990000
"2001-04-16",19.660567,19.810566,19.320566,19.610567,970000
"2001-04-17",19.128027,20.278027,19.058027,20.278027,655500
"2001-04-18",19.781912,20.981913,19.761912,20.88191,945500
"2001-04-19",20.933429,21.413433,18.833431,19.483431,1902600
"2001-04-20",19.851016,19.851016,19.131015,19.191017,1802900
"2001-04-23",19.215973,19.335974,18.665974,18.815973,772300
"2001-04-24",18.580549,19.360548,18.410549,18.790548,644500
"2001-04-25",18.609448,18.609448,17.759448,18.129448,1153700
"2001-04-26",18.059462,19.129462,17.939461,18.949461,1126200
"2001-04-27",18.752017,19.102015,18.652016,19.102015,639300
"2001-04-30",19.291475,19.291475,18.591476,18.771477,723700
"2001-05-01",19.339838,19.689838,18.589838,18.599838,2560800
"2001-05-02",18.447761,19.447761,18.297761,18.847761,1698300
"2001-05-03",19.089964,19.089964,17.199962,17.639963,4193500
"2001-05-04",16.946247,17.876248,16.946247,17.716248,10370400
"2001-05-07",17.480302,18.180302,17.180302,18.180302,2907800
"2001-05-08",17.894493,18.644493,17.654493,18.504494,1831500
"2001-05-09",18.376978,18.926977,18.276977,18.726976,1880600
"2001-05-10",18.750624,18.800625,18.480623,18.720625,1736700
"2001-05-11",18.735193,18.765192,18.395193,18.695192,975000
"2001-05-14",18.501389,18.901391,17.70139,18.841389,1004900
"2001-05-15",18.775273,19.025273,18.485272,18.625271,1941800
"2001-05-16",18.034557,18.734556,18.034557,18.434557,2037500
"2001-05-17",18.368986,18.718986,18.278986,18.548986,1544800
"2001-05-18",18.543865,18.563865,18.073866,18.243866,1366200
"2001-05-21",18.635324,18.635324,17.585325,17.735325,1433400
"2001-05-22",17.697761,18.847761,17.677761,18.847761,2759000
"2001-05-23",19.011322,19.161322,18.531323,18.911322,1707800
"2001-05-24",18.797761,18.947761,18.557762,18.847761,1091400
"2001-05-25",19.043865,19.103864,17.993866,18.243866,894400
"2001-05-29",18.144873,18.334874,17.824874,18.154873,767800
"2001-05-30",17.688379,19.45838,17.688379,19.108379,1300300
"2001-05-31",18.804038,19.084038,18.424038,18.924038,2742100
"2001-06-01",19.077053,19.157053,18.507054,18.657053,1843100
"2001-06-04",18.729921,18.809921,18.279921,18.529921,1755000
"2001-06-05",18.383488,18.833487,18.293488,18.593487,796200
"2001-06-06",18.632175,19.132175,18.132175,18.962175,1116300
"2001-06-07",18.909059,19.409059,18.409059,18.479059,1825000
"2001-06-08",18.436275,18.576277,18.276276,18.536276,1050900
"2001-06-11",18.343183,18.903182,18.343183,18.873184,1816000
"2001-06-12",18.278784,19.678784,17.858784,19.578783,1633300
"2001-06-13",19.34071,19.59071,19.08071,19.470709,1660700
"2001-06-14",19.516842,20.016842,19.266842,19.686842,2543600
"2001-06-15",18.974132,20.144132,18.824132,19.674133,2948600
"2001-06-18",18.963449,20.373447,18.963449,20.30345,2507400
"2001-06-19",20.270663,20.600662,19.680662,20.360661,1800900
"2001-06-20",20.511189,20.56119,19.591189,19.871189,4536400
"2001-06-21",19.787701,19.937701,19.287701,19.7377,3557300
"2001-06-22",19.993099,19.993099,18.793099,18.943098,1949800
"2001-06-25",18.707428,18.767427,18.307426,18.307426,2276000
"2001-06-26",18.027275,18.677275,17.987274,18.447275,1811200
"2001-06-27",18.428414,18.578413,16.678414,17.398415,3106000
"2001-06-28",17.788247,17.788247,16.668246,16.718245,4262700
"2001-06-29",16.627163,17.227164,16.377163,16.877163,2739500
"2001-07-02",17.149023,17.499024,16.649023,16.839024,1533800
"2001-07-03",16.828089,17.188089,16.828089,16.858089,855900
"2001-07-05",16.604416,17.354416,16.604416,17.274416,1494300
"2001-07-06",17.738092,17.738092,16.288091,16.858091,1275600
"2001-07-09",16.903457,16.943456,16.433456,16.563457,980800
"2001-07-10",17.012629,17.012629,15.812628,16.012629,2116600
"2001-07-11",16.201511,16.481512,15.621511,16.121511,1337300
"2001-07-12",15.826723,17.156723,15.806723,16.646723,1830000
"2001-07-13",16.813593,17.003591,16.603592,16.723593,1450200
"2001-07-16",16.856724,17.056723,16.646723,16.646723,1294200
"2001-07-17",16.697049,17.107049,16.557049,16.557049,2001900
"2001-07-18",16.553131,17.063131,16.473131,16.653131,907500
"2001-07-19",16.692316,17.732315,16.652315,17.652315,1545100
"2001-07-20",17.48773,18.187731,17.437731,17.927731,1550800
"2001-07-23",17.697934,17.777934,17.387932,17.677933,987500
"2001-07-24",17.620416,18.060417,17.470417,17.780416,1693600
"2001-07-25",17.530546,18.020546,17.530546,17.940546,880100
"2001-07-26",17.562246,18.062246,17.562246,18.062246,1280300
"2001-07-27",17.976287,18.226287,17.826287,18.126286,402500
"2001-07-30",17.904725,18.434724,17.904725,18.164726,872100
"2001-07-31",17.767794,18.567795,17.767794,18.497793,1119300
"2001-08-01",18.468114,18.778116,18.138114,18.408115,456700
"2001-08-02",18.530346,18.690346,17.990347,18.190346,1018800
"2001-08-03",18.001459,18.151458,17.661458,18.081459,960400
"2001-08-06",17.991002,18.151002,17.861001,18.011003,792800
"2001-08-07",17.794523,18.484524,17.724523,18.414524,730500
"2001-08-08",18.355055,18.385056,17.985054,18.075054,545300
"2001-08-09",18.003151,18.383152,17.983153,18.203152,599500
"2001-08-10",18.070087,18.190086,17.720087,17.870087,691000
"2001-08-13",18.070415,18.070415,17.670416,17.780416,818400
"2001-08-14",17.801988,17.891988,17.551988,17.741989,525300
"2001-08-15",18.19136,18.491359,16.891359,16.94136,875700
"2001-08-16",16.993309,17.543308,16.543308,17.383308,1486400
"2001-08-17",17.293638,17.483639,17.033638,17.293638,739900
"2001-08-20",17.090289,17.620289,17.06029,17.620289,497700
"2001-08-21",17.60964,18.10964,17.60964,17.799641,629500
"2001-08-22",17.912651,17.94265,17.542651,17.562651,1175200
"2001-08-23",17.599382,17.609382,17.179382,17.479383,705800
"2001-08-24",17.213557,18.003558,17.153557,17.703556,585000
"2001-08-27",17.763888,18.113888,17.583887,17.613888,839600
"2001-08-28",17.807351,18.057351,17.367351,17.447351,1178900
"2001-08-29",17.641491,17.641491,16.87149,17.101492,1431200
"2001-08-30",17.34235,17.392349,16.442348,16.67235,1772200
"2001-08-31",16.628876,17.198876,16.628876,16.838877,1065800
"2001-09-04",16.908016,17.568016,16.818016,17.268015,1544500
"2001-09-05",17.329578,17.479578,17.119579,17.229578,842700
"2001-09-06",17.443921,17.543919,16.463919,16.633919,925000
"2001-09-07",16.766552,17.046551,15.566551,15.916551,1190400
"2001-09-10",15.316551,15.916551,15.016552,15.916551,1482800
"2001-09-17",24.175909,24.675909,18.275909,20.175909,22093000
"2001-09-18",20.154341,20.654341,19.164341,20.21434,6582700
"2001-09-19",20.216414,21.806416,19.816414,20.816414,5974600
"2001-09-20",20.816414,21.346413,19.816414,20.816414,7038400
"2001-09-21",20.162793,22.762791,19.56279,21.802792,6366000
"2001-09-24",22.710211,23.460211,20.440211,20.560209,4947200
"2001-09-25",20.672624,21.342622,20.482625,21.072626,3356700
"2001-09-26",21.235052,21.245054,19.925053,20.605051,3295900
"2001-09-27",19.639579,22.489577,19.589575,22.289576,5864800
"2001-09-28",22.277557,22.707558,22.207558,22.257557,5054400
"2001-10-01",22.534364,22.774366,21.644365,21.764364,3970100
"2001-10-02",21.474866,22.474866,21.474866,22.404867,3103900
"2001-10-03",22.511014,23.161016,22.421014,22.611012,4140800
"2001-10-04",22.707069,23.65707,22.40707,22.437073,3264500
"2001-10-05",22.557259,23.25726,22.327259,22.52726,2484500
"2001-10-08",22.984034,24.524031,22.884031,23.384031,6037800
"2001-10-09",23.921872,23.951871,22.621873,22.68187,7459900
"2001-10-10",22.723562,22.873564,21.533563,21.773561,4611400
"2001-10-11",21.710081,22.400079,21.710081,22.160082,6531700
"2001-10-12",22.191353,22.201351,21.291351,21.741352,3120600
"2001-10-15",21.537857,22.22786,21.47786,22.127857,2720200
"2001-10-16",22.277859,22.417858,21.717858,22.127857,2748800
"2001-10-17",21.646587,22.556587,21.046589,22.546589,4382900
"2001-10-18",20.742281,22.77228,20.242281,22.192282,7621200
"2001-10-19",22.198719,22.608719,22.038719,22.198719,3474700
"2001-10-22",21.337055,21.547054,20.447051,21.387054,4634200
"2001-10-23",22.041736,22.041736,20.091735,20.201736,4051400
"2001-10-24",19.864021,20.614021,19.614021,20.614021,4462500
"2001-10-25",19.769256,21.669256,19.619257,21.419256,4446600
"2001-10-26",21.652397,22.252395,21.402397,21.902397,11259200
"2001-10-29",21.258586,22.208587,21.168586,21.438587,5281800
"2001-10-30",21.439488,21.529488,20.489487,20.839485,5197800
"2001-10-31",21.025074,21.575073,20.475075,20.775074,4269400
"2001-11-01",20.263262,22.013262,20.123258,21.973261,3486200
"2001-11-02",21.713454,22.153452,21.503451,22.063452,1717800
"2001-11-05",22.30128,22.401283,20.851284,21.361282,2426200
"2001-11-06",21.169256,21.669256,20.579256,21.419256,1915500
"2001-11-07",21.404095,21.504093,20.654095,20.994095,1781000
"2001-11-08",20.864956,21.154957,20.794956,21.064957,2217200
"2001-11-09",22.047169,22.047169,20.897167,21.097168,2088200
"2001-11-12",21.100358,21.100358,20.620354,20.910355,1065000
"2001-11-13",21.380882,21.650882,19.990883,20.130882,2966800
"2001-11-14",19.751114,20.421114,19.001114,19.551115,4681200
"2001-11-15",19.739692,19.739692,18.929693,19.209692,4151000
"2001-11-16",18.633884,19.983885,18.473885,19.853884,3938300
"2001-11-19",19.630651,20.800653,19.61065,20.710653,2007800
"2001-11-20",20.506913,20.786913,20.056914,20.626913,1225200
"2001-11-21",20.401815,20.931814,20.051815,20.581816,1564700
"2001-11-23",20.356913,21.006915,20.136914,20.626913,347400
"2001-11-26",20.052441,21.232439,20.03244,21.232439,1942700
"2001-11-27",20.965888,21.515892,20.825889,21.515892,1727600
"2001-11-28",21.714399,21.804399,20.624399,20.794397,1644000
"2001-11-29",21.067393,21.137392,20.287392,20.517391,1864000
"2001-11-30",20.34005,21.240052,19.650049,21.11005,1383900
"2001-12-03",20.887054,21.597053,20.837055,21.387054,1515300
"2001-12-04",21.454847,21.454847,21.204847,21.354849,1369600
"2001-12-05",21.645937,21.735937,20.765936,20.845938,2333200
"2001-12-06",21.098555,21.138556,19.438555,20.388554,2670700
"2001-12-07",20.514021,20.774021,20.114021,20.614021,1903600
"2001-12-10",20.813266,20.863265,19.813266,20.253267,1440400
"2001-12-11",20.221262,20.391262,19.531261,20.311262,1749500
"2001-12-12",19.928442,20.67844,19.878441,20.67844,1177000
"2001-12-13",20.57114,21.00114,20.421138,20.601139,1274700
"2001-12-14",20.61065,21.260652,20.480651,20.710653,1575100
"2001-12-17",20.987621,21.087619,19.737621,19.937622,3261300
"2001-12-18",20.24737,20.287371,19.24737,19.467369,3482700
"2001-12-19",19.118344,19.528344,18.758343,19.248343,4123500
"2001-12-20",18.905416,20.015416,18.905416,19.905416,1986100
"2001-12-21",20.030882,20.140882,19.780882,20.130882,1463100
"2001-12-24",19.909537,20.309539,19.859538,20.169537,529600
"2001-12-26",20.26297,20.802969,20.032971,20.452971,839800
"2001-12-27",20.417391,20.867392,20.417391,20.517391,2483000
"2001-12-28",20.59428,20.824282,20.49428,20.74428,1715900
"2001-12-31",20.578963,21.048964,20.188964,21.048964,1095800
"2002-01-02",21.18298,21.18298,20.482979,20.672977,1382300
"2002-01-03",19.807604,20.807604,19.807604,20.627604,1770800
"2002-01-04",20.810511,20.810511,19.990511,20.29051,1603300
"2002-01-07",20.227186,20.607187,20.157187,20.407187,1431500
"2002-01-08",20.219665,20.949665,20.079666,20.789665,1612400
"2002-01-09",20.773933,21.603935,20.743935,20.873936,2256800
"2002-01-10",20.696554,21.186556,20.666556,21.016554,1236500
"2002-01-11",21.15725,21.15725,20.257252,20.757252,2043100
"2002-01-14",20.706837,20.996836,19.916836,20.536837,2497700
"2002-01-15",20.470018,20.790018,20.390018,20.660019,1992500
"2002-01-16",20.643787,21.293789,20.593788,21.113789,2923600
"2002-01-17",21.307105,21.437106,20.877104,20.997103,2243900
"2002-01-18",20.81827,21.90827,20.688269,21.308268,2389600
"2002-01-22",21.580973,21.880972,20.260971,20.860971,2172200
"2002-01-23",21.289111,21.33911,20.709109,20.809107,2452600
"2002-01-24",20.256391,22.30639,20.156393,22.196394,4134800
"2002-01-25",21.59409,22.874089,21.494092,22.86409,4807700
"2002-01-28",22.879265,23.229263,22.449265,22.799263,3022900
"2002-01-29",23.505404,24.025404,22.415404,22.935404,2802100
"2002-01-30",22.559295,24.129295,21.979293,24.089294,5288500
"2002-01-31",23.718876,24.808876,23.338875,24.808876,4475300
"2002-02-01",25.005204,25.655206,24.005204,25.055208,4753400
"2002-02-04",25.516739,25.71674,24.066738,24.296738,3528900
"2002-02-05",24.251912,24.451908,23.85191,24.231911,2450300
"2002-02-06",24.499241,24.499241,23.289238,23.739239,2674600
"2002-02-07",23.686737,24.64674,23.526737,24.296738,2489500
"2002-02-08",24.233839,24.91384,24.033843,24.633841,1628600
"2002-02-11",24.791639,24.851636,24.321638,24.711637,3145200
"2002-02-12",24.844879,24.854877,24.244881,24.244881,1943400
"2002-02-13",24.223773,24.413771,23.923769,24.28377,1683900
"2002-02-14",24.389566,24.549566,24.039568,24.549566,1392700
"2002-02-15",24.229827,25.249828,24.189826,25.00983,3231400
"2002-02-19",25.168112,25.388109,24.458109,24.718111,2003300
"2002-02-20",24.763842,24.863841,24.193842,24.633841,1629400
"2002-02-21",24.661974,25.411974,24.411974,24.581972,2712500
"2002-02-22",24.783084,24.863086,24.143085,24.543087,3428900
"2002-02-25",24.492386,24.812385,24.442387,24.802383,2746600
"2002-02-26",25.256952,25.35695,24.006952,24.406954,3469600
"2002-02-27",24.079333,25.379337,24.019336,25.379337,3465200
"2002-02-28",25.491124,25.571126,24.591127,25.081125,2815300
"2002-03-01",25.229335,26.229335,25.079333,25.379337,2981200
"2002-03-04",25.794654,25.894652,24.294654,25.074652,3090400
"2002-03-05",25.328312,25.388314,24.528313,24.828312,2595000
"2002-03-06",24.388647,26.008646,24.388647,25.638647,2419100
"2002-03-07",26.020793,26.310794,24.92079,25.210791,2956900
"2002-03-08",25.613498,26.0135,24.063499,24.7635,2796100
"2002-03-11",24.547416,25.447418,24.547416,24.977417,2027500
"2002-03-12",24.97355,25.47355,24.673551,25.113554,2101500
"2002-03-13",25.317264,25.467266,25.037265,25.217266,2241600
"2002-03-14",25.203468,26.803466,25.203468,25.703468,4261500
"2002-03-15",25.578613,27.168613,25.578613,26.578613,4219600
"2002-03-18",27.068067,27.508066,26.368066,26.598066,2052200
"2002-03-19",26.302758,27.372757,25.702755,26.902756,2324400
"2002-03-20",26.076602,27.166603,25.976604,26.766605,1589500
"2002-03-21",26.643436,27.093437,26.223438,26.643436,1341900
"2002-03-22",26.760006,26.860004,25.980003,26.060005,1843500
"2002-03-25",26.644919,26.644919,25.34492,25.534918,4075700
"2002-03-26",25.371603,26.511602,25.2516,25.651602,1506000
"2002-03-27",25.45689,27.52689,25.446888,26.286888,4909200
"2002-03-28",27.511023,27.511023,26.111021,26.611021,1660000
"2002-04-01",26.114799,27.614799,26.014801,27.0648,1793500
"2002-04-02",27.264801,28.204799,26.8148,27.0648,2824700
"2002-04-03",27.672423,27.672423,25.972422,26.092421,2504300
"2002-04-04",26.110481,26.55048,24.560482,25.030479,4752900
"2002-04-05",25.446696,25.646697,25.006697,25.336695,3237100
"2002-04-08",25.408346,25.548345,24.978346,25.408346,1640600
"2002-04-09",25.762903,25.762903,24.842905,25.212904,1405600
"2002-04-10",25.524847,25.87485,25.324851,25.844847,3657400
"2002-04-11",26.121235,26.171234,25.471238,25.571236,2419900
"2002-04-12",25.670013,25.930015,24.770016,25.480015,2159000
"2002-04-15",25.874418,25.894418,24.824419,25.004419,2446800
"2002-04-16",24.837142,25.557139,24.82714,25.317142,1632400
"2002-04-17",25.599431,25.639432,24.139432,24.789429,2372100
"2002-04-18",25.255924,25.705925,25.005924,25.225925,2590100
"2002-04-19",25.21319,26.013189,25.013189,25.773191,2562900
"2002-04-22",26.258344,26.488348,25.278345,25.408346,2351100
"2002-04-23",25.070442,27.070442,25.020438,26.320442,2722600
"2002-04-24",26.906505,27.656505,26.306507,26.346504,3221500
"2002-04-25",26.315149,26.575151,25.775152,26.405149,1872800
"2002-04-26",26.506369,26.746367,25.936369,26.066366,1409700
"2002-04-29",26.738934,26.788933,26.038933,26.098934,1488800
"2002-04-30",26.05829,28.30829,26.05829,27.55829,5527600
"2002-05-01",27.023441,28.263443,26.533443,27.623444,3225100
"2002-05-02",27.452957,28.562957,27.352954,28.502956,3665000
"2002-05-03",28.752956,28.752956,27.662956,28.502956,2494300
"2002-05-06",29.189658,29.229655,27.389654,27.499655,2002000
"2002-05-07",27.26191,28.461906,26.791908,27.831909,2366700
"2002-05-08",28.390233,28.670232,28.020234,28.620232,2250400
"2002-05-09",28.261271,29.101271,28.171271,28.861269,1979400
"2002-05-10",29.695996,30.195996,28.445996,28.515995,2492800
"2002-05-13",28.393986,29.393986,28.293988,29.173985,1368200
"2002-05-14",29.817324,30.017325,28.647326,29.317324,2835600
