"","Open","High","Low","Close","Volume"
"2001-01-02",23.876814,24.251814,21.189314,21.501814,4568100
"2001-01-03",20.247194,27.247194,19.434694,27.122194,12278500
"2001-01-04",26.500288,27.187788,24.500288,24.750288,7818000
"2001-01-05",24.940922,25.440922,24.003422,24.440922,5385900
"2001-01-08",23.936224,24.686224,22.686224,23.873724,4406600
"2001-01-09",23.364336,23.426836,22.739336,22.739336,5176500
"2001-01-10",22.720583,22.970583,21.783083,22.533083,5839100
"2001-01-11",22.3081,24.8081,22.2456,24.1831,6768200
"2001-01-12",24.262783,24.450283,23.387783,23.512783,4280400
"2001-01-16",23.100281,24.412781,22.787781,23.100281,3337500
"2001-01-17",23.806526,24.369026,23.244026,23.306526,3534600
"2001-01-18",23.459646,23.459646,22.209646,22.584646,5954100
"2001-01-19",22.045593,23.608093,21.920593,23.358093,8070000
"2001-01-22",23.450283,23.950283,23.200283,23.512783,4126000
"2001-01-23",23.654968,24.092468,22.717468,22.842468,6625100
"2001-01-24",23.067469,24.004969,22.754969,23.254969,8541900
"2001-01-25",23.822168,24.197168,23.384668,23.822168,3774400
"2001-01-26",22.747158,23.497158,22.747158,22.997158,4171600
"2001-01-29",22.998777,23.598777,22.998777,23.578777,3951300
"2001-01-30",23.734522,23.834523,22.024521,22.514523,10263700
"2001-01-31",21.878509,22.32851,21.178508,21.788509,11250400
"2001-02-01",21.883269,22.563269,21.643269,22.473269,7040300
"2001-02-02",22.586509,22.78651,21.686509,21.986509,3907700
"2001-02-05",21.712009,22.052009,20.452009,21.442009,5792200
"2001-02-06",21.663255,21.713256,20.923255,21.153254,4460700
"2001-02-07",21.430485,21.580484,18.810484,19.800484,7523200
"2001-02-08",19.889336,20.999337,19.819336,20.609335,8277900
"2001-02-09",21.221416,21.221416,19.971416,20.221416,6144700
"2001-02-12",20.514246,20.964245,19.964245,20.964245,2833000
"2001-02-13",20.540584,21.520584,20.540584,21.170584,4299600
"2001-02-14",21.026008,21.026008,20.076008,20.436008,3274600
"2001-02-15",19.638885,20.438886,18.238885,20.138885,12601200
"2001-02-16",19.385119,19.955118,18.835119,18.975119,6068800
"2001-02-20",19.184204,19.184204,17.624205,18.034204,6922900
"2001-02-21",17.592473,18.462474,17.492475,17.522474,5793300
"2001-02-22",17.719131,18.419132,17.089132,17.869131,6261400
"2001-02-23",17.551393,17.551393,15.951393,16.771393,7101100
"2001-02-26",16.796307,17.226307,15.526307,17.126307,10491000
"2001-02-27",17.366749,18.316748,16.676748,18.116749,8736300
