"","Open","High","Low","Close","Volume"
"2001-01-02",19.487745,19.550245,17.925245,18.237745,505200
"2001-01-03",18.11834,19.30584,17.68084,19.24334,594400
"2001-01-04",19.075422,20.012922,19.075422,19.700422,768300
"2001-01-05",19.897259,19.897259,18.834759,19.334759,637500
"2001-01-08",19.11834,19.68084,18.99334,19.24334,507800
"2001-01-09",19.223753,19.286253,18.598753,18.786253,618600
"2001-01-10",18.469091,19.031591,17.906591,18.969091,348700
"2001-01-11",19.269463,19.269463,18.456963,18.831963,386600
"2001-01-12",18.522259,19.397259,18.147259,19.334759,741000
"2001-01-16",19.217216,19.717216,18.779716,19.654716,634900
"2001-01-17",19.666847,19.979347,19.416847,19.791847,941100
"2001-01-18",19.990549,19.990549,18.490549,18.740549,1260900
"2001-01-19",18.468157,18.780657,17.468157,17.780657,1141400
"2001-01-22",17.980293,18.292793,17.042793,17.917793,825000
"2001-01-23",18.300245,18.362745,17.925245,18.237745,492300
"2001-01-24",17.151005,17.963505,17.026005,17.963505,995900
"2001-01-25",17.394463,18.956963,17.331963,18.831963,784700
"2001-01-26",18.999874,18.999874,17.937374,18.374874,464100
"2001-01-29",18.228842,19.058842,17.99884,18.758841,595200
"2001-01-30",18.914799,19.014799,18.034799,19.014799,578300
"2001-01-31",18.786436,19.786436,18.786436,19.636436,611700
"2001-02-01",19.703594,19.843594,19.203594,19.453594,407200
"2001-02-02",19.457336,19.607338,19.107338,19.307337,430600
"2001-02-05",19.1133,19.713301,18.963301,19.563301,540300
"2001-02-06",19.75674,19.75674,18.93674,19.036741,700700
"2001-02-07",19.10674,19.40674,18.25674,19.036741,529600
"2001-02-08",19.34122,19.57122,18.681221,18.861221,530900
"2001-02-09",18.74704,19.557042,18.567042,19.41704,606800
"2001-02-12",19.627774,19.627774,19.027774,19.387774,442700
"2001-02-13",19.323301,19.993301,19.1133,19.563301,1275900
"2001-02-14",19.835848,19.875847,19.335848,19.365847,816000
"2001-02-15",19.474502,20.094503,18.974502,19.124502,917600
"2001-02-16",19.355243,19.355243,18.745242,19.095243,517200
"2001-02-20",19.189274,19.379272,18.689274,18.839273,531200
"2001-02-21",19.13615,19.13615,18.246149,18.27615,516800
"2001-02-22",18.57501,18.725012,17.675011,18.015011,673300
"2001-02-23",18.112253,18.112253,17.132253,17.772253,628000
"2001-02-26",17.619013,18.569014,17.579012,18.449013,432500
"2001-02-27",18.492688,18.932688,18.252688,18.772688,517200
"2001-02-28",18.96373,19.413729,18.46373,18.46373,813800
"2001-03-01",18.484646,18.614647,18.224645,18.544645,848000
"2001-03-02",18.481533,19.151533,18.431534,18.831533,554000
"2001-03-05",18.75485,19.374849,18.684851,19.044849,572100
"2001-03-06",19.175534,19.435535,18.935535,19.265535,307900
"2001-03-07",18.998628,19.64863,18.668628,19.618629,600600
"2001-03-08",19.480362,19.950361,19.260363,19.530361,442900
"2001-03-09",19.740933,19.740933,19.390933,19.500933,510300
"2001-03-12",19.844277,19.874276,19.044276,19.074276,408500
"2001-03-13",18.834277,19.144276,18.264277,19.074276,534100
"2001-03-14",19.049013,19.299013,18.269013,18.449013,480900
"2001-03-15",18.466607,18.586608,17.916608,18.316608,650400
"2001-03-16",17.856497,18.606497,17.856497,18.066496,578000
"2001-03-19",18.016608,18.536609,17.916608,18.316608,426500
"2001-03-20",18.295921,18.865923,17.795921,18.095922,467700
"2001-03-21",18.285349,18.48535,17.705349,18.125349,721200
"2001-03-22",18.291107,18.291107,17.591106,17.831106,1166300
"2001-03-23",17.650981,18.400981,17.45098,18.22098,676800
"2001-03-26",18.127174,18.427173,17.877174,18.287174,550800
"2001-03-27",18.332467,18.432467,17.922467,18.272467,417700
"2001-03-28",18.195445,18.515447,17.995446,18.375446,512600
"2001-03-29",18.460852,19.110851,18.310852,18.610851,540200
"2001-03-30",18.613265,19.013265,18.413265,18.743265,390600
