"","Open","High","Low","Close","Volume"
"2001-01-02",16.815148,16.815148,15.105149,15.225148,35000
"2001-01-03",15.078842,15.968844,15.028843,15.628843,42700
"2001-01-04",15.465343,15.715343,15.225343,15.715343,31200
"2001-01-05",16.10213,16.10213,14.992131,15.05213,23200
"2001-01-08",15.363777,15.533777,14.063776,14.763776,37700
"2001-01-09",14.844452,14.994452,14.684453,14.994452,24400
"2001-01-10",14.807418,15.317418,14.757419,15.317418,27200
"2001-01-11",15.177794,15.357792,15.177794,15.357792,29700
"2001-01-12",15.446308,15.446308,15.096308,15.196308,33100
"2001-01-16",14.276237,16.636238,14.186237,16.436237,108600
"2001-01-17",16.771168,16.771168,15.561167,15.571167,37100
"2001-01-18",16.240761,16.340759,14.54076,14.590759,79300
"2001-01-19",14.642354,14.992354,14.452353,14.452353,38900
"2001-01-22",14.689393,15.379394,14.129394,14.129394,22300
"2001-01-23",14.287548,14.287548,13.577547,13.927548,45400
"2001-01-24",14.054532,14.054532,13.204531,13.754532,33100
"2001-01-25",14.049302,14.059302,13.079303,13.339301,29100
"2001-01-26",13.417766,13.467765,12.827766,13.327766,12600
"2001-01-29",13.584163,13.764163,13.434163,13.714164,25800
"2001-01-30",13.578605,14.278606,13.528606,14.198606,19700
"2001-01-31",14.065901,14.565901,14.065901,14.215901,22000
"2001-02-01",14.03891,14.68891,13.93891,14.388911,30600
"2001-02-02",15.062207,15.252205,13.812207,13.812207,56100
"2001-02-05",12.938639,15.38864,12.938639,15.13864,46700
"2001-02-06",14.523329,16.273329,14.283329,15.963329,77600
"2001-02-07",15.636345,16.416345,15.386345,16.136345,159700
"2001-02-08",16.17021,16.400209,16.04021,16.09021,153200
"2001-02-09",15.85132,17.10132,15.801321,16.211321,81400
"2001-02-12",16.253702,16.253702,15.853702,16.003702,37900
"2001-02-13",16.142279,16.442278,15.812279,15.812279,41800
"2001-02-14",15.929862,15.929862,15.579862,15.649862,22400
"2001-02-15",15.606877,15.776877,15.556878,15.736876,43900
"2001-02-16",15.132334,17.132334,14.632334,16.392334,109700
"2001-02-20",16.60385,16.74385,15.52385,15.533851,47200
"2001-02-21",15.524063,15.804062,14.874064,15.644062,28100
"2001-02-22",15.917626,16.067626,15.247626,15.307625,47700
"2001-02-23",15.334214,15.334214,14.514214,15.174214,18300
"2001-02-26",15.477222,16.057222,15.077222,15.087222,16700
"2001-02-27",15.499566,15.529565,14.229565,14.669566,43400
"2001-02-28",14.423405,15.123406,14.383406,15.023406,21300
"2001-03-01",15.152404,15.302406,14.952405,15.052406,30700
"2001-03-02",15.0444,15.9944,14.9944,14.9944,48200
"2001-03-05",15.102405,15.192405,15.002405,15.052406,18600
"2001-03-06",15.201595,15.261594,14.811595,14.901596,15900
"2001-03-07",15.000592,15.140594,14.760593,14.930593,14100
"2001-03-08",15.092175,15.142174,14.622174,14.652174,10800
"2001-03-09",14.454371,14.90437,14.454371,14.704371,29600
"2001-03-12",14.837975,14.837975,14.627974,14.657974,12700
"2001-03-13",14.575374,14.855373,14.475373,14.675372,41400
"2001-03-14",14.914344,15.144344,14.414344,14.414344,23100
"2001-03-15",14.395979,14.735979,14.24598,14.715981,29600
"2001-03-16",14.749394,14.989394,14.749394,14.849394,57500
"2001-03-19",14.77799,14.94799,14.227989,14.94799,21800
"2001-03-20",14.836006,15.466005,14.836006,15.006006,17800
"2001-03-21",15.220175,15.220175,14.710175,14.710175,11800
"2001-03-22",14.371019,15.281019,14.131019,15.15102,24100
"2001-03-23",15.207816,15.307816,14.847815,15.127816,22900
"2001-03-26",14.978206,15.198207,14.978206,15.058206,13700
"2001-03-27",14.90543,15.305429,14.875429,15.255428,21400
"2001-03-28",15.173013,15.383012,15.063013,15.093013,34600
"2001-03-29",15.085616,15.335616,14.805615,15.075616,26500
"2001-03-30",14.987423,15.197424,14.507423,15.197424,43900
"2001-04-02",15.633767,15.633767,14.663768,14.663768,29900
"2001-04-03",14.35799,15.02799,13.67799,14.94799,22300
"2001-04-04",14.90839,15.12839,14.778389,14.87839,12500
"2001-04-05",14.674432,15.284432,14.634433,15.284432,21800
"2001-04-06",15.15543,15.305429,15.055429,15.255428,18600
"2001-04-09",15.641384,15.641384,14.391384,14.791384,30000
"2001-04-10",14.5444,15.3044,14.5444,14.9944,17100
"2001-04-11",15.157393,15.157393,14.607392,14.907393,9300
"2001-04-12",14.585616,15.075616,14.585616,15.075616,16300
"2001-04-16",15.019205,15.119205,14.019205,15.029205,22400
"2001-04-17",15.023406,15.103406,14.873406,15.023406,11100
"2001-04-18",15.071409,15.421409,15.071409,15.081409,32000
"2001-04-19",15.039407,15.239408,15.039407,15.139407,15200
"2001-04-20",15.227989,15.237989,14.77799,14.94799,13200
"2001-04-23",15.000352,15.130352,14.520353,14.530351,20900
"2001-04-24",14.523165,14.663164,14.463163,14.623163,12200
"2001-04-25",14.343616,15.143617,14.253616,15.133617,16600
"2001-04-26",15.16842,15.208421,14.968421,15.16842,11500
"2001-04-27",15.134433,15.284432,15.084432,15.284432,17200
"2001-04-30",15.364214,15.364214,15.174214,15.174214,29100
"2001-05-01",15.249815,15.339815,14.899814,15.069815,10800
"2001-05-02",14.87643,15.32643,14.87643,15.22643,7800
"2001-05-03",15.084432,15.284432,15.054433,15.284432,20300
"2001-05-04",14.814486,15.864487,14.764487,15.864487,53900
"2001-05-07",16.032065,16.402065,15.692064,15.702065,28700
"2001-05-08",15.829451,15.829451,15.279452,15.429451,15700
"2001-05-09",15.37844,15.54844,15.37844,15.45844,48400
"2001-05-10",15.65002,15.65002,15.180021,15.180021,31300
"2001-05-11",15.209407,15.289407,14.869407,15.139407,14900
"2001-05-14",15.08803,15.32803,15.08803,15.238029,11500
"2001-05-15",15.14564,15.36564,15.02564,15.36564,15100
"2001-05-16",15.106568,15.706568,15.106568,15.616568,33800
"2001-05-17",15.781409,15.851408,15.00141,15.231409,38600
"2001-05-18",15.218852,15.218852,15.068852,15.108851,11200
"2001-05-21",15.100527,15.120528,14.710528,15.120528,39500
"2001-05-22",15.197972,15.197972,14.797972,14.997973,13700
"2001-05-23",15.214638,15.214638,14.964638,14.974638,12000
"2001-05-24",14.997998,15.127997,14.957997,15.067998,14700
"2001-05-25",15.130464,15.130464,14.960464,14.980464,15300
"2001-05-29",14.972967,15.072967,14.872966,14.962966,73900
"2001-05-30",15.08953,15.13953,14.72953,14.72953,48900
"2001-05-31",15.031143,15.081142,14.511142,14.601142,34700
"2001-06-01",14.422083,14.902083,14.412083,14.852084,26800
"2001-06-04",14.623052,15.173051,14.523051,15.173051,34800
"2001-06-05",15.164719,15.264719,15.014719,15.184719,16800
"2001-06-06",15.213866,15.293866,14.743865,15.143867,19900
"2001-06-07",15.196338,15.196338,14.806336,15.056336,15600
"2001-06-08",15.225395,15.225395,14.785394,14.805395,8800
