"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2001-01-02",27.5,27.9375,27.375,27.375,197000,17.2087
"2001-01-03",27.375,28.4375,27.375,28.25,249600,17.758753
"2001-01-04",28.25,29.5,28.0625,28.875,341500,18.151649
"2001-01-05",28.6875,29,27.8125,27.9375,345300,17.562298
"2001-01-08",28.125,28.375,27.875,28.0625,438400,17.640884
"2001-01-09",28.0625,28.4375,28,28.375,154300,17.837336
"2001-01-10",28.0625,28.125,27.3125,27.6875,172100,17.405146
"2001-01-11",27.9375,28.4375,27.6875,28.3125,187000,17.798044
"2001-01-12",28.25,28.375,27.8125,28.25,174800,17.758753
"2001-01-16",28.125,28.5625,27.9375,28.375,208600,17.837336
"2001-01-17",28.625,29.5625,28.625,29.1875,271400,18.348091
"2001-01-18",29.3125,29.4375,28.6875,28.6875,183800,18.033777
"2001-01-19",28.6875,29.375,28.6875,28.75,270900,18.073063
"2001-01-22",28.875,29.0625,28.0625,28.875,179400,18.151649
"2001-01-23",28.9375,28.9375,28.0625,28.375,164600,17.837336
"2001-01-24",28.375,28.625,28.0625,28.1875,118800,17.719454
"2001-01-25",28.25,28.875,28.25,28.25,170700,17.758753
"2001-01-26",28.375,28.75,27.875,28.5625,236400,17.955193
"2001-01-29",28.450001,29.200001,28.450001,28.74,97100,18.066774
"2001-01-30",28.74,29.1,28.5,29.07,178200,18.27422
"2001-01-31",29.07,29.9,29,29.5,186300,18.544533
"2001-02-01",30.75,30.75,29.59,30.049999,411000,18.890287
"2001-02-02",30.5,30.950001,30.25,30.51,413100,19.179451
"2001-02-05",30.51,30.9,30.4,30.5,319100,19.173162
"2001-02-06",30.5,30.799999,30.35,30.5,258500,19.173162
"2001-02-07",30.5,30.549999,30.02,30.08,175100,18.90914
"2001-02-08",30.1,30.15,29.200001,30,424000,18.858849
"2001-02-09",30.200001,30.25,29.700001,30.049999,174300,18.890287
"2001-02-12",30.219999,30.799999,30.15,30.65,150100,19.267462
"2001-02-13",30.75,31,30.5,30.73,180000,19.317749
"2001-02-14",30.74,30.92,30.059999,30.15,202900,19.102335
"2001-02-15",30.200001,30.57,30.139999,30.450001,179900,19.2924
"2001-02-16",30.5,30.549999,29.65,29.690001,84700,18.810886
"2001-02-20",29.459999,30.190001,29.1,29.969999,299300,18.988285
"2001-02-21",30.200001,30.200001,29.25,29.35,195600,18.595467
"2001-02-22",29.4,29.65,28.639999,28.870001,173300,18.291359
"2001-02-23",28.950001,28.950001,27.5,28.870001,255900,18.291359
"2001-02-26",28.950001,29,28.450001,28.92,189100,18.323036
"2001-02-27",28.950001,29.02,28.700001,28.780001,265100,18.234327
"2001-02-28",28.9,29.1,28.049999,28.299999,229000,17.930208
"2001-03-01",28.25,29,28.24,28.629999,130400,18.139292
"2001-03-02",28.549999,30,28.549999,29.280001,132100,18.551125
"2001-03-05",29.280001,30.370001,29.15,29.98,158000,18.994625
"2001-03-06",30.200001,30.700001,30,30.43,161100,19.279732
"2001-03-07",30.23,30.719999,30.07,30.52,111000,19.336754
"2001-03-08",30.5,30.780001,29.809999,30.75,187300,19.482473
"2001-03-09",30.75,30.85,29.65,30,298700,19.00729
"2001-03-12",30,30,29,29,280000,18.373718
"2001-03-13",29,29.1,27.799999,28.65,317200,18.151962
"2001-03-14",28.059999,28.15,27.85,28,243600,17.740145
"2001-03-15",28.5,29.059999,28.190001,28.74,189200,18.208988
"2001-03-16",28.99,29.049999,28.280001,28.360001,270700,17.968225
"2001-03-19",28.360001,28.950001,28.299999,28.66,160000,18.158298
"2001-03-20",28.75,29.860001,28.6,29.200001,322900,18.500429
"2001-03-21",29.200001,29.200001,28.299999,28.559999,210500,18.094944
"2001-03-22",28.559999,29.15,27.870001,29.110001,326500,18.443415
"2001-03-23",29.110001,29.4,28.700001,28.99,245700,18.36738
"2001-03-26",28.9,29.200001,28.4,28.620001,347700,18.132952
"2001-03-27",28.65,28.65,28.200001,28.530001,200700,18.075932
"2001-03-28",28.530001,28.530001,27.700001,28.209999,167600,17.873201
"2001-03-29",28.35,29.049999,28.15,28.360001,140900,17.968225
"2001-03-30",28.360001,29.41,28.299999,29.120001,220600,18.449751
"2001-04-02",29.120001,29.76,28.77,28.93,229200,18.329367
"2001-04-03",28.93,28.93,28.1,28.23,145300,17.885862
"2001-04-04",28.299999,29.15,28.25,28.879999,131800,18.297688
"2001-04-05",28.879999,30,28.879999,29.950001,218100,18.975624
"2001-04-06",29.9,30.1,28.85,28.92,333700,18.323036
"2001-04-09",29.15,29.9,28.950001,29.809999,175500,18.886915
"2001-04-10",29.870001,30.09,29.549999,30.030001,207800,19.026302
"2001-04-11",30.059999,30.059999,28.940001,29,125000,18.373718
"2001-04-12",29.200001,29.9,29.15,29.790001,81700,18.87425
"2001-04-16",29.540001,29.85,29.4,29.66,220800,18.79188
"2001-04-17",29.5,29.99,29.299999,29.879999,146700,18.931271
"2001-04-18",29.950001,31.299999,29.780001,30.93,354300,19.596521
"2001-04-19",30,30.799999,30,30.73,146100,19.469807
"2001-04-20",30.48,30.52,29.549999,30.24,212400,19.159349
"2001-04-23",30.15,30.48,29.99,30.379999,118500,19.248051
"2001-04-24",29.700001,30.200001,28.9,29.82,305300,18.893248
"2001-04-25",29,29.4,28.700001,29,375000,18.373718
"2001-04-26",29,29.450001,28.49,29.200001,308400,18.500429
"2001-04-27",29.1,29.59,28.549999,29.360001,166800,18.601801
"2001-04-30",29.360001,29.700001,28.83,29,218300,18.373718
"2001-05-01",29.1,29.450001,28.76,29.360001,160100,18.601801
"2001-05-02",29.299999,29.799999,28.84,29.530001,247900,18.709509
"2001-05-03",29.450001,29.450001,28.780001,29.02,152300,18.386389
"2001-05-04",29.1,29.52,28.700001,29.49,161300,18.68417
"2001-05-07",29.49,30,29.49,29.549999,157000,18.722187
"2001-05-08",29.5,29.700001,29.5,29.57,178900,18.734859
"2001-05-09",29.370001,29.549999,29.110001,29.15,137200,18.468746
"2001-05-10",29.15,29.6,28.83,29.129999,206800,18.456083
"2001-05-11",29.379999,29.48,29.07,29.280001,140500,18.551125
"2001-05-14",29.200001,29.209999,28.73,28.799999,110400,18.247002
"2001-05-15",29.049999,29.049999,28.65,28.860001,142800,18.285021
"2001-05-16",28.620001,30.35,28.540001,30.219999,297500,19.30724
"2001-05-17",30.1,30.52,29.68,29.83,222100,19.058077
"2001-05-18",29.83,29.83,29.299999,29.52,241400,18.860016
"2001-05-21",29.450001,29.620001,29.200001,29.4,165000,18.78335
"2001-05-22",29.5,29.9,29.360001,29.459999,252200,18.821684
"2001-05-23",29.459999,29.559999,29.049999,29.049999,252300,18.559734
"2001-05-24",29,29.35,28.91,29.17,182100,18.636402
"2001-05-25",29.15,29.370001,29.01,29.02,117600,18.540569
"2001-05-29",29.02,29.5,29.02,29.16,128100,18.63002
"2001-05-30",29.16,29.5,28.51,28.65,178400,18.30418
"2001-05-31",28.799999,29.219999,28.549999,28.799999,129800,18.400017
"2001-06-01",28.85,29.219999,28.41,29.07,200300,18.572515
"2001-06-04",29.07,29.24,28.799999,29.01,157300,18.534187
"2001-06-05",29.01,29.959999,29.01,29.9,183900,19.102795
"2001-06-06",29.700001,30,29.43,29.65,184200,18.943079
"2001-06-07",29.65,29.9,29.049999,29.5,122700,18.84724
"2001-06-08",29.5,29.700001,29.16,29.5,183000,18.84724
"2001-06-11",29.549999,29.549999,28.9,28.969999,114700,18.508631
"2001-06-12",29,29,28.48,28.969999,183700,18.508631
"2001-06-13",28.969999,29.5,28.9,29.059999,95600,18.566133
"2001-06-14",29.15,29.15,28.51,28.66,108100,18.31057
"2001-06-15",28.6,28.950001,28.41,28.57,212300,18.253063
"2001-06-18",27.5,27.51,26.690001,26.9,637100,17.186125
"2001-06-19",26.700001,26.709999,25.530001,26.24,479200,16.764458
"2001-06-20",26.24,26.25,25.959999,26.219999,280600,16.75168
"2001-06-21",26.17,26.26,25.99,26.23,228800,16.758076
"2001-06-22",26.23,26.360001,25.68,25.73,184900,16.438625
"2001-06-25",25.65,26.049999,25.17,25.17,259700,16.080847
"2001-06-26",25.049999,25.049999,24.5,24.77,526400,15.825289
"2001-06-27",24.950001,25.23,24.65,24.92,327800,15.921128
"2001-06-28",24.950001,25.200001,24.65,24.799999,256900,15.844456
"2001-06-29",24.700001,25.040001,24.15,24.16,912900,15.435568
"2001-07-02",24.209999,24.629999,24.17,24.379999,507800,15.576127
"2001-07-03",24.450001,24.700001,24.200001,24.49,217300,15.646402
"2001-07-05",24.549999,24.9,24.35,24.540001,203000,15.678348
"2001-07-06",24.6,24.6,24.42,24.469999,269000,15.633624
"2001-07-09",24.58,24.940001,24.219999,24.66,236300,15.755016
"2001-07-10",24.6,24.719999,24.280001,24.280001,151200,15.512235
"2001-07-11",24.280001,24.59,24.110001,24.450001,274500,15.620849
"2001-07-12",24.450001,25.309999,24.450001,25.299999,343800,16.163904
"2001-07-13",25.200001,25.549999,24.9,25.41,229800,16.23418
"2001-07-16",25.42,25.57,24.9,25.16,321300,16.074461
"2001-07-17",24.91,25.799999,24.809999,25.790001,270400,16.476961
"2001-07-18",25.700001,25.799999,25.450001,25.719999,212300,16.432236
"2001-07-19",25.969999,26.35,25.73,25.959999,205900,16.585564
"2001-07-20",26.049999,26.120001,25.799999,25.969999,105000,16.591961
"2001-07-23",26,26,25.450001,25.58,124900,16.342789
"2001-07-24",25.59,26.25,25.24,25.57,349300,16.336403
"2001-07-25",25.57,26.91,25.57,26.75,625400,17.090298
"2001-07-26",27,27.120001,26.34,27.120001,341100,17.326687
"2001-07-27",27.049999,27.58,26.940001,27.309999,402000,17.448074
"2001-07-30",27.309999,27.6,26.5,27.09,258000,17.307516
"2001-07-31",27.049999,27.09,26.82,27,290700,17.250021
"2001-08-01",27.049999,27.07,26.790001,26.84,155800,17.147793
"2001-08-02",26.84,26.84,26.43,26.67,153200,17.039181
"2001-08-03",26.68,26.68,25.93,26.43,133000,16.885853
"2001-08-06",26.450001,26.75,25.950001,26.08,245200,16.662243
"2001-08-07",26.07,26.299999,25.92,25.969999,79800,16.591961
"2001-08-08",26,26.07,25.389999,25.440001,322300,16.253351
"2001-08-09",25.6,25.879999,25.280001,25.700001,349100,16.419462
"2001-08-10",25.85,26.02,25.35,25.969999,171800,16.591961
"2001-08-13",25.969999,26.1,25.280001,25.74,184500,16.445017
"2001-08-14",25.700001,25.85,25.35,25.709999,233600,16.425846
"2001-08-15",25.799999,25.92,25.57,25.68,197400,16.406681
"2001-08-16",25.549999,25.65,25.25,25.620001,236100,16.522772
"2001-08-17",25.5,25.6,25.309999,25.32,184300,16.329294
"2001-08-20",25.35,25.35,24.77,24.9,207800,16.058424
"2001-08-21",24.9,24.93,24.76,24.809999,300200,16.000383
"2001-08-22",24.82,24.9,24.65,24.82,166000,16.006832
"2001-08-23",24.85,25.01,24.299999,24.9,252300,16.058424
"2001-08-24",24.950001,25.17,24.77,24.969999,143500,16.103569
"2001-08-27",25.040001,25.26,24.66,25.030001,111000,16.142267
"2001-08-28",25.059999,25.15,24.65,24.85,147000,16.026182
"2001-08-29",24.75,24.950001,24.700001,24.879999,165100,16.045528
"2001-08-30",24.889999,25.15,24.85,25.02,274400,16.135817
"2001-08-31",25.120001,25.75,25.1,25.459999,233000,16.419582
"2001-09-04",25.65,26.299999,25.559999,26.219999,302900,16.909714
"2001-09-05",26.1,26.110001,25.6,26.02,169800,16.780737
"2001-09-06",25.950001,26.049999,25.700001,25.91,227100,16.709791
"2001-09-07",25.85,25.85,25.51,25.700001,333200,16.57436
"2001-09-10",25.700001,25.700001,25.25,25.25,255900,16.284145
"2001-09-17",25.35,25.35,23.450001,23.450001,279100,15.123299
"2001-09-18",23.549999,24.639999,23.440001,24.34,224100,15.697275
"2001-09-19",24.299999,24.450001,22.940001,23.389999,154000,15.084603
"2001-09-20",22.93,23.48,22.52,22.52,245900,14.523523
"2001-09-21",22.27,22.42,21.620001,21.65,283400,13.962447
"2001-09-24",22,23.25,21.99,22.67,183600,14.620259
"2001-09-25",22.65,23.299999,22.6,22.77,282300,14.684756
"2001-09-26",23.02,23.02,21.700001,22.09,233500,14.246209
"2001-09-27",21.85,22.4,21.66,22.370001,154400,14.426786
"2001-09-28",22.219999,22.969999,22.219999,22.33,619700,14.40099
"2001-10-01",22.15,22.190001,21.15,21.68,442100,13.981791
"2001-10-02",21.68,23.4,21.610001,23.25,310900,14.994313
"2001-10-03",23.18,24.65,23.18,24.440001,253700,15.761761
"2001-10-04",24.35,25.08,24.1,24.76,213600,15.968146
"2001-10-05",24.700001,24.77,24.129999,24.280001,221400,15.658577
"2001-10-08",24.1,24.549999,24.049999,24.43,93700,15.755315
"2001-10-09",24.35,24.6,24.1,24.25,72500,15.639235
"2001-10-10",24.200001,25.41,24.049999,25.35,123600,16.348642
"2001-10-11",25.35,26.200001,25.35,25.870001,152100,16.684004
"2001-10-12",25.73,25.75,25.32,25.65,174900,16.542116
"2001-10-15",25.75,25.9,25.24,25.799999,81600,16.638847
"2001-10-16",26,26.18,25.700001,25.93,101000,16.722692
"2001-10-17",26.25,26.299999,25.26,25.389999,223000,16.374441
"2001-10-18",25.389999,25.450001,24.950001,25.17,98000,16.232552
"2001-10-19",25.16,25.299999,24.700001,25.290001,58400,16.30995
"2001-10-22",25.540001,25.889999,25.450001,25.629999,167500,16.529219
"2001-10-23",26.049999,26.469999,26,26.16,160100,16.871021
"2001-10-24",26.25,27,26.16,26.889999,293900,17.341808
"2001-10-25",26.799999,26.82,26.469999,26.77,249000,17.264425
"2001-10-26",26.9,27.700001,26.67,27.549999,145500,17.767456
"2001-10-29",27.450001,27.450001,26.66,26.809999,109300,17.290222
"2001-10-30",26.809999,26.91,26.17,26.700001,181100,17.21928
"2001-10-31",26.700001,27.200001,26.49,26.76,270300,17.257967
"2001-11-01",26.85,27.25,26.549999,27.200001,162600,17.541737
"2001-11-02",27.190001,27.75,27.02,27.700001,247400,17.864201
"2001-11-05",27.950001,28.280001,27.870001,28.030001,194100,18.077015
"2001-11-06",28.030001,28.629999,27.9,28.629999,165400,18.463966
"2001-11-07",28.549999,29.25,28.48,29.08,212100,18.754183
"2001-11-08",29.02,29.42,28.629999,28.85,203800,18.605848
"2001-11-09",28.6,28.809999,28.459999,28.809999,163900,18.580046
"2001-11-12",28.700001,28.700001,27.690001,28.24,148600,18.212452
"2001-11-13",28.4,28.799999,28.4,28.549999,135200,18.412373
"2001-11-14",28.700001,30.27,28.700001,30.219999,204400,19.489382
"2001-11-15",29.950001,30.5,29.77,30.25,310700,19.664907
"2001-11-16",30.25,30.65,30.15,30.450001,248500,19.794922
"2001-11-19",30.450001,31,30.450001,30.57,271100,19.872931
"2001-11-20",30.57,30.700001,30.25,30.620001,350500,19.905432
"2001-11-21",30.620001,30.620001,30.219999,30.459999,166600,19.801416
"2001-11-23",30.43,31.15,30.360001,31.040001,135200,20.178469
"2001-11-26",31,31.030001,30.700001,30.959999,300500,20.126463
"2001-11-27",30.85,31.049999,30.549999,30.9,189700,20.08746
"2001-11-28",30.75,31.1,30.5,30.65,174300,19.924938
"2001-11-29",30.66,30.98,30.1,30.98,190900,20.139469
"2001-11-30",30.98,31.459999,30.799999,31.299999,256400,20.347486
"2001-12-03",31.1,31.120001,30.9,30.950001,269500,20.119961
"2001-12-04",30.98,31.65,30.959999,31.65,232600,20.575022
"2001-12-05",31.530001,33.5,31.530001,33.32,461300,21.660646
"2001-12-06",33.200001,33.759998,32.799999,33.580002,423600,21.829676
"2001-12-07",33.5,33.950001,33.299999,33.73,188100,21.927179
"2001-12-10",33.740002,33.740002,32.599998,33,369600,21.452625
"2001-12-11",32.849998,33,32,32.380001,319100,21.049576
"2001-12-12",32.080002,32.5,31.43,32.369999,807700,21.043066
"2001-12-13",32.380001,33,31.91,32.869999,297100,21.368105
"2001-12-14",32.799999,33.099998,32.700001,33.02,231600,21.465628
"2001-12-17",32.849998,33.799999,32.799999,33.689999,276100,21.901173
"2001-12-18",33.5,34.400002,33.389999,33.889999,217100,22.031197
"2001-12-19",33.75,34.220001,33.360001,34.209999,181700,22.23922
"2001-12-20",34.049999,34.049999,33.099998,33.93,248900,22.057194
"2001-12-21",33.98,34.099998,33.150002,34.080002,227200,22.154709
"2001-12-24",34.080002,34.360001,33.959999,33.98,84900,22.089695
"2001-12-26",33.900002,34.32,33.73,33.869999,126000,22.018188
"2001-12-27",33.849998,34.080002,33.709999,34.040001,127600,22.128702
"2001-12-28",34.139999,34.16,33.700001,33.93,182500,22.057194
"2001-12-31",34,34,33.630001,33.66,286000,21.881681
"2002-01-02",33.599998,33.599998,32.73,33.490002,142000,21.77116
"2002-01-03",33.099998,33.369999,32.75,32.98,284900,21.439617
"2002-01-04",32.990002,33.32,32.950001,33.099998,228500,21.517639
"2002-01-07",33,33.119999,32.849998,33,251900,21.452625
"2002-01-08",33,33,32.330002,32.849998,123300,21.355106
"2002-01-09",32.84,33.099998,32.48,32.75,216700,21.290108
"2002-01-10",32.599998,32.68,32.200001,32.389999,89500,21.056072
"2002-01-11",32.389999,32.419998,32.16,32.299999,129700,20.997561
