"","STI.Open","STI.High","STI.Low","STI.Close","STI.Volume","STI.Adjusted"
"2001-01-02",62.1875,62.5,61.5,61.8125,983800,38.926186
"2001-01-03",61.75,64.0625,59.75,64,1485800,40.303734
"2001-01-04",63.6875,65.6875,63.625,65.25,1942000,41.090935
"2001-01-05",64.3125,64.4375,62.5,62.9375,1238000,39.634644
"2001-01-08",62.25,62.5625,60.3125,61.0625,1204300,38.45388
"2001-01-09",61.0625,61.9375,59.5625,60.8125,987300,38.296421
"2001-01-10",61.25,63.625,61,62.625,1716100,39.437843
"2001-01-11",63.1875,63.9375,62,62.3125,892600,39.241051
"2001-01-12",62.25,62.3125,59.9375,60.9375,1085300,38.375149
"2001-01-16",61.125,63.875,60.5625,62.4375,1072200,39.319775
"2001-01-17",63,63.625,62.4375,62.6875,606700,39.477203
"2001-01-18",62.625,62.625,60.6875,61.3125,731100,38.61132
"2001-01-19",61.1875,61.3125,59.375,59.9375,860800,37.745403
"2001-01-22",60,62.4375,59.6875,62.0625,750100,39.083611
"2001-01-23",62.3125,63.5625,62.1875,63.5625,696300,40.028236
"2001-01-24",63.5625,63.9375,62.375,63.9375,668800,40.264393
"2001-01-25",63.5625,64.4375,62.25,63.75,571500,40.146328
"2001-01-26",63.75,65.125,63.5,64.5625,654300,40.657986
"2001-01-29",64.75,65.75,64.32,65.360001,887400,41.160229
"2001-01-30",64.650002,67.400002,64.419998,67.400002,1268400,42.444893
"2001-01-31",66.660004,68,66.300003,66.900002,1282600,42.130016
"2001-02-01",66.5,67.25,66.309998,67.25,1213600,42.350441
"2001-02-02",67.199997,68,66.129997,66.410004,768600,41.821449
"2001-02-05",66.410004,67.290001,65.800003,67.290001,466600,42.375603
"2001-02-06",67.040001,67.040001,65.089996,66.339996,641700,41.77737
"2001-02-07",66.339996,67.239998,66,66.900002,838300,42.130016
"2001-02-08",66.900002,67.239998,66.57,67.150002,833000,42.287453
"2001-02-09",66.400002,67.150002,66.279999,66.959999,847100,42.167797
"2001-02-12",66.970001,67.980003,66.970001,67.800003,529700,42.696785
"2001-02-13",67.800003,67.980003,67.279999,67.43,584300,42.463791
"2001-02-14",67.529999,68.07,67.059998,67.410004,684100,42.451202
"2001-02-15",67.300003,67.620003,65.699997,66.349998,642200,41.783661
"2001-02-16",65.900002,67.849998,65.889999,67.559998,918300,42.545643
"2001-02-20",67.75,67.75,65.400002,65.650002,846400,41.342846
"2001-02-21",65.5,65.860001,64.940002,64.989998,1079100,40.927193
"2001-02-22",64.900002,65.300003,62.060001,64.699997,1297500,40.744568
"2001-02-23",64.059998,65.400002,62.549999,65.279999,1212800,41.109818
"2001-02-26",65.5,66.510002,64,66.489998,884700,41.871822
"2001-02-27",65.699997,67.769997,65.169998,67.059998,1293500,42.48637
"2001-02-28",67.43,67.43,64.5,65.730003,1227900,41.643745
"2001-03-01",65.5,66.18,64.559998,65.989998,1068500,41.808453
"2001-03-02",65.849998,67.25,65.25,66.43,903200,42.087227
"2001-03-05",66.5,66.849998,65.330002,66.080002,810200,41.865479
"2001-03-06",66.099998,66.580002,65.029999,65.660004,1416600,41.599377
"2001-03-07",65.949997,67.199997,65.099998,67,1630800,42.448364
"2001-03-08",66.75,67.75,66.419998,67.75,1277500,42.923534
"2001-03-09",67.400002,67.400002,65.690002,66.209999,820300,41.947853
"2001-03-12",66.150002,66.150002,63.32,63.549999,784100,40.262577
"2001-03-13",63.450001,65.199997,62.779999,65.150002,992500,41.276291
"2001-03-14",63.650002,63.880001,62,63.080002,1448300,39.964813
"2001-03-15",63.48,65.220001,63.48,65.199997,963300,41.307949
"2001-03-16",63.5,65.050003,63.349998,64.559998,1299300,40.902485
"2001-03-19",64.160004,65.300003,62.93,64.949997,1250600,41.149551
"2001-03-20",64.550003,65.099998,62.799999,62.869999,1215700,39.831768
"2001-03-21",62.990002,63.18,60.91,61.18,1201000,38.761066
"2001-03-22",61,61.009998,57.290001,59.529999,1601200,37.715672
"2001-03-23",59.330002,62,59.209999,61.299999,1649100,38.837074
"2001-03-26",61.599998,62.630001,61.41,62,740000,39.280575
"2001-03-27",62.049999,62.98,61.029999,62.93,1633000,39.869781
"2001-03-28",62.700001,63.130001,61.619999,62.950001,888200,39.882462
"2001-03-29",62.849998,63,61.970001,62.5,1044900,39.597347
"2001-03-30",62.740002,64.800003,62.470001,64.800003,729900,41.054543
"2001-04-02",64.300003,66.190002,62.849998,63.799999,1414600,40.420979
"2001-04-03",64.25,64.300003,62.560001,63.119999,1085700,39.990162
"2001-04-04",62.759998,63.099998,60.639999,60.950001,1012500,38.615337
"2001-04-05",62.029999,63.290001,61.900002,62.98,683300,39.901455
"2001-04-06",62.560001,63.790001,60.610001,61.959999,1043800,39.255219
"2001-04-09",61.959999,63.130001,61.82,62.580002,544600,39.648041
"2001-04-10",62.799999,64.190002,62.73,63.630001,1404500,40.313271
"2001-04-11",64.919998,65.150002,63.75,63.869999,1059100,40.465305
"2001-04-12",63.860001,64.989998,63.66,64.220001,735400,40.68708
"2001-04-16",63.970001,65.5,62.299999,63.580002,1143100,40.281582
"2001-04-17",62.580002,63.75,62.25,63.75,904400,40.389305
"2001-04-18",63.75,66.120003,62.900002,66,1329700,41.814804
"2001-04-19",65.5,66.379997,65.099998,66.25,980900,41.973179
"2001-04-20",66,66.029999,64.919998,65.970001,752000,41.795807
"2001-04-23",65.970001,65.970001,64.779999,65.400002,515300,41.434662
"2001-04-24",65.400002,65.739998,64.639999,64.980003,392700,41.168568
"2001-04-25",64.769997,64.949997,64.019997,64.550003,600100,40.896141
"2001-04-26",64,64.860001,63.490002,63.740002,905700,40.382957
"2001-04-27",64.540001,64.650002,64,64.589996,650800,40.921497
"2001-04-30",64.68,65.25,63.369999,63.5,614800,40.230888
"2001-05-01",63.93,64.400002,63.259998,64.400002,517100,40.801098
"2001-05-02",64.239998,64.75,63.75,64.739998,542600,41.016514
"2001-05-03",64.650002,64.82,63.560001,64.790001,532100,41.048183
"2001-05-04",64.57,65.480003,63.889999,65.480003,685900,41.485348
"2001-05-07",65.400002,65.400002,64.269997,65.300003,425600,41.371319
"2001-05-08",65.5,65.540001,64.059998,64.230003,695500,40.693401
"2001-05-09",64.099998,64.639999,63.889999,64.580002,418700,40.915138
"2001-05-10",65.099998,65.25,64.660004,65.040001,313100,41.206589
"2001-05-11",65.040001,65.459999,64.559998,64.809998,641600,41.060875
"2001-05-14",59.25,61.450001,59.25,60,7874500,38.013458
"2001-05-15",60,60.41,59.459999,60.080002,2810500,38.06414
"2001-05-16",60.419998,61.5,59.869999,61.490002,1912800,38.957458
"2001-05-17",61.27,62.060001,61.16,61.990002,1331400,39.274239
"2001-05-18",62.119999,62.119999,61.049999,61.240002,1313100,38.799061
"2001-05-21",61.240002,61.27,60.450001,61.040001,1576500,38.67234
"2001-05-22",61.150002,61.950001,60.880001,61.84,2298600,39.179199
"2001-05-23",62.07,62.150002,61.099998,61.130001,1481700,38.729378
"2001-05-24",61.049999,61.549999,60.799999,60.959999,1096000,38.621655
"2001-05-25",60.950001,61.52,60.700001,60.700001,1230700,38.456947
"2001-05-29",60.700001,60.950001,60.25,60.389999,1167700,38.260548
"2001-05-30",60.220001,61.049999,60.18,60.799999,1408100,38.777145
"2001-05-31",60.919998,61.490002,60.560001,61.419998,1066900,39.172562
"2001-06-01",61.490002,61.700001,61.25,61.599998,1731500,39.287361
"2001-06-04",61.950001,62.200001,61.5,62.099998,1132300,39.606266
"2001-06-05",61.950001,62.599998,61.950001,62.400002,824700,39.797596
"2001-06-06",62.5,63.009998,62.099998,63,1197600,40.180275
"2001-06-07",63.009998,63.130001,62.299999,62.950001,1665900,40.148388
"2001-06-08",62.950001,62.950001,61.529999,62.060001,506700,39.580757
"2001-06-11",62.060001,62.380001,61.509998,61.580002,874800,39.27462
"2001-06-12",61.57,61.57,60.18,61.369999,1174400,39.140663
"2001-06-13",61.34,62.450001,61.099998,61.66,1244500,39.325634
"2001-06-14",61.66,61.82,61.380001,61.380001,1070200,39.147064
"2001-06-15",60.75,62.009998,60.75,61.369999,1255500,39.140663
"2001-06-18",61.950001,62.310001,61.259998,62.099998,1281900,39.606266
"2001-06-19",62.700001,63,62.349998,62.650002,1111100,39.957039
"2001-06-20",62.799999,63.75,62.799999,63.48,1435300,40.486393
"2001-06-21",63.700001,65.400002,63.5,65.370003,1868700,41.691799
"2001-06-22",65.419998,65.43,64.559998,65.010002,1108700,41.462212
"2001-06-25",64.970001,65.82,64.730003,65.580002,1598800,41.825745
"2001-06-26",65,65.5,64.620003,65.07,943600,41.500477
"2001-06-27",64.82,66,64.599998,64.599998,996300,41.200737
"2001-06-28",64.610001,65.800003,64.610001,64.900002,1209100,41.392044
"2001-06-29",65.150002,65.25,64.059998,64.779999,866800,41.315514
"2001-07-02",65,65.949997,64.980003,65.75,1045700,41.934166
"2001-07-03",65.800003,65.849998,64.889999,65.300003,380800,41.64716
"2001-07-05",65.300003,65.540001,64.650002,65.129997,745600,41.538746
"2001-07-06",65.139999,65.550003,63.549999,63.549999,1244900,40.53104
"2001-07-09",63.75,64.169998,63.580002,64,658200,40.818043
"2001-07-10",63.700001,63.700001,62.810001,62.860001,610400,40.090984
"2001-07-11",62.959999,63.450001,62.25,63.419998,1117100,40.448143
"2001-07-12",63.43,64.75,63.43,64.589996,1203700,41.194336
"2001-07-13",64.589996,65.5,64.25,65.449997,1158600,41.742821
"2001-07-16",66,67.120003,65.910004,67.029999,2045600,42.750534
"2001-07-17",67.25,69.099998,66.5,68.480003,3070400,43.675327
"2001-07-18",68.449997,68.910004,67.900002,68.910004,1651400,43.949562
"2001-07-19",69.050003,69.099998,67.699997,67.989998,1444900,43.362793
"2001-07-20",68,68.5,67.349998,68.5,1087100,43.688053
"2001-07-23",68.5,68.949997,67.809998,67.900002,886300,43.305397
"2001-07-24",68.099998,68.690002,67.849998,68.120003,1166100,43.445713
"2001-07-25",68.300003,68.900002,67.809998,68.900002,1373600,43.943188
"2001-07-26",68.150002,68.93,68.150002,68.889999,860800,43.936817
"2001-07-27",68.889999,69.169998,68.610001,68.870003,1018400,43.924034
"2001-07-30",68.870003,69.349998,68.309998,69.139999,540200,44.096245
"2001-07-31",68.949997,69.540001,68.709999,69.25,794500,44.166416
"2001-08-01",69.150002,69.5,68.900002,69.379997,642300,44.249317
"2001-08-02",69.699997,69.75,69.050003,69.480003,583900,44.313103
"2001-08-03",69.599998,70,67.93,69.93,1640300,44.600098
"2001-08-06",69.93,69.989998,69.459999,69.660004,716000,44.427906
"2001-08-07",69.900002,70.800003,69.650002,70.440002,1031600,44.925369
"2001-08-08",69.980003,70.900002,69.900002,70.18,633000,44.759552
"2001-08-09",70.18,70.449997,69.800003,70.300003,543700,44.836079
"2001-08-10",70.290001,70.349998,69.260002,70.120003,451900,44.721272
"2001-08-13",70,70.470001,69.650002,70.309998,432500,44.84243
"2001-08-14",70.349998,70.650002,69.5,69.949997,392100,44.612839
"2001-08-15",69.949997,70.190002,69.349998,69.540001,446400,44.351372
"2001-08-16",69.199997,70.5,69.199997,70.440002,604000,44.925369
"2001-08-17",70.300003,70.379997,69.529999,69.879997,588100,44.568195
"2001-08-20",69.800003,70.699997,69.800003,70.669998,463100,45.072044
"2001-08-21",70.699997,72.349998,70.699997,71.519997,1328700,45.614159
"2001-08-22",71.830002,71.970001,70.800003,71.75,798400,45.76086
"2001-08-23",71.75,72.199997,71.400002,71.809998,778400,45.799126
"2001-08-24",71.559998,71.610001,70.949997,71.349998,811300,45.505741
"2001-08-27",71,71.059998,69.75,69.870003,825200,44.561832
"2001-08-28",69.669998,70.129997,68.699997,68.779999,699400,43.866646
"2001-08-29",68.75,68.849998,67,67.610001,840800,43.372684
"2001-08-30",67.5,68.489998,67.309998,67.650002,682200,43.398346
"2001-08-31",67.639999,68.75,67.639999,68.300003,544100,43.815319
"2001-09-04",68.099998,69.330002,67.400002,68.629997,741400,44.027027
"2001-09-05",68.449997,68.449997,67.540001,68.110001,716900,43.693455
"2001-09-06",67.800003,67.830002,66.790001,67.129997,894900,43.064739
"2001-09-07",66.5,67.230003,65.949997,66.239998,995900,42.493809
"2001-09-10",65.589996,66.099998,64.709999,65.540001,981600,42.044754
"2001-09-17",65,65,61.900002,63.549999,1101000,40.768124
"2001-09-18",63.950001,65.849998,63.25,64.839996,725600,41.595688
"2001-09-19",64.849998,66.400002,64.379997,65.050003,1486800,41.730423
"2001-09-20",65.050003,65.300003,63.439999,63.450001,1449700,40.703987
"2001-09-21",60.25,63,60.099998,61.799999,1352300,39.645496
"2001-09-24",62.25,64.5,62.099998,63.330002,1238400,40.627014
"2001-09-25",63.700001,64.120003,62.599998,63.529999,894400,40.75531
"2001-09-26",64.050003,64.5,62.52,64.330002,978600,41.268513
"2001-09-27",64.900002,65.779999,64.379997,65.730003,733900,42.16663
"2001-09-28",66,67.150002,65.510002,66.599998,1127400,42.724758
"2001-10-01",66.599998,66.650002,65.419998,65.949997,855300,42.307766
"2001-10-02",66.449997,67.349998,66.029999,67.230003,845000,43.128914
"2001-10-03",67.230003,67.93,67.050003,67.18,789000,43.096848
"2001-10-04",67.150002,67.25,65.800003,65.980003,593200,42.327023
"2001-10-05",65.800003,66.080002,62.790001,63.77,1318200,40.909264
"2001-10-08",62.400002,62.490002,59.889999,60.150002,1802100,38.586994
"2001-10-09",60,61.650002,59.900002,61,1643200,39.132271
"2001-10-10",59.75,61.610001,59.75,60.98,1419600,39.119446
"2001-10-11",61,61.77,59.799999,60.5,1268100,38.811527
"2001-10-12",59.75,60.200001,58.93,59.849998,1022200,38.394547
"2001-10-15",60.049999,60.049999,58.209999,59.57,1229600,38.214912
"2001-10-16",60.150002,61.380001,59.5,60.189999,924600,38.612648
"2001-10-17",60.75,61.349998,59.150002,59.380001,756100,38.093021
"2001-10-18",58.950001,59.689999,58.099998,58.099998,1012300,37.2719
"2001-10-19",58.5,59.220001,58.299999,58.849998,756300,37.753036
"2001-10-22",58.599998,59.639999,58.5,59.48,629700,38.157181
"2001-10-23",59.549999,59.990002,59.110001,59.720001,539200,38.31115
"2001-10-24",59.599998,61.23,59.110001,61.16,846200,39.234913
"2001-10-25",60.5,61.790001,59.799999,61.599998,774000,39.517178
"2001-10-26",61.349998,62.400002,61.150002,62.150002,582400,39.870007
"2001-10-29",61.169998,61.349998,59.959999,60.099998,562000,38.554913
"2001-10-30",60,60.43,59.299999,60,777400,38.490776
"2001-10-31",60.950001,61,59.75,59.860001,711500,38.40097
"2001-11-01",60.099998,61.07,59.349998,60.830002,847300,39.02322
"2001-11-02",60.82,61.689999,60.299999,61.09,557300,39.190025
"2001-11-05",61.950001,63.369999,61.799999,62.779999,844300,40.274166
"2001-11-06",62.98,64.339996,62.700001,64.230003,814000,41.204361
"2001-11-07",64.150002,65.150002,63.98,64.720001,797100,41.518711
"2001-11-08",64.720001,65.489998,64.5,64.739998,650500,41.53154
"2001-11-09",64.589996,64.839996,63.599998,64.480003,572200,41.364742
"2001-11-12",63.599998,64.400002,63,64.139999,426800,41.146626
"2001-11-13",65,65.099998,64.019997,64.57,499800,41.422497
"2001-11-14",64.800003,65,63.509998,64.129997,882100,41.140217
"2001-11-15",64.129997,65,63.779999,63.799999,586400,40.928513
"2001-11-16",63.810001,64.129997,63.009998,63.779999,733200,40.915688
"2001-11-19",64,65.199997,64,64.5,420700,41.377579
"2001-11-20",64,64.830002,63.77,64.43,508900,41.332676
"2001-11-21",64.019997,64.599998,63.790001,63.98,712100,41.043987
"2001-11-23",63.799999,65.07,63.799999,65.07,144400,41.743237
"2001-11-26",64.800003,65.370003,64.150002,65.370003,666100,41.935696
"2001-11-27",65.25,65.449997,64.370003,64.82,446700,41.582863
"2001-11-28",64.419998,64.949997,63,63.400002,785000,40.924454
"2001-11-29",63.299999,63.810001,62.400002,63.66,1043300,41.092278
"2001-11-30",63.400002,63.599998,63.029999,63.259998,637200,40.834072
"2001-12-03",63.009998,63.200001,61.799999,62.630001,646900,40.427433
"2001-12-04",62.700001,63.810001,62.700001,63.68,419100,41.105198
"2001-12-05",64.050003,64.940002,63.75,64.400002,467100,41.569958
"2001-12-06",64,64.959999,64,64.480003,401900,41.621586
"2001-12-07",64.650002,64.650002,63.650002,64.25,674600,41.473137
"2001-12-10",64.25,64.25,62.799999,63.029999,868000,40.685616
"2001-12-11",63.549999,63.68,62.650002,63.169998,606100,40.775982
"2001-12-12",63.099998,63.400002,62.43,62.919998,569900,40.614613
"2001-12-13",62.919998,62.919998,61.860001,61.950001,551700,39.98848
"2001-12-14",62.049999,62.16,61.02,61.380001,756600,39.620552
"2001-12-17",61.970001,62.700001,61.599998,61.860001,663800,39.930393
"2001-12-18",62.099998,62.5,61.5,62.029999,626500,40.040131
"2001-12-19",61.900002,62.150002,61.549999,62.07,878200,40.065929
"2001-12-20",62.25,62.990002,61.849998,62.779999,845000,40.524239
