"","Open","High","Low","Close","Volume"
"2001-01-02",39.301186,39.613686,38.613686,38.926186,983800
"2001-01-03",38.053734,40.366234,36.053734,40.303734,1485800
"2001-01-04",39.528435,41.528435,39.465935,41.090935,1942000
"2001-01-05",41.009644,41.134644,39.197144,39.634644,1238000
"2001-01-08",39.64138,39.95388,37.70388,38.45388,1204300
"2001-01-09",38.546421,39.421421,37.046421,38.296421,987300
"2001-01-10",38.062843,40.437843,37.812843,39.437843,1716100
"2001-01-11",40.116051,40.866051,38.928551,39.241051,892600
"2001-01-12",39.687649,39.750149,37.375149,38.375149,1085300
"2001-01-16",38.007275,40.757275,37.444775,39.319775,1072200
"2001-01-17",39.789703,40.414703,39.227203,39.477203,606700
"2001-01-18",39.92382,39.92382,37.98632,38.61132,731100
"2001-01-19",38.995403,39.120403,37.182903,37.745403,860800
"2001-01-22",37.021111,39.458611,36.708611,39.083611,750100
"2001-01-23",38.778236,40.028236,38.653236,40.028236,696300
"2001-01-24",39.889393,40.264393,38.701893,40.264393,668800
"2001-01-25",39.958828,40.833828,38.646328,40.146328,571500
"2001-01-26",39.845486,41.220486,39.595486,40.657986,654300
"2001-01-29",40.550228,41.550228,40.120228,41.160229,887400
"2001-01-30",39.694893,42.444893,39.464889,42.444893,1268400
"2001-01-31",41.890018,43.230014,41.530017,42.130016,1282600
"2001-02-01",41.600441,42.350441,41.410439,42.350441,1213600
"2001-02-02",42.611442,43.411445,41.541442,41.821449,768600
"2001-02-05",41.495606,42.375603,40.885605,42.375603,466600
"2001-02-06",42.477375,42.477375,40.52737,41.77737,641700
"2001-02-07",41.57001,42.470012,41.230014,42.130016,838300
"2001-02-08",42.037453,42.377449,41.707451,42.287453,833000
"2001-02-09",41.6078,42.3578,41.487797,42.167797,847100
"2001-02-12",41.866783,42.876785,41.866783,42.696785,529700
"2001-02-13",42.833794,43.013794,42.31379,42.463791,584300
"2001-02-14",42.571197,43.111198,42.101196,42.451202,684100
"2001-02-15",42.733666,43.053666,41.13366,41.783661,642200
"2001-02-16",40.885647,42.835643,40.875644,42.545643,918300
"2001-02-20",43.442844,43.442844,41.092846,41.342846,846400
"2001-02-21",41.437195,41.797196,40.877197,40.927193,1079100
"2001-02-22",40.944573,41.344574,38.104572,40.744568,1297500
"2001-02-23",39.889817,41.229821,38.379818,41.109818,1212800
"2001-02-26",40.881824,41.891826,39.381824,41.871822,884700
"2001-02-27",41.126369,43.196369,40.59637,42.48637,1293500
"2001-02-28",43.343742,43.343742,40.413742,41.643745,1227900
"2001-03-01",41.318455,41.998455,40.378453,41.808453,1068500
"2001-03-02",41.507225,42.907227,40.907227,42.087227,903200
"2001-03-05",42.285477,42.635475,41.115479,41.865479,810200
"2001-03-06",42.039371,42.519375,40.969372,41.599377,1416600
"2001-03-07",41.398361,42.648361,40.548362,42.448364,1630800
"2001-03-08",41.923534,42.923534,41.593532,42.923534,1277500
"2001-03-09",43.137856,43.137856,41.427856,41.947853,820300
"2001-03-12",42.86258,42.86258,40.032578,40.262577,784100
"2001-03-13",39.57629,41.326286,38.906288,41.276291,992500
"2001-03-14",40.534813,40.764812,38.884811,39.964813,1448300
"2001-03-15",39.587952,41.327953,39.587952,41.307949,963300
"2001-03-16",39.842487,41.39249,39.692485,40.902485,1299300
"2001-03-19",40.359558,41.499557,39.129554,41.149551,1250600
"2001-03-20",41.511772,42.061767,39.761768,39.831768,1215700
"2001-03-21",40.571068,40.761066,38.491066,38.761066,1201000
"2001-03-22",39.185673,39.195671,35.475674,37.715672,1601200
"2001-03-23",36.867077,39.537075,36.747074,38.837074,1649100
"2001-03-26",38.880573,39.910576,38.690575,39.280575,740000
"2001-03-27",38.98978,39.919781,37.96978,39.869781,1633000
"2001-03-28",39.632462,40.062462,38.55246,39.882462,888200
"2001-03-29",39.947345,40.097347,39.067348,39.597347,1044900
"2001-03-30",38.994542,41.054543,38.724541,41.054543,729900
"2001-04-02",40.920983,42.810982,39.470978,40.420979,1414600
"2001-04-03",41.120163,41.170166,39.430164,39.990162,1085700
"2001-04-04",40.425334,40.765334,38.305335,38.615337,1012500
"2001-04-05",38.951454,40.211456,38.821457,39.901455,683300
"2001-04-06",39.855221,41.085221,37.905221,39.255219,1043800
"2001-04-09",39.028038,40.19804,38.888039,39.648041,544600
"2001-04-10",39.483269,40.873272,39.41327,40.313271,1404500
"2001-04-11",41.515304,41.745308,40.345306,40.465305,1059100
"2001-04-12",40.32708,41.457077,40.127079,40.68708,735400
"2001-04-16",40.671581,42.20158,39.001579,40.281582,1143100
"2001-04-17",39.219307,40.389305,38.889305,40.389305,904400
"2001-04-18",39.564804,41.934807,38.714806,41.814804,1329700
"2001-04-19",41.223179,42.103176,40.823177,41.973179,980900
"2001-04-20",41.825806,41.855805,40.745804,41.795807,752000
