"","T.Open","T.High","T.Low","T.Close","T.Volume","T.Adjusted"
"2001-01-02",47.5625,50.4375,47.5,50.375,8130400,19.571102
"2001-01-03",50.375,53.0625,50.1875,51,11303200,19.813921
"2001-01-04",51.125,52.75,50.9375,51.75,9831400,20.105303
"2001-01-05",51.75,52.0625,49.4375,50,7291400,19.425402
"2001-01-08",49.9375,50.6875,48.8125,50.125,6300700,19.573008
"2001-01-09",50,52.25,49.75,51.9375,5476400,20.280766
"2001-01-10",51,52.5,50.625,52.375,4561800,20.451605
"2001-01-11",52.4375,52.4375,51.3125,52.375,3775100,20.451605
"2001-01-12",52.3125,52.4375,49.875,50.9375,5681000,19.890285
"2001-01-16",50.5,50.875,48.375,50.0625,6019400,19.548607
"2001-01-17",49.9375,51,49.6875,50.3125,4738700,19.646231
"2001-01-18",50.4375,51.1875,49.9375,50.5625,4843700,19.743855
"2001-01-19",50,50.3125,49.3125,49.6875,5267900,19.402174
"2001-01-22",49.5625,49.75,47.6875,48.875,6288100,19.084906
"2001-01-23",48.9375,49.6875,48.8125,49.3125,5500800,19.255741
"2001-01-24",48.5,48.5,46.6875,47.375,9420200,18.499176
"2001-01-25",47.9375,48.1875,46.25,47.375,7287300,18.499176
"2001-01-26",47.0625,47.4375,45.25,46.6875,5372800,18.230722
"2001-01-29",46.75,48.349998,46.68,47.900002,5653200,18.704189
"2001-01-30",47.02,48.150002,46.950001,47.919998,4124100,18.711992
"2001-01-31",48,48.400002,47.220001,48.349998,5460300,18.879906
"2001-02-01",48.799999,50.75,48.650002,50.549999,7119500,19.738966
"2001-02-02",50.990002,51.240002,49.27,49.799999,8428600,19.44611
"2001-02-05",49.099998,49.700001,48,49.700001,6654800,19.407061
"2001-02-06",49.599998,49.799999,48.700001,49.75,4423900,19.42658
"2001-02-07",49.950001,49.950001,48.099998,48.650002,4579500,18.997046
"2001-02-08",48.450001,48.68,47.799999,48.220001,4579900,18.829144
"2001-02-09",48.049999,48.119999,46,46.57,6965200,18.184841
"2001-02-12",46.619999,48.32,46.599998,47.77,5605800,18.653425
"2001-02-13",47.77,48.52,47.25,48.459999,4858500,18.922857
"2001-02-14",48.450001,48.5,46.799999,47,3868100,18.352747
"2001-02-15",47.400002,48.299999,46.849998,47,3702100,18.352747
"2001-02-16",47,48.25,46.380001,47.720001,5310000,18.633894
"2001-02-20",47.970001,49.02,47.400002,48.77,4855600,19.043907
"2001-02-21",48.25,48.57,47.200001,47.5,4842800,18.547997
"2001-02-22",47.5,48.93,46.75,48.93,5717600,19.106384
"2001-02-23",48.25,50,47.5,49.720001,6412800,19.414869
"2001-02-26",49.720001,50.299999,49.200001,50.299999,5063500,19.641344
"2001-02-27",50.299999,50.790001,49.970001,50.580002,6312900,19.750683
"2001-02-28",50.59,50.849998,47.700001,47.700001,8131900,18.626095
"2001-03-01",48.25,48.25,45.5,45.5,8706100,17.767021
"2001-03-02",42.599998,46.580002,42.599998,46.57,20610400,18.184841
"2001-03-05",46.099998,46.099998,44.900002,45.41,6130800,17.731882
"2001-03-06",45.900002,46.799999,45.650002,46.009998,6270100,17.966177
"2001-03-07",45.25,45.689999,43.599998,43.970001,7686600,17.169584
"2001-03-08",44.400002,45.709999,44.25,45.459999,4639400,17.751402
"2001-03-09",45.209999,46.189999,44.549999,45,6029300,17.571783
"2001-03-12",44.5,46.700001,44.439999,44.889999,6473300,17.528831
"2001-03-13",44.639999,45.099998,43.950001,44.93,5739000,17.544441
"2001-03-14",42.5,43.950001,41,42.110001,10311500,16.443283
"2001-03-15",43,43.049999,41.849998,42.82,8619000,16.720524
"2001-03-16",42.099998,42.610001,41.700001,42.139999,10892700,16.454988
"2001-03-19",41.950001,43.799999,41.73,43.060001,5436700,16.814245
"2001-03-20",42.959999,43.130001,40.880001,40.900002,5541100,15.970799
"2001-03-21",40.200001,40.84,39.5,40.119999,7122900,15.666219
"2001-03-22",40.119999,40.799999,39.720001,40.509998,9854000,15.818501
"2001-03-23",40.099998,41.860001,39.779999,41.860001,7723700,16.345661
"2001-03-26",42.049999,42.200001,40.5,41.25,8647000,16.107468
"2001-03-27",41.450001,44.299999,41.240002,43.900002,7986700,17.142241
"2001-03-28",43.25,43.5,41.779999,42.189999,6902900,16.474518
"2001-03-29",41.5,44.189999,41.34,43.48,6250100,16.978241
"2001-03-30",43.630001,44.630001,43.029999,44.630001,5861200,17.427301
"2001-04-02",44.630001,45.049999,43.130001,43.759998,5819600,17.08758
"2001-04-03",44.360001,44.360001,42.650002,43.119999,6639300,16.837671
"2001-04-04",43,44.02,42.799999,43.98,5991300,17.173481
"2001-04-05",44.299999,44.740002,43.299999,44.439999,8446500,17.353113
"2001-04-06",44.400002,44.400002,41.91,43.299999,7133700,17.005924
"2001-04-09",42.849998,43.68,42.41,43.349998,5761600,17.025562
"2001-04-10",43.5,43.869999,42.59,42.990002,6794400,16.884186
"2001-04-11",42.200001,42.400002,40.900002,41.200001,9050000,16.18116
"2001-04-12",41.049999,41.48,40.150002,41.18,7688600,16.173304
"2001-04-16",41.799999,42.189999,41.310001,41.990002,5305300,16.491423
"2001-04-17",41.799999,43.349998,41.75,43.169998,5640900,16.954868
"2001-04-18",42.5,43.59,41.290001,41.740002,10161900,16.393238
"2001-04-19",41.599998,41.849998,40.939999,41.349998,7353900,16.240061
"2001-04-20",41.349998,41.540001,39.849998,40,9463500,15.709855
"2001-04-23",39.5,40.049999,38.380001,39.25,11380800,15.415291
