"","TMK.Open","TMK.High","TMK.Low","TMK.Close","TMK.Volume","TMK.Adjusted"
"2001-01-02",16.888889,17.055555,16.222221,16.333334,535900,13.609958
"2001-01-03",16.138889,16.944445,16.138889,16.722221,803800,13.934003
"2001-01-04",16.611111,16.638889,15.194445,15.527778,1757800,12.938721
"2001-01-05",15.444445,15.527778,15.111111,15.111111,836200,12.624049
"2001-01-08",15.027778,15.527778,15.027778,15.333333,1365700,12.809697
"2001-01-09",15.305555,15.833333,15.25,15.5,882100,12.94893
"2001-01-10",15.611111,15.861111,15.472222,15.638889,556800,13.064961
"2001-01-11",15.555555,15.638889,15,15.055555,875800,12.577639
"2001-01-12",15.166667,15.194445,14.472222,14.833333,1152100,12.391988
"2001-01-16",14.972222,15.194445,14.944445,15.166667,1292800,12.67046
"2001-01-17",15.277778,15.388889,15.027778,15.111111,1144500,12.624049
"2001-01-18",15.194445,15.194445,14.861111,15.055555,652200,12.577639
"2001-01-19",15.083333,15.083333,14.555555,14.777778,882400,12.34558
"2001-01-22",14.722222,15.333333,14.722222,15.222222,1657000,12.716869
"2001-01-23",15.25,15.638889,15.138889,15.5,768600,12.94893
"2001-01-24",15.5,15.888889,15.388889,15.777778,566700,13.180993
"2001-01-25",15.888889,16.138889,15.638889,15.805555,477000,13.204194
"2001-01-26",15.694445,15.888889,15.583333,15.888889,474900,13.273814
"2001-01-29",15.822222,15.955556,15.644444,15.711111,618700,13.125299
"2001-01-30",15.777778,15.826667,15.426666,15.804444,791200,13.20327
"2001-01-31",15.808888,15.808888,15.4,15.417778,992700,12.880239
"2001-02-01",15.528889,15.777778,15,15.288889,1152400,12.772566
"2001-02-02",15.297778,15.657778,15.133333,15.422222,886900,12.883957
"2001-02-05",15.422222,15.733334,15.355556,15.586667,640800,13.021338
"2001-02-06",15.8,15.8,14.911111,15.013333,1620000,12.542366
"2001-02-07",15.111111,15.333333,15.111111,15.208889,2004900,12.705733
"2001-02-08",15.311111,15.444445,15.128889,15.208889,1524600,12.705733
"2001-02-09",15.288889,15.288889,14.911111,15.106667,727200,12.620333
"2001-02-12",15.2,15.813334,15.2,15.755555,3273400,13.162424
"2001-02-13",16,16.222221,15.728889,15.764444,1328500,13.169855
"2001-02-14",15.764444,15.902223,15.555555,15.631111,671400,13.058462
"2001-02-15",15.555555,15.586667,15.115556,15.333333,1095900,12.809697
"2001-02-16",15.488889,15.684444,15.333333,15.555555,572800,12.995339
"2001-02-20",15.733334,15.733334,15,15.146667,986100,12.653752
"2001-02-21",15.368889,15.511111,14.911111,14.982223,805600,12.51637
"2001-02-22",15.044444,15.133333,14.822222,15.048889,732100,12.572067
"2001-02-23",15.066667,15.097777,14.866667,14.955556,1553500,12.494094
"2001-02-26",14.942223,15.262222,14.897778,15.257778,823200,12.746578
"2001-02-27",15.555555,15.977777,15.533334,15.813334,2660100,13.210693
"2001-02-28",16,16.111111,15.311111,15.457778,1081000,12.913659
"2001-03-01",15.6,15.977777,15.6,15.764444,1344300,13.169855
"2001-03-02",15.866667,16.4,15.857778,16.124445,1329300,13.470602
"2001-03-05",16.137777,16.266666,15.897778,16.084444,905100,13.437184
"2001-03-06",15.8,16.244444,15.8,16.186666,941800,13.522582
"2001-03-07",16.186666,16.306667,16.075556,16.142221,1180800,13.485455
"2001-03-08",16.142221,16.302221,16.031111,16.133333,775300,13.478029
"2001-03-09",16.133333,16.288889,16.022223,16.088888,722200,13.440894
"2001-03-12",16.133333,16.435556,15.906667,15.991111,2026800,13.359216
"2001-03-13",16.044445,16.177778,15.777778,15.986667,1593900,13.355501
"2001-03-14",15.777778,15.977777,15.64,15.733334,1265800,13.143861
"2001-03-15",15.844444,16.177778,15.733334,15.977777,989200,13.348078
"2001-03-16",15.902223,16.075556,15.804444,15.822222,1857100,13.218119
"2001-03-19",15.822222,16,15.782222,15.942223,1190800,13.318372
"2001-03-20",16,16.142221,15.862223,15.884444,897300,13.270101
"2001-03-21",15.977777,16.044445,15.857778,15.915556,1931100,13.296087
"2001-03-22",15.822222,15.955556,15.484445,15.835556,1764400,13.229259
"2001-03-23",15.933333,16.288889,15.791111,16.035555,2139300,13.396343
"2001-03-26",16.355556,16.653334,16.133333,16.337778,1350400,13.648827
"2001-03-27",16.422222,16.622223,16.222221,16.6,759300,13.867889
"2001-03-28",16.666666,16.773333,16.311111,16.662222,1034500,13.919866
"2001-03-29",16.666666,16.942223,16.644444,16.822222,535200,14.05353
"2001-03-30",16.911112,17.373333,16.866667,17.257778,1475700,14.417402
"2001-04-02",17.266666,17.551111,17.053333,17.231112,1465600,14.395129
"2001-04-03",17.333334,17.337778,16.666666,16.724445,1450800,13.971846
"2001-04-04",16.933332,16.933332,16.675556,16.888889,1282600,14.143059
"2001-04-05",17.111111,17.311111,17.066668,17.297777,938800,14.485466
"2001-04-06",17.066668,17.102222,16.724445,16.866667,1340500,14.124447
"2001-04-09",16.866667,17.004444,16.711111,16.977777,782500,14.217497
"2001-04-10",16.888889,17.311111,16.875555,17.253334,1035400,14.448248
"2001-04-11",17.142221,17.142221,16.835556,17.013334,1078300,14.247272
"2001-04-12",17.111111,17.386667,17.026667,17.124445,869800,14.340316
"2001-04-16",17.306667,17.422222,16.955555,17.186666,1004800,14.392423
"2001-04-17",17.222221,17.755556,17.133333,17.755556,801100,14.868817
"2001-04-18",17.755556,17.777779,17.444445,17.715555,1405800,14.83532
"2001-04-19",17.604445,17.604445,16.444445,16.711111,4614300,13.994179
"2001-04-20",16.644444,16.799999,16.391111,16.604445,1231200,13.904855
"2001-04-23",16.4,16.48889,16.266666,16.368889,1719000,13.707599
"2001-04-24",16.435556,16.444445,16.293333,16.382223,940600,13.718765
"2001-04-25",16.222221,16.844444,15.831111,16.795555,1889200,14.064903
"2001-04-26",16.777779,17,16.577778,16.879999,1050700,14.135616
"2001-04-27",16.768888,16.995556,16.613333,16.977777,1568700,14.217497
"2001-04-30",16.995556,16.995556,16.573334,16.84,1261300,14.102114
"2001-05-01",16.933332,16.968889,16.666666,16.911112,1306800,14.161667
