"","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume","TRV.Adjusted"
"2001-01-02",54.4375,54.4375,50.625,51.375,1171400,31.960192
"2001-01-03",51.625,52.375,50.5,50.875,1096800,31.649168
"2001-01-04",50.25,50.375,47.25,48.5,1794100,30.171669
"2001-01-05",48.5,49,47.5625,47.625,1245600,29.627331
"2001-01-08",48.25,49.25,48,49,1085800,30.482731
"2001-01-09",48.75,49.1875,47.5625,47.875,1118700,29.782862
"2001-01-10",47.375,48.25,47.375,47.375,1754300,29.471811
"2001-01-11",47.375,48.4375,47.25,47.3125,1019600,29.43293
"2001-01-12",47.25,47.25,43.875,45.125,2694200,28.072104
"2001-01-16",45.125,47.375,45,46.3125,1835500,28.810852
"2001-01-17",46.0625,46.5625,45.5625,45.5625,915000,28.344265
"2001-01-18",46.5,46.625,44.75,45.625,1742500,28.38315
"2001-01-19",45.375,45.875,44.8125,45.0625,851900,28.033218
"2001-01-22",45.1875,47.5,45.125,46.75,894400,29.082996
"2001-01-23",43.125,48.1875,43.0625,48.0625,3031100,29.899515
"2001-01-24",47.5,49.4375,47.25,49,1765000,30.482731
"2001-01-25",48.5,49.375,48.375,49.375,1313200,30.716011
"2001-01-26",49,49.375,48.0625,48.3125,765000,30.055031
"2001-01-29",47.450001,48.34,47.439999,47.740002,863100,29.698883
"2001-01-30",47.740002,48.599998,47.529999,48.599998,1540100,30.233887
"2001-01-31",48.349998,48.5,47.400002,48.02,806600,29.87306
"2001-02-01",48.029999,48.490002,46.880001,47.099998,1239300,29.300737
"2001-02-02",47,48.09,46.919998,48,1297400,29.86062
"2001-02-05",48,49.560001,47.82,49.560001,990300,30.831085
"2001-02-06",49.560001,50,48.200001,48.389999,1045100,30.10323
"2001-02-07",47.5,49.299999,47.5,48.040001,1224500,29.885521
"2001-02-08",49,49,48.220001,48.450001,716900,30.140572
"2001-02-09",47.599998,48.529999,47.400002,48.119999,829000,29.935284
"2001-02-12",48.75,49.32,48.650002,49.099998,481800,30.544935
"2001-02-13",49,49.75,47.75,49.02,893300,30.495165
"2001-02-14",48.950001,49.400002,48.860001,48.900002,734200,30.420511
"2001-02-15",48.299999,49,47.849998,48.400002,794200,30.10948
"2001-02-16",48.650002,49.040001,48.25,48.610001,412600,30.240103
"2001-02-20",48.25,48.330002,46.419998,46.889999,996300,29.170092
"2001-02-21",46.400002,46.810001,45.369999,45.380001,771600,28.230738
"2001-02-22",45.450001,46.279999,44.91,45.950001,856100,28.585329
"2001-02-23",46.200001,46.200001,44.720001,45.540001,896000,28.330284
"2001-02-26",45.540001,46.450001,45.400002,46.450001,539500,28.896379
"2001-02-27",46.700001,47.689999,46.450001,47.209999,1098300,29.369173
"2001-02-28",48,48,46.150002,46.290001,749300,28.796844
"2001-03-01",46.299999,47.049999,45.549999,46.599998,611200,28.989695
