"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2001-01-02",0.53125,0.546875,0.53125,0.535156,686400,0.464056
"2001-01-03",0.542969,0.671875,0.542969,0.5625,384000,0.487767
"2001-01-04",0.620112,0.621094,0.585938,0.605469,124800,0.525027
"2001-01-05",0.621094,0.621094,0.539063,0.5625,544000,0.487767
"2001-01-08",0.5625,0.5625,0.542969,0.542969,153600,0.470831
"2001-01-09",0.5625,0.585938,0.5625,0.585938,57600,0.508091
"2001-01-10",0.570313,0.59375,0.5625,0.59375,217600,0.514865
"2001-01-11",0.59375,0.6875,0.59375,0.664063,1003200,0.575836
"2001-01-12",0.662106,0.769531,0.662106,0.742188,1257600,0.643582
"2001-01-16",0.738281,0.796875,0.734375,0.78125,1020800,0.677455
"2001-01-17",0.800781,0.816406,0.789063,0.8125,1280000,0.704553
"2001-01-18",0.8125,0.835938,0.796875,0.804688,2038400,0.697778
"2001-01-19",0.820313,0.828125,0.773438,0.804688,980800,0.697778
"2001-01-22",0.804688,0.824219,0.789063,0.824219,196800,0.714715
"2001-01-23",0.824219,0.832031,0.816406,0.824219,188800,0.714715
"2001-01-24",0.832031,0.846675,0.832031,0.84375,102400,0.731651
"2001-01-25",0.84375,0.914063,0.84375,0.886719,1339200,0.768911
"2001-01-26",0.871094,0.910156,0.859375,0.90625,585600,0.785847
"2001-01-29",0.898438,0.917969,0.890625,0.914063,251200,0.792622
"2001-01-30",0.910156,0.910156,0.898438,0.90625,190400,0.785847
"2001-01-31",0.90625,0.921875,0.886719,0.921875,430400,0.799396
"2001-02-01",0.925781,0.929688,0.910156,0.925781,206400,0.802784
"2001-02-02",0.923825,0.925781,0.890625,0.90625,512000,0.785847
"2001-02-05",0.899413,0.914063,0.882813,0.882813,246400,0.765524
"2001-02-06",0.867188,0.886719,0.851563,0.886719,1766400,0.768911
"2001-02-07",0.882813,0.882813,0.867188,0.878906,156800,0.762136
"2001-02-08",0.875,0.882813,0.875,0.878906,256000,0.762136
"2001-02-09",0.873044,0.882813,0.871094,0.878906,552000,0.762136
"2001-02-12",0.882813,0.886719,0.871094,0.882813,1724800,0.765524
"2001-02-13",0.882813,0.882813,0.878906,0.878906,1371200,0.762136
"2001-02-14",0.878906,0.882813,0.867188,0.882813,1801600,0.765524
"2001-02-15",0.882813,0.882813,0.871094,0.875,540800,0.758749
"2001-02-16",0.875,0.882813,0.875,0.875,348800,0.758749
"2001-02-20",0.878906,0.90625,0.878906,0.882813,524800,0.765524
"2001-02-21",0.875,0.882813,0.867188,0.871094,1019200,0.755362
"2001-02-22",0.871094,0.898438,0.871094,0.890625,168000,0.772298
"2001-02-23",0.886719,0.886719,0.867188,0.875,294400,0.758749
"2001-02-26",0.867188,0.902344,0.867188,0.902344,315200,0.78246
"2001-02-27",0.890625,0.90625,0.890625,0.902344,76800,0.78246
"2001-02-28",0.902344,0.902344,0.894531,0.902344,131200,0.78246
"2001-03-01",0.90625,0.914063,0.90625,0.914063,70400,0.792622
"2001-03-02",0.90625,0.929688,0.90625,0.921875,80000,0.799396
"2001-03-05",0.925781,0.933594,0.921875,0.929688,155200,0.806171
"2001-03-06",0.921875,0.921875,0.902344,0.914063,1060800,0.792622
"2001-03-07",0.910156,0.921875,0.902344,0.90625,774400,0.785847
"2001-03-08",0.921875,0.921875,0.902344,0.90625,1035200,0.785847
"2001-03-09",0.90625,0.90625,0.890625,0.894531,628800,0.775685
"2001-03-12",0.894531,0.894531,0.867188,0.882813,1078400,0.765524
"2001-03-13",0.890625,0.902344,0.875,0.894531,1139200,0.775685
"2001-03-14",0.890625,0.890625,0.871094,0.878906,51200,0.762136
"2001-03-15",0.875,0.882813,0.875,0.875,416000,0.758749
"2001-03-16",0.878906,0.894531,0.875,0.878906,420800,0.762136
"2001-03-19",0.882813,0.882813,0.871094,0.878906,32000,0.762136
"2001-03-20",0.871094,0.90625,0.859375,0.875,308800,0.758749
"2001-03-21",0.875,0.875,0.859375,0.859375,147200,0.7452
"2001-03-22",0.851563,0.871094,0.820313,0.851563,654400,0.738425
"2001-03-23",0.875,0.875,0.855469,0.855469,364800,0.741813
"2001-03-26",0.875,0.875,0.867188,0.867188,4800,0.751975
"2001-03-27",0.851563,0.902344,0.835938,0.855469,691200,0.741813
"2001-03-28",0.856444,0.886719,0.851563,0.886719,97600,0.768911
"2001-03-29",0.875,0.875,0.867188,0.875,44800,0.758749
"2001-03-30",0.878906,0.882813,0.871094,0.875,284800,0.758749
"2001-04-02",0.888669,0.894531,0.878906,0.878906,121600,0.762136
"2001-04-03",0.878906,0.882813,0.871094,0.871094,35200,0.755362
