"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"2001-01-02",23.625,23.9375,23.40625,23.5,2805600,15.875945
"2001-01-03",23.625,24.90625,23.3125,24.78125,3579600,16.741528
"2001-01-04",24.1875,26.1875,24.15625,25.875,3418600,17.480434
"2001-01-05",25.875,26,24,24.1875,2166000,16.340403
"2001-01-08",24.0625,24.34375,23.96875,24.15625,1289600,16.319298
"2001-01-09",24.375,24.5,23.96875,24.375,1502800,16.467081
"2001-01-10",24.46875,24.5625,23.8125,24.375,1015600,16.467081
"2001-01-11",24.375,24.9375,23.96875,24.71875,1251000,16.699303
"2001-01-12",24.59375,24.6875,24.25,24.3125,1065600,16.42485
"2001-01-16",24.3125,24.53125,24.15625,24.5,1421800,16.551527
"2001-01-17",25,25.0625,23.90625,23.96875,1334000,16.192627
"2001-01-18",24.0625,24.84375,23.90625,24.3125,1724200,16.42485
"2001-01-19",23.875,24.59375,23.84375,24.3125,2263200,16.42485
"2001-01-22",24,24.21875,22.9375,22.96875,3809400,15.517053
"2001-01-23",23,23.625,22.8125,23.5625,3764600,15.918171
"2001-01-24",23.375,24.0625,23.375,23.96875,1451400,16.192627
"2001-01-25",23.96875,24.4375,23.84375,24.1875,1115800,16.340403
"2001-01-26",24.125,24.4375,23.96875,24.15625,828200,16.319298
"2001-01-29",24.15,24.969999,24.135,24.535,1252000,16.575171
"2001-01-30",24.530001,25.26,24.25,25.200001,5193000,17.024427
"2001-01-31",25.25,25.844999,25.174999,25.5,3135200,17.227102
"2001-02-01",25.125,25.525,25,25.375,1819800,17.142645
"2001-02-02",25.25,25.25,24.975,25.004999,1887400,16.892685
"2001-02-05",24.9,25.75,24.825001,25.315001,1684200,17.102116
"2001-02-06",25.625,26.25,25.25,25.674999,1193000,17.345316
"2001-02-07",25.549999,26.25,25.495001,25.665001,1176600,17.338572
"2001-02-08",25.65,25.85,25.610001,25.68,964400,17.348698
"2001-02-09",25.625,26.125,25.610001,25.74,1545200,17.389227
"2001-02-12",25.674999,26.35,25.6,26.209999,770200,17.706743
"2001-02-13",26.125,26.475,26.1,26.285,1234600,17.757418
"2001-02-14",26.129999,26.315001,25.9,25.9,1189800,17.497311
"2001-02-15",26.125,26.83,26.125,26.83,1273400,18.125603
"2001-02-16",26.9,26.9,26.424999,26.545,1063600,17.933065
"2001-02-20",26.525,27.415001,26.450001,27,1773200,18.240452
"2001-02-21",26.625,27.299999,26.625,26.75,1631800,18.071568
"2001-02-22",26.5,26.745001,26.25,26.25,1371800,17.733767
"2001-02-23",25.370001,26.200001,25.370001,25.945,2199200,17.527721
"2001-02-26",26.049999,26.625,25.815001,26.59,1053400,17.963469
"2001-02-27",26.5,27.415001,26.48,27.370001,1645000,18.490419
"2001-02-28",27.25,27.299999,26.299999,26.49,931000,17.895908
"2001-03-01",26.5,26.52,25.700001,26.125,1619800,17.64933
"2001-03-02",25.625,26.9,25.625,26.775,1727000,18.088448
"2001-03-05",26.775,27.32,26.655001,27.315001,950600,18.45326
"2001-03-06",28.225,28.25,27.605,27.91,1340000,18.855228
"2001-03-07",27.825001,28.775,27.684999,28.775,1774000,19.668625
"2001-03-08",28.5,29.875,28.405001,29.629999,2346400,20.253038
"2001-03-09",29.5,29.99,29.415001,29.559999,1525000,20.205198
"2001-03-12",28.75,29.1,28.525,28.525,1950400,19.497751
"2001-03-13",28.504999,28.549999,27.85,28.200001,1273600,19.275589
"2001-03-14",28.225,28.405001,27.9,28.030001,1241200,19.159388
"2001-03-15",27.905001,28.555,27.875,28.485001,1103600,19.4704
"2001-03-16",28.4,28.764999,28.225,28.35,1903400,19.378126
"2001-03-19",28.125,29.174999,28.065001,28.915001,1182200,19.764318
"2001-03-20",28.790001,28.91,28.315001,28.455,836400,19.449892
"2001-03-21",28.455,28.495001,27.125,27.395,1332400,18.725353
"2001-03-22",27.225,27.225,25.625,26.889999,1796600,18.380165
"2001-03-23",26.775,27.030001,26.065001,26.98,1065400,18.441675
"2001-03-26",26.98,27.674999,26.93,27.485001,762600,18.786869
"2001-03-27",27.5,28.495001,27.299999,28.4,1338000,19.412296
"2001-03-28",28.15,28.165001,27.145,27.85,1256000,19.036352
"2001-03-29",27.950001,28.450001,27.764999,28.215,1404400,19.285854
"2001-03-30",28.200001,28.42,27.65,28.42,969800,19.425974
"2001-04-02",28.42,28.92,28.125,28.424999,1657400,19.429388
"2001-04-03",28.25,28.254999,26.775,27,985000,18.455351
"2001-04-04",27.094999,27.790001,27.004999,27.73,632200,18.954336
"2001-04-05",27.754999,28.9,27.754999,28.825001,1056600,19.702803
"2001-04-06",28.75,28.75,28.049999,28.49,662800,19.473814
"2001-04-09",28.450001,28.945,28.334999,28.48,991800,19.466984
"2001-04-10",28.75,28.905001,28.049999,28.375,1865200,19.395216
"2001-04-11",28.375,28.375,27.295,27.6,1508200,18.865471
"2001-04-12",27.625,27.775,27.299999,27.635,1635200,18.889395
"2001-04-16",28,28,27.525,27.875,863400,19.05345
"2001-04-17",27.875,28.299999,27.805,28.299999,900800,19.343939
