"","Open","High","Low","Close","Volume"
"2001-01-02",16.758602,19.633602,16.696102,19.571102,8130400
"2001-01-03",19.188921,21.876421,19.001421,19.813921,11303200
"2001-01-04",19.480303,21.105303,19.292803,20.105303,9831400
"2001-01-05",21.175402,21.487902,18.862902,19.425402,7291400
"2001-01-08",19.385508,20.135508,18.260508,19.573008,6300700
"2001-01-09",18.343266,20.593266,18.093266,20.280766,5476400
"2001-01-10",19.076605,20.576605,18.701605,20.451605,4561800
"2001-01-11",20.514105,20.514105,19.389105,20.451605,3775100
"2001-01-12",21.265285,21.390285,18.827785,19.890285,5681000
"2001-01-16",19.986107,20.361107,17.861107,19.548607,6019400
"2001-01-17",19.271231,20.333731,19.021231,19.646231,4738700
"2001-01-18",19.618855,20.368855,19.118855,19.743855,4843700
"2001-01-19",19.714674,20.027174,19.027174,19.402174,5267900
"2001-01-22",19.772406,19.959906,17.897406,19.084906,6288100
"2001-01-23",18.880741,19.630741,18.755741,19.255741,5500800
"2001-01-24",19.624176,19.624176,17.811676,18.499176,9420200
"2001-01-25",19.061676,19.311676,17.374176,18.499176,7287300
"2001-01-26",18.605722,18.980722,16.793222,18.230722,5372800
"2001-01-29",17.554187,19.154185,17.484187,18.704189,5653200
"2001-01-30",17.811994,18.941996,17.741995,18.711992,4124100
"2001-01-31",18.529908,18.92991,17.749909,18.879906,5460300
"2001-02-01",17.988966,19.938967,17.838969,19.738966,7119500
"2001-02-02",20.636113,20.886113,18.916111,19.44611,8428600
"2001-02-05",18.807058,19.407061,17.70706,19.407061,6654800
"2001-02-06",19.276578,19.476579,18.376581,19.42658,4423900
"2001-02-07",20.297045,20.297045,18.447042,18.997046,4579500
"2001-02-08",19.059144,19.289143,18.409142,18.829144,4579900
"2001-02-09",19.66484,19.73484,17.614841,18.184841,6965200
"2001-02-12",17.503424,19.203425,17.483423,18.653425,5605800
"2001-02-13",18.232858,18.982858,17.712858,18.922857,4858500
"2001-02-14",19.802748,19.852747,18.152746,18.352747,3868100
"2001-02-15",18.752749,19.652746,18.202745,18.352747,3702100
"2001-02-16",17.913893,19.163893,17.293894,18.633894,5310000
"2001-02-20",18.243908,19.293907,17.673909,19.043907,4855600
"2001-02-21",19.297997,19.617997,18.247998,18.547997,4842800
"2001-02-22",17.676384,19.106384,16.926384,19.106384,5717600
"2001-02-23",17.944868,19.694868,17.194868,19.414869,6412800
"2001-02-26",19.061346,19.641344,18.541346,19.641344,5063500
"2001-02-27",19.47068,19.960682,19.140682,19.750683,6312900
"2001-02-28",21.516094,21.776092,18.626095,18.626095,8131900
"2001-03-01",20.517021,20.517021,17.767021,17.767021,8706100
"2001-03-02",14.214839,18.194843,14.214839,18.184841,20610400
"2001-03-05",18.42188,18.42188,17.221884,17.731882,6130800
"2001-03-06",17.856181,18.756178,17.606181,17.966177,6270100
"2001-03-07",18.449583,18.889582,16.799581,17.169584,7686600
"2001-03-08",16.691405,18.001402,16.541403,17.751402,4639400
"2001-03-09",17.781782,18.761782,17.121782,17.571783,6029300
"2001-03-12",17.138832,19.338833,17.078831,17.528831,6473300
"2001-03-13",17.25444,17.714439,16.564442,17.544441,5739000
"2001-03-14",16.833282,18.283283,15.333282,16.443283,10311500
"2001-03-15",16.900524,16.950523,15.750522,16.720524,8619000
"2001-03-16",16.414987,16.92499,16.01499,16.454988,10892700
"2001-03-19",15.704245,17.554243,15.484244,16.814245,5436700
"2001-03-20",18.030796,18.200798,15.950798,15.970799,5541100
