"","Open","High","Low","Close","Volume"
"2001-01-02",24.581125,24.581125,21.956125,22.253,1878400
"2001-01-03",22.170565,24.31119,21.99869,22.40494,2271600
"2001-01-04",22.739681,22.927181,18.099056,19.614681,6584000
"2001-01-05",19.601553,20.804678,18.976553,19.476553,3984800
"2001-01-08",19.442806,20.145931,19.145931,19.614681,2031600
"2001-01-09",19.897772,20.022772,18.647772,18.647772,1933600
"2001-01-10",19.21702,20.96702,19.09202,20.263895,3023600
"2001-01-11",20.48333,20.686455,19.95208,20.13958,1950800
"2001-01-12",20.197563,20.197563,19.103813,19.697563,1388800
"2001-01-16",19.814417,20.220667,18.970667,19.283167,2137600
"2001-01-17",19.35384,19.369465,18.29134,18.744465,2511600
"2001-01-18",19.325989,19.700989,17.997864,18.122864,3098000
"2001-01-19",17.714815,17.902315,16.371065,17.183565,6615600
"2001-01-22",17.149361,18.696236,17.149361,18.039986,3137600
"2001-01-23",18.060364,18.935364,18.060364,18.122864,2856000
"2001-01-24",18.343884,18.343884,17.187634,17.390759,3516400
"2001-01-25",17.54203,17.745155,17.307655,17.66703,3050400
"2001-01-26",17.433321,18.948946,17.433321,18.495821,2214000
"2001-01-29",18.569605,18.569605,17.457106,17.957106,1892000
"2001-01-30",17.952753,18.327753,17.740253,17.990253,1271600
"2001-01-31",17.975754,18.370755,17.800753,18.100754,1528800
"2001-02-01",18.098158,18.573159,18.088158,18.120657,1206000
"2001-02-02",18.283223,18.783223,18.128225,18.310724,1364800
"2001-02-05",18.514342,19.489342,18.394343,18.664341,1585200
"2001-02-06",18.756903,19.006903,18.671904,19.006903,1135200
"2001-02-07",19.120189,19.937689,19.120189,19.725189,1920800
"2001-02-08",19.781424,19.881424,19.168925,19.296423,1419200
"2001-02-09",18.998344,19.515844,18.848345,19.453344,1652800
"2001-02-12",19.366562,20.359062,18.934063,20.134062,1192800
"2001-02-13",20.135218,20.297718,19.735218,20.125217,1010800
"2001-02-14",20.307148,20.407146,19.569647,19.672148,736000
"2001-02-15",19.958546,20.021046,18.708546,18.708546,993600
"2001-02-16",18.469056,19.206555,18.469056,18.819056,1204400
"2001-02-20",18.775168,19.172667,18.685168,19.172667,906000
"2001-02-21",19.39913,19.39913,18.39913,18.39913,830000
"2001-02-22",18.436128,18.771127,18.121127,18.136126,961200
"2001-02-23",18.100754,18.250754,17.700755,18.100754,906400
"2001-02-26",18.017305,19.029806,17.979807,18.832306,1613200
"2001-02-27",18.719215,19.344215,18.719215,19.294216,1371600
"2001-02-28",19.223198,20.318197,19.223198,19.835697,2164800
"2001-03-01",19.825152,19.977652,19.65765,19.93515,1302000
"2001-03-02",19.859773,21.322275,19.759775,20.509775,1812000
"2001-03-05",20.852257,20.852257,19.664757,19.804756,1009200
"2001-03-06",20.005381,20.04788,19.24288,19.59038,1309600
"2001-03-07",19.71636,19.99386,18.99386,19.106359,1209200
"2001-03-08",19.273401,19.323402,18.723402,18.785902,1752400
"2001-03-09",18.797422,18.979921,18.447422,18.507421,1407200
"2001-03-12",18.614101,19.136602,17.679102,17.694101,2083200
