"","Open","High","Low","Close","Volume"
"2001-01-02",36.842434,37.217434,34.717434,35.217434,695800
"2001-01-03",33.458382,37.833382,32.958382,37.833382,2451800
"2001-01-04",37.083221,39.583221,37.083221,38.145721,3776700
"2001-01-05",38.247421,38.247421,36.872421,37.872421,2331200
"2001-01-08",37.645721,38.208221,37.083221,38.145721,868300
"2001-01-09",37.981678,38.231678,37.606678,38.106678,1372200
"2001-01-10",38.044926,38.544926,36.044926,36.544926,2986400
"2001-01-11",36.013447,37.138447,35.825947,37.013447,1547500
"2001-01-12",37.005737,37.568237,36.693237,36.818237,2705400
"2001-01-16",36.568096,37.130596,36.068096,37.130596,961400
"2001-01-17",37.091545,37.091545,36.466545,37.091545,511600
"2001-01-18",37.013157,37.763157,36.888157,37.638157,1202800
"2001-01-19",37.731972,37.919472,37.294472,37.481972,869700
"2001-01-22",37.364697,37.677197,37.177197,37.677197,943600
"2001-01-23",37.505127,38.130127,37.130127,38.067627,2050800
"2001-01-24",38.325657,38.325657,37.200657,37.638157,943000
"2001-01-25",37.591228,38.153728,37.216228,37.716228,854600
"2001-01-26",37.591228,37.841228,37.403728,37.716228,609000
"2001-01-29",37.78173,38.231731,37.631733,37.981731,982900
"2001-01-30",37.931496,38.571496,37.891495,38.481495,1232400
"2001-01-31",38.408897,38.768898,37.478897,38.6689,2782200
"2001-02-01",38.792755,38.792755,38.342754,38.462753,1891300
"2001-02-02",38.569161,38.749161,38.079159,38.169159,959200
"2001-02-05",38.39191,38.39191,37.441909,37.631912,1030500
"2001-02-06",37.638347,37.728347,37.138347,37.23835,634500
"2001-02-07",36.612064,37.502068,36.612064,37.282066,759700
"2001-02-08",36.546993,37.736996,36.546993,37.456993,910400
"2001-02-09",37.299534,37.739533,37.249535,37.369534,968400
"2001-02-12",37.056919,37.906917,36.956916,37.606918,1396600
"2001-02-13",37.47073,37.820728,37.410729,37.500729,1058400
"2001-02-14",37.448197,37.598199,37.218197,37.538197,873900
"2001-02-15",37.439453,37.939453,37.429455,37.569454,775600
"2001-02-16",36.830731,37.870732,36.830731,37.500729,766000
"2001-02-20",37.474465,38.124466,37.424466,37.544464,1672700
"2001-02-21",37.694804,37.724807,36.704806,36.794807,654100
"2001-02-22",36.641598,37.091594,36.241596,36.531597,952800
"2001-02-23",36.299145,36.759144,35.749146,36.099144,912500
"2001-02-26",36.13047,36.340469,35.480468,36.13047,631200
"2001-02-27",35.558773,36.708775,35.558773,36.418774,830800
"2001-02-28",36.958545,37.138546,35.398544,35.428543,850200
"2001-03-01",35.636395,36.096394,34.786393,35.096394,1126000
"2001-03-02",34.745506,35.705505,34.455505,35.685505,1687900
"2001-03-05",34.943153,36.203151,34.943153,36.193153,537900
"2001-03-06",36.575005,36.575005,35.755001,35.955002,743400
"2001-03-07",35.809193,36.599194,35.389191,36.569191,1052500
"2001-03-08",36.881882,37.601883,36.41188,37.101883,1049600
"2001-03-09",37.040008,37.040008,36.700008,36.87001,863600
"2001-03-12",37.388736,37.388736,35.948738,35.948738,857600
"2001-03-13",35.483799,36.033798,35.083797,35.973801,1054600
"2001-03-14",35.779114,36.029114,35.079113,35.629112,1020500
"2001-03-15",35.623775,35.903774,35.213776,35.503777,901700
"2001-03-16",35.739719,35.829719,34.929722,34.93972,1035000
"2001-03-19",34.99268,35.49268,34.342678,35.102676,1213900
"2001-03-20",35.285568,35.515572,34.77557,34.79557,936100
"2001-03-21",33.981818,36.821819,33.651817,36.161819,1772200
"2001-03-22",33.737457,35.487457,33.737457,35.027458,2672800
"2001-03-23",35.136352,35.376354,33.946354,34.626354,1162800
"2001-03-26",34.290401,35.440403,34.290401,35.190403,668900
"2001-03-27",35.142154,35.532153,34.942153,35.372154,624700
"2001-03-28",35.064404,35.3344,34.8344,35.284401,526200
"2001-03-29",35.044133,35.294133,34.894131,35.184132,571400
"2001-03-30",34.910427,35.660427,34.660427,35.660427,925700
"2001-04-02",35.903164,35.913162,34.753162,34.833164,1040000
"2001-04-03",35.207833,35.297833,33.337834,33.347832,1545500
"2001-04-04",33.241153,33.731155,32.501155,33.191154,2005300
"2001-04-05",33.586769,33.586769,32.096767,33.416767,1898400
"2001-04-06",33.095769,33.97577,32.38577,33.955769,1621400
"2001-04-09",34.153602,34.773601,33.1436,33.623604,848900
"2001-04-10",33.265255,34.585254,33.215251,34.225254,861100
"2001-04-11",33.691227,34.371228,33.471226,34.131226,558400
"2001-04-12",33.974567,34.214569,33.614566,33.974567,368500
"2001-04-16",33.954929,34.044929,33.554927,33.65493,603300
"2001-04-17",33.084004,33.774002,33.084004,33.774002,673300
"2001-04-18",32.92498,35.574982,32.92498,34.124981,1978200
"2001-04-19",33.146984,36.196983,32.956981,35.766983,2309800
"2001-04-20",35.013988,36.513988,34.66399,36.493988,1781700
"2001-04-23",36.903077,36.903077,34.763073,35.253075,951100
"2001-04-24",34.202155,35.642154,34.082157,35.372154,1598700
"2001-04-25",35.002979,35.852977,34.622978,35.672977,1198400
"2001-04-26",35.572407,36.122406,35.432407,35.472404,500800
"2001-04-27",35.552189,36.252185,35.462188,35.842186,749000
"2001-04-30",35.995144,36.355144,35.615146,36.005146,1041500
"2001-05-01",35.587169,36.387168,35.497169,36.28717,1309700
"2001-05-02",36.032654,36.622654,35.882652,36.462654,1131100
"2001-05-03",36.0737,36.493698,35.973702,36.3937,1003300
"2001-05-04",36.219979,36.669975,36.039978,36.399979,1597000
"2001-05-07",35.387168,36.337169,35.387168,36.28717,1756700
"2001-05-08",36.180469,36.31047,35.740466,36.13047,1509400
"2001-05-09",36.087936,36.277939,35.767937,36.117939,1239600
"2001-05-10",36.341819,36.421817,35.911819,36.161819,771400
"2001-05-11",36.303551,36.433552,35.753552,36.343552,1225500
"2001-05-14",36.249146,36.479146,35.709145,36.099144,680600
"2001-05-15",35.811816,36.251819,35.811816,36.161819,727600
"2001-05-16",35.873699,36.5537,35.773701,36.3937,1120500
"2001-05-17",36.24139,37.56139,36.041389,37.371391,3129000
"2001-05-18",36.85928,37.549278,36.85928,37.509277,1605300
"2001-05-21",37.436882,37.636883,37.386883,37.546883,1399600
"2001-05-22",37.64285,37.64285,37.292847,37.452847,1381700
"2001-05-23",37.610706,37.640705,36.740703,37.120705,1441300
"2001-05-24",36.531883,37.241882,36.531883,37.101883,909400
"2001-05-25",37.058735,37.148735,36.738735,36.988735,674100
"2001-05-29",36.819882,37.089878,36.549881,36.969879,533000
"2001-05-30",36.969879,36.969879,36.25988,36.969879,1118600
"2001-05-31",36.448547,37.378548,36.348545,37.378548,1716100
"2001-06-01",37.262676,37.462677,36.462677,36.812675,861400
"2001-06-04",36.455498,36.795499,36.245499,36.655499,832200
"2001-06-05",36.659218,36.73922,36.30922,36.64922,855800
"2001-06-06",37.240886,37.240886,36.440887,36.510887,563500
"2001-06-07",36.307225,36.807225,36.307225,36.737225,699100
"2001-06-08",36.663453,36.683453,36.433453,36.523453,438000
"2001-06-11",36.607948,36.607948,36.117946,36.227947,699900
"2001-06-12",35.993107,36.263103,35.663105,36.253105,810900
"2001-06-13",36.199032,36.349029,35.859032,35.989033,852000
"2001-06-14",35.769801,36.169803,35.679801,35.699802,817800
"2001-06-15",35.379512,35.729511,35.169513,35.649513,880600
"2001-06-18",35.255207,35.975208,35.155209,35.555206,1017100
"2001-06-19",35.766814,35.846816,34.896815,35.196815,977000
"2001-06-20",34.566876,35.416878,34.266876,35.416878,1389500
"2001-06-21",34.930447,36.220448,34.630448,36.020447,1093100
"2001-06-22",35.88557,36.245571,35.605567,35.825569,1044600
"2001-06-25",35.698261,35.698261,34.99826,35.22826,913800
"2001-06-26",34.963653,35.473652,34.743652,35.083652,882000
"2001-06-27",34.77031,35.590309,34.720306,35.36031,1098100
"2001-06-28",34.801014,36.501015,34.771015,35.901012,1887400
"2001-06-29",35.891128,36.741131,35.601131,36.341129,2619300
"2001-07-02",36.226024,36.866024,35.566024,36.536026,1271100
"2001-07-03",36.308979,36.84898,36.25898,36.818981,709300
"2001-07-05",36.73898,37.00898,36.518978,36.818981,940600
"2001-07-06",36.977108,36.987106,36.167106,36.297108,597400
"2001-07-09",36.47401,36.504009,36.31401,36.404011,510500
"2001-07-10",36.619087,36.769089,36.029087,36.209087,503800
"2001-07-11",36.103646,36.263645,35.463646,36.133648,853600
"2001-07-12",36.011131,36.481129,35.961128,36.341129,632200
"2001-07-13",36.140652,36.840653,35.740655,36.680653,935200
"2001-07-16",36.982624,36.982624,36.582623,36.592625,808900
"2001-07-17",36.462932,36.742935,36.182934,36.642933,705700
"2001-07-18",36.35574,36.85574,36.10574,36.485737,768500
"2001-07-19",36.436321,36.676319,35.696319,36.586319,1016700
"2001-07-20",36.235383,36.585385,36.075383,36.215382,787900
"2001-07-23",36.549271,36.59927,35.68927,35.819271,638100
"2001-07-24",36.168091,36.168091,35.228088,35.618092,944500
"2001-07-25",35.438133,35.838135,35.038136,35.838135,782300
"2001-07-26",35.556698,35.806698,35.556698,35.806698,575400
"2001-07-27",35.930881,36.040882,35.460884,35.460884,581300
"2001-07-30",35.475506,35.805508,35.425507,35.605507,360300
"2001-07-31",35.531242,35.731243,35.261242,35.731243,660600
"2001-08-01",35.856697,35.936699,35.296696,35.806698,830400
"2001-08-02",35.748089,35.748089,35.12809,35.618092,554100
"2001-08-03",35.753483,35.753483,35.31348,35.47348,439400
"2001-08-06",35.383163,35.563164,35.333164,35.423164,473500
"2001-08-07",35.254837,35.644837,34.964836,35.284836,587900
"2001-08-08",35.140831,35.44083,35.140831,35.240829,607900
"2001-08-09",35.318787,35.328789,35.078789,35.108788,439900
"2001-08-10",34.979694,35.319694,34.929695,35.259697,607500
"2001-08-13",35.320545,35.470547,35.190548,35.190548,613900
"2001-08-14",35.335396,35.435399,34.935399,35.165398,609100
"2001-08-15",35.248788,35.268788,34.948788,35.108788,404300
"2001-08-16",34.852215,35.172215,34.802216,35.052216,474700
"2001-08-17",35.070781,35.070781,34.830779,35.020782,525200
"2001-08-20",35.191307,35.241306,34.891308,34.901306,505100
"2001-08-21",35.104439,35.354439,34.554435,34.794437,650900
"2001-08-22",34.732158,34.872158,34.582161,34.832161,764800
"2001-08-23",34.783886,35.133884,34.743885,34.913883,778500
"2001-08-24",34.933971,35.323975,34.673973,35.323975,903000
"2001-08-27",35.514828,35.514828,34.894829,35.014828,575800
"2001-08-28",34.95543,35.195427,34.725426,34.945427,897600
"2001-08-29",35.022209,35.042209,34.572208,35.002209,914900
"2001-08-30",34.912125,35.022121,34.162125,34.592125,1508900
"2001-08-31",34.444496,34.844494,34.244495,34.844494,1157100
"2001-09-04",34.566505,35.066505,34.116504,34.926506,930500
"2001-09-05",34.853894,35.013894,34.593895,34.913895,614200
"2001-09-06",34.604736,34.984738,34.324738,34.604736,835400
"2001-09-07",34.821835,34.861832,33.791832,33.891834,1041500
"2001-09-10",34.000683,34.120686,33.340684,33.500683,1365300
"2001-09-17",33.308325,33.408323,31.308325,31.778322,3918900
"2001-09-18",33.239536,33.239536,31.499534,31.639538,2782500
"2001-09-19",32.451559,32.531557,30.171556,30.251558,3853700
"2001-09-20",28.460984,31.900983,27.860986,31.260983,3905400
"2001-09-21",31.215623,31.655622,29.75562,31.355623,2532400
"2001-09-24",31.311325,32.271324,31.211322,31.431324,1702600
"2001-09-25",30.88506,32.365059,30.31506,32.365059,1895900
"2001-09-26",32.647902,32.7279,30.967901,31.197901,2246900
