"","Open","High","Low","Close","Volume"
"2001-01-02",25.139282,25.139282,23.545532,23.889282,3390400
"2001-01-03",23.662096,24.412096,22.880846,23.849596,4980800
"2001-01-04",24.634806,24.697306,22.916056,23.353556,4876200
"2001-01-05",24.017233,24.017233,22.548483,22.579733,4172000
"2001-01-08",22.476568,23.507818,22.382818,22.976568,3778600
"2001-01-09",23.889742,23.952242,22.233492,22.420992,4020400
"2001-01-10",21.936888,23.155638,21.358736,22.936888,3798600
"2001-01-11",23.046511,23.546511,22.921511,23.452761,3635400
"2001-01-12",24.034592,24.034592,21.847092,22.440842,4717600
"2001-01-16",22.55146,23.05146,21.70771,22.52021,4627400
"2001-01-17",23.0222,23.5222,22.6472,22.8972,4700800
"2001-01-18",22.726074,23.507324,22.726074,23.194824,11040400
"2001-01-19",23.028654,23.216154,22.122404,22.559904,4991800
"2001-01-22",22.755333,22.880333,21.755333,22.817833,3640600
"2001-01-23",22.65811,23.65811,22.40811,23.09561,5645400
"2001-01-24",23.174982,23.456232,22.831232,23.174982,3137400
"2001-01-25",23.300991,24.394741,23.113491,23.988491,2904200
"2001-01-26",24.464666,24.464666,23.152166,23.214666,4381000
"2001-01-29",23.715459,24.060456,23.365456,23.365456,2493800
"2001-01-30",23.540787,23.815789,23.165787,23.625786,3231400
"2001-01-31",23.81357,23.863569,23.248571,23.803572,4252400
"2001-02-01",23.955074,23.955074,22.985072,23.540073,2666600
"2001-02-02",23.699737,23.999736,23.234737,23.479736,2918800
"2001-02-05",23.580946,23.935946,23.345945,23.555944,3123600
"2001-02-06",23.401735,24.811735,23.266737,23.606737,3809000
"2001-02-07",23.624998,24.244997,23.379999,23.574999,3239800
"2001-02-08",23.483093,24.098095,23.243095,23.813095,2037200
"2001-02-09",24.331815,24.406816,23.626813,23.771814,3192600
"2001-02-12",24.184912,24.204912,23.739912,23.809912,2596200
"2001-02-13",23.396826,24.896826,23.371824,24.571825,5008800
"2001-02-14",24.712791,25.237793,24.362793,24.587791,3899000
"2001-02-15",24.47644,25.60144,24.451438,25.22644,4406800
"2001-02-16",25.361948,25.661947,24.786947,24.986948,3787000
"2001-02-20",25.271616,25.546618,25.146616,25.146616,4321800
"2001-02-21",24.904759,25.904759,24.629757,25.264759,3908000
"2001-02-22",25.385811,25.515809,24.57581,25.050808,5653600
"2001-02-23",24.892631,24.947632,24.137634,24.667633,3859800
"2001-02-26",24.025811,25.07581,23.885811,25.050808,5035000
"2001-02-27",24.858997,25.608997,24.458995,25.433998,6928800
"2001-02-28",25.798372,25.848371,24.223371,24.878374,4934800
"2001-03-01",24.705299,25.320301,24.2453,24.910301,4533600
"2001-03-02",24.778087,25.358085,24.398086,24.923088,3744400
"2001-03-05",25.027687,26.077686,24.927689,25.577686,5644400
"2001-03-06",25.928918,26.428918,25.568917,25.663918,5661000
"2001-03-07",25.430422,26.440424,25.245424,26.085424,3747000
"2001-03-08",26.144954,26.419956,25.674957,26.209957,4535000
"2001-03-09",26.278607,26.298607,25.838604,26.088604,2645000
"2001-03-12",26.434825,26.439827,24.959827,25.034828,4882000
"2001-03-13",24.931271,25.306271,24.406269,25.306271,5033800
"2001-03-14",24.999151,25.324152,23.214151,23.949152,11076600
"2001-03-15",24.813643,24.838645,23.583643,24.188643,7019600
"2001-03-16",25.09417,25.214169,22.71917,22.80917,8756000
"2001-03-19",22.60147,23.35147,22.426471,23.326473,5198800
"2001-03-20",23.796908,24.246904,22.846907,22.936907,4253600
"2001-03-21",23.253139,23.258141,22.253139,22.263142,4205800
"2001-03-22",22.581345,22.581345,20.281346,21.506344,9875600
"2001-03-23",21.569578,22.09458,20.609579,21.394579,7726200
"2001-03-26",21.034548,23.284548,20.784548,22.914549,8473800
"2001-03-27",22.426712,24.046711,22.046711,23.776711,8149000
"2001-03-28",23.724377,23.874374,22.874374,23.374374,5992200
"2001-03-29",23.13046,24.155462,22.75546,23.805464,4960000
"2001-03-30",24.131299,24.256299,23.131299,23.406301,4716800
"2001-04-02",23.538232,24.163232,22.903234,23.438234,4580800
"2001-04-03",23.502582,23.767582,22.392582,22.617584,5855200
"2001-04-04",22.399595,23.469595,22.099596,22.799597,4320600
"2001-04-05",22.722051,24.122053,22.722051,23.997053,3674400
"2001-04-06",23.669577,24.169577,23.269575,23.559576,3218400
"2001-04-09",23.46361,24.39361,23.46361,23.923609,2754000
"2001-04-10",23.021424,24.136426,22.636426,23.821423,6334000
"2001-04-11",23.962607,24.072608,23.007605,23.262606,4532200
"2001-04-12",23.330503,24.070501,23.005502,24.070501,2995600
"2001-04-16",24.071755,24.721757,23.696755,24.041756,2628200
"2001-04-17",23.865742,24.34074,23.490742,24.140739,2283800
"2001-04-18",24.189056,25.814056,24.039059,24.939056,4444000
"2001-04-19",24.958593,24.963594,24.183596,24.683596,4559000
"2001-04-20",24.18658,24.736579,24.18658,24.501583,3202800
"2001-04-23",24.899225,24.899225,24.289224,24.479227,2067200
"2001-04-24",24.453129,25.103126,24.428127,24.428127,2580800
"2001-04-25",24.562182,24.657183,23.66218,24.41218,2512200
"2001-04-26",24.587791,25.037792,24.212791,24.587791,2706800
"2001-04-27",24.491779,25.236778,24.29678,25.06678,3008800
"2001-04-30",25.26766,25.742658,24.852659,24.932661,3105800
"2001-05-01",24.82581,25.20081,24.57581,25.050808,2997200
"2001-05-02",25.831831,25.831831,24.606828,24.95183,3762400
"2001-05-03",25.351101,25.351101,24.576099,25.0061,2676200
"2001-05-04",24.788671,25.333669,24.308672,25.213671,2267200
"2001-05-07",24.784828,25.324829,24.784828,25.034828,1910400
"2001-05-08",25.386107,25.501108,24.301108,24.626108,2699400
"2001-05-09",24.932968,24.932968,24.382969,24.507969,2838000
"2001-05-10",24.525221,25.440222,24.45022,25.140223,2845400
"2001-05-11",25.208369,25.708369,24.883368,25.258368,3047800
"2001-05-14",25.698118,25.698118,24.973115,25.188116,2160600
"2001-05-15",25.504165,25.644169,24.804169,25.354168,2874800
"2001-05-16",24.797676,26.622677,24.677677,26.622677,4687000
"2001-05-17",26.184683,27.524683,26.134684,27.184683,6738800
"2001-05-18",26.726805,28.151804,26.576803,28.006804,8325600
"2001-05-21",27.814573,28.044573,27.424574,27.714575,4469600
"2001-05-22",27.729269,28.004266,26.854269,27.239267,4713200
"2001-05-23",27.412557,27.427556,26.737558,27.152559,2891200
"2001-05-24",27.559799,27.774799,26.859798,27.049801,2915400
"2001-05-25",27.230072,27.235073,26.110073,26.735073,3180800
"2001-05-29",27.092196,27.192194,26.542197,26.767195,2457200
"2001-05-30",27.087304,27.487301,26.172303,26.237301,3005400
"2001-05-31",26.099355,26.879354,26.074353,26.754354,3076400
"2001-06-01",26.624384,27.019384,26.074385,26.709383,2253200
"2001-06-04",26.568703,27.243702,25.993702,27.078701,1534600
"2001-06-05",27.143547,27.463546,26.978546,27.258545,3011200
"2001-06-06",28.069222,28.069222,26.394223,26.494221,3329000
"2001-06-07",26.492239,27.162237,25.90724,26.722239,3709000
"2001-06-08",27.039182,27.039182,25.979185,26.144186,3765400
"2001-06-11",26.480526,26.505528,25.680527,25.845528,3348800
"2001-06-12",25.856259,26.016259,25.066258,25.826256,5236800
"2001-06-13",25.854856,26.204858,25.619855,25.774858,4244800
"2001-06-14",25.710057,25.710057,24.380055,24.760056,13608800
"2001-06-15",25.255377,25.255377,23.625376,24.005377,12523800
"2001-06-18",24.333065,25.208065,24.038067,24.988064,7496600
"2001-06-19",25.630377,25.630377,23.705378,24.005377,8233200
"2001-06-20",24.098748,24.253751,23.353749,23.828747,7773000
"2001-06-21",23.92875,24.258748,23.278748,23.828747,8050600
"2001-06-22",24.059309,24.084306,23.47431,23.594309,4795600
"2001-06-25",23.993216,24.268213,23.303213,23.623213,5679600
"2001-06-26",23.584267,23.834267,23.044266,23.639267,4506800
"2001-06-27",23.775408,24.000406,23.545404,23.565405,4635400
"2001-06-28",23.960863,24.460863,23.815863,23.860865,5667200
"2001-06-29",23.896868,24.021868,23.146868,23.526869,7790600
"2001-07-02",23.811783,23.811783,22.58678,22.826782,6228000
"2001-07-03",22.452309,23.432309,22.412308,23.427307,3681600
"2001-07-05",23.738125,23.813126,23.163129,23.318127,4423800
"2001-07-06",23.620204,23.670203,23.285201,23.395201,4059400
"2001-07-09",23.493459,23.55346,23.238458,23.35346,3537200
"2001-07-10",23.640108,23.66511,22.690107,23.090109,3425200
"2001-07-11",23.152673,23.577677,22.827677,23.022676,3965600
"2001-07-12",23.09298,24.017979,22.767979,23.892979,4413400
"2001-07-13",23.758831,24.278831,23.258831,24.133831,2941400
"2001-07-16",24.16066,24.235661,23.835659,24.085659,2159800
"2001-07-17",23.95664,24.911638,23.906636,24.586637,3849400
"2001-07-18",24.290939,24.29594,23.855938,24.165939,7274000
"2001-07-19",24.680052,24.90505,23.830054,24.365053,2946800
"2001-07-20",24.388914,24.688913,24.363912,24.438913,3296200
"2001-07-23",24.614108,24.754112,24.134109,24.214111,2544600
"2001-07-24",24.487765,24.487765,23.582762,23.722765,3598600
"2001-07-25",24.230661,24.230661,23.265661,23.69066,5533400
"2001-07-26",23.761179,23.786181,23.221182,23.501181,4596600
"2001-07-27",23.536181,23.611182,23.03118,23.501181,3707000
"2001-07-30",23.686381,23.786379,23.091379,23.276381,2889400
"2001-07-31",23.321833,23.646834,23.211832,23.571833,3833400
"2001-08-01",24.057841,24.057841,23.082843,23.237841,4390600
"2001-08-02",23.572152,23.647153,22.947152,23.212151,5905400
"2001-08-03",23.402518,23.452517,22.637518,23.202517,2170600
"2001-08-06",23.156012,23.581011,23.13101,23.286013,2310200
"2001-08-07",23.282642,23.607643,23.157642,23.462643,3360200
"2001-08-08",23.799181,23.84918,22.824178,22.93918,2702400
"2001-08-09",22.822024,23.347021,22.497023,23.347021,3795600
"2001-08-10",22.993091,24.058094,22.843094,23.758095,3152600
"2001-08-13",23.941944,24.016945,23.271946,23.436947,2608200
"2001-08-14",23.875603,23.900605,23.075604,23.340603,1996600
"2001-08-15",23.829704,23.829704,22.644703,22.749702,3963200
"2001-08-16",22.036065,23.636063,22.036065,23.636063,4429400
"2001-08-17",24.16695,24.16695,22.91695,23.04195,2482600
