"","Open","High","Low","Close","Volume"
"2005-12-05",32.164955,34.764953,32.164955,34.464954,905200
"2005-12-06",34.305314,35.745312,34.305314,35.745312,850400
"2005-12-07",35.535984,36.205986,35.535984,36.155987,870900
"2005-12-08",36.350739,36.350739,34.950737,35.350739,965300
"2005-12-09",35.599425,35.749427,34.329429,35.149429,908500
"2005-12-12",35.024743,35.724744,34.974744,35.044743,752200
"2005-12-13",34.900738,35.690739,34.750736,35.350739,143700
"2005-12-14",35.360737,35.630737,35.120735,35.350739,164300
"2005-12-15",35.443515,35.443515,34.523517,34.553516,180400
"2005-12-16",34.589,34.778999,34.379001,34.778999,147000
"2005-12-19",34.807792,34.807792,34.117794,34.287796,276300
"2005-12-20",34.400742,34.400742,33.670738,33.82074,760000
"2005-12-21",33.953861,34.293862,33.653862,33.683865,401500
"2005-12-22",33.88839,33.88839,33.288391,33.458389,388000
"2005-12-23",33.517868,33.517868,33.177868,33.377869,625900
"2005-12-27",33.594036,33.594036,32.344036,32.484035,491600
"2005-12-28",32.399598,32.559598,32.099595,32.419594,908400
"2005-12-29",32.469978,32.819976,32.039978,32.169979,660100
"2005-12-30",31.936291,33.136292,31.766289,33.136292,3564700
"2006-01-03",33.020596,34.000595,30.550599,33.490597,6392100
"2006-01-04",33.604645,34.024647,33.504646,33.804646,6084400
"2006-01-05",33.642067,34.192066,33.522068,34.022068,5540600
"2006-01-06",34.094177,34.644176,34.034175,34.344177,5627600
"2006-01-09",34.393383,34.563385,34.113384,34.223385,5130600
"2006-01-10",33.992858,34.252856,33.272857,34.14286,4909000
"2006-01-11",34.207756,34.25776,33.497757,33.667759,5048000
"2006-01-12",34.468914,34.468914,33.018913,33.538914,6165400
"2006-01-13",33.3657,34.045696,33.245697,33.965698,4719200
"2006-01-17",33.739174,34.029175,33.489174,33.579174,4465500
"2006-01-18",33.5714,33.7514,32.991398,33.611401,3201100
"2006-01-19",33.620812,34.570813,33.500813,34.440811,3559200
"2006-01-20",34.433125,34.453125,34.143124,34.183125,3967100
"2006-01-23",34.046806,34.826805,33.866805,34.746807,3843000
"2006-01-24",34.756424,35.086422,34.566422,34.996422,3727800
"2006-01-25",35.05148,35.371479,34.66148,34.851479,3816900
"2006-01-26",35.106534,35.456532,34.436536,34.706532,2461200
"2006-01-27",34.669528,35.15953,34.359531,34.859531,2552500
"2006-01-30",34.983642,35.053642,34.143642,34.263641,2645800
"2006-01-31",34.472015,34.492016,33.352016,33.402016,3835300
"2006-02-01",33.133229,33.953229,33.123227,33.893227,3465900
"2006-02-02",34.03553,34.195534,33.275532,33.635532,2738300
"2006-02-03",33.342696,33.902698,33.342696,33.812698,2974500
"2006-02-06",33.834126,34.084126,33.704125,33.724125,2461600
"2006-02-07",33.799973,34.209973,33.689972,33.69997,3277500
"2006-02-08",33.523384,34.233383,33.133385,34.223385,2953400
"2006-02-09",34.035214,34.545212,33.855214,34.505211,2518600
"2006-02-10",34.485736,34.735736,34.255737,34.585739,2515300
"2006-02-13",34.520809,34.56081,34.180809,34.440811,1838000
"2006-02-14",34.359,35.028999,34.098998,34.778999,2202300
"2006-02-15",34.54811,35.04811,34.348109,34.948112,1790800
"2006-02-16",35.00916,35.409162,34.519158,35.109158,2503300
"2006-02-17",35.251591,35.32159,34.541592,34.561588,2299800
