"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"2001-01-02",27.984034,28.075485,27.526779,27.572504,449000,10.155811
"2001-01-03",27.572504,27.892582,27.526779,27.663956,272200,10.189493
"2001-01-04",27.663956,27.709681,27.435328,27.572504,220000,10.155811
"2001-01-05",27.618229,27.618229,27.252426,27.298151,74400,10.054755
"2001-01-08",27.343876,27.481052,27.115248,27.298151,159300,10.054755
"2001-01-09",27.115248,27.343876,27.069523,27.115248,64400,9.98739
"2001-01-10",27.115248,27.115248,26.79517,26.886621,278600,9.903174
"2001-01-11",26.840895,26.840895,26.429365,26.47509,269000,9.751593
"2001-01-12",26.292189,26.520817,26.246464,26.246464,220800,9.667385
"2001-01-16",26.703718,26.703718,26.06356,26.155012,188300,9.6337
"2001-01-17",26.155012,26.155012,25.834934,25.926384,284500,9.549491
"2001-01-18",26.109287,26.47509,25.743483,26.47509,609500,9.751593
"2001-01-19",26.38364,26.703718,26.337914,26.429365,133900,9.734756
"2001-01-22",26.429365,26.612268,26.292189,26.612268,466300,9.802119
"2001-01-23",26.520817,26.657993,26.520817,26.566542,139500,9.785281
"2001-01-24",26.566542,26.566542,26.337914,26.520817,98500,9.768438
"2001-01-25",26.520817,26.520817,26.337914,26.47509,128200,9.751593
"2001-01-26",26.47509,26.47509,26.38364,26.47509,222900,9.751593
"2001-01-29",26.476919,26.557398,26.418392,26.557398,271700,9.781912
"2001-01-30",26.535448,26.630558,26.528133,26.623241,616700,9.806164
"2001-01-31",26.630558,26.996363,26.535448,26.630558,277200,9.80886
"2001-02-01",26.250122,26.557398,26.250122,26.520817,236500,9.966796
"2001-02-02",26.411076,27.069523,26.411076,26.857357,282600,10.093275
"2001-02-05",26.842724,26.842724,26.637875,26.703718,341700,10.035537
"2001-02-06",26.703718,26.703718,26.418392,26.572029,166500,9.986044
"2001-02-07",26.484236,26.740299,26.484236,26.601294,441600,9.997045
"2001-02-08",26.58666,26.601294,26.337914,26.528133,96900,9.96955
"2001-02-09",26.557398,26.623241,26.34523,26.411076,104600,9.925556
"2001-02-12",26.520817,26.557398,26.337914,26.396442,115600,9.920057
"2001-02-13",26.374495,26.484236,26.337914,26.374495,271700,9.911812
"2001-02-14",26.374495,26.454971,26.337914,26.425707,1797100,9.931059
"2001-02-15",26.425707,26.425707,26.162329,26.337914,922000,9.898062
"2001-02-16",26.411076,26.557398,26.294018,26.337914,709900,9.898062
"2001-02-20",26.411076,26.411076,26.118431,26.301334,1575800,9.884315
"2001-02-21",26.228172,26.301334,25.716047,25.986742,232600,9.766086
"2001-02-22",25.825788,25.898949,25.218554,25.291714,360400,9.504887
"2001-02-23",25.291714,26.528133,25.291714,25.716047,1236500,9.664356
"2001-02-26",25.716047,26.77688,25.716047,26.667139,394300,10.021789
"2001-02-27",26.667139,27.171947,26.645189,27.11342,1108200,10.189511
"2001-02-28",27.11342,28.057196,27.106104,27.662127,544500,10.395713
"2001-03-01",27.662127,27.910873,27.435328,27.764551,246200,10.434208
"2001-03-02",27.910873,28.679062,27.910873,28.203516,633400,10.599174
"2001-03-05",28.196201,28.422998,28.196201,28.357155,589900,10.656913
"2001-03-06",28.357155,28.386419,28.174252,28.196201,274900,10.596429
"2001-03-07",28.196201,28.196201,27.72797,27.801132,913600,10.447957
"2001-03-08",27.801132,27.801132,27.713339,27.801132,99400,10.447957
"2001-03-09",27.801132,27.801132,27.435328,27.545069,220900,10.351724
"2001-03-12",27.588964,27.618229,27.215845,27.369482,175500,10.285738
"2001-03-13",27.362167,27.662127,27.362167,27.58165,132800,10.365472
"2001-03-14",27.406063,27.435328,27.054892,27.069523,284700,10.173011
"2001-03-15",26.740299,27.054892,26.484236,26.740299,164500,10.04928
"2001-03-16",26.337914,26.703718,26.337914,26.623241,2934200,10.00529
"2001-03-19",26.630558,27.208529,26.593977,27.106104,2705900,10.186758
"2001-03-20",27.106104,27.691391,27.032942,27.047575,153300,10.164759
"2001-03-21",27.054892,27.215845,26.337914,26.389128,300500,9.917305
"2001-03-22",26.411076,26.484236,25.533144,25.972111,207500,9.76059
"2001-03-23",25.972111,26.630558,25.789207,25.825788,277900,9.705602
"2001-03-26",25.789207,26.557398,25.789207,26.557398,331300,9.980545
"2001-03-27",26.411076,26.557398,25.972111,26.520817,139900,9.966796
"2001-03-28",26.447655,26.447655,25.86237,25.913582,217000,9.738591
"2001-03-29",25.93553,26.337914,25.869684,26.228172,229500,9.856817
"2001-03-30",26.228172,26.703718,26.206224,26.213541,236300,9.85132
"2001-04-02",26.506184,26.886621,26.506184,26.85004,282900,10.090528
"2001-04-03",26.77688,26.798828,26.074535,26.118431,117000,9.815581
"2001-04-04",26.264753,26.5135,26.081852,26.213541,133300,9.85132
"2001-04-05",26.191593,26.740299,26.191593,26.623241,135400,10.00529
"2001-04-06",26.667139,26.667139,26.111116,26.155012,90600,9.829326
"2001-04-09",26.155012,26.484236,26.030638,26.045271,88900,9.788085
"2001-04-10",26.045271,26.191593,25.891632,25.913582,180700,9.738591
"2001-04-11",26.00869,26.030638,25.511196,25.591673,241700,9.617623
"2001-04-12",25.591673,25.591673,25.277082,25.445353,252300,9.56263
"2001-04-16",25.445353,25.606306,25.284397,25.284397,183800,9.502139
"2001-04-17",25.350243,25.679466,25.240501,25.606306,139600,9.623117
"2001-04-18",25.606306,25.825788,25.313662,25.774576,443500,9.686353
"2001-04-19",25.774576,25.825788,25.606306,25.789207,120700,9.691856
"2001-04-20",25.825788,25.972111,25.620937,25.701414,257100,9.658856
"2001-04-23",25.825788,25.884317,25.496565,25.664835,144300,9.645115
"2001-04-24",25.664835,25.825788,25.489248,25.679466,291400,9.65061
"2001-04-25",25.752626,25.877001,25.620937,25.716047,72600,9.664356
"2001-04-26",25.723364,26.169643,25.723364,26.052588,248200,9.790836
"2001-04-27",26.374495,26.85004,26.250122,26.740299,545800,10.04928
"2001-04-30",26.77688,26.923201,26.696404,26.864672,81200,10.096027
"2001-05-01",26.871988,27.040258,26.740299,27.018311,168900,10.153761
"2001-05-02",27.032942,27.069523,26.886621,27.069523,269600,10.173011
"2001-05-03",26.842724,26.996363,26.667139,26.893936,517900,10.308863
"2001-05-04",26.703718,26.835409,26.396442,26.732983,217700,10.247165
"2001-05-07",26.630558,26.769564,26.542765,26.630558,246400,10.207906
"2001-05-08",26.667139,26.667139,26.264753,26.5135,263600,10.163037
"2001-05-09",26.447655,26.447655,26.279387,26.359863,105000,10.104143
"2001-05-10",26.374495,26.447655,26.337914,26.381811,69200,10.11256
"2001-05-11",26.337914,26.374495,26.228172,26.308649,57100,10.084512
"2001-05-14",26.323282,26.337914,26.162329,26.337914,94800,10.095728
"2001-05-15",26.337914,26.5135,26.257437,26.411076,102100,10.123769
"2001-05-16",26.411076,26.75493,26.411076,26.75493,207100,10.255579
"2001-05-17",26.77688,26.85004,26.60861,26.798828,127200,10.272403
"2001-05-18",26.77688,26.77688,26.542765,26.652506,243900,10.216316
"2001-05-21",26.593977,26.630558,26.403759,26.5135,251300,10.163037
"2001-05-22",26.58666,27.069523,26.550081,26.85004,334400,10.292034
"2001-05-23",26.879305,27.325586,26.747616,27.201212,226800,10.426643
"2001-05-24",27.201212,27.479223,27.142683,27.457275,319200,10.524797
"2001-05-25",27.435328,27.435328,27.069523,27.252426,294000,10.446276
"2001-05-29",27.325586,27.691391,27.252426,27.552385,181400,10.561255
"2001-05-30",27.552385,27.552385,27.362167,27.362167,111700,10.488343
"2001-05-31",27.362167,27.574333,27.354851,27.435328,259700,10.516386
"2001-06-01",27.435328,27.435328,27.398746,27.435328,95600,10.516386
"2001-06-04",27.420694,27.801132,27.325586,27.801132,417900,10.656599
"2001-06-05",27.793816,28.166937,27.793816,28.137672,165000,10.785606
"2001-06-06",28.137672,28.269361,28.137672,28.218149,75500,10.816449
"2001-06-07",28.188885,28.240097,28.130356,28.240097,143300,10.824863
"2001-06-08",28.203516,28.240097,28.020615,28.020615,104700,10.740734
"2001-06-11",27.947454,28.071827,27.793816,28.035246,243600,10.746345
"2001-06-12",28.035246,28.386419,27.984034,28.247414,496500,10.82767
"2001-06-13",28.313257,28.313257,28.020615,28.144987,261300,10.788407
"2001-06-14",28.166937,28.166937,27.866976,28.049879,239900,10.751954
"2001-06-15",27.940138,28.152304,27.910873,28.013298,2769300,10.737932
"2001-06-18",27.99135,28.898544,27.99135,28.766855,2943800,11.026782
"2001-06-19",28.971706,28.971706,28.752224,28.847332,225900,11.057629
"2001-06-20",28.898544,29.191189,28.825384,29.008286,237100,11.119322
"2001-06-21",29.044867,29.227768,28.971706,29.081448,195900,11.147368
"2001-06-22",29.081448,29.118027,28.861965,28.89123,256500,11.07445
"2001-06-25",28.898544,29.008286,28.744907,28.774172,86400,11.029582
"2001-06-26",28.898544,29.008286,28.774172,28.883913,83600,11.071648
"2001-06-27",28.840015,28.89123,28.53274,28.72296,196000,11.009956
"2001-06-28",28.715643,29.13266,28.715643,28.825384,294200,11.049213
"2001-06-29",28.825384,29.213137,28.459579,28.562004,435700,10.948256
"2001-07-02",28.459579,28.935125,28.313257,28.935125,228700,11.091279
"2001-07-03",29.008286,29.081448,28.986338,29.0595,100300,11.138953
"2001-07-05",29.044867,29.191189,28.927809,28.986338,65800,11.11091
"2001-07-06",29.044867,29.103395,28.715643,28.89123,91200,11.07445
"2001-07-09",28.971706,29.118027,28.496161,28.620533,208000,10.970685
"2001-07-10",28.642483,28.70101,28.53274,28.605902,88500,10.965086
"2001-07-11",28.598585,28.642483,28.459579,28.525425,150100,10.934233
"2001-07-12",28.554689,28.554689,28.422998,28.518108,92600,10.931432
"2001-07-13",28.53274,28.53274,28.430315,28.444948,242600,10.903387
"2001-07-16",28.444948,28.496161,28.174252,28.247414,123200,10.82767
"2001-07-17",28.166937,28.313257,28.137672,28.203516,123400,10.810837
"2001-07-18",27.910873,28.313257,27.910873,28.247414,189100,10.82767
"2001-07-19",28.313257,28.437632,28.23278,28.430315,135400,10.897778
"2001-07-20",28.459579,28.459579,28.276678,28.386419,107700,10.880957
"2001-07-23",28.386419,28.496161,28.071827,28.240097,107400,10.824863
"2001-07-24",28.276678,28.401051,27.947454,27.954769,211400,10.715492
"2001-07-25",27.954769,27.984034,27.72797,27.984034,185000,10.726709
"2001-07-26",27.947454,28.349838,27.89624,28.181568,282700,10.802431
"2001-07-27",28.357155,28.518108,28.130356,28.459579,177700,10.909
"2001-07-30",28.503477,28.562004,28.130356,28.166937,89500,10.796822
"2001-07-31",28.020615,28.371786,28.020615,28.269361,174000,10.836082
"2001-08-01",28.349838,28.488844,28.23278,28.364471,179900,10.87254
"2001-08-02",28.093775,28.422998,27.984034,28.393734,210700,11.11495
"2001-08-03",28.393734,28.53274,28.276678,28.371786,193400,11.106363
"2001-08-06",28.496161,28.613218,28.488844,28.591269,300200,11.192279
"2001-08-07",28.679062,28.752224,28.679062,28.752224,191800,11.255291
"2001-08-08",28.752224,28.935125,28.642483,28.905861,235000,11.315429
"2001-08-09",28.935125,29.008286,28.715643,29.008286,150600,11.355524
"2001-08-10",29.008286,29.264349,28.971706,29.264349,430500,11.455766
"2001-08-13",29.264349,29.264349,28.935125,29.264349,585500,11.455766
"2001-08-14",29.264349,29.703314,29.227768,29.61552,533800,11.593238
"2001-08-15",29.622837,29.739895,29.410671,29.666735,336800,11.613281
"2001-08-16",29.644785,29.666735,29.337509,29.410671,133200,11.513042
"2001-08-17",29.410671,29.813055,29.235085,29.761843,120100,11.650511
"2001-08-20",29.630154,29.776476,29.417988,29.776476,163500,11.656242
"2001-08-21",29.849636,30.288601,29.535044,29.952061,277700,11.724977
"2001-08-22",29.995958,30.039854,29.871584,29.995958,323200,11.742159
"2001-08-23",29.995958,30.434923,29.966694,30.434923,528300,11.913997
"2001-08-24",30.434923,30.434923,29.922796,29.97401,476700,11.733563
"2001-08-27",30.120331,30.434923,29.995958,30.252022,226200,11.842392
"2001-08-28",30.27397,30.288601,30.142281,30.215441,360800,11.828073
"2001-08-29",30.1057,30.149595,29.922796,30.069118,508600,11.770796
"2001-08-30",30.061802,30.281286,29.30093,29.535044,229800,11.561735
"2001-08-31",29.681366,29.783791,29.337509,29.344826,114400,11.487267
"2001-09-04",29.176556,29.278982,29.044867,29.264349,159800,11.455766
"2001-09-05",29.410671,29.439936,29.074131,29.118027,219000,11.398487
"2001-09-06",29.13266,29.264349,28.883913,28.883913,304400,11.306839
"2001-09-07",28.883913,28.883913,28.071827,28.071827,281500,10.988944
"2001-09-10",27.984034,27.984034,27.801132,27.801132,461500,10.882977
"2001-09-17",29.813055,29.995958,28.459579,28.664431,6141000,11.22092
"2001-09-18",29.154608,29.30093,28.386419,28.825384,4856900,11.283932
"2001-09-19",29.081448,29.410671,28.093775,28.583954,768400,11.189415
"2001-09-20",28.583954,28.679062,27.72797,28.349838,855800,11.097771
"2001-09-21",28.020615,28.269361,27.398746,27.764551,1014500,10.868655
"2001-09-24",28.093775,28.642483,27.742603,27.874292,515400,10.911617
"2001-09-25",28.042562,28.313257,27.764551,28.203516,922900,11.04049
"2001-09-26",28.349838,28.971706,28.093775,28.459579,472900,11.140726
"2001-09-27",28.679062,28.898544,28.510792,28.810751,545800,11.278199
"2001-09-28",28.971706,29.293613,28.861965,29.044867,443300,11.369844
"2001-10-01",29.227768,29.227768,28.459579,28.605902,708900,11.19801
"2001-10-02",28.605902,28.752224,27.976717,28.262045,379500,11.063407
"2001-10-03",28.166937,28.166937,27.41338,27.508488,2085000,10.768421
"2001-10-04",27.58165,28.861965,27.58165,27.99135,544700,10.95744
"2001-10-05",27.845028,28.020615,27.215845,27.947454,255900,10.940255
"2001-10-08",27.837711,27.998667,27.58165,27.691391,232800,10.840015
"2001-10-09",27.764551,28.152304,27.662127,28.115723,337700,11.006128
"2001-10-10",28.057196,28.262045,27.325586,28.130356,272800,11.011858
"2001-10-11",27.947454,28.825384,27.947454,28.708326,454100,11.238107
"2001-10-12",28.861965,28.861965,28.181568,28.32789,325300,11.089176
"2001-10-15",28.488844,28.788803,28.349838,28.730274,172000,11.246699
"2001-10-16",28.605902,28.715643,28.444948,28.569321,286600,11.183686
"2001-10-17",28.130356,28.276678,27.984034,28.240097,452700,11.054815
"2001-10-18",28.225466,28.23278,27.764551,27.903557,547900,10.923072
"2001-10-19",28.020615,28.752224,28.020615,28.752224,900200,11.255291
"2001-10-22",28.752224,28.752224,27.910873,28.349838,616700,11.097771
"2001-10-23",28.715643,28.854649,28.605902,28.715643,704900,11.240968
"2001-10-24",28.715643,28.715643,28.349838,28.386419,947400,11.112092
"2001-10-25",28.569321,28.752224,28.459579,28.583954,354400,11.189415
"2001-10-26",28.737591,28.752224,28.422998,28.642483,630200,11.212328
"2001-10-29",28.752224,28.898544,28.562004,28.671745,344200,11.223781
"2001-10-30",28.715643,28.752224,28.386419,28.525425,378600,11.166504
"2001-10-31",28.605902,28.781488,28.459579,28.679062,661500,11.226648
"2001-11-01",28.825384,28.898544,28.569321,28.898544,829600,11.579041
"2001-11-02",28.861965,29.044867,28.679062,28.898544,349500,11.579041
"2001-11-05",28.825384,29.37409,28.562004,28.810751,257200,11.543861
"2001-11-06",28.957073,29.410671,28.920494,29.410671,326100,11.784237
"2001-11-07",29.556993,29.600889,29.154608,29.564308,323500,11.845796
"2001-11-08",29.739895,29.776476,29.410671,29.666735,430700,11.886836
"2001-11-09",29.630154,29.63747,29.227768,29.461884,336300,11.804758
"2001-11-12",29.483831,29.483831,29.0595,29.322878,440600,11.74906
"2001-11-13",29.322878,29.593573,29.286297,29.505779,222600,11.822351
"2001-11-14",29.61552,29.61552,29.154608,29.271666,387500,11.728541
"2001-11-15",29.271666,29.688683,29.271666,29.688683,625500,11.895633
