"","Open","High","Low","Close","Volume"
"2001-01-02",10.567341,10.658792,10.110086,10.155811,449000
"2001-01-03",10.098041,10.418119,10.052316,10.189493,272200
"2001-01-04",10.247263,10.292988,10.018635,10.155811,220000
"2001-01-05",10.374833,10.374833,10.00903,10.054755,74400
"2001-01-08",10.10048,10.237656,9.871852,10.054755,159300
"2001-01-09",9.98739,10.216018,9.941665,9.98739,64400
"2001-01-10",10.131801,10.131801,9.811723,9.903174,278600
"2001-01-11",10.117398,10.117398,9.705868,9.751593,269000
"2001-01-12",9.71311,9.941738,9.667385,9.667385,220800
"2001-01-16",10.182406,10.182406,9.542248,9.6337,188300
"2001-01-17",9.778119,9.778119,9.458041,9.549491,284500
"2001-01-18",9.38579,9.751593,9.019986,9.751593,609500
"2001-01-19",9.689031,10.009109,9.643305,9.734756,133900
"2001-01-22",9.619216,9.802119,9.48204,9.802119,466300
"2001-01-23",9.739556,9.876732,9.739556,9.785281,139500
"2001-01-24",9.814163,9.814163,9.585535,9.768438,98500
"2001-01-25",9.79732,9.79732,9.614417,9.751593,128200
"2001-01-26",9.751593,9.751593,9.660143,9.751593,222900
"2001-01-29",9.701433,9.781912,9.642906,9.781912,271700
"2001-01-30",9.718371,9.813481,9.711056,9.806164,616700
"2001-01-31",9.80886,10.174665,9.71375,9.80886,277200
"2001-02-01",9.696101,10.003377,9.696101,9.966796,236500
"2001-02-02",9.646994,10.305441,9.646994,10.093275,282600
"2001-02-05",10.174543,10.174543,9.969694,10.035537,341700
"2001-02-06",10.117733,10.117733,9.832407,9.986044,166500
"2001-02-07",9.879987,10.13605,9.879987,9.997045,441600
"2001-02-08",10.028077,10.042711,9.779331,9.96955,96900
"2001-02-09",10.071878,10.137721,9.85971,9.925556,104600
"2001-02-12",10.044432,10.081013,9.861529,9.920057,115600
"2001-02-13",9.911812,10.021553,9.875231,9.911812,271700
"2001-02-14",9.879847,9.960323,9.843266,9.931059,1797100
"2001-02-15",9.985855,9.985855,9.722477,9.898062,922000
"2001-02-16",9.971224,10.117546,9.854166,9.898062,709900
"2001-02-20",9.994057,9.994057,9.701412,9.884315,1575800
"2001-02-21",10.007516,10.080678,9.495391,9.766086,232600
"2001-02-22",10.038961,10.112122,9.431727,9.504887,360400
"2001-02-23",9.240023,10.476442,9.240023,9.664356,1236500
"2001-02-26",9.070697,10.13153,9.070697,10.021789,394300
"2001-02-27",9.74323,10.248038,9.72128,10.189511,1108200
"2001-02-28",9.847006,10.790782,9.83969,10.395713,544500
"2001-03-01",10.331784,10.58053,10.104985,10.434208,246200
"2001-03-02",10.306531,11.07472,10.306531,10.599174,633400
"2001-03-05",10.495959,10.722756,10.495959,10.656913,589900
"2001-03-06",10.757383,10.786647,10.57448,10.596429,274900
"2001-03-07",10.843026,10.843026,10.374795,10.447957,913600
"2001-03-08",10.447957,10.447957,10.360164,10.447957,99400
"2001-03-09",10.607787,10.607787,10.241983,10.351724,220900
"2001-03-12",10.50522,10.534485,10.132101,10.285738,175500
"2001-03-13",10.145989,10.445949,10.145989,10.365472,132800
"2001-03-14",10.509551,10.538816,10.15838,10.173011,284700
"2001-03-15",10.04928,10.363873,9.793217,10.04928,164500
"2001-03-16",9.719963,10.085767,9.719963,10.00529,2934200
