"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"2001-01-02",2.5625,2.5625,2.3125,2.3125,703000,1.870525
"2001-01-03",2.375,2.8125,2.3125,2.8125,1685100,2.274962
"2001-01-04",3.0625,3.375,2.9375,3.25,3339400,2.628846
"2001-01-05",3.25,3.3125,3,3.25,1200900,2.628846
"2001-01-08",3.25,3.3125,3.125,3.25,849200,2.628846
"2001-01-09",3.25,3.625,3.1875,3.5625,1447100,2.881619
"2001-01-10",3.5625,3.8125,3.375,3.8125,1467600,3.083838
"2001-01-11",3.6875,3.9375,3.5625,3.9375,1566600,3.184948
"2001-01-12",3.8125,3.9375,3.625,3.8125,733500,3.083838
"2001-01-16",3.6875,3.875,3.6875,3.8125,381900,3.083838
"2001-01-17",3.8125,3.9375,3.75,3.8125,807500,3.083838
"2001-01-18",3.875,3.9375,3.6875,3.875,1458600,3.134393
"2001-01-19",4.0625,4.0625,3.5625,3.6875,4651500,2.982729
"2001-01-22",3.6875,4.375,3.5625,4.375,2872000,3.538831
"2001-01-23",4.3125,4.9375,4.125,4.875,2459000,3.943269
"2001-01-24",4.875,5.4375,4.75,5.1875,4090100,4.196042
"2001-01-25",5.1875,5.1875,4.6875,4.8125,3549800,3.892714
"2001-01-26",4.75,4.8125,4.0625,4.125,3557500,3.336612
"2001-01-29",4.12,4.54,4.08,4.5,1880400,3.639939
"2001-01-30",4.6,4.85,4.41,4.78,1956000,3.866426
"2001-01-31",4.88,5.39,4.85,5.28,4315900,4.270864
"2001-02-01",5.18,5.94,4.94,5.09,1367000,4.117177
"2001-02-02",5,5.25,4.6,4.7,1390700,3.801715
"2001-02-05",4.58,4.97,4.41,4.8,755800,3.882603
"2001-02-06",4.89,4.95,4.55,4.58,671100,3.70465
"2001-02-07",4.58,4.58,4.15,4.36,1952300,3.526697
"2001-02-08",4.36,4.47,4.25,4.29,761300,3.470077
"2001-02-09",4.24,4.25,4.05,4.2,1081400,3.397277
"2001-02-12",4.15,4.94,4.15,4.86,1647600,3.931135
"2001-02-13",5.05,5.2,4.95,5.02,2611700,4.060556
"2001-02-14",5,5,4.61,4.9,746500,3.96349
"2001-02-15",4.85,5.26,4.85,5.23,2118600,4.23042
"2001-02-16",4.95,5,4.85,4.98,847900,4.0282
"2001-02-20",4.75,4.98,4.45,4.5,1210900,3.639939
