"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume","WEC.Adjusted"
"2001-01-02",11.28125,11.28125,10.96875,11,815000,4.551393
"2001-01-03",10.9375,11.28125,10.75,10.84375,1879600,4.486743
"2001-01-04",10.71875,10.75,9.9375,10.21875,1195200,4.228141
"2001-01-05",10.21875,10.3125,9.96875,10.0625,866400,4.16349
"2001-01-08",10.03125,10.21875,9.96875,10.125,732800,4.18935
"2001-01-09",10.09375,10.15625,10,10.09375,951000,4.176421
"2001-01-10",10.03125,10.15625,9.90625,10.125,1181600,4.18935
"2001-01-11",10.09375,10.09375,9.75,9.78125,533400,4.047121
"2001-01-12",9.75,10,9.6875,10,939000,4.13763
"2001-01-16",9.9375,9.9375,9.5625,9.78125,534600,4.047121
"2001-01-17",9.65625,9.8125,9.59375,9.71875,541000,4.021257
"2001-01-18",9.84375,9.9375,9.75,9.875,387600,4.085911
"2001-01-19",9.90625,10,9.65625,9.90625,572400,4.09884
"2001-01-22",9.90625,10.09375,9.8125,9.9375,771200,4.111769
"2001-01-23",10.0625,10.15625,9.84375,9.96875,949400,4.1247
"2001-01-24",9.96875,10.21875,9.9375,10.125,641400,4.18935
"2001-01-25",10.15625,10.21875,9.9375,10,628400,4.13763
"2001-01-26",9.90625,10.09375,9.65625,10.0625,576400,4.16349
"2001-01-29",9.95,10.15,9.95,10.005,546000,4.139699
"2001-01-30",10.12,10.2,9.885,9.995,500600,4.13556
"2001-01-31",9.995,10.07,9.875,10.05,464200,4.158318
"2001-02-01",9.975,10,9.87,9.945,305200,4.114873
"2001-02-02",9.84,10.125,9.84,9.93,364800,4.108666
"2001-02-05",9.88,10.1,9.875,9.95,904400,4.116941
"2001-02-06",9.95,10.1,9.92,10.025,525600,4.147974
"2001-02-07",10.05,10.4,9.985,10.24,878000,4.236932
"2001-02-08",10.19,10.4,10.165,10.25,663800,4.24107
"2001-02-09",10.25,10.475,10.25,10.475,1567000,4.334167
"2001-02-12",10.375,10.47,10.125,10.455,4940000,4.410093
"2001-02-13",10.405,10.5,10.25,10.455,487000,4.410093
"2001-02-14",10.425,10.56,10.25,10.5,664200,4.429075
"2001-02-15",10.4,10.475,10.34,10.395,449400,4.384786
"2001-02-16",10.41,10.65,10.41,10.64,530400,4.48813
"2001-02-20",10.625,10.725,10.55,10.675,345400,4.502895
"2001-02-21",10.65,10.925,10.65,10.85,564800,4.576712
"2001-02-22",10.84,11.125,10.78,10.955,1021800,4.621003
"2001-02-23",10.925,11.09,10.61,10.735,1105800,4.528203
"2001-02-26",10.785,11,10.73,10.875,507800,4.587257
"2001-02-27",10.975,10.995,10.86,10.9,404000,4.597802
"2001-02-28",10.975,11.085,10.885,11.06,601200,4.665291
"2001-03-01",11,11.075,10.85,10.91,672600,4.602022
"2001-03-02",10.95,10.955,10.765,10.94,587600,4.614675
"2001-03-05",10.94,10.95,10.755,10.92,256000,4.606238
"2001-03-06",10.8,10.865,10.705,10.775,682800,4.545074
"2001-03-07",10.75,10.995,10.725,10.825,642800,4.566168
"2001-03-08",10.8,11,10.745,10.965,432200,4.625222
"2001-03-09",10.9,11.25,10.855,11.23,893000,4.737001
"2001-03-12",11.135,11.21,11.035,11.075,436800,4.671621
"2001-03-13",11.075,11.205,11.03,11.195,779200,4.722238
"2001-03-14",11,11.07,10.775,10.8,1266000,4.555621
"2001-03-15",10.925,10.975,10.8,10.85,425800,4.576712
"2001-03-16",10.85,10.99,10.8,10.905,618800,4.599911
"2001-03-19",10.97,10.97,10.675,10.75,512800,4.534532
"2001-03-20",10.7,10.85,10.56,10.595,577200,4.469149
"2001-03-21",10.65,10.78,10.57,10.67,828400,4.500786
"2001-03-22",10.65,10.65,10.25,10.395,1651200,4.384786
"2001-03-23",10.385,10.45,10.285,10.38,966000,4.378458
"2001-03-26",10.38,10.74,10.38,10.65,480800,4.492348
"2001-03-27",10.6,10.78,10.575,10.665,905800,4.498674
"2001-03-28",10.575,10.68,10.43,10.52,817000,4.437513
"2001-03-29",10.55,10.695,10.4,10.66,845800,4.496566
"2001-03-30",10.67,10.895,10.64,10.79,850800,4.551404
"2001-04-02",10.85,10.92,10.68,10.82,717800,4.564058
"2001-04-03",10.695,10.845,10.425,10.72,529000,4.521876
"2001-04-04",10.74,10.865,10.665,10.675,516600,4.502895
"2001-04-05",10.75,10.75,10.45,10.68,495400,4.505002
"2001-04-06",10.555,10.745,10.05,10.49,890600,4.424857
"2001-04-09",10.4,10.86,10.4,10.725,683000,4.523983
"2001-04-10",10.72,11,10.72,10.95,462200,4.618895
"2001-04-11",10.85,10.87,10.6,10.73,476200,4.526093
"2001-04-12",10.7,10.705,10.54,10.645,605600,4.490239
"2001-04-16",10.52,10.745,10.52,10.66,349400,4.496566
"2001-04-17",10.745,10.85,10.625,10.82,383000,4.564058
"2001-04-18",10.75,10.85,10.575,10.725,697400,4.523983
"2001-04-19",10.605,10.7,10.5,10.525,560600,4.43962
"2001-04-20",10.45,10.6,10.375,10.5,370400,4.429075
"2001-04-23",10.4,10.625,10.4,10.52,331600,4.437513
"2001-04-24",10.5,10.595,10.46,10.58,410600,4.462819
"2001-04-25",10.58,10.65,10.495,10.585,503600,4.464931
"2001-04-26",10.585,10.77,10.53,10.65,315800,4.492348
"2001-04-27",10.675,10.75,10.56,10.75,355200,4.534532
"2001-04-30",10.7,11,10.645,11,514600,4.639985
"2001-05-01",10.875,10.975,10.75,10.815,489200,4.561947
"2001-05-02",10.745,10.87,10.635,10.725,568200,4.523983
"2001-05-03",10.64,10.705,10.4,10.57,417600,4.458601
"2001-05-04",10.575,10.92,10.575,10.92,453400,4.606238
"2001-05-07",10.8,10.89,10.795,10.8,253000,4.555621
"2001-05-08",10.805,10.805,10.655,10.745,277600,4.53242
"2001-05-09",10.7,10.875,10.7,10.875,4210600,4.587257
"2001-05-10",10.775,10.975,10.7,10.875,1271200,4.673201
"2001-05-11",10.875,10.965,10.765,10.95,354200,4.70543
"2001-05-14",10.95,11.045,10.95,11.045,492800,4.746252
"2001-05-15",11.015,11.075,10.985,11.075,483600,4.759145
"2001-05-16",11.05,11.15,11.01,11.1,556400,4.769889
"2001-05-17",11.1,11.21,11.075,11.21,495200,4.817158
"2001-05-18",11.21,11.35,11.15,11.345,429000,4.875171
"2001-05-21",11.345,11.505,11.25,11.5,1110400,4.941776
"2001-05-22",11.5,11.6,11.435,11.45,398400,4.920289
"2001-05-23",11.47,11.62,11.425,11.56,503200,4.96756
"2001-05-24",11.56,11.62,11.49,11.53,604200,4.954668
"2001-05-25",11.62,11.625,11.325,11.455,845000,4.922438
"2001-05-29",11.49,11.525,11.4,11.5,479600,4.941776
"2001-05-30",11.5,11.625,11.5,11.57,923000,4.971859
"2001-05-31",11.57,11.69,11.56,11.65,926800,5.006233
"2001-06-01",11.65,11.65,11.525,11.635,548000,4.999788
"2001-06-04",11.615,11.785,11.615,11.775,614400,5.059951
"2001-06-05",11.775,11.85,11.7,11.76,694000,5.053501
"2001-06-06",11.87,11.87,11.58,11.605,682800,4.986896
"2001-06-07",11.55,11.625,11.46,11.55,366800,4.963264
"2001-06-08",11.6,11.71,11.55,11.63,385200,4.997641
"2001-06-11",11.6,11.8,11.6,11.745,719200,5.047059
"2001-06-12",11.7,11.945,11.7,11.875,348000,5.102921
"2001-06-13",11.92,11.94,11.755,11.8,504800,5.070692
"2001-06-14",11.75,11.75,11.555,11.615,489200,4.991196
"2001-06-15",11.565,11.76,11.56,11.58,1039200,4.976153
"2001-06-18",11.65,11.825,11.585,11.675,439800,5.016977
"2001-06-19",11.67,11.74,11.625,11.7,318200,5.027717
"2001-06-20",11.705,11.87,11.6,11.87,558200,5.100772
"2001-06-21",11.87,11.87,11.555,11.635,549200,4.999788
"2001-06-22",11.6,11.87,11.57,11.745,677000,5.047059
"2001-06-25",11.65,11.8,11.645,11.7,460000,5.027717
"2001-06-26",11.7,11.87,11.555,11.75,458800,5.049206
"2001-06-27",11.625,11.945,11.625,11.925,355000,5.12441
"2001-06-28",11.875,12.02,11.875,11.975,524400,5.145893
"2001-06-29",11.875,11.98,11.8,11.885,1515200,5.107219
"2001-07-02",11.885,12.1,11.85,11.96,560000,5.139447
"2001-07-03",11.91,12.225,11.88,12.05,233600,5.178122
"2001-07-05",12.025,12.225,12,12.17,539200,5.229688
"2001-07-06",12.15,12.31,12.1,12.165,905200,5.22754
"2001-07-09",12.165,12.28,12.1,12.185,790800,5.236134
"2001-07-10",12.085,12.17,12.05,12.105,1012600,5.201756
"2001-07-11",12.105,12.27,12.005,12.01,1713800,5.16093
"2001-07-12",12,12.06,11.75,11.87,724400,5.100772
"2001-07-13",11.85,11.945,11.625,11.7,1052200,5.027717
"2001-07-16",11.7,11.725,11.515,11.515,688600,4.948222
"2001-07-17",11.515,11.515,11.35,11.475,603600,4.931033
"2001-07-18",11.45,11.94,11.32,11.35,331000,4.877318
"2001-07-19",11.315,11.475,11.165,11.24,437600,4.830049
"2001-07-20",11.265,11.265,11.05,11.095,812600,4.767738
"2001-07-23",11.025,11.04,10.705,10.765,614000,4.625933
"2001-07-24",10.77,10.77,10.405,10.56,422000,4.537839
"2001-07-25",10.45,10.785,10.405,10.775,398600,4.630228
"2001-07-26",10.65,10.775,10.625,10.77,909200,4.628079
"2001-07-27",10.77,10.865,10.605,10.82,535600,4.649567
"2001-07-30",10.7,10.985,10.5,10.94,376200,4.701132
"2001-07-31",10.88,11.175,10.805,11.07,548200,4.756996
"2001-08-01",11,11.35,11,11.27,651400,4.842941
"2001-08-02",11.27,11.555,11.27,11.515,663800,4.948222
"2001-08-03",11.515,11.705,11.325,11.68,497400,5.019124
"2001-08-06",11.65,11.65,11.31,11.465,712800,4.926736
"2001-08-07",11.47,11.7,11.395,11.615,577200,4.991196
"2001-08-08",11.525,11.585,11.375,11.395,491600,4.896657
"2001-08-09",11.395,11.53,11.395,11.515,407800,4.948222
"2001-08-10",11.45,11.58,11.295,11.52,8658400,5.037875
"2001-08-13",11.545,11.57,11.4,11.475,597000,5.018193
"2001-08-14",11.36,11.6,11.36,11.525,320800,5.040059
"2001-08-15",11.425,11.55,11.3,11.48,440200,5.020377
"2001-08-16",11.425,11.575,11.375,11.545,483200,5.048804
"2001-08-17",11.5,11.66,11.45,11.645,320000,5.092536
"2001-08-20",11.675,11.8,11.6,11.745,295400,5.136269
"2001-08-21",11.65,11.825,11.58,11.71,268200,5.120963
"2001-08-22",11.625,11.825,11.525,11.77,328800,5.147199
"2001-08-23",11.75,11.925,11.725,11.825,226000,5.171254
"2001-08-24",11.875,11.895,11.7,11.8,269600,5.160319
"2001-08-27",11.805,11.9,11.805,11.83,501200,5.17344
"2001-08-28",11.75,11.975,11.75,11.905,506400,5.206236
"2001-08-29",11.95,11.995,11.875,11.955,182600,5.228104
"2001-08-30",11.88,12,11.88,11.945,498200,5.223731
"2001-08-31",11.945,12.05,11.85,12.05,636200,5.269648
"2001-09-04",12.05,12.18,12,12.09,607400,5.287142
"2001-09-05",12.09,12.135,12.025,12.12,479800,5.30026
"2001-09-06",12.11,12.25,12.11,12.175,655400,5.324312
"2001-09-07",12.125,12.23,12.075,12.115,320800,5.298074
"2001-09-10",12.075,12.195,12.055,12.175,734800,5.324312
"2001-09-17",12.175,12.25,11.995,12.02,911800,5.256528
"2001-09-18",12.02,12.02,11.7,11.8,296000,5.160319
"2001-09-19",11.8,11.8,11.415,11.495,378800,5.026939
"2001-09-20",11.5,11.5,11.225,11.3,953000,4.94166
"2001-09-21",11,11.09,10.925,11.09,797600,4.849825
"2001-09-24",11.095,11.1,10.8,10.915,546800,4.773296
"2001-09-25",10.915,10.95,10.8,10.875,374400,4.755804
"2001-09-26",10.9,10.95,10.62,10.82,814600,4.73175
"2001-09-27",10.82,11.075,10.715,11.025,882600,4.821401
"2001-09-28",11.025,11.275,11.025,11.25,575200,4.919796
"2001-10-01",11.25,11.51,11.2,11.3,742200,4.94166
"2001-10-02",11.3,11.425,11.2,11.38,747600,4.976646
"2001-10-03",11.4,11.495,11.3,11.405,1012800,4.987581
"2001-10-04",11.515,11.845,11.38,11.755,1060000,5.140641
"2001-10-05",11.755,11.85,11.55,11.805,479400,5.162508
"2001-10-08",11.625,11.625,11.125,11.2,943200,4.89793
"2001-10-09",11.205,11.215,10.985,11.025,638200,4.821401
"2001-10-10",11.05,11.125,10.925,10.97,941800,4.797349
"2001-10-11",10.95,11.2,10.92,11.055,535600,4.834518
"2001-10-12",11.05,11.075,11,11.01,500400,4.814841
"2001-10-15",11,11.04,10.94,10.95,505800,4.788602
"2001-10-16",10.975,11.05,10.905,11,429400,4.81047
"2001-10-17",11,11.025,10.905,10.935,662200,4.782041
"2001-10-18",10.975,10.975,10.635,10.65,1115600,4.657406
"2001-10-19",10.65,10.875,10.65,10.825,510800,4.733938
"2001-10-22",10.775,10.84,10.655,10.74,446000,4.696766
"2001-10-23",10.625,10.77,10.575,10.7,511000,4.679273
"2001-10-24",10.6,10.625,10.25,10.46,603000,4.574318
"2001-10-25",10.45,10.85,10.45,10.665,1210600,4.663968
"2001-10-26",10.55,10.85,10.525,10.835,659200,4.738311
"2001-10-29",10.925,10.98,10.815,10.92,920400,4.77548
