"","WY.Open","WY.High","WY.Low","WY.Close","WY.Volume","WY.Adjusted"
"2001-01-02",50.5,51.9375,49.5625,50.125,1069500,27.972088
"2001-01-03",50.125,51.875,49.5,51.375,1359400,28.669655
"2001-01-04",51.375,54,51,52.9375,1334500,29.541595
"2001-01-05",53.875,53.9375,51,52.75,1066500,29.436964
"2001-01-08",52.875,53.8125,51,51.6875,1021300,28.84404
"2001-01-09",51.5,51.625,49.5,50,761500,27.902327
"2001-01-10",50,50.5,48.875,50.4375,1180500,28.146477
"2001-01-11",50.3125,50.4375,49,49.8125,790400,27.797705
"2001-01-12",49.9375,49.9375,48.1875,48.75,652800,27.204777
"2001-01-16",48.75,51,48.25,50.375,1447600,28.111588
"2001-01-17",50.375,50.375,49,49.75,740900,27.762814
"2001-01-18",49.5,50.125,48.625,49.1875,498800,27.448923
"2001-01-19",49.1875,49.25,47.625,47.6875,549900,26.611841
"2001-01-22",47.1875,49.1875,46.375,48.5,1012700,27.065241
"2001-01-23",48.75,49.375,48.1875,48.3125,543100,26.960625
"2001-01-24",48.3125,49,47.5625,47.9375,949400,26.751354
"2001-01-25",47.8125,50.4375,47.8125,50.0625,1262500,27.937208
"2001-01-26",50.0625,50.0625,48.5625,49.4375,927400,27.588427
"2001-01-29",48.25,50.23,48.200001,50.18,641400,28.002773
"2001-01-30",50.68,52.130001,49.700001,52.029999,742800,29.035152
"2001-01-31",51.880001,52.98,51.5,52.5,1448600,29.524439
"2001-02-01",52.5,53.59,51.84,53.189999,1336700,29.912472
"2001-02-02",52.849998,52.900002,51.849998,52.439999,1029900,29.490681
"2001-02-05",52.34,52.970001,52.25,52.889999,611400,29.743752
"2001-02-06",52.889999,53.25,52.419998,52.669998,855000,29.620024
"2001-02-07",52.68,53.25,52.16,53.040001,701900,29.828106
"2001-02-08",53.040001,53.450001,50.900002,52,787300,29.243235
"2001-02-09",52,52,50.200001,50.810001,1010600,28.574018
"2001-02-12",50.810001,51.5,49.759998,51.41,922500,28.911449
"2001-02-13",51.41,53.259998,51.02,52.720001,1189600,29.648149
"2001-02-14",52.200001,52.200001,50.75,51.400002,743600,28.905813
"2001-02-15",50.900002,53.93,50.799999,53.669998,978800,30.182396
"2001-02-16",53,53.82,52.41,52.959999,1232900,29.783121
"2001-02-20",52.970001,54.18,52.220001,52.549999,715700,29.552546
"2001-02-21",52.450001,53.099998,51.580002,51.799999,578700,29.130775
"2001-02-22",51.799999,53.150002,51.799999,52.169998,909700,29.338835
"2001-02-23",52,52.700001,50.759998,51.529999,711900,28.978916
"2001-02-26",51.779999,53.360001,51.779999,53.349998,706900,30.002445
"2001-02-27",52.5,53.900002,52.5,53.349998,851400,30.002445
"2001-02-28",53.549999,54.279999,53.16,53.740002,824300,30.221767
"2001-03-01",53.740002,53.950001,52.529999,53.07,659100,29.844971
"2001-03-02",53.080002,54.450001,53.080002,54.349998,779700,30.56481
"2001-03-05",54.349998,56.799999,54.349998,56.450001,1116900,31.745777
"2001-03-06",56.450001,56.540001,55.299999,55.549999,1110500,31.239641
"2001-03-07",55.450001,58,55.349998,57.75,1020500,32.476864
"2001-03-08",57.299999,57.869999,55.900002,57.32,2142300,32.235043
"2001-03-09",57.349998,58.43,56.650002,57.049999,942300,32.083218
"2001-03-12",57.049999,57.049999,53.200001,53.349998,1123300,30.002445
"2001-03-13",52.349998,52.869999,51.25,52.599998,1732800,29.580666
"2001-03-14",51.849998,51.849998,50.560001,50.939999,1373400,28.647133
"2001-03-15",50.939999,50.939999,49.900002,50.049999,1297100,28.14662
"2001-03-16",50,50.799999,49.700001,49.880001,1452900,28.051016
"2001-03-19",50,51.650002,50,50.5,787900,28.399685
"2001-03-20",50.950001,52.889999,50.049999,52.099998,1403300,29.299471
"2001-03-21",52.099998,52.099998,50.139999,50.32,1002800,28.298443
"2001-03-22",49.799999,50.25,47.02,49,1919300,27.55612
"2001-03-23",48.5,49.73,47.549999,49.32,1007800,27.736095
"2001-03-26",49.25,51.18,48.700001,50.34,822800,28.309708
"2001-03-27",50.34,52.419998,49.91,52.23,1218600,29.372589
"2001-03-28",51.5,51.98,49.700001,51.799999,985500,29.130775
"2001-03-29",51.549999,52.200001,49.400002,50.5,1588300,28.399685
"2001-03-30",50.5,51.68,50.169998,50.790001,1179000,28.562773
"2001-04-02",50.849998,52,49.470001,49.470001,1070100,27.820438
"2001-04-03",50.400002,50.400002,48.799999,49,940000,27.55612
"2001-04-04",49.099998,50.330002,49,49.419998,1134200,27.792324
"2001-04-05",50,50.200001,49.529999,49.959999,978800,28.096006
"2001-04-06",49.959999,49.959999,48,48,1144700,26.993757
"2001-04-09",48.25,50.25,48.25,49.43,1485300,27.797935
"2001-04-10",50.900002,52.610001,50.5,52.459999,1354200,29.501932
"2001-04-11",53.950001,53.950001,51.900002,52.450001,1293300,29.496311
"2001-04-12",52,52.900002,50.810001,51.650002,979100,29.046412
"2001-04-16",52.049999,53.049999,51.75,53,1074400,29.805603
"2001-04-17",52.5,52.549999,51.299999,51.599998,887400,29.018303
"2001-04-18",51.599998,54.700001,50.950001,53.860001,1283300,30.289246
"2001-04-19",53.610001,53.75,52.400002,53.299999,812700,29.974318
"2001-04-20",53.5,53.939999,52.009998,52.200001,884300,29.355711
"2001-04-23",52.200001,53.290001,52.200001,52.509998,1186800,29.530066
"2001-04-24",52.700001,53.709999,52.049999,52.389999,1404300,29.462555
"2001-04-25",52.5,52.599998,51.599998,52.110001,547800,29.305105
"2001-04-26",52,53.459999,51.599998,53.299999,980700,29.974318
"2001-04-27",53.150002,54.18,53.150002,54.009998,1388800,30.37361
"2001-04-30",55,57,55,56.529999,1564600,31.790775
"2001-05-01",56.540001,57.200001,55.450001,56.889999,1239000,31.993231
"2001-05-02",56.5,57.450001,55.619999,57.18,1194100,32.384003
"2001-05-03",57.139999,57.139999,55.400002,56.02,756200,31.727049
"2001-05-04",55.049999,57.150002,54.610001,57.099998,804600,32.338711
"2001-05-07",56.75,58,55.900002,56.349998,771700,31.913935
"2001-05-08",56.349998,57.099998,56.349998,56.369999,724300,31.925253
"2001-05-09",56.380001,57.049999,55.75,56.220001,902900,31.840321
"2001-05-10",56.27,57.290001,56.27,57.189999,740800,32.389668
"2001-05-11",57.200001,57.259998,55.75,56.77,976100,32.151806
"2001-05-14",56.400002,57.400002,56.150002,57.330002,640700,32.468967
"2001-05-15",57,58.169998,56.790001,57.990002,1150200,32.842762
"2001-05-16",57.990002,62,57.349998,61.52,2167300,34.841976
"2001-05-17",61.349998,63.5,61.209999,62.049999,2764500,35.142159
"2001-05-18",61.900002,62.490002,60.5,61.049999,1571100,34.575794
"2001-05-21",61.099998,61.25,59.75,60.91,1351000,34.496513
"2001-05-22",60,60.009998,58.950001,59.02,1038900,33.42609
"2001-05-23",59,59.799999,58.639999,58.84,1012400,33.324165
"2001-05-24",58.75,58.759998,56.5,57,1523900,32.282078
"2001-05-25",57,57.290001,56.349998,56.630001,815400,32.072521
"2001-05-29",56.599998,58.060001,56.599998,57.349998,1149800,32.480297
"2001-05-30",57.349998,58,56.700001,57.02,858700,32.2934
"2001-05-31",57.27,57.990002,56.900002,57.209999,959700,32.401009
"2001-06-01",57.27,57.849998,56.110001,57.669998,1132600,32.661526
"2001-06-04",57.700001,57.900002,57.400002,57.799999,585600,32.735138
"2001-06-05",57.299999,59.650002,56.369999,58.599998,1239500,33.188221
"2001-06-06",58.349998,59.419998,58.080002,58.360001,981800,33.052307
"2001-06-07",58.349998,59.060001,58.349998,58.849998,618200,33.329803
"2001-06-08",58.400002,58.700001,57.849998,57.93,611200,32.808777
"2001-06-11",57.849998,57.950001,56.759998,56.990002,633000,32.276402
"2001-06-12",56.549999,56.650002,55.599998,55.799999,1039100,31.602449
"2001-06-13",55.25,56.549999,55.25,55.950001,1087300,31.687393
"2001-06-14",55.950001,55.950001,54.299999,54.490002,1459300,30.860533
"2001-06-15",53.599998,54.580002,53.599998,53.77,1207900,30.452765
"2001-06-18",54,54.150002,53.200001,53.560001,560500,30.333826
"2001-06-19",53.849998,53.98,52.849998,53.110001,520500,30.078957
"2001-06-20",53.360001,54.549999,53.360001,53.700001,890700,30.413103
"2001-06-21",54.060001,55.040001,53.73,54.52,719200,30.877523
"2001-06-22",55,55.049999,53.880001,54.150002,603600,30.667961
"2001-06-25",54.099998,54.099998,52.610001,53.130001,528800,30.09029
"2001-06-26",54.299999,54.5,52.900002,53.700001,1087600,30.413103
"2001-06-27",54.25,55.25,54.099998,54.25,647100,30.724594
"2001-06-28",54.200001,54.610001,53.849998,54.16,734200,30.67363
"2001-06-29",54.259998,54.970001,54,54.970001,797500,31.132383
"2001-07-02",54.970001,56.330002,54.200001,56.110001,747500,31.778008
"2001-07-03",56.110001,56.360001,55.470001,56.349998,695400,31.913935
"2001-07-05",56.360001,56.689999,55.450001,56.490002,796600,31.993231
"2001-07-06",56.490002,56.490002,55.150002,55.240002,646200,31.285288
"2001-07-09",55.5,56.599998,55.400002,56.349998,714100,31.913935
"2001-07-10",56.400002,57.439999,55.799999,56.59,1235200,32.049877
"2001-07-11",57,58.419998,57,58.049999,1227000,32.876747
"2001-07-12",58.150002,59.349998,57.779999,59.27,875000,33.567696
"2001-07-13",59.599998,60.200001,58.860001,59.98,1242800,33.969799
"2001-07-16",59.849998,59.849998,58.849998,59.049999,1230700,33.443085
"2001-07-17",58.25,59.349998,58.25,58.490002,1765900,33.125935
"2001-07-18",58.389999,58.599998,57.93,58.349998,1841500,33.046635
"2001-07-19",58.75,59.099998,58.09,58.220001,781000,32.973015
"2001-07-20",58.470001,58.73,57.93,58.099998,690300,32.905045
"2001-07-23",57.900002,58.220001,57.099998,58.049999,534800,32.876747
"2001-07-24",57.950001,57.950001,55.849998,55.950001,1024700,31.687393
"2001-07-25",56.150002,57.299999,55.700001,56.889999,650000,32.219765
"2001-07-26",56,57.950001,55.93,57.880001,508000,32.780464
"2001-07-27",57.950001,58.09,57.400002,57.639999,390500,32.644547
"2001-07-30",57.540001,58.25,57.27,58,585000,32.848415
"2001-07-31",57.799999,60.290001,57.700001,59.73,1705900,33.828201
"2001-08-01",59.73,59.740002,58.639999,58.919998,716400,33.59444
"2001-08-02",59.099998,60.150002,58.650002,59.990002,880400,34.204525
"2001-08-03",60,60.029999,59.200001,60,458600,34.210224
"2001-08-06",59.849998,60.5,59.02,59.049999,576000,33.66856
"2001-08-07",58.75,59.080002,58.619999,58.740002,341900,33.491814
"2001-08-08",58.639999,59.200001,57.700001,57.709999,837300,32.904533
"2001-08-09",57.959999,58.049999,57.650002,57.75,496500,32.927334
"2001-08-10",57.900002,58.349998,57.27,57.950001,995400,33.041363
"2001-08-13",58.099998,58.52,57.75,58.09,366600,33.121201
"2001-08-14",58.009998,59.32,58.009998,59.07,635100,33.679943
