"","Open","High","Low","Close","Volume"
"2002-10-25",7.819638,7.969638,7.669638,7.829638,13965800
"2002-10-28",7.829638,7.869638,7.779638,7.829638,5505900
"2002-10-29",7.966967,7.976967,7.006967,7.606967,2235800
"2002-10-30",7.632713,7.642713,7.152713,7.522713,905800
"2002-10-31",7.53891,7.99891,7.47891,7.58891,298900
"2002-11-01",7.56891,7.67891,7.54891,7.58891,268800
"2002-11-04",7.519457,7.809457,7.509457,7.769457,1307600
"2002-11-05",7.725655,8.055655,7.705655,7.835655,2384700
"2002-11-06",7.853622,8.023622,7.823622,7.823622,204300
"2002-11-07",7.883712,7.963712,7.163712,7.853712,724200
"2002-11-08",7.871494,7.881494,7.681494,7.781494,106400
"2002-11-11",7.939096,7.939096,7.589096,7.649096,110500
"2002-11-12",7.967731,7.977731,7.097731,7.197731,540700
"2002-11-13",7.63017,7.67017,6.34017,6.68017,685600
"2002-11-14",6.71415,6.83415,6.46415,6.67415,462800
"2002-11-15",6.500988,6.960988,6.480988,6.950988,460700
"2002-11-18",6.730132,8.200132,6.720132,7.330132,325400
"2002-11-19",7.342894,7.782894,7.002894,7.582894,211400
"2002-11-20",7.618547,7.658547,7.288547,7.468547,92700
"2002-11-21",7.423345,7.733345,7.423345,7.733345,91300
"2002-11-22",7.812986,7.822986,7.462986,7.612986,55300
"2002-11-25",7.651494,7.851494,7.511494,7.781494,111000
"2002-11-26",7.867148,7.867148,7.667148,7.667148,59300
"2002-11-27",7.922713,7.922713,7.522713,7.522713,94300
"2002-11-29",7.675294,7.785294,7.495294,7.715294,35400
"2002-12-02",7.998547,8.008547,7.408547,7.468547,93600
"2002-12-03",7.574476,7.574476,7.384476,7.444476,31100
"2002-12-04",7.432894,7.582894,7.292894,7.582894,42300
"2002-12-05",7.56213,8.01213,7.47213,7.99213,366100
"2002-12-06",7.901948,8.131948,7.741948,7.931948,129300
"2002-12-09",8.113622,8.123622,7.693622,7.823622,106900
"2002-12-10",7.823622,8.013622,7.753622,7.823622,48300
"2002-12-11",7.824075,8.114075,7.744075,7.974075,189700
"2002-12-12",7.918968,8.328968,7.798968,8.268968,361400
"2002-12-13",8.30471,8.97471,8.11471,8.18471,615500
"2002-12-16",8.292856,8.622856,8.212856,8.232856,170900
"2002-12-17",8.54249,8.54249,7.94249,8.11249,95100
"2002-12-18",8.196202,8.286202,7.756202,8.016202,110800
"2002-12-19",8.423167,8.423167,7.423167,7.673167,233700
"2002-12-20",7.581768,8.191768,7.481768,7.871768,134900
"2002-12-23",7.734438,8.234438,7.654438,8.094438,65300
"2002-12-24",8.220545,8.530545,7.940545,8.130545,52300
"2002-12-26",8.384075,8.384075,7.684075,7.974075,16300
"2002-12-27",8.113622,8.113622,7.773622,7.823622,42500
"2002-12-30",7.873806,8.143806,7.783806,7.883806,26700
"2002-12-31",8.129821,8.279821,7.879821,7.889821,72000
"2003-01-02",7.634528,8.124528,7.624528,8.124528,89700
"2003-01-03",8.164349,8.264349,7.984349,8.064349,73200
"2003-01-06",8.108147,8.268147,7.998147,7.998147,90700
"2003-01-07",8.060183,8.220183,7.900183,8.010183,99300
"2003-01-08",7.925655,8.015655,7.575655,7.835655,159100
"2003-01-09",7.893622,7.953622,7.673622,7.823622,125900
"2003-01-10",7.903622,7.923622,7.773622,7.823622,70500
"2003-01-13",7.792222,8.022222,7.692222,8.022222,194700
"2003-01-14",7.974438,8.254438,7.934438,8.094438,131200
"2003-01-15",8.146835,8.226835,7.996835,8.226835,80300
"2003-01-16",8.131272,8.371272,7.911272,8.371272,95500
"2003-01-17",8.43249,8.64249,8.10249,8.11249,71300
"2003-01-21",8.066927,8.446927,7.996927,8.256927,107700
"2003-01-22",8.051912,8.621912,7.901912,8.581912,121500
"2003-01-23",8.625891,9.125891,8.525891,8.575891,185500
"2003-01-24",8.82544,8.82544,8.37544,8.42544,130500
"2003-01-27",8.363673,8.863673,8.343673,8.503673,74000
"2003-01-28",8.521912,8.721912,8.321912,8.581912,65700
"2003-01-29",8.603493,8.723493,8.413493,8.443493,102800
"2003-01-30",8.517021,8.687021,8.277021,8.287021,62600
"2003-01-31",8.424984,8.484984,8.184984,8.274984,184000
"2003-02-03",8.348786,8.438786,8.198786,8.208786,120100
"2003-02-04",8.092674,8.182674,7.942674,8.172674,121800
"2003-02-05",8.20462,8.31462,7.95462,8.15462,60200
"2003-02-06",8.026165,8.916165,7.866165,8.666165,110600
"2003-02-07",8.845347,9.005347,8.235347,8.395347,129500
"2003-02-10",8.600913,8.680913,8.240913,8.250913,54600
"2003-02-11",8.092001,8.842001,8.012001,8.612001,231000
"2003-02-12",8.759328,8.759328,8.389328,8.389328,190500
"2003-02-13",8.473402,8.603402,8.383402,8.413402,107800
"2003-02-14",8.254036,8.784036,8.154036,8.624036,61100
"2003-02-18",8.596252,8.736252,8.306252,8.696252,91100
"2003-02-19",8.699966,8.799966,8.269966,8.599966,93500
"2003-02-20",8.55155,8.79155,8.40155,8.46155,46800
"2003-02-21",8.58155,8.75155,8.33155,8.46155,71500
"2003-02-24",8.60544,8.65544,8.40544,8.42544,38800
"2003-02-25",8.393764,8.593764,8.133764,8.533764,121100
"2003-02-26",8.645347,8.645347,8.255347,8.395347,47600
"2003-02-27",8.445347,8.495347,8.295347,8.395347,36500
"2003-02-28",8.337837,8.627837,8.187837,8.557837,42700
"2003-03-03",8.493584,8.733584,8.353584,8.473584,248400
"2003-03-04",8.525528,8.545528,8.355528,8.455528,258400
"2003-03-05",8.607291,8.607291,8.307291,8.377291,45500
"2003-03-06",8.28544,8.47544,8.27544,8.42544,31300
"2003-03-07",8.371731,8.561731,8.311731,8.521731,45300
"2003-03-10",8.511731,8.661731,8.441731,8.521731,26700
"2003-03-11",8.663584,8.663584,8.413584,8.473584,93400
"2003-03-12",8.603127,8.633127,8.313127,8.323127,175200
"2003-03-13",8.267565,8.527565,8.257565,8.467565,40800
"2003-03-14",8.405528,8.605528,8.405528,8.455528,193100
"2003-03-17",8.557656,8.567656,8.227656,8.497656,119900
"2003-03-18",8.329691,8.569691,8.329691,8.509691,101900
"2003-03-19",8.557656,8.577656,8.477656,8.497656,24100
"2003-03-20",8.5058,8.6358,8.4458,8.5458,50400
"2003-03-21",8.448474,8.788474,8.298474,8.768474,358200
"2003-03-24",8.782001,8.782001,8.412001,8.612001,135100
"2003-03-25",8.207983,9.367983,8.197983,9.267983,150200
"2003-03-26",8.927255,9.397255,8.927255,9.027255,64500
"2003-03-27",9.244584,9.244584,8.524584,8.804584,129500
"2003-03-28",8.611328,9.261328,8.561328,9.051328,65500
"2003-03-31",8.877983,9.367983,8.787983,9.267983,163100
"2003-04-01",9.31309,9.46309,8.74309,8.97309,172600
"2003-04-02",9.043272,9.333272,8.943272,9.033272,115400
"2003-04-03",9.086983,9.136983,8.846983,8.936983,601900
"2003-04-04",8.901874,9.291874,8.881874,9.231874,53500
"2003-04-07",9.030838,9.570838,9.010838,9.550838,131200
"2003-04-08",9.309524,9.819525,9.159524,9.779524,128400
"2003-04-09",9.698034,10.688033,9.668033,9.948034,231300
"2003-04-10",10.241289,10.251289,9.581289,9.70129,160500
"2003-04-11",9.681473,9.761473,9.311474,9.761473,84100
"2003-04-14",9.659344,9.869343,9.449344,9.719344,78500
"2003-04-15",9.639614,9.919615,9.409615,9.809614,93500
"2003-04-16",9.985269,9.985269,9.555269,9.69527,93700
"2003-04-17",9.745093,9.845091,9.425092,9.635092,95200
"2003-04-21",9.780381,9.780381,9.120381,9.400381,208700
"2003-04-22",9.730199,9.730199,8.530199,9.340199,236700
"2003-04-23",8.752746,10.372747,8.752746,10.182746,390300
"2003-04-24",10.260166,10.300165,9.790165,9.990165,62500
"2003-04-25",9.712925,10.622925,9.622925,10.242925,81100
"2003-04-28",10.043561,10.483562,9.883561,10.453563,211900
"2003-04-29",10.285325,10.555325,10.205325,10.375325,68200
"2003-04-30",10.660887,10.660887,10.080887,10.230887,99400
"2003-05-01",10.16718,10.457181,9.547179,10.32718,170900
"2003-05-02",10.24116,10.34116,10.111161,10.32116,173000
"2003-05-05",10.331345,10.381344,10.231344,10.381344,98000
"2003-05-06",10.203927,10.693927,10.193927,10.573926,196400
"2003-05-07",10.49587,10.61587,10.405869,10.555871,182700
"2003-05-08",10.747268,10.777267,10.257269,10.357267,326800
"2003-05-09",10.530705,10.770705,10.020705,10.170705,168800
"2003-05-12",10.011436,10.661435,9.991435,10.411435,252200
"2003-05-13",10.401613,10.471613,10.201612,10.471613,184700
"2003-05-14",10.302522,10.802522,10.002521,10.772522,167400
"2003-05-15",10.758634,10.818633,10.388635,10.808633,265100
"2003-05-16",10.350541,11.530541,10.220542,11.440541,580300
"2003-05-19",11.354432,11.564433,11.304432,11.404433,219100
"2003-05-20",11.38452,11.484518,11.244518,11.434519,303300
"2003-05-21",11.546196,11.546196,10.916195,11.326195,187600
"2003-05-22",11.152483,11.442484,11.052485,11.422484,168800
"2003-05-23",10.87787,11.337871,10.727871,11.21787,427500
"2003-05-27",11.155742,11.405742,11.005743,11.175743,136700
"2003-05-28",11.241668,11.321668,11.121667,11.151668,99800
"2003-05-29",11.273891,11.283889,11.043889,11.22389,79000
"2003-05-30",11.152212,11.402212,11.112213,11.332212,113100
"2003-06-02",11.354432,11.454432,11.264431,11.404433,145800
"2003-06-03",11.619633,11.619633,11.079634,11.139633,161900
"2003-06-04",11.283158,11.293158,10.783158,10.983159,260500
"2003-06-05",10.941306,11.201306,10.751305,11.031306,81600
"2003-06-06",11.093798,11.293799,11.003798,11.193798,202100
"2003-06-09",11.325196,11.325196,10.725196,10.995196,63900
"2003-06-10",11.232707,11.282708,10.792706,10.832707,148800
"2003-06-11",10.882706,10.952708,10.632706,10.832707,530800
"2003-06-12",10.988633,10.988633,10.568633,10.808633,212900
"2003-06-13",10.96456,11.054561,10.724561,10.78456,428000
"2003-06-16",10.836689,10.936689,10.686689,10.826689,263900
"2003-06-17",10.834559,10.86456,10.724561,10.78456,137900
"2003-06-18",10.77669,10.986689,10.736689,10.826689,179700
"2003-06-19",10.942708,10.942708,10.742707,10.832707,230900
"2003-06-20",10.822707,10.832707,10.652707,10.832707,228300
"2003-06-23",11.029764,11.029764,10.469764,10.519764,179100
"2003-06-24",10.539764,10.589763,10.489765,10.519764,181100
"2003-06-25",10.657361,10.737361,10.327361,10.38736,178300
"2003-06-26",10.363649,10.56365,10.113649,10.48365,221500
"2003-06-27",10.432252,10.722253,10.372253,10.682252,295000
"2003-06-30",10.686233,11.006233,10.366233,10.676233,989000
