"","XEL.Open","XEL.High","XEL.Low","XEL.Close","XEL.Volume","XEL.Adjusted"
"2001-01-02",28.5625,28.9375,27.9375,28.3125,852000,12.584257
"2001-01-03",28.5,29.125,27.0625,27.3125,887100,12.139779
"2001-01-04",27.1875,27.1875,25.125,25.375,963200,11.278602
"2001-01-05",25.375,25.75,25.125,25.4375,760300,11.306386
"2001-01-08",25.375,25.8125,25.375,25.75,456500,11.445284
"2001-01-09",26,26.0625,25.5625,25.9375,428200,11.528623
"2001-01-10",25.875,26,25.375,25.75,406300,11.445284
"2001-01-11",26,26,24.375,24.5625,1213700,10.917469
"2001-01-12",24.5625,25.125,24.25,24.9375,1e+06,11.08415
"2001-01-16",25,25.0625,24.1875,25,929800,11.111924
"2001-01-17",25.1875,25.375,24.9375,25.125,696700,11.167485
"2001-01-18",25.125,25.5625,25.0625,25.4375,411400,11.306386
"2001-01-19",25.375,25.8125,24.875,25.6875,559600,11.417506
"2001-01-22",25.6875,26.1875,25.5,25.8125,548000,11.473061
"2001-01-23",26,26.5,25.5625,25.875,736300,11.500848
"2001-01-24",25.625,26.125,25.625,26.0625,760700,11.584186
"2001-01-25",26.3125,26.5625,26,26.375,429000,11.723083
"2001-01-26",26.25,26.5625,25.6875,26.4375,509100,11.750864
"2001-01-29",26.25,26.5,26,26.280001,360100,11.680856
"2001-01-30",26.4,26.4,25.75,26,413900,11.556402
"2001-01-31",26,26,25.309999,25.469999,773600,11.320834
"2001-02-01",25.48,25.49,25.200001,25.379999,523900,11.280828
"2001-02-02",25.6,25.75,25.34,25.549999,960900,11.356391
"2001-02-05",25.690001,26.1,25.59,26.01,390200,11.560844
"2001-02-06",26.01,26.280001,25.66,25.809999,616800,11.471951
"2001-02-07",25.950001,26.65,25.9,26.549999,602900,11.80087
"2001-02-08",26.549999,27,26.549999,27,363000,12.000879
"2001-02-09",27,27.299999,26.75,27.25,553600,12.111999
"2001-02-12",27.299999,27.75,26.9,27.4,515900,12.17867
"2001-02-13",27.950001,27.950001,27.049999,27.549999,413200,12.245344
"2001-02-14",27.6,27.6,27.1,27.450001,474600,12.200899
"2001-02-15",27.200001,27.4,26.75,26.950001,723300,11.97866
"2001-02-16",28,28,27.129999,27.35,707800,12.156447
"2001-02-20",27.35,27.85,27.15,27.65,578000,12.289788
"2001-02-21",27.799999,28.4,27.77,27.91,958100,12.405358
"2001-02-22",27.700001,28.190001,27.620001,27.950001,486200,12.423131
"2001-02-23",27.950001,28.15,26.99,27.450001,631700,12.200899
"2001-02-26",28,28.280001,27.75,28.09,772100,12.485364
"2001-02-27",28.09,28.35,27.950001,28.209999,411400,12.538695
"2001-02-28",28.43,28.43,27.9,28.200001,493700,12.534255
"2001-03-01",27.950001,28.35,27.9,28.15,524300,12.512029
"2001-03-02",28.15,28.209999,27.6,28.200001,663100,12.534255
"2001-03-05",27.950001,28.27,27.9,27.950001,476800,12.423131
"2001-03-06",28,28,27.629999,27.84,430100,12.374242
"2001-03-07",28.200001,28.200001,27.540001,27.83,609400,12.3698
"2001-03-08",28,28.209999,27.940001,28.16,540100,12.516477
"2001-03-09",28.16,28.17,27.799999,28,510300,12.44536
"2001-03-12",27.85,28.139999,27.799999,28.110001,1065800,12.494253
"2001-03-13",28.110001,28.200001,27.9,28.07,998300,12.476473
"2001-03-14",27.9,28,27.360001,27.540001,547900,12.2409
"2001-03-15",27.34,28.16,27.32,28.09,912700,12.485364
"2001-03-16",28.09,28.25,27.75,28.16,1609800,12.516477
"2001-03-19",28.16,28.379999,27.969999,28.200001,818400,12.534255
"2001-03-20",28.200001,28.35,27.75,27.870001,637400,12.387578
"2001-03-21",27.879999,28.639999,27.85,28.299999,1334400,12.578702
"2001-03-22",28.049999,28.33,26.85,27.35,1115700,12.156447
"2001-03-23",27.200001,27.309999,26.940001,27.309999,703300,12.138668
"2001-03-26",27.309999,28.35,27.24,28.35,636600,12.600928
"2001-03-27",28.5,29.1,28.459999,29.09,1320900,12.929843
"2001-03-28",28.9,29.15,28.59,29.059999,2684900,12.916509
"2001-03-29",28.68,29.49,28.51,29.27,1389800,13.179924
"2001-03-30",29.450001,30.35,29.35,30.110001,1277400,13.558166
"2001-04-02",29.700001,30.74,29.700001,30.43,974800,13.702256
"2001-04-03",30.48,30.5,29.85,30.049999,1513000,13.531148
"2001-04-04",30.049999,30.27,29.889999,30.040001,1450500,13.526644
"2001-04-05",30.030001,30.030001,29.299999,30,876300,13.508629
"2001-04-06",29.75,30.25,28.68,29.030001,1180000,13.071854
"2001-04-09",29.280001,30.15,29.110001,29.85,1321800,13.44109
"2001-04-10",29.85,30.9,29.85,30.690001,1029000,13.819337
"2001-04-11",30,30.35,29.700001,30.049999,734600,13.531148
"2001-04-12",30.059999,30.129999,29.76,29.83,590700,13.432089
"2001-04-16",29.5,30.1,29.5,30,712500,13.508629
"2001-04-17",30,31.200001,30,31.200001,1183500,14.04898
"2001-04-18",31.200001,31.32,30.440001,31.15,914700,14.026459
"2001-04-19",31,31,30.110001,30.27,682500,13.630211
"2001-04-20",30.4,30.639999,29.860001,30.6,624200,13.778806
"2001-04-23",30.6,31,30.32,30.58,644800,13.7698
"2001-04-24",30.58,31,30.549999,30.83,537500,13.882371
"2001-04-25",30.950001,31.360001,30.6,31.35,878900,14.116528
"2001-04-26",31.299999,31.85,31.209999,31.639999,811900,14.247107
"2001-04-27",31.639999,31.639999,31.1,31.35,561500,14.116528
"2001-04-30",31.25,31.450001,31.07,31.200001,1035500,14.04898
"2001-05-01",31.200001,31.200001,30.799999,30.98,881600,13.949914
"2001-05-02",30.700001,30.879999,30.27,30.5,557100,13.733775
"2001-05-03",30.49,30.5,29.65,29.99,503500,13.50413
"2001-05-04",29.690001,30.08,29.690001,30,532400,13.508629
"2001-05-07",30.049999,30.200001,29.9,30,658500,13.508629
"2001-05-08",29.9,29.93,29.6,29.67,804400,13.360037
"2001-05-09",29.6,30.049999,29.6,30,563200,13.508629
"2001-05-10",30,30.15,29.85,29.959999,860200,13.490615
"2001-05-11",29.99,30.299999,29.92,30.17,389600,13.585181
"2001-05-14",30.17,30.450001,29.950001,30.27,592500,13.630211
"2001-05-15",30.15,30.24,29.860001,30.139999,542600,13.57167
"2001-05-16",30,30.42,29.799999,30.35,790000,13.666235
"2001-05-17",30.450001,30.620001,30.200001,30.32,593600,13.652721
"2001-05-18",30.27,30.549999,29.950001,30.540001,674900,13.751789
"2001-05-21",31.4,31.4,30.540001,31.129999,858700,14.017454
"2001-05-22",31.299999,31.35,31.02,31.139999,604500,14.021959
"2001-05-23",31.049999,31.35,31.02,31.18,454700,14.039968
"2001-05-24",31.4,31.450001,30.799999,31.040001,848400,13.976931
"2001-05-25",30.9,31,30,30.24,812000,13.616701
"2001-05-29",30.049999,30.200001,29.700001,29.809999,830600,13.423077
"2001-05-30",29.809999,30.200001,29.799999,29.85,859400,13.44109
"2001-05-31",29.950001,30.4,29.940001,30.299999,733100,13.643723
"2001-06-01",30.299999,30.299999,29.6,29.889999,971800,13.459103
"2001-06-04",29.85,30.08,29.65,29.85,701300,13.44109
"2001-06-05",29.799999,29.950001,29.049999,29.09,1260500,13.098875
"2001-06-06",29.200001,29.200001,28.57,28.73,853900,12.936768
"2001-06-07",29,29,28.48,28.73,550600,12.936768
"2001-06-08",28.73,28.93,28.610001,28.809999,759800,12.97279
