"","Open","High","Low","Close","Volume"
"2001-01-02",12.834257,13.209257,12.209257,12.584257,852000
"2001-01-03",13.327279,13.952279,11.889779,12.139779,887100
"2001-01-04",13.091102,13.091102,11.028602,11.278602,963200
"2001-01-05",11.243886,11.618886,10.993886,11.306386,760300
"2001-01-08",11.070284,11.507784,11.070284,11.445284,456500
"2001-01-09",11.591123,11.653623,11.153623,11.528623,428200
"2001-01-10",11.570284,11.695284,11.070284,11.445284,406300
"2001-01-11",12.354969,12.354969,10.729969,10.917469,1213700
"2001-01-12",10.70915,11.27165,10.39665,11.08415,1e+06
"2001-01-16",11.111924,11.174424,10.299424,11.111924,929800
"2001-01-17",11.229985,11.417485,10.979985,11.167485,696700
"2001-01-18",10.993886,11.431386,10.931386,11.306386,411400
"2001-01-19",11.105006,11.542506,10.605006,11.417506,559600
"2001-01-22",11.348061,11.848061,11.160561,11.473061,548000
"2001-01-23",11.625848,12.125848,11.188348,11.500848,736300
"2001-01-24",11.146686,11.646686,11.146686,11.584186,760700
"2001-01-25",11.660583,11.910583,11.348083,11.723083,429000
"2001-01-26",11.563364,11.875864,11.000864,11.750864,509100
"2001-01-29",11.650855,11.900855,11.400855,11.680856,360100
"2001-01-30",11.956402,11.956402,11.306402,11.556402,413900
"2001-01-31",11.850835,11.850835,11.160834,11.320834,773600
"2001-02-01",11.380829,11.390829,11.10083,11.280828,523900
"2001-02-02",11.406392,11.556392,11.146392,11.356391,960900
"2001-02-05",11.240845,11.650844,11.140844,11.560844,390200
"2001-02-06",11.671952,11.941953,11.321952,11.471951,616800
"2001-02-07",11.200872,11.900871,11.150871,11.80087,602900
"2001-02-08",11.550878,12.000879,11.550878,12.000879,363000
"2001-02-09",11.861999,12.161998,11.611999,12.111999,553600
"2001-02-12",12.078669,12.52867,11.67867,12.17867,515900
"2001-02-13",12.645346,12.645346,11.745344,12.245344,413200
"2001-02-14",12.350898,12.350898,11.850898,12.200899,474600
"2001-02-15",12.22866,12.428659,11.778659,11.97866,723300
"2001-02-16",12.806447,12.806447,11.936446,12.156447,707800
"2001-02-20",11.989788,12.489788,11.789788,12.289788,578000
"2001-02-21",12.295357,12.895358,12.265358,12.405358,958100
"2001-02-22",12.173131,12.663131,12.093131,12.423131,486200
"2001-02-23",12.700899,12.900898,11.740898,12.200899,631700
"2001-02-26",12.395364,12.675365,12.145364,12.485364,772100
"2001-02-27",12.418696,12.678696,12.278697,12.538695,411400
"2001-02-28",12.764254,12.764254,12.234254,12.534255,493700
"2001-03-01",12.31203,12.712029,12.262029,12.512029,524300
"2001-03-02",12.484254,12.544253,11.934254,12.534255,663100
"2001-03-05",12.423131,12.74313,12.37313,12.423131,476800
"2001-03-06",12.534242,12.534242,12.164241,12.374242,430100
"2001-03-07",12.739801,12.739801,12.079801,12.3698,609400
"2001-03-08",12.356477,12.566476,12.296478,12.516477,540100
"2001-03-09",12.60536,12.61536,12.245359,12.44536,510300
"2001-03-12",12.234252,12.524251,12.184251,12.494253,1065800
"2001-03-13",12.516474,12.606474,12.306473,12.476473,998300
"2001-03-14",12.600899,12.700899,12.0609,12.2409,547900
"2001-03-15",11.735364,12.555364,11.715364,12.485364,912700
"2001-03-16",12.446477,12.606477,12.106477,12.516477,1609800
"2001-03-19",12.494254,12.714253,12.304253,12.534255,818400
"2001-03-20",12.717578,12.867577,12.267577,12.387578,637400
"2001-03-21",12.158702,12.918702,12.128703,12.578702,1334400
"2001-03-22",12.856446,13.136447,11.656447,12.156447,1115700
"2001-03-23",12.02867,12.138668,11.76867,12.138668,703300
"2001-03-26",11.560927,12.600928,11.490928,12.600928,636600
"2001-03-27",12.339843,12.939843,12.299842,12.929843,1320900
"2001-03-28",12.75651,13.00651,12.44651,12.916509,2684900
"2001-03-29",12.589924,13.399924,12.419924,13.179924,1389800
"2001-03-30",12.898166,13.798165,12.798165,13.558166,1277400
"2001-04-02",12.972257,14.012256,12.972257,13.702256,974800
"2001-04-03",13.961149,13.981149,13.331149,13.531148,1513000
"2001-04-04",13.536642,13.756643,13.376642,13.526644,1450500
"2001-04-05",13.53863,13.53863,12.808628,13.508629,876300
"2001-04-06",13.791853,14.291853,12.721853,13.071854,1180000
"2001-04-09",12.871091,13.74109,12.701091,13.44109,1321800
"2001-04-10",12.979336,14.029336,12.979336,13.819337,1029000
"2001-04-11",13.481149,13.831149,13.18115,13.531148,734600
"2001-04-12",13.662088,13.732088,13.362089,13.432089,590700
"2001-04-16",13.008629,13.608629,13.008629,13.508629,712500
"2001-04-17",12.848979,14.04898,12.848979,14.04898,1183500
"2001-04-18",14.07646,14.196459,13.31646,14.026459,914700
"2001-04-19",14.360211,14.360211,13.470212,13.630211,682500
"2001-04-20",13.578806,13.818805,13.038807,13.778806,624200
"2001-04-23",13.7898,14.1898,13.5098,13.7698,644800
"2001-04-24",13.632371,14.052371,13.60237,13.882371,537500
"2001-04-25",13.716529,14.126529,13.366528,14.116528,878900
"2001-04-26",13.907107,14.457108,13.817107,14.247107,811900
"2001-04-27",14.406527,14.406527,13.866528,14.116528,561500
"2001-04-30",14.098979,14.29898,13.918979,14.04898,1035500
"2001-05-01",14.169915,14.169915,13.769913,13.949914,881600
"2001-05-02",13.933776,14.113774,13.503775,13.733775,557100
"2001-05-03",14.00413,14.01413,13.16413,13.50413,503500
"2001-05-04",13.19863,13.588629,13.19863,13.508629,532400
"2001-05-07",13.558628,13.70863,13.408629,13.508629,658500
"2001-05-08",13.590037,13.620037,13.290037,13.360037,804400
"2001-05-09",13.108629,13.558628,13.108629,13.508629,563200
"2001-05-10",13.530616,13.680616,13.380616,13.490615,860200
"2001-05-11",13.405181,13.71518,13.335181,13.585181,389600
"2001-05-14",13.530211,13.810212,13.310212,13.630211,592500
"2001-05-15",13.581671,13.671671,13.291672,13.57167,542600
"2001-05-16",13.316235,13.736235,13.116234,13.666235,790000
"2001-05-17",13.782722,13.952722,13.532722,13.652721,593600
"2001-05-18",13.481788,13.761787,13.161789,13.751789,674900
"2001-05-21",14.287455,14.287455,13.427456,14.017454,858700
"2001-05-22",14.181959,14.23196,13.90196,14.021959,604500
"2001-05-23",13.909967,14.209968,13.879968,14.039968,454700
"2001-05-24",14.33693,14.386931,13.736929,13.976931,848400
"2001-05-25",14.276701,14.376701,13.376701,13.616701,812000
"2001-05-29",13.663077,13.813079,13.313079,13.423077,830600
"2001-05-30",13.401089,13.791091,13.391089,13.44109,859400
"2001-05-31",13.293725,13.743724,13.283725,13.643723,733100
"2001-06-01",13.869103,13.869103,13.169104,13.459103,971800
"2001-06-04",13.44109,13.67109,13.24109,13.44109,701300
"2001-06-05",13.808874,13.958876,13.058874,13.098875,1260500
"2001-06-06",13.406769,13.406769,12.776768,12.936768,853900
"2001-06-07",13.206768,13.206768,12.686768,12.936768,550600
"2001-06-08",12.892791,13.092791,12.772792,12.97279,759800
"2001-06-11",12.543438,13.253439,12.543438,13.193437,1135700
"2001-06-12",13.315953,13.415951,12.925951,13.215952,818700
"2001-06-13",13.529284,13.649283,12.829284,12.959285,567100
"2001-06-14",13.536475,13.546475,12.256474,12.486474,1138000
"2001-06-15",12.129173,13.249173,12.129173,12.779172,1274100
"2001-06-18",12.943145,13.523145,12.713145,12.743144,629100
"2001-06-19",12.866708,12.996709,12.476709,12.84671,794900
"2001-06-20",13.12367,13.49367,12.593671,12.783669,930200
"2001-06-21",13.105429,13.30543,12.245428,12.405428,1259400
"2001-06-22",12.24601,12.66601,12.16601,12.536011,800700
"2001-06-25",12.595482,12.845482,12.325482,12.495482,517000
"2001-06-26",12.572968,12.672969,12.192969,12.47297,747300
"2001-06-27",12.378525,12.818526,12.278527,12.558525,636100
"2001-06-28",12.575078,12.825078,12.545077,12.635077,733700
"2001-06-29",12.210683,12.810684,12.160682,12.810684,808700
"2001-07-02",12.363313,13.013313,12.313314,13.013313,553700
"2001-07-03",13.019339,13.169338,12.819338,13.049338,735100
"2001-07-05",13.105668,13.275668,12.75567,13.16567,3355800
"2001-07-06",13.143913,13.283912,12.893913,13.183912,806700
"2001-07-09",13.343581,13.423581,12.993581,13.343581,637000
"2001-07-10",13.023943,13.463944,12.993944,13.443943,554900
"2001-07-11",13.724093,13.734093,13.034092,13.234093,805000
"2001-07-12",13.089354,13.289355,12.909356,13.179354,494300
"2001-07-13",13.400224,13.410225,12.910225,13.170225,562800
"2001-07-16",13.138299,13.6783,13.038301,13.138299,379600
"2001-07-17",13.190558,13.400557,13.000557,13.010557,447200
"2001-07-18",13.205824,13.535824,12.755825,12.955824,408700
"2001-07-19",13.455824,13.455824,12.665825,12.955824,317600
"2001-07-20",13.637543,13.637543,12.527542,12.677544,625200
"2001-07-23",13.635735,13.635735,12.085735,12.175736,941800
"2001-07-24",12.824101,12.894103,11.024102,11.724103,1957800
"2001-07-25",11.570961,12.700962,11.510962,11.860962,2386900
"2001-07-26",11.553107,12.253106,11.463107,12.203107,2337500
"2001-07-27",12.667456,12.717456,11.717456,11.897456,2270600
"2001-07-30",11.67993,12.129931,11.01993,12.07993,1325300
"2001-07-31",11.849783,12.459784,11.209784,12.289784,1628400
"2001-08-01",12.628029,12.72803,12.128029,12.30803,591400
"2001-08-02",12.111383,12.571384,11.931382,12.481384,574500
"2001-08-03",12.541924,12.661923,11.951924,12.631925,448400
"2001-08-06",12.855221,12.855221,12.055222,12.285221,619000
"2001-08-07",12.461715,12.551715,12.071715,12.321715,1030100
"2001-08-08",12.68362,12.773621,12.08362,12.09362,931800
"2001-08-09",12.305553,12.395553,11.895553,12.125553,803800
"2001-08-10",12.121533,12.321534,11.811534,12.271533,567200
"2001-08-13",12.553107,12.703107,12.123107,12.203107,953200
"2001-08-14",12.128029,12.448031,12.028031,12.30803,434000
"2001-08-15",12.400473,12.660473,12.050472,12.230472,433400
"2001-08-16",12.076819,12.526818,11.726818,12.476818,607200
"2001-08-17",12.243133,12.563133,12.143133,12.463133,446700
"2001-08-20",12.506126,12.566125,12.136125,12.536125,532800
"2001-08-21",12.625945,12.755944,12.415944,12.485946,510600
"2001-08-22",12.457872,12.777874,12.327873,12.517874,556600
"2001-08-23",12.264374,12.664373,12.244373,12.554374,502200
"2001-08-24",12.291236,12.711236,12.271236,12.691236,495200
"2001-08-27",12.777726,13.007725,12.597725,12.727725,502300
"2001-08-28",12.759476,12.899475,12.549477,12.709477,738500
"2001-08-29",12.796485,12.886485,12.476485,12.636485,501000
"2001-08-30",13.017874,13.057873,12.477873,12.517874,551900
"2001-08-31",12.599629,12.749629,12.429629,12.499629,506300
"2001-09-04",12.35824,12.87824,12.258239,12.61824,633300
"2001-09-05",12.397368,12.747366,12.347367,12.627367,562700
