"","Open","High","Low","Close","Volume"
"2001-01-02",47.898143,48.116943,45.366943,46.054443,428000
"2001-01-03",45.091198,47.653698,44.278698,47.591198,494100
"2001-01-04",47.630718,49.943218,45.943218,46.630718,747400
"2001-01-05",46.852459,46.977459,44.102459,46.102459,1019700
"2001-01-08",45.729709,46.198509,45.073509,46.198509,433200
"2001-01-09",46.218281,46.593281,45.030781,45.718281,581000
"2001-01-10",45.303734,46.928734,44.991234,46.678734,404700
"2001-01-11",46.640594,46.890594,45.703094,46.390594,486900
"2001-01-12",46.812667,46.906467,45.031467,45.093967,554500
"2001-01-16",44.453094,46.640594,44.390594,46.390594,696600
"2001-01-17",46.739754,47.192955,45.802254,45.802254,603900
"2001-01-18",46.358429,46.420929,44.545929,45.045929,251800
"2001-01-19",45.686111,45.686111,43.811111,44.373611,293500
"2001-01-22",44.156467,45.156467,44.093967,45.093967,379800
"2001-01-23",44.992641,45.805141,44.867641,45.430141,264500
"2001-01-24",45.75251,46.12751,45.12751,45.19001,187100
"2001-01-25",44.75391,45.56641,43.50391,43.94141,881700
"2001-01-26",44.141029,44.172329,43.359829,43.797329,823200
"2001-01-29",43.823944,44.917744,43.480244,43.605244,487300
"2001-01-30",43.951996,44.139496,42.389496,43.076996,466200
"2001-01-31",43.057907,43.432907,42.182907,42.932907,408600
"2001-02-01",42.903961,43.153961,42.466461,43.028961,246700
"2001-02-02",42.841461,44.028961,42.591461,43.028961,188000
"2001-02-05",42.975636,43.663136,42.538136,43.413136,171300
"2001-02-06",43.735535,43.735535,42.485535,43.173035,343600
"2001-02-07",42.86972,43.74472,42.74472,43.55722,240800
"2001-02-08",43.513786,44.013786,42.951286,43.701286,179300
"2001-02-09",43.570988,44.570988,43.445988,44.133488,205600
"2001-02-12",43.993579,45.149879,43.899879,44.962379,291600
"2001-02-13",44.899879,45.274879,44.712379,44.962379,209400
"2001-02-14",44.689037,45.689037,44.626537,45.251537,276000
"2001-02-15",45.33213,45.33213,44.58213,44.76963,386400
"2001-02-16",44.546749,44.671749,43.796749,44.046749,345200
"2001-02-20",44.008903,44.118305,42.993305,43.805805,225400
"2001-02-21",43.947414,44.134914,42.447414,42.697414,479800
"2001-02-22",42.758224,43.133224,40.898822,42.492523,229500
"2001-02-23",42.254627,42.692127,41.254627,42.504627,246600
"2001-02-26",42.189827,43.877327,42.189827,43.564827,480600
"2001-02-27",43.512875,44.700375,43.262875,43.950375,312200
"2001-02-28",44.100201,44.600201,43.240799,44.287701,359900
"2001-03-01",44.134087,44.634087,43.134087,44.384087,286700
"2001-03-02",44.16946,46.16946,44.04446,45.10696,483200
"2001-03-05",45.408943,45.971443,44.096443,44.721443,299200
"2001-03-06",44.865799,45.600201,43.912701,44.287701,163600
"2001-03-07",44.546749,44.546749,43.609249,44.046749,257400
"2001-03-08",44.093464,44.218464,42.530964,43.468464,338000
"2001-03-09",43.697414,44.259914,42.697414,42.697414,197700
"2001-03-12",43.074692,43.199692,41.387192,41.637192,260600
"2001-03-13",41.215504,42.278004,40.903004,42.215504,477600
"2001-03-14",41.64473,41.89473,40.58223,40.76973,442300
"2001-03-15",41.510704,41.823204,40.760704,41.010704,446800
"2001-03-16",40.786366,41.286366,39.473866,39.661366,821100
"2001-03-19",39.604137,40.041637,38.541637,39.854137,411500
"2001-03-20",39.876068,41.454269,39.516769,39.516769,431000
"2001-03-21",39.651646,39.714146,37.339146,37.589146,417300
"2001-03-22",37.941597,38.504097,35.004097,36.191597,663000
"2001-03-23",35.974648,39.349648,35.974648,37.974648,473200
"2001-03-26",38.018231,39.83823,38.018231,39.47823,707900
"2001-03-27",39.086128,41.016129,38.896126,40.866127,428300
"2001-03-28",40.565548,40.57555,39.995548,40.295547,419100
"2001-03-29",39.843167,40.613167,39.843167,39.933167,338300
"2001-03-30",39.874458,40.974461,39.77446,40.164459,689200
"2001-04-02",40.188205,40.778206,40.088207,40.118206,710000
"2001-04-03",40.097366,40.147365,38.727367,40.087368,740100
"2001-04-04",40.476803,40.646802,38.716801,38.876801,854500
"2001-04-05",38.647365,40.197364,38.627365,40.087368,271200
"2001-04-06",39.905692,40.805694,39.105693,39.385696,337200
"2001-04-09",39.433881,40.173882,39.293881,39.59388,152500
"2001-04-10",39.521594,40.351592,39.251594,40.241592,625300
"2001-04-11",39.959255,41.609257,39.959255,40.889256,556100
"2001-04-12",40.830348,41.020351,40.100349,41.020351,161400
"2001-04-16",41.226384,41.326382,39.776383,40.326382,129300
"2001-04-17",40.375935,40.385933,39.835934,40.125935,396200
"2001-04-18",40.099727,41.799728,40.079727,41.089729,316600
"2001-04-19",40.571014,42.661014,40.221012,42.601013,577900
"2001-04-20",42.777085,42.857083,41.897084,41.907082,512400
"2001-04-23",41.91145,42.421452,40.321449,40.511452,423000
"2001-04-24",40.363842,41.413841,40.353844,40.87384,212500
"2001-04-25",40.818199,40.958202,39.598202,40.758202,299000
"2001-04-26",40.767116,40.977115,40.577113,40.627113,181900
"2001-04-27",40.40516,41.345158,40.40516,41.10516,377400
"2001-04-30",41.159729,41.899726,40.94973,41.089729,598600
"2001-05-01",41.175415,41.655414,40.905414,41.205414,464700
"2001-05-02",41.005387,41.895387,41.005387,41.845387,333200
"2001-05-03",41.946342,41.946342,41.546345,41.606342,247500
"2001-05-04",41.265503,42.465504,41.265503,42.215504,410700
"2001-05-07",42.453331,42.57333,41.903332,41.953331,249900
"2001-05-08",42.093468,42.123467,41.573468,41.683468,270200
"2001-05-09",41.687191,41.707192,41.337193,41.637192,189800
"2001-05-10",41.609944,41.859944,41.389946,41.829945,207600
"2001-05-11",41.937557,41.987556,41.397556,41.467556,183200
"2001-05-14",41.706272,44.62627,41.35627,41.506271,339500
"2001-05-15",41.471393,41.651393,41.251396,41.591396,547200
"2001-05-16",41.146549,42.696548,41.116546,42.566547,730000
"2001-05-17",42.611763,42.661762,42.161762,42.411762,481300
"2001-05-18",42.649254,42.659252,41.859253,42.249252,428200
"2001-05-21",42.511909,42.55191,41.851909,41.931911,361500
"2001-05-22",41.91383,42.283829,41.66383,41.993828,698300
"2001-05-23",42.062965,42.162963,41.612964,41.722965,829300
"2001-05-24",41.861054,41.971054,41.491055,41.661057,367600
"2001-05-25",41.527825,41.697827,41.307827,41.637825,354600
"2001-05-29",41.560154,41.560154,41.300151,41.390152,291700
"2001-05-30",41.460857,42.300857,41.250858,41.250858,478900
"2001-05-31",41.260968,41.91097,41.180966,41.900967,226700
"2001-06-01",41.735942,42.695941,41.535942,42.465942,288500
"2001-06-04",42.342229,43.142228,42.302228,42.992226,296400
"2001-06-05",42.840398,43.860398,42.840398,43.580399,745900
"2001-06-06",43.656151,43.81615,43.22615,43.766151,540100
"2001-06-07",43.705803,43.945805,43.475804,43.835804,707500
"2001-06-08",43.857445,43.907444,43.327442,43.727444,511500
"2001-06-11",43.736229,43.736229,43.286228,43.52623,294700
"2001-06-12",43.440052,43.650055,42.950054,43.650055,265400
"2001-06-13",43.496151,44.296154,43.436153,43.766151,229500
"2001-06-14",43.925365,44.245365,43.255363,43.255363,423200
"2001-06-15",43.559089,43.719089,42.899089,43.619091,606000
"2001-06-18",43.643093,43.853096,43.263096,43.263096,406900
"2001-06-19",43.261364,43.761364,43.251366,43.611362,720500
"2001-06-20",46.00499,46.014988,44.704991,45.34499,2880200
"2001-06-21",45.190236,46.090233,45.070233,46.080235,1888400
"2001-06-22",45.390088,45.400086,43.110085,44.540085,21736400
"2001-06-25",44.432964,44.912964,43.832962,44.632961,1565200
"2001-06-26",44.567765,44.937763,44.247765,44.787762,1126200
"2001-06-27",44.622535,45.662536,44.372535,44.942535,606500
"2001-06-28",44.819763,45.679763,44.759761,45.499763,505100
"2001-06-29",45.552299,45.6623,44.462299,45.6623,729900
"2001-07-02",44.880047,45.720047,44.880047,45.670044,377200
"2001-07-03",45.554218,45.894218,45.444217,45.72422,232500
"2001-07-05",45.838893,45.858894,44.998893,45.228893,296700
"2001-07-06",45.312004,45.372006,44.572002,44.602005,382800
"2001-07-09",44.727837,44.837833,44.037834,44.547836,338000
"2001-07-10",44.70966,44.859662,43.809663,43.95966,813900
"2001-07-11",43.914425,44.214424,43.294426,44.114426,334000
"2001-07-12",44.004611,44.764613,43.674613,44.524612,373100
"2001-07-13",44.28246,45.702462,44.28246,45.182461,391100
"2001-07-16",45.364544,45.424545,44.594543,44.764545,242600
"2001-07-17",44.527859,45.70786,44.22786,45.437859,219900
"2001-07-18",45.262298,45.6623,44.582298,45.6623,162300
"2001-07-19",45.646469,45.786468,44.766468,45.716469,298000
"2001-07-20",45.364297,45.604294,44.974293,45.484295,246700
"2001-07-23",45.228283,46.018284,45.018284,45.128284,241800
"2001-07-24",45.084717,45.694717,44.604717,45.174717,481200
"2001-07-25",45.188896,45.348895,44.798892,45.228893,222300
"2001-07-26",45.237923,45.337925,44.707924,45.197926,215300
"2001-07-27",45.177582,45.447578,44.897579,45.267582,367700
"2001-07-30",45.171158,45.281159,44.791157,45.221157,402400
"2001-07-31",45.216628,45.486629,44.696628,45.236629,341300
"2001-08-01",45.369737,45.419736,44.319733,44.609734,791300
"2001-08-02",44.667763,45.257763,44.557762,44.787762,423100
"2001-08-03",44.796978,45.166977,44.756977,45.166977,342700
"2001-08-06",45.231846,45.361843,44.781845,45.081844,290500
