"","Open","High","Low","Close","Volume"
"2001-01-02",22.650204,23.587704,22.462704,23.275204,4006900
"2001-01-03",22.375219,25.500219,21.750219,25.375219,10653200
"2001-01-04",24.918982,26.918982,24.418982,25.856482,9464000
"2001-01-05",25.59396,26.03146,23.78146,24.28146,5976000
"2001-01-08",24.187716,24.812716,23.500216,24.062716,4250100
"2001-01-09",24.025215,24.337715,23.462715,24.150215,2973500
"2001-01-10",23.543961,24.293961,23.231461,24.106461,3963300
"2001-01-11",23.96896,24.34396,22.96896,23.40646,5942200
"2001-01-12",22.993973,24.806473,22.993973,24.368973,6436300
"2001-01-16",24.112709,25.737709,23.925209,25.112709,6592800
"2001-01-17",25.256464,25.693964,24.881464,25.068964,5482700
"2001-01-18",25.693954,25.693954,23.381454,24.193954,5461300
"2001-01-19",24.175201,24.425201,22.800201,22.925201,4245300
"2001-01-22",24.131454,25.381454,23.881454,24.193954,6471900
"2001-01-23",24.450228,26.012728,24.262728,25.200228,5032800
"2001-01-24",25.106464,25.731464,24.793964,25.418964,3863500
"2001-01-25",24.743975,26.743975,24.493975,25.681475,5119400
"2001-01-26",26.337715,26.650215,25.275215,25.462715,4115000
"2001-01-29",25.315226,26.945227,25.225226,25.795225,3650300
"2001-01-30",26.05023,26.05023,25.05023,25.55023,3230400
"2001-01-31",25.206233,27.216236,25.056236,26.586235,7961400
"2001-02-01",26.610233,26.880233,25.480231,26.530235,7483200
"2001-02-02",26.809235,27.159233,25.459232,25.879234,4521100
"2001-02-05",26.065228,26.085229,25.125226,25.445225,3328400
"2001-02-06",25.463216,26.713216,25.113218,25.403219,3878400
"2001-02-07",25.28323,26.083229,25.19323,25.683228,3093100
"2001-02-08",25.142221,25.342222,23.892221,24.752222,5310400
"2001-02-09",25.175213,25.555214,22.885212,23.765213,4632400
"2001-02-12",22.555225,25.555225,22.465224,25.305225,6889000
"2001-02-13",25.101223,26.101223,24.681221,25.781223,3284700
"2001-02-14",25.917229,26.117225,25.317226,25.627228,3200200
"2001-02-15",26.038674,26.138672,25.288674,25.588673,2965900
"2001-02-16",25.471844,26.771843,24.321842,25.041843,3510500
"2001-02-20",25.064465,27.614464,25.004463,26.114464,5313900
"2001-02-21",26.596871,26.596871,24.096871,24.39687,3525400
"2001-02-22",25.54792,25.54792,23.54792,25.097919,5262400
"2001-02-23",24.815855,25.555857,24.055857,25.055857,4890400
"2001-02-26",25.450037,26.500036,25.160036,26.500036,4013900
