"","TIF.Open","TIF.High","TIF.Low","TIF.Close","TIF.Volume","TIF.Adjusted"
"2001-01-02",31.875,32,30.0625,30.1875,1625000,22.764566
"2001-01-03",31.25,37.125,30.5,37.125,2762100,27.996183
"2001-01-04",32,33.125,29.875,30.6875,9027500,23.14163
"2001-01-05",30.75,30.9375,28.75,28.875,3835300,21.774809
"2001-01-08",29,29.4375,26.75,27.5,1951200,20.737913
"2001-01-09",27.25,29,27.25,29,2427100,21.869076
"2001-01-10",28.5,30.1875,27.9375,30,1452100,22.623173
"2001-01-11",30,31.5,29.8125,31.5,1701200,23.754335
"2001-01-12",31.5,32.4375,31.1875,32.0625,1881800,24.178524
"2001-01-16",32.0625,32.5,31.9375,32.25,1617400,24.319914
"2001-01-17",33.25,33.375,32.6875,32.6875,1211900,24.649837
"2001-01-18",32.5,32.8125,32.125,32.5,975200,24.508442
"2001-01-19",32.5625,32.5625,31.75,32.1875,1532900,24.272778
"2001-01-22",32.1875,34.875,32.1875,34.125,1830000,25.73386
"2001-01-23",36.25,36.3125,35.0625,35.375,2403200,26.6765
"2001-01-24",35,35.9375,34.75,34.9375,1387600,26.346581
"2001-01-25",34.125,36.0625,34.125,35.75,1424300,26.959286
"2001-01-26",35.25,35.75,34.5625,35,1272400,26.393705
"2001-01-29",34.650002,36.240002,34.650002,35.75,861600,26.959286
"2001-01-30",35.990002,36.549999,35.369999,35.77,711000,26.974377
"2001-01-31",36.32,37.799999,36,37.48,1432400,28.263876
"2001-02-01",37,37.16,36,37.150002,930100,28.015039
"2001-02-02",37.009998,37.080002,35.849998,35.849998,814000,27.034689
"2001-02-05",34.16,35.400002,34.16,34.869999,986100,26.295668
"2001-02-06",35.5,35.799999,34.560001,34.799999,989200,26.242878
"2001-02-07",34.700001,35.790001,34.700001,35.360001,579300,26.665186
"2001-02-08",35.349998,35.400002,34.650002,34.91,1270400,26.325836
"2001-02-09",34.91,35.18,33.279999,33.419998,734000,25.202221
"2001-02-12",33.669998,34.639999,32.630001,34.450001,1078800,25.978951
"2001-02-13",33.950001,34.200001,33,33.639999,1180400,25.36813
"2001-02-14",34.139999,34.220001,33.25,33.619999,591100,25.353033
"2001-02-15",34,34.200001,33.060001,33.98,1436000,25.624517
"2001-02-16",34.630001,34.630001,32.759998,32.93,1091000,24.832714
"2001-02-20",32.93,33.98,32.759998,32.880001,640800,24.795008
"2001-02-21",32.880001,32.880001,31.639999,31.690001,1336500,23.897619
"2001-02-22",31.620001,31.799999,31.02,31.040001,885900,23.407448
"2001-02-23",30.6,31.5,29.450001,31.290001,1527600,23.595978
"2001-02-26",31.65,33,31.620001,32.810001,668700,24.742212
"2001-02-27",32.119999,32.700001,31.799999,32.080002,685500,24.191721
"2001-02-28",32.02,32.139999,30.950001,31.110001,1568400,23.460232
"2001-03-01",31.799999,32.279999,30.74,31.25,1744500,23.565805
"2001-03-02",31.25,33.650002,30.5,33.599998,1398800,25.337959
"2001-03-05",33.349998,33.400002,32.59,32.59,744200,24.576313
"2001-03-06",33.299999,33.849998,33.279999,33.799999,520900,25.488787
"2001-03-07",33.849998,34.759998,33.599998,34.5,459500,26.016661
"2001-03-08",34.450001,34.450001,33.599998,33.970001,624100,25.616974
"2001-03-09",34.099998,34.099998,32.669998,33.060001,847800,24.930742
"2001-03-12",33.049999,33.049999,31.209999,31.219999,980600,23.543188
"2001-03-13",31,31.1,30.549999,30.879999,907300,23.286789
"2001-03-14",29.25,29.99,29.02,29.559999,1289100,22.291368
"2001-03-15",30,30.469999,29.719999,29.76,802100,22.442196
"2001-03-16",29.65,29.65,28.200001,28.690001,1398400,21.664423
"2001-03-19",28.5,28.690001,28.200001,28.5,1329800,21.52095
"2001-03-20",28.98,31.25,28.549999,28.690001,1425600,21.664423
"2001-03-21",28.700001,28.84,27.360001,27.379999,1156600,20.675209
"2001-03-22",27.48,27.48,26,26.700001,1407600,20.161724
"2001-03-23",27,27.799999,27,27.639999,1027000,20.871544
"2001-03-26",27.639999,27.99,27.370001,27.76,800500,20.962156
"2001-03-27",27.75,27.98,27.309999,27.93,955600,21.090519
"2001-03-28",27.25,27.75,26.73,27.040001,995600,20.418467
"2001-03-29",27.02,27.950001,26.299999,27.209999,1049100,20.546831
"2001-03-30",27.200001,27.6,27,27.25,978900,20.577044
"2001-04-02",27.25,27.280001,26.52,26.629999,888300,20.108868
"2001-04-03",26.629999,26.629999,25.120001,25.26,824300,19.074354
"2001-04-04",25.950001,26.139999,25.41,25.709999,897900,19.414165
"2001-04-05",25.99,27.450001,25.950001,27.02,962100,20.403362
"2001-04-06",26.25,26.440001,25.15,25.690001,707400,19.399052
"2001-04-09",26.1,26.719999,25.700001,26.09,640900,19.701111
"2001-04-10",26.34,28.18,26.299999,28.15,932300,21.256659
"2001-04-11",28.15,29.1,26.379999,27.190001,679400,20.53174
"2001-04-12",27.190001,27.190001,25.940001,27,913300,20.388262
"2001-04-16",27.15,27.35,26.25,26.299999,554700,19.859674
"2001-04-17",26.25,27.059999,25.950001,26.889999,611800,20.305204
"2001-04-18",28.25,29.809999,28.01,29.65,1925600,22.389328
"2001-04-19",28.6,29.950001,28.6,29.299999,1259600,22.12504
"2001-04-20",29.5,30,29.23,29.5,1456500,22.276064
"2001-04-23",29.65,30.18,29.299999,29.75,701200,22.464849
"2001-04-24",29.450001,29.469999,28,28.540001,1238900,21.551146
"2001-04-25",28.75,29.1,28.700001,29,741500,21.898506
"2001-04-26",29.25,29.450001,29,29,1528400,21.898506
"2001-04-27",29.5,30.5,29.219999,30.5,1647800,23.031191
"2001-04-30",31.1,32.73,30.93,32.419998,1787000,24.481026
"2001-05-01",32.419998,33.099998,32.060001,33.080002,1151000,24.979404
"2001-05-02",33.080002,34.049999,33.040001,33.970001,1328900,25.651453
"2001-05-03",33.970001,33.970001,33.209999,33.459999,888900,25.26634
"2001-05-04",32.5,34,32.040001,34,889200,25.674109
"2001-05-07",33.599998,33.740002,32.779999,33.200001,559300,25.070009
"2001-05-08",33.200001,33.34,32.049999,32.240002,678700,24.345097
"2001-05-09",32.23,32.23,31.549999,31.889999,891000,24.080803
"2001-05-10",31.889999,33.299999,31.889999,32.82,1153900,24.783064
"2001-05-11",32.82,32.82,32,32.299999,824500,24.390406
"2001-05-14",33.799999,34.200001,33.259998,34.150002,1680500,25.787378
"2001-05-15",34.240002,34.5,33.509998,33.689999,1006800,25.440018
"2001-05-16",33.700001,34.380001,32.91,34.080002,1879400,25.734526
"2001-05-17",34.25,37.060001,34.25,36.990002,1656600,27.931923
"2001-05-18",36.77,36.77,35.330002,35.669998,1226200,26.935165
"2001-05-21",35.669998,37.200001,35.549999,36.849998,1040000,27.826214
"2001-05-22",37.200001,37.400002,36.700001,37.25,580800,28.128254
"2001-05-23",37.049999,37.049999,35.509998,36.169998,1146500,27.312717
"2001-05-24",36.419998,36.700001,35.919998,36.650002,661000,27.675177
"2001-05-25",36.240002,37,35.93,35.970001,619600,27.161697
"2001-05-29",35.900002,36,35.150002,35.200001,803700,26.580259
"2001-05-30",35.009998,35.630001,34,34.009998,1205100,25.681658
"2001-05-31",34.25,35,34.25,34.580002,1115500,26.112087
"2001-06-01",34.700001,35.990002,34.580002,35.68,906800,26.942705
"2001-06-04",35.43,35.68,34.91,35.400002,594200,26.731281
"2001-06-05",35.299999,37.200001,35.25,36.73,826600,27.735594
"2001-06-06",36.720001,36.720001,36.009998,36.139999,475300,27.29006
"2001-06-07",35.740002,36.790001,35.549999,36.790001,697800,27.780905
"2001-06-08",36.540001,36.549999,35.869999,36.360001,407200,27.456209
"2001-06-11",36.279999,36.279999,34.349998,34.900002,1402500,26.353718
"2001-06-12",34.400002,35.5,33.619999,35.310001,1061700,26.663319
"2001-06-13",34.939999,34.939999,33.200001,33.240002,1197700,25.10022
"2001-06-14",33.23,33.279999,32.599998,32.970001,917000,24.896334
"2001-06-15",32.799999,32.799999,32.299999,32.439999,804100,24.496117
"2001-06-18",32.400002,33.93,32.32,33.529999,868400,25.35046
"2001-06-19",33.849998,33.98,33,33.009998,790100,24.957304
"2001-06-20",32.59,34.400002,32.59,34.299999,1226200,25.932619
"2001-06-21",34.049999,35.200001,33.849998,35.200001,1381800,26.613075
"2001-06-22",35.200001,35.240002,34.740002,35.240002,1073100,26.643316
"2001-06-25",35.080002,35.540001,34.900002,35.540001,1116100,26.870115
"2001-06-26",35.5,35.509998,34.73,35.34,637300,26.718925
"2001-06-27",35.369999,35.98,34.900002,35.18,841700,26.597954
"2001-06-28",35.43,36.900002,35.43,36.5,956200,27.595949
"2001-06-29",36.5,36.790001,35.869999,36.220001,931900,27.384243
"2001-07-02",36.549999,37.349998,36.07,37.099998,1193500,28.049582
"2001-07-03",36.950001,36.950001,36.189999,36.73,381400,27.76984
"2001-07-05",35.939999,36.189999,35.310001,35.34,1341100,26.718925
"2001-07-06",35.34,35.400002,34.799999,34.84,1096000,26.340885
"2001-07-09",34.860001,35.400002,34.75,35.200001,1139500,26.613075
"2001-07-10",35.200001,35.279999,34.689999,34.73,1048100,26.257725
"2001-07-11",33.900002,35.209999,33.700001,35.110001,2764200,26.545025
"2001-07-12",35.810001,36.700001,35.450001,36.529999,853300,27.61862
"2001-07-13",35.939999,36.900002,35.75,36.849998,719400,27.860565
"2001-07-16",36.599998,38.25,36.599998,37.59,1581800,28.420031
"2001-07-17",37.549999,37.599998,36.919998,37,787300,27.973969
"2001-07-18",36.689999,37.720001,36.599998,37.299999,467200,28.200783
"2001-07-19",37.5,38.200001,37.099998,37.5,707100,28.352003
"2001-07-20",37.5,37.77,37.049999,37.279999,475400,28.185661
"2001-07-23",37.299999,37.75,36.799999,37.139999,437800,28.079813
"2001-07-24",37.049999,37.060001,35.700001,35.869999,810400,27.119625
"2001-07-25",36.389999,36.75,35.599998,36.689999,579600,27.739586
"2001-07-26",36.43,37.189999,36.43,37.189999,883600,28.117613
"2001-07-27",37.189999,37.5,36.049999,36.290001,608400,27.437172
"2001-07-30",36,36.73,35.599998,35.599998,926800,26.915504
"2001-07-31",35.650002,35.990002,35.25,35.299999,1002300,26.688669
"2001-08-01",35.400002,35.790001,34.099998,34.889999,669200,26.378689
"2001-08-02",35.400002,36.349998,35.299999,36.110001,769500,27.301071
"2001-08-03",36.150002,36.599998,35.32,35.720001,377400,27.006201
"2001-08-06",35.650002,35.720001,34.349998,35,578800,26.461864
"2001-08-07",35,35.009998,34.59,35,941700,26.461864
"2001-08-08",34.900002,35.82,34.41,34.439999,539900,26.038475
"2001-08-09",34.450001,35.099998,33.779999,34.02,890100,25.720922
"2001-08-10",34.099998,34.150002,33.02,33.25,955800,25.138769
"2001-08-13",33.450001,33.450001,32.599998,32.970001,917900,24.927071
"2001-08-14",33.099998,33.369999,32.599998,32.889999,1147800,24.86659
"2001-08-15",33,33.099998,32.549999,33.009998,1257200,24.957304
"2001-08-16",30.700001,33.580002,30.6,33.580002,1206400,25.388273
"2001-08-17",33.700001,33.799999,32.470001,32.610001,857900,24.654896
"2001-08-20",32.599998,33.040001,31.799999,32.889999,548600,24.86659
"2001-08-21",32.889999,32.889999,31.57,31.59,560900,23.883713
"2001-08-22",32,32.75,31.549999,32.709999,622900,24.730494
"2001-08-23",32.700001,32.700001,31.379999,31.65,480400,23.929081
"2001-08-24",31.65,34,31.58,34,600100,25.705799
"2001-08-27",33.580002,33.799999,33.060001,33.52,290100,25.342905
"2001-08-28",33.080002,33.650002,31.799999,31.99,905900,24.186138
"2001-08-29",32.450001,32.450001,31.52,31.77,457000,24.0198
"2001-08-30",31.620001,32.299999,30.85,31.049999,631300,23.475445
"2001-08-31",31.1,31.99,30.9,31.15,643600,23.551052
"2001-09-04",31.15,32,30.9,31.17,846800,23.566179
"2001-09-05",31.16,31.49,30.6,31.370001,542700,23.717386
"2001-09-06",30.6,30.950001,29.17,29.24,1086800,22.106991
"2001-09-07",29.24,29.24,27.5,27.75,1762700,20.980476
"2001-09-10",27.25,27.98,27.25,27.74,1360900,20.972914
"2001-09-17",22,23.6,21.5,21.959999,8669100,16.602926
"2001-09-18",22,23,21.98,22.25,2850200,16.852879
"2001-09-19",22.26,22.700001,20.24,21.24,2642800,16.087866
"2001-09-20",20.6,21.549999,20.51,21.08,2447000,15.966686
"2001-09-21",21,21.51,20.209999,21,3176800,15.906089
"2001-09-24",21.290001,22.950001,21.290001,22.040001,2488200,16.693823
"2001-09-25",22.200001,22.98,21.6,22.35,1730100,16.928621
"2001-09-26",22.129999,22.219999,20.85,21,756500,15.906089
"2001-09-27",20.75,21.200001,19.9,21,2030900,15.906089
"2001-09-28",21,22.35,20.719999,21.65,1857100,16.398422
"2001-10-01",21.66,21.690001,20.540001,21.190001,1770700,16.050001
"2001-10-02",21.18,21.43,20.1,20.76,1743500,15.724302
"2001-10-03",20.76,23.6,20,23.58,2973100,17.86027
"2001-10-04",23.42,23.43,22.200001,22.84,2235200,17.299768
"2001-10-05",22.75,22.799999,22.02,22.799999,1337100,17.26947
"2001-10-08",22.700001,22.9,21.93,21.99,892600,16.655947
"2001-10-09",22.26,22.34,21.700001,22.049999,815000,16.701387
"2001-10-10",22.049999,23.620001,21.75,23.620001,1881400,17.890558
"2001-10-11",23.700001,25.370001,23.700001,24.98,2181600,18.920671
"2001-10-12",24.5,24.9,22.48,24.25,1766500,18.367746
"2001-10-15",24.200001,24.48,23.76,23.969999,759400,18.155668
"2001-10-16",24.200001,25,24.01,24.549999,512600,18.594971
"2001-10-17",24.75,25.030001,23.82,23.82,1345300,18.042046
"2001-10-18",24.049999,24.700001,23.780001,24.25,752000,18.367746
"2001-10-19",24.200001,25.1,24.01,24.870001,1169500,18.837357
"2001-10-22",24.969999,25.09,24.5,24.879999,982200,18.844929
"2001-10-23",24.98,26,24.870001,25.01,993700,18.943392
"2001-10-24",25.200001,25.35,24.700001,24.83,743900,18.807053
"2001-10-25",24.4,25.360001,24.02,25.26,748400,19.132755
"2001-10-26",25.200001,26.01,25.200001,25.52,870600,19.329689
"2001-10-29",25.4,25.5,25,25.049999,847300,18.97369
"2001-10-30",25.049999,25.049999,23.799999,23.85,1407300,18.064775
"2001-10-31",23.75,24.15,23.389999,23.389999,1255800,17.716356
"2001-11-01",23.5,23.6,22.860001,23.6,1335900,17.875414
"2001-11-02",23.65,24.459999,23.639999,24.450001,1545400,18.519222
"2001-11-05",24.459999,25.02,24.450001,24.940001,728500,18.890379
"2001-11-06",24.99,25.870001,24.66,25.85,647800,19.579639
"2001-11-07",25.6,26,25.219999,25.799999,744400,19.541771
"2001-11-08",25.950001,26.74,25.370001,25.459999,769300,19.284245
"2001-11-09",25.209999,25.98,25.209999,25.700001,640100,19.466022
"2001-11-12",25.65,25.65,24,25.01,1169400,18.943392
"2001-11-13",25.6,26.809999,25.48,26.700001,1116700,20.223459
"2001-11-14",28.700001,30,27.52,28.35,2134500,21.473221
"2001-11-15",28.35,28.700001,28.1,28.450001,1530900,21.548958
"2001-11-16",28.15,28.16,26.9,27.07,1473900,20.503706
"2001-11-19",28.299999,29,27.65,29,1350500,21.965548
"2001-11-20",28.950001,29.450001,28.42,28.809999,1355200,21.821644
"2001-11-21",28.809999,28.809999,28,28.389999,508000,21.503517
"2001-11-23",28.469999,29.17,28.43,29.17,367000,22.094316
"2001-11-26",29.17,29.5,28.719999,29.290001,802300,22.185207
"2001-11-27",28.9,29.6,28.35,29,919000,21.965548
"2001-11-28",29,29,27.950001,28.040001,748600,21.238417
"2001-11-29",28.040001,28.9,27.76,28.9,565600,21.889803
"2001-11-30",28.799999,28.879999,28.280001,28.799999,560800,21.814068
"2001-12-03",28.299999,28.450001,27.58,28.26,739200,21.405058
"2001-12-04",28.27,29.15,28.200001,28.870001,658900,21.867079
"2001-12-05",28.799999,30.299999,28.65,29.75,812200,22.533619
"2001-12-06",29.690001,30.24,29.51,30.08,836200,22.783587
"2001-12-07",30.08,30.08,28.809999,29.629999,446300,22.442728
"2001-12-10",29.1,29.200001,28.35,28.43,631400,21.533815
"2001-12-11",28.42,28.48,27.83,28.030001,817500,21.230848
"2001-12-12",28.280001,28.370001,27.75,28,1171500,21.208122
"2001-12-13",27.99,27.99,27.09,27.440001,764400,20.783957
"2001-12-14",27.440001,28.25,27.110001,28.040001,642900,21.238417
"2001-12-17",27.799999,28.200001,27.700001,27.98,821700,21.192972
"2001-12-18",28.190001,28.43,27.700001,28,758100,21.23848
"2001-12-19",27.85,28.6,27.68,28.6,766300,21.693586
"2001-12-20",29.950001,29.959999,28.41,29.110001,1096100,22.080442
"2001-12-21",29.120001,30.290001,28.91,30.059999,1064600,22.801022
"2001-12-24",30,30.450001,29.889999,30.4,232700,23.058924
"2001-12-26",31.049999,32.150002,31.030001,31.379999,1314300,23.802265
"2001-12-27",31.389999,31.950001,31.280001,31.700001,814900,24.044996
"2001-12-28",31.950001,32.299999,31.9,32.139999,711600,24.37874
"2001-12-31",32.139999,32.220001,31.450001,31.469999,693400,23.870537
"2002-01-02",31.549999,31.620001,30.85,31.17,850500,23.642982
"2002-01-03",31.049999,32.400002,31,32.32,1264000,24.515272
"2002-01-04",32.220001,32.889999,31.9,32.509998,703400,24.659388
"2002-01-07",32.830002,33.25,32.360001,32.889999,1020700,24.94763
"2002-01-08",34.5,35.349998,34.5,34.84,3650100,26.426741
"2002-01-09",34.700001,35.330002,34.450001,35.009998,2145600,26.555685
"2002-01-10",34.900002,35.240002,34.700001,35.009998,1557800,26.555685
"2002-01-11",35.130001,35.240002,34.66,34.66,1125100,26.290195
"2002-01-14",34.349998,34.599998,33.82,34,995700,25.789577
