"","Open","High","Low","Close","Volume"
"2001-01-02",0.46015,0.475775,0.46015,0.464056,686400
"2001-01-03",0.468236,0.597142,0.468236,0.487767,384000
"2001-01-04",0.53967,0.540652,0.505496,0.525027,124800
"2001-01-05",0.546361,0.546361,0.46433,0.487767,544000
"2001-01-08",0.490362,0.490362,0.470831,0.470831,153600
"2001-01-09",0.484653,0.508091,0.484653,0.508091,57600
"2001-01-10",0.491428,0.514865,0.483615,0.514865,217600
"2001-01-11",0.505523,0.599273,0.505523,0.575836,1003200
"2001-01-12",0.5635,0.670925,0.5635,0.643582,1257600
"2001-01-16",0.634486,0.69308,0.63058,0.677455,1020800
"2001-01-17",0.692834,0.708459,0.681116,0.704553,1280000
"2001-01-18",0.70559,0.729028,0.689965,0.697778,2038400
"2001-01-19",0.713403,0.721215,0.666528,0.697778,980800
"2001-01-22",0.695184,0.714715,0.679559,0.714715,196800
"2001-01-23",0.714715,0.722527,0.706902,0.714715,188800
"2001-01-24",0.719932,0.734576,0.719932,0.731651,102400
"2001-01-25",0.725942,0.796255,0.725942,0.768911,1339200
"2001-01-26",0.750691,0.789753,0.738972,0.785847,585600
"2001-01-29",0.776997,0.796528,0.769184,0.792622,251200
"2001-01-30",0.789753,0.789753,0.778035,0.785847,190400
"2001-01-31",0.783771,0.799396,0.76424,0.799396,430400
"2001-02-01",0.802784,0.806691,0.787159,0.802784,206400
"2001-02-02",0.803422,0.805378,0.770222,0.785847,512000
"2001-02-05",0.782124,0.796774,0.765524,0.765524,246400
"2001-02-06",0.74938,0.768911,0.733755,0.768911,1766400
"2001-02-07",0.766043,0.766043,0.750418,0.762136,156800
"2001-02-08",0.75823,0.766043,0.75823,0.762136,256000
"2001-02-09",0.756274,0.766043,0.754324,0.762136,552000
"2001-02-12",0.765524,0.76943,0.753805,0.765524,1724800
"2001-02-13",0.766043,0.766043,0.762136,0.762136,1371200
"2001-02-14",0.761617,0.765524,0.749899,0.765524,1801600
"2001-02-15",0.766562,0.766562,0.754843,0.758749,540800
"2001-02-16",0.758749,0.766562,0.758749,0.758749,348800
"2001-02-20",0.761617,0.788961,0.761617,0.765524,524800
"2001-02-21",0.759268,0.767081,0.751456,0.755362,1019200
"2001-02-22",0.752767,0.780111,0.752767,0.772298,168000
"2001-02-23",0.770468,0.770468,0.750937,0.758749,294400
"2001-02-26",0.747304,0.78246,0.747304,0.78246,315200
"2001-02-27",0.770741,0.786366,0.770741,0.78246,76800
"2001-02-28",0.78246,0.78246,0.774647,0.78246,131200
"2001-03-01",0.784809,0.792622,0.784809,0.792622,70400
"2001-03-02",0.783771,0.807209,0.783771,0.799396,80000
"2001-03-05",0.802264,0.810077,0.798358,0.806171,155200
"2001-03-06",0.800434,0.800434,0.780903,0.792622,1060800
"2001-03-07",0.789753,0.801472,0.781941,0.785847,774400
