"","Open","High","Low","Close","Volume"
"2001-01-02",18.338587,18.526087,17.838587,18.088587,115200
"2001-01-03",18.044127,18.544127,17.544127,18.294127,188800
"2001-01-04",17.835777,20.085777,17.835777,19.835777,199000
"2001-01-05",19.895504,19.958004,19.083004,19.270504,59500
"2001-01-08",19.281618,19.281618,18.781618,19.219118,117700
"2001-01-09",19.408028,19.533028,17.908028,18.345528,106600
"2001-01-10",18.064959,19.752459,17.939959,19.064959,69200
"2001-01-11",18.928841,19.491341,18.803841,19.116341,40600
"2001-01-12",19.330244,19.330244,18.517744,18.705244,33800
"2001-01-16",18.488565,18.988565,17.613565,18.551065,160700
"2001-01-17",18.763565,19.138565,18.451065,19.013565,67800
"2001-01-18",18.910791,19.035791,18.535791,18.910791,27900
"2001-01-19",19.363565,19.363565,18.551065,18.551065,46300
"2001-01-22",18.396919,18.521919,17.709419,18.396919,47400
"2001-01-23",18.138565,19.138565,18.138565,19.013565,41900
"2001-01-24",19.116341,19.116341,18.491341,19.116341,29300
"2001-01-25",19.102467,19.164967,18.602467,18.602467,9000
"2001-01-26",18.513565,19.013565,18.388565,19.013565,22200
"2001-01-29",18.884787,19.814787,18.774786,19.354788,128100
"2001-01-30",19.46813,19.52813,18.86813,19.10813,42500
"2001-01-31",18.97745,19.527449,18.777449,19.527449,44600
"2001-02-01",19.308331,20.158331,19.058331,20.078331,106300
"2001-02-02",19.899437,19.999437,19.229437,19.749437,66500
"2001-02-05",19.483006,19.733006,19.433007,19.733006,36900
"2001-02-06",19.681227,19.951225,19.681227,19.741226,21300
"2001-02-07",19.756334,20.086334,19.706335,19.856335,25700
"2001-02-08",19.899,19.949001,19.659,19.659,12000
"2001-02-09",19.669676,19.669676,19.559675,19.609676,11600
"2001-02-12",19.529655,20.029655,19.529655,19.979654,47100
"2001-02-13",19.959885,19.979885,19.759884,19.839884,72000
"2001-02-14",19.436556,19.716555,19.106556,19.716555,36100
"2001-02-15",19.66856,20.03856,19.488559,19.93856,37100
"2001-02-16",19.945447,20.375445,19.585446,19.675446,75200
"2001-02-20",19.799677,19.799677,19.359676,19.609676,43600
"2001-02-21",19.513009,19.613007,19.063008,19.363007,65500
"2001-02-22",19.36813,19.36813,18.838129,19.10813,60400
"2001-02-23",19.054116,19.404116,18.964116,19.404116,39800
"2001-02-26",19.309885,19.839884,19.159886,19.839884,48300
"2001-02-27",19.863005,19.863005,19.733006,19.733006,28800
"2001-02-28",19.683007,19.733006,19.533005,19.733006,24300
"2001-03-01",19.608105,19.878105,19.408106,19.848104,38800
"2001-03-02",19.756334,19.856335,19.716335,19.856335,13100
"2001-03-05",19.793882,19.943882,19.703882,19.913881,37500
"2001-03-06",19.869885,19.899886,19.759884,19.839884,16200
"2001-03-07",19.779655,19.979654,19.759655,19.979654,35500
